type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,3d_printing_and_additive_manufacturing,US3696043013,GENERAL ELECTRIC,1,"Lidera el desarrollo y la aplicación de tecnologías avanzadas de fabricación aditiva, impulsando la innovación y la adopción industrial en diversos sectores.","La participación de GE en la impresión 3D y la fabricación aditiva se realiza principalmente a través de su negocio de Tecnologías de Defensa y Propulsión (DPT), que incluye el segmento de Tecnologías de Propulsión y Aditivos (P&AT). Este segmento diseña, desarrolla, fabrica y da soporte a componentes y sistemas de aeronaves para usuarios finales comerciales y militares, operando bajo marcas como Avio Aero, Unison, Dowty Propellers y Colibrium Additive. Si bien P&AT representa una parte de los ingresos de DPT, la empresa experimentó una pérdida por deterioro de valor relacionada con su unidad de informes Colibrium Additive, y los aumentos de ingresos en P&AT fueron impulsados principalmente por el volumen de servicio y los precios, lo que indica una participación limitada pero presente en el tema.","[{'name': 'ge-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ge-FY24-10-K.html'}, {'name': 'ge-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ge-Q324-10-Q.html'}]",498843743,USD,GE,SMART,STK,True,TE_3DP
technology,3d_printing_and_additive_manufacturing,US40434L1052,HP INC,2,"Proporciona soluciones avanzadas de impresión 3D y tecnologías de fabricación aditiva, incluida su plataforma Multi Jet Fusion, para permitir la producción industrial y la fabricación digital en diversos sectores.","El compromiso de HP con la Impresión 3D y la Fabricación Aditiva es evidente en la entrega de dispositivos, servicios y suscripciones relacionados con la impresión 3D. El enfoque estratégico a largo plazo de la compañía implica la expansión de su presencia en la impresión 3D en la fabricación digital y aplicaciones estratégicas. HP también se enfoca en la creación de soluciones de extremo a extremo en 3D y Personalización, con el objetivo de capturar más valor a través de tecnología diferenciada dentro de este sector.","[{'name': 'hpq-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpq-Q225-10-Q.html'}, {'name': 'hpq-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpq-Q125-10-Q.html'}, {'name': 'hpq-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hpq-FY24-10-K.html'}, {'name': 'hpq-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpq-Q324-10-Q.html'}]",209411801,USD,HPQ,SMART,STK,True,TE_3DP
technology,3d_printing_and_additive_manufacturing,US7437131094,PROTO LABS INC,3,"Proporciona servicios de fabricación digital bajo demanda, incluida la impresión 3D industrial y la fabricación aditiva, para prototipado rápido y producción de bajo volumen en diversas industrias.","La impresión 3D es un aspecto clave de las operaciones de la empresa, identificada como una de sus líneas de productos de fabricación principales junto con otros métodos como el moldeo por inyección y el mecanizado CNC. La empresa utiliza la impresión 3D para fabricar piezas personalizadas, siendo la impresión 3D de metales particularmente valiosa para los clientes que buscan componentes duraderos y ligeros, especialmente en los sectores aeroespacial y de defensa. La empresa ha ampliado sus capacidades de impresión 3D a través de adquisiciones, incluida Alphaform en Europa, y ha continuado ofreciendo servicios de impresión 3D de metales a pesar de descontinuar algunos servicios en sus instalaciones alemanas. Además, el servicio de impresión 3D de metales de la empresa en Carolina del Norte ha recibido la certificación ISO 13485, lo que destaca su compromiso con la calidad y la excelencia en la fabricación de dispositivos médicos.","[{'name': 'prlb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prlb-Q125-10-Q.html'}, {'name': 'prlb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prlb-Q225-10-Q.html'}, {'name': 'prlb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/prlb-FY24-10-K.html'}, {'name': 'prlb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prlb-Q324-10-Q.html'}]",103111184,USD,PRLB,SMART,STK,True,TE_3DP
technology,3d_printing_and_additive_manufacturing,GB0007323586,RENISHAW PLC,4,Se especializa en proporcionar soluciones y equipos innovadores críticos para el desarrollo y la aplicación de la impresión 3D y la fabricación aditiva en diversas industrias.,,,26653065,GBP,RSW,SMART,STK,False,TE_3DP
technology,3d_printing_and_additive_manufacturing,US0527691069,AUTODESK INC,5,"Desarrolla y proporciona soluciones de software integrales esenciales para el diseño, la simulación y la preparación de modelos para procesos de impresión 3D y fabricación aditiva.",,,265681,USD,ADSK,SMART,STK,True,TE_3DP
technology,3d_printing_and_additive_manufacturing,US98423F1093,XOMETRY INC-A,6,"Proporciona un mercado para servicios de fabricación bajo demanda, incluida la impresión 3D, conectando a los clientes con una red de proveedores para facilitar la creación rápida de prototipos y la producción.","La participación de Xometry en la impresión 3D y la fabricación aditiva es evidente a través de su mercado, que ofrece la impresión 3D como una de sus categorías de fabricación, admitiendo una amplia gama de tecnologías que incluyen modelado por deposición fundida, sinterización directa de metal por láser, PolyJet y estereolitografía. Las capacidades de los proveedores de la compañía incluyen varios métodos de impresión 3D, y Xometry ha ampliado las cotizaciones instantáneas para nuevos materiales aditivos. Si bien la impresión 3D es un componente de los servicios de Xometry, no se destaca como un enfoque estratégico principal.","[{'name': 'xmtr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xmtr-Q125-10-Q.html'}, {'name': 'xmtr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xmtr-Q225-10-Q.html'}, {'name': 'xmtr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/xmtr-FY24-10-K.html'}]",499640675,USD,XMTR,SMART,STK,False,TE_3DP
technology,3d_printing_and_additive_manufacturing,US44980X1090,IPG PHOTONICS CORP,7,"Proporciona láseres de fibra de alta potencia que son componentes críticos para diversos procesos de impresión 3D y fabricación aditiva, lo que permite un procesamiento preciso de materiales para aplicaciones industriales.","IPG Photonics demuestra su participación en la Impresión 3D y la Fabricación Aditiva a través de varias vías, incluido el desarrollo, la fabricación y la venta de láseres de fibra y diodo utilizados en el procesamiento de materiales para aplicaciones de fabricación aditiva. La empresa ha notado crecimiento y fortaleza en la fabricación aditiva en diferentes regiones, incluido un crecimiento sólido en el primer trimestre de 2025 y ventas más fuertes en Asia. Si bien las ventas de procesamiento de materiales, que incluyen la fabricación aditiva, constituyen una parte importante de los ingresos totales, las ventas en fabricación aditiva han experimentado fluctuaciones debido a factores como el momento del envío, aunque la demanda general sigue siendo sólida.","[{'name': 'ipgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipgp-Q125-10-Q.html'}, {'name': 'ipgp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipgp-Q324-10-Q.html'}, {'name': 'ipgp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ipgp-Q225-10-Q.html'}]",41891895,USD,IPGP,SMART,STK,True,TE_3DP
technology,3d_printing_and_additive_manufacturing,CA67000B1040,NOVANTA INC,8,Proporciona tecnología y soluciones críticas que son integrales para los avances y las operaciones dentro de la industria de impresión 3D y fabricación aditiva.,"Novanta demuestra su compromiso con la impresión 3D y la fabricación aditiva a través de su creciente penetración en aplicaciones industriales avanzadas de alto crecimiento, con la fabricación aditiva láser como un foco clave. La empresa colabora estrechamente con los clientes OEM para introducir productos específicos de aplicación adaptados a las necesidades específicas de las aplicaciones. Novanta también está ganando terreno en la fabricación aditiva dentro de los sectores médico y aeroespacial, así como en aplicaciones que respaldan las inversiones en IA, aprovechando sus subsistemas de cabezales de escaneo que sobresalen en precisión, rendimiento y miniaturización.","[{'name': 'novt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/novt-Q324-10-Q.html'}, {'name': 'novt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/novt-FY24-10-K.html'}, {'name': 'novt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/novt-Q225-10-Q.html'}, {'name': 'novt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/novt-Q125-10-Q.html'}]",233146666,USD,NOVT,SMART,STK,True,TE_3DP
technology,3d_printing_and_additive_manufacturing,US1442851036,CARPENTER TECHNOLOGY,9,Contribuye a la industria de impresión 3D y fabricación aditiva.,"La participación de Carpenter Technology en la impresión 3D y la fabricación aditiva se demuestra a través de su negocio Carpenter Additive, que opera dentro del segmento de Productos de Ingeniería de Rendimiento (PEP). Si bien el negocio aditivo contribuye a mayores ventas y una mejor rentabilidad dentro del segmento PEP, no es el enfoque principal, como lo demuestran las reestructuraciones y los cargos por deterioro de activos relacionados con la optimización de sus operaciones. Aunque la empresa reconoce un buen negocio con la tecnología aditiva y el potencial de crecimiento en la industria, Dynamet es el actor principal dentro de PEP, lo que sugiere que la fabricación aditiva representa una porción menor de las actividades generales de la empresa.","[{'name': 'crs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q225-10-Q.html'}, {'name': 'crs-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q325-10-Q.html'}, {'name': 'crs-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crs-FY25-10-K.html'}, {'name': 'crs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q125-10-Q.html'}]",6077,USD,CRS,SMART,STK,True,TE_3DP
technology,3d_printing_and_additive_manufacturing,US65487K1007,NLIGHT INC,10,Desarrolla láseres de alta potencia que son componentes integrales en diversos procesos de impresión 3D y fabricación aditiva.,"La participación de la empresa en la impresión 3D y la fabricación aditiva es evidente a través de su optimismo sobre las perspectivas de crecimiento, particularmente en la fabricación aditiva de metales dentro de los mercados aeroespacial y de defensa, donde su objetivo es acelerar la creación de prototipos y mejorar la resiliencia de la cadena de suministro. Esto se ve respaldado además por el crecimiento secuencial de los ingresos en los mercados industriales debido a una mayor demanda de sus soluciones de fabricación aditiva y la alineación con los clientes de aeroespacial y defensa. Sin embargo, la empresa también experimentó una disminución en las ventas de unidades de corte y fabricación aditiva debido al deterioro de las condiciones del mercado y a una menor demanda de los clientes, lo que indica que la fabricación aditiva no es inmune a las fluctuaciones del mercado. Si bien la empresa está logrando avances y centrándose en clientes en EE. UU. y Europa, el crecimiento limitado del mercado en estas regiones sugiere que la fabricación aditiva, aunque prometedora, aún no es una prioridad estratégica central.","[{'name': 'lasr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lasr-FY24-10-K.html'}]",315776201,USD,LASR,SMART,STK,False,TE_3DP
