industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
telecommunications,5g_infrastructure,US7475251036,QUALCOMM INC,1,"Entrega chipsets, plataformas y propiedad intelectual fundamentales esenciales para el desarrollo, la implementación y el avance de la infraestructura 5G en todo el mundo.","La participación de Qualcomm en la infraestructura 5G es evidente a través de sus iniciativas estratégicas y desarrollo de productos. La compañía enfatiza su compromiso con el desarrollo de tecnología 5G, la estandarización y su papel como proveedor líder de productos de circuitos integrados 5G, considerándolo esencial para el crecimiento empresarial a largo plazo. Este compromiso se demuestra aún más con el anuncio de la plataforma x85 5G, un sistema de módem a antena impulsado por IA diseñado para mejorar la velocidad, la eficiencia y la cobertura, admitiendo capacidades 5G avanzadas. Qualcomm también ve el 5G como un motor clave para la adopción de tecnologías en industrias más allá de los teléfonos móviles, como la automotriz y el IoT, destacando su importancia para el crecimiento y la innovación futuros.","[{'name': 'qcom-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q325-10-Q.html'}, {'name': 'qcom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q225-10-Q.html'}, {'name': 'qcom-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qcom-FY24-10-K.html'}]",273544,USD,QCOM,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US8725901040,T-MOBILE US INC,2,Es un proveedor líder de telecomunicaciones que invierte activamente y expande su infraestructura de red 5G para ofrecer conectividad inalámbrica avanzada e impulsar la adopción de la tecnología 5G.,"El compromiso de T-Mobile con el tema de Infraestructura 5G es sustancial, destacado por su posición como el primer y único operador en el país en implementar 5G Advanced a nivel nacional, habilitado por su núcleo 5G independiente. Este avance ofrece una conectividad más rápida, dinámica y eficiente, logrando velocidades de descarga récord. La empresa está construyendo activamente su red 5G a nivel nacional, subrayado por importantes inversiones de capital, incluidos miles de millones gastados en propiedades y equipos. T-Mobile también se enfoca en expandir y mejorar su red 5G en mercados más pequeños y áreas rurales, con planes de incorporar casi 4,000 sitios nuevos este año e integrar UScellular para aumentar la capacidad y la cobertura.","[{'name': 'tmus-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q125-10-Q.html'}, {'name': 'tmus-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q225-10-Q.html'}, {'name': 'tmus-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q324-10-Q.html'}, {'name': 'tmus-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmus-FY24-10-K.html'}]",125980227,USD,TMUS,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US92343V1044,VERIZON COMMUNICATIONS INC,3,Se enfoca en el despliegue y expansión de su infraestructura de red 5G para ofrecer servicios de conectividad avanzados a consumidores y empresas.,"El enfoque de Verizon en la infraestructura 5G es evidente a través de su implementación constante de nueva arquitectura de red y tecnologías destinadas a asegurar su liderazgo tanto en redes inalámbricas 5G como 4G. La compañía enfatiza su compromiso con el 5G implementando C-Band en una parte significativa de sus sitios planificados, con un objetivo de cobertura del 80% al 90% para fin de año. Esta dedicación se ve aún más resaltada por el reconocimiento de RootMetrics a Verizon como la red 5G mejor, más rápida y más confiable de los EE. UU. La estrategia de Verizon implica importantes inversiones de capital en espectro inalámbrico e infraestructura de red, y se espera que los gastos de capital para 2024 sean sustanciales.","[{'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}, {'name': 'vz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q125-10-Q.html'}]",4901,USD,VZ,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US00206R1023,AT&T INC,4,"Participa activamente en el despliegue y la expansión de su infraestructura de red 5G, mejorando la conectividad y apoyando la adopción más amplia de tecnologías 5G.","El enfoque de AT&T en la infraestructura 5G es evidente en sus inversiones estratégicas y esfuerzos de modernización de la red. La empresa está en proceso de transición de redes de cobre heredadas a tecnología inalámbrica 5G moderna y fibra óptica, con el objetivo de ser el proveedor de conectividad líder en Estados Unidos. Esta iniciativa incluye una expansión significativa de fibra, con el objetivo de llegar a más de 30 millones de ubicaciones para finales de 2025 y más de 50 millones de ubicaciones para 2029, respaldada tanto por construcciones orgánicas como por acuerdos comerciales. La tendencia de convergencia de la empresa se está acelerando, impulsada por el crecimiento de nuevas relaciones con clientes que se suscriben a servicios de fibra y 5G, mejorada aún más por la modernización de la red inalámbrica que amplía la cobertura del espectro de banda media.","[{'name': 't-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q125-10-Q.html'}]",37018770,USD,T,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US03027X1000,AMERICAN TOWER CORP,5,"Proporciona infraestructura de comunicaciones esencial, incluidas torres y sitios, crucial para el despliegue y la expansión de redes 5G.","El compromiso de American Tower con la infraestructura 5G es evidente a través de varias actividades clave. Los principales operadores estadounidenses están buscando agresivamente mejoras en los equipos 5G en sus redes con el objetivo de completarlas a finales de 2026, lo que está impulsando la actividad de enmiendas y la demanda de nuevos sitios para American Tower. La empresa está experimentando un aumento constante en la actividad de los operadores, alineado con la fase actual de implementación de 5G, y se beneficia de la expansión y maduración de las redes 5G, particularmente con la cobertura de banda media. Además, se espera que la implementación de tecnología móvil avanzada, incluido el 5G, mejore los servicios de datos y facilite la sustitución de banda ancha fija, lo que llevará a los inquilinos a implementar equipos adicionales en las redes existentes.","[{'name': 'amt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amt-FY24-10-K.html'}]",99831145,USD,AMT,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US22822V1017,CROWN CASTLE INC,6,"Proporciona infraestructura esencial como torres de telefonía móvil, small cells y cables de fibra óptica, que son fundamentales para el despliegue y la operación de redes 5G en todo Estados Unidos.","El negocio de Crown Castle se ve significativamente influenciado por el tema de la Infraestructura 5G, ya que la empresa se beneficia directamente del despliegue de redes 5G por parte de los operadores inalámbricos de EE. UU. La empresa ha experimentado un crecimiento sustancial en la demanda de datos móviles desde las primeras etapas del despliegue de 5G en 2020, lo que impulsa las inversiones de los clientes para mantener la capacidad y la calidad de la red, con inversiones anuales que superan los 35 mil millones de dólares. Crown Castle apoya estas iniciativas 5G ofreciendo torres y celdas pequeñas, que consideran una solución integral para las necesidades de infraestructura de los inquilinos inalámbricos, y anticipan un crecimiento continuo en su negocio de torres debido a la expansión en curso de las redes 5G.","[{'name': 'cci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q125-10-Q.html'}, {'name': 'cci-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cci-FY23-10-K.html'}, {'name': 'cci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q324-10-Q.html'}]",176571182,USD,CCI,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US2948216088,ERICSSON (LM) TEL-SP ADR,7,Desarrolla y suministra tecnologías y servicios críticos para la expansión global de la infraestructura 5G.,,,268977,USD,ERIC,SMART,STK,False,5GI
telecommunications,5g_infrastructure,US78410G1040,SBA COMMUNICATIONS CORP,8,"Facilita el despliegue y la expansión de redes 5G de próxima generación al proporcionar infraestructura esencial de comunicaciones inalámbricas, incluidos sitios de torres y servicios relacionados, a los operadores inalámbricos.","El negocio de SBA Communications está estrechamente ligado a la infraestructura 5G, como lo demuestra su apoyo a los operadores de redes móviles para mejorar la cobertura inalámbrica y desplegar nuevo espectro y tecnologías. La empresa enfatiza la importancia de los macro sitios para una cobertura inalámbrica rentable y el despliegue de nuevas tecnologías, lo que se ve aún más respaldado por su adquisición de sitios y contratos en curso. SBA está experimentando un aumento en la actividad de colocalización y enmiendas, en gran parte en torno a las mejoras relacionadas con 5G, con una parte significativa del nuevo negocio de arrendamiento proveniente de colos. La empresa anticipa aumentos en los ingresos por arrendamiento básicos debido a que los operadores inalámbricos despliegan espectro no utilizado y también apoya ofertas intensivas en ancho de banda como el acceso inalámbrico fijo.","[{'name': 'sbac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbac-Q125-10-Q.html'}, {'name': 'sbac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sbac-FY24-10-K.html'}]",262397910,USD,SBAC,SMART,STK,True,5GI
telecommunications,5g_infrastructure,FI0009000681,NOKIA OYJ,9,"Ofrece una cartera integral de equipos y servicios de redes, vitales para el despliegue y operación global de la infraestructura de telecomunicaciones 5G.",,,29816875,EUR,NOKIA,HEX,STK,False,5GI
telecommunications,5g_infrastructure,US49338L1035,KEYSIGHT TECHNOLOGIES IN,10,"Proporciona soluciones integrales de prueba y medición que aceleran el desarrollo, la implementación y la optimización de la infraestructura 5G.","La participación de Keysight en la Infraestructura 5G es evidente a través de sus actividades de I+D en la investigación avanzada de 5G y temprana de 6G, incluidas las inversiones en redes no terrestres y capacidades de gemelos digitales y emulación de sistemas. La fortaleza de la empresa reside en la infraestructura de red, particularmente con Open RAN y los avances en estándares impulsados por IA. Keysight también se asocia con líderes de la industria para apoyar aplicaciones emergentes como la conectividad directa a celdas y las redes de órbita terrestre baja, solidificando aún más su papel en la configuración del futuro de las tecnologías 5G y 6G.","[{'name': 'keys-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/keys-Q225-10-Q.html'}, {'name': 'keys-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/keys-FY24-10-K.html'}, {'name': 'keys-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/keys-Q125-10-Q.html'}, {'name': 'keys-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/keys-Q324-10-Q.html'}]",170167160,USD,KEYS,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US83088M1027,SKYWORKS SOLUTIONS INC,11,Suministra soluciones críticas de semiconductores que permiten el desarrollo y la implementación de infraestructura 5G.,"Skyworks desempeña un papel en la infraestructura 5G a través de varias vías, incluidas sus tecnologías principales que potencian plataformas de conectividad que abarcan 5G y WiFi. La empresa también está asegurando programas con fabricantes de equipos originales (OEM) de automóviles que incluyen telemática 5G, abordando la creciente necesidad de enlaces inalámbricos seguros en el sector automotriz. Además, Skyworks apoya las actualizaciones de los centros de datos con sus soluciones para conmutadores de 800 gig y 1.6 terabit, impulsadas por la aceleración de las cargas de trabajo de IA.",,4726021,USD,SWKS,SMART,STK,True,5GI
telecommunications,5g_infrastructure,KR7005930003,SAMSUNG ELECTRONICS CO LTD,12,"Proporciona soluciones integrales de red 5G, que incluyen redes de acceso de radio y tecnologías de red central, apoyando la expansión y el despliegue global de la infraestructura celular de próxima generación.",,,17382528,KRW,005930,KSE,STK,False,5GI
telecommunications,5g_infrastructure,US5738741041,MARVELL TECHNOLOGY INC,13,Proporciona soluciones de semiconductores críticas que son fundamentales para el desarrollo y la implementación de la infraestructura de red 5G.,"Marvell demuestra su compromiso con la Infraestructura 5G a través del desarrollo de nuevos productos, mencionando específicamente el mercado 5G como un área de enfoque. Esto está respaldado aún más por el énfasis de la empresa en diseñar e introducir productos mejorados adaptados para el mercado 5G. Si bien Marvell reconoce los riesgos asociados con la introducción oportuna y efectiva de productos en los mercados de IA, Nube y 5G, la empresa también se enfoca en una plataforma de óptica coempaquetada innovadora para la transición de interconexiones de cobre a fibra óptica para escalar clústeres de IA.","[{'name': 'mrvl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrvl-Q325-10-Q.html'}, {'name': 'mrvl-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrvl-Q126-10-Q.html'}]",483492393,USD,MRVL,SMART,STK,False,5GI
telecommunications,5g_infrastructure,US25401T6038,DIGITALBRIDGE GROUP INC,14,Facilita el avance de la infraestructura 5G.,,,578327143,USD,DBRG,SMART,STK,False,5GI
telecommunications,5g_infrastructure,US4581401001,INTEL CORP,15,"Proporciona potencia de procesamiento y soluciones de red críticas esenciales para construir y operar infraestructura 5G, apoyando su implementación y rendimiento.","El compromiso de Intel con la infraestructura 5G es evidente a través de su negocio de Redes y Borde (NEX), que se enfoca en transformar las redes en software nativo de la nube en hardware programable. La empresa lidera las implementaciones de redes centrales 5G, construyendo estaciones base 5G utilizando procesadores Intel Xeon y vRAN Boost, y proporciona plataformas de RAN en la nube basadas en software para una implementación eficiente de la infraestructura 5G. Si bien Intel ofrece SoC para estaciones base 5G e infraestructura de red, y sus ingresos de NEX se ven afectados por los patrones de compra de los clientes de 5G, el 5G no es el elemento dominante de su negocio.","[{'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}]",270639,USD,INTC,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US17275R1023,CISCO SYSTEMS INC,16,Contribuye a la red y el enrutamiento fundamentales necesarios para construir y operar la infraestructura 5G.,"La participación de Cisco en la infraestructura 5G se demuestra por el crecimiento de los pedidos de clientes de telecomunicaciones, que aumentaron en más del 20%. Este crecimiento se atribuye a que las empresas de telecomunicaciones reinvierten en sus redes centrales para dar soporte a la conectividad de IA. La demanda continua de estos clientes indica la relevancia continua de la infraestructura 5G para el negocio de Cisco, ya que las empresas de telecomunicaciones preparan sus redes para aplicaciones impulsadas por IA.",,268084,USD,CSCO,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US11135F1012,BROADCOM INC,17,Proporciona soluciones críticas de semiconductores y redes que son esenciales para construir y operar redes de comunicación 5G.,,,313130367,USD,AVGO,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US20337X1090,COMMSCOPE HOLDING CO INC,18,Proporciona soluciones y tecnologías de infraestructura esenciales que permiten el despliegue y la expansión de redes 5G a nivel mundial.,"La empresa demuestra su implicación en la infraestructura 5G a través de varias vías, incluyendo el desarrollo de productos DOCSIS 4.0 y CMTS virtual, destinados a actualizar la infraestructura de red para soportar velocidades de datos más rápidas. Anteriormente, la empresa ofrecía OneCell, una solución de pequeña celda para interiores diseñada para ofrecer conectividad LTE y 5G en entornos empresariales, aunque este negocio se vendió a Amphenol. La empresa también se centra en la innovación para futuras redes avanzadas, abordando implícitamente las demandas de la infraestructura 5G.",,137407031,USD,COMM,SMART,STK,False,5GI
telecommunications,5g_infrastructure,US74736K1016,QORVO INC,19,Proporciona soluciones y componentes críticos de radiofrecuencia que permiten el despliegue y la funcionalidad de la infraestructura 5G a nivel mundial.,"Qorvo demuestra su participación en la infraestructura 5G a través de sus soluciones de señal pequeña que ofrecen un rendimiento mejorado y una integración más estrecha para MIMO masivo y acceso inalámbrico fijo. La empresa está probando nuevas soluciones, como preamplificadores de alta eficiencia y filtros BAW de alta supresión, para clientes clave en el mercado de estaciones base. Si bien Qorvo proporciona soluciones para implementaciones 5G, no se proporcionaron cifras de ingresos explícitas.",,179002152,USD,QRVO,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US2193501051,CORNING INC,20,Proporciona soluciones críticas de cable de fibra óptica y conectividad esenciales para construir y expandir la infraestructura de alto ancho de banda requerida para las redes 5G.,,,7655,USD,GLW,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US0320951017,AMPHENOL CORP-CL A,21,Contribuye a la industria de infraestructura 5G.,"La participación de Amphenol en la infraestructura 5G es evidente a través de su segmento de Soluciones de Comunicación, que diseña y fabrica sistemas de interconexión y antenas para redes de comunicación. La adquisición estratégica por parte de la empresa del Negocio Andrew de CommScope, que proporciona soluciones de redes de comunicación con tecnologías avanzadas en antenas de estaciones base e interconexión relacionada, subraya aún más este compromiso. El crecimiento de las ventas de Amphenol en el mercado de redes de comunicación, impulsado por la adición de ANDREW y el aumento del gasto por parte de los operadores de redes de comunicación y los fabricantes de equipos inalámbricos, demuestra la creciente importancia de este sector para la empresa. Esta adquisición proporciona soluciones de redes móviles para redes inalámbricas de próxima generación, complementando la cartera existente de Amphenol.","[{'name': 'aph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aph-Q225-10-Q.html'}, {'name': 'aph-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aph-Q324-10-Q.html'}]",4493,USD,APH,SMART,STK,True,5GI
telecommunications,5g_infrastructure,US67066G1040,NVIDIA CORP,22,"Proporciona plataformas informáticas y software para acelerar el desarrollo y la implementación de infraestructura 5G, permitiendo aplicaciones y servicios impulsados por IA en el borde de la red.",,,4815747,USD,NVDA,SMART,STK,True,5GI
