industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,accelerated_computing,US67066G1040,NVIDIA CORP,1,"Pionera en el desarrollo de unidades de procesamiento gráfico y plataformas de software que permiten una computación significativamente más rápida para inteligencia artificial, investigación científica y procesamiento de datos, impulsando así el paradigma de la computación acelerada.","El papel pionero de NVIDIA en la computación acelerada es evidente a través de su desarrollo de arquitecturas y plataformas de GPU para la computación científica, la IA, la ciencia de datos, los vehículos autónomos, la robótica y las aplicaciones de Internet 3D. Esto se ve corroborado por el hecho de que el crecimiento de los ingresos se impulsa constantemente por las plataformas de computación y redes de centros de datos diseñadas para la computación acelerada y las soluciones de IA. La demanda de las arquitecturas Hopper y Blackwell de NVIDIA destaca el enfoque de la empresa en satisfacer la creciente demanda mundial de computación acelerada, con bibliotecas CUDA y optimizaciones de pila completa que mejoran el rendimiento y el valor económico de sus plataformas.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,NVDA,SMART,STK,True,ACC
technology,accelerated_computing,US0079031078,ADVANCED MICRO DEVICES,2,"Desarrolla procesadores de alto rendimiento, incluyendo CPUs y GPUs, que son críticos para impulsar aplicaciones de computación acelerada en centros de datos, inteligencia artificial y computación de alto rendimiento.","El enfoque de AMD en la computación acelerada es evidente a través de sus aceleradores de IA, en particular las series Instinct MI300 y las próximas series MI350 y MI400, diseñadas para cargas de trabajo de IA y HPC. El compromiso de la empresa se ve subrayado por su hoja de ruta acelerada de aceleradores AMD Instinct, que tiene como objetivo ofrecer soluciones anuales de IA. Esto está respaldado además por asociaciones estratégicas con empresas como Oracle y G42, y la adquisición de ZT Systems para proporcionar soluciones de IA a nivel de rack. Los ingresos de IA del centro de datos de AMD alcanzaron más de $5 mil millones, impulsados por las fuertes ventas de las CPU AMD EPYC y las GPU AMD Instinct, lo que refleja una inversión significativa y un énfasis estratégico en la computación acelerada.","[{'name': 'amd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q125-10-Q.html'}, {'name': 'amd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q225-10-Q.html'}, {'name': 'amd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amd-FY24-10-K.html'}, {'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}]",4391,USD,AMD,SMART,STK,True,ACC
technology,accelerated_computing,US5949181045,MICROSOFT CORP,3,"Proporciona una amplia infraestructura y servicios en la nube que aprovechan hardware especializado para acelerar la computación de alto rendimiento, la inteligencia artificial y las cargas de trabajo intensivas en datos para su base de clientes global.","La participación de Microsoft en la Computación Acelerada es evidente a través de sus inversiones en ingeniería en la nube e IA, que han impulsado aumentos en los gastos operativos y de investigación y desarrollo. El margen bruto de la nube de la empresa se ha visto afectado por la escala de su infraestructura de IA, lo que pone de relieve la importancia de la computación acelerada. Además, los centros de datos de Microsoft dependen de las GPU, lo que subraya la importancia de esta tecnología para su infraestructura.","[{'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}]",272093,USD,MSFT,SMART,STK,True,ACC
technology,accelerated_computing,NL0010273215,ASML HOLDING NV,4,"Proporciona equipos y tecnología de litografía esenciales que son fundamentales para la producción de semiconductores avanzados, lo que permite el avance continuo y las capacidades de la computación acelerada.",,,117589399,EUR,ASML,SMART,STK,False,ACC
technology,accelerated_computing,US4581401001,INTEL CORP,5,"Ofrece una amplia gama de soluciones informáticas, desde unidades centrales de procesamiento hasta aceleradores dedicados para IA y computación de alto rendimiento, lo que permite el procesamiento paralelo avanzado y aplicaciones intensivas en datos.","El compromiso de Intel con la Computación Acelerada es evidente a través de varias iniciativas estratégicas. La compañía está ajustando su hoja de ruta de productos para optimizar las cargas de trabajo de IA, con un enfoque en áreas emergentes de IA y soluciones de IA de pila completa para clientes empresariales, y anticipa una creciente adopción de PC con IA. Intel enfatiza la importancia de xPU y una combinación diversa de arquitecturas, incluyendo CPU, GPU, NPU, IPU y FPGA, destacada por el lanzamiento de los aceleradores de IA Intel Gaudi que ofrecen ventajas de precio-rendimiento para aplicaciones de inferencia de IA. Además, Intel está invirtiendo en PC con IA y refinando su estrategia de IA, centrándose en modelos de razonamiento, IA agentiva y IA física, con el objetivo de ser la plataforma de cómputo y asociándose con líderes de la industria para construir silicio y software optimizados para esa plataforma.","[{'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}, {'name': 'intc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q225-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}]",270639,USD,INTC,SMART,STK,True,ACC
technology,accelerated_computing,US0231351067,AMAZON.COM INC,6,"Proporciona una amplia infraestructura y servicios en la nube, incluyendo hardware especializado y chips de IA personalizados, lo que permite a los clientes ejecutar cargas de trabajo de computación de alto rendimiento e inteligencia artificial.",,,3691937,USD,AMZN,SMART,STK,True,ACC
technology,accelerated_computing,KR7005930003,SAMSUNG ELECTRONICS CO LTD,7,"Desarrolla y fabrica memoria de alto ancho de banda, procesadores avanzados y servicios de fundición, que son fundamentales para habilitar y avanzar en las tecnologías de computación acelerada.",,,17382528,KRW,005930,KSE,STK,False,ACC
technology,accelerated_computing,US02079K3059,ALPHABET INC-CL A,8,"Desarrolla y utiliza hardware especializado, incluidas las Unidades de Procesamiento Tensorial (TPU), para acelerar cargas de trabajo de inteligencia artificial, mejorar los servicios de computación en la nube e impulsar avances en el aprendizaje automático.",,,208813719,USD,GOOGL,SMART,STK,True,ACC
technology,accelerated_computing,US86800U3023,SUPER MICRO COMPUTER INC,9,"Proporciona infraestructura de servidores y almacenamiento diseñada para soportar cargas de trabajo de computación de alto rendimiento e inteligencia artificial, cruciales para acelerar las tareas computacionales.","El compromiso de SMCI con la Computación Acelerada es evidente en su enfoque en servidores GPU, computación de alto rendimiento (HPC) y soluciones a escala de rack, que son impulsores clave del aumento de las ventas netas. El compromiso de la empresa se ve subrayado por su dedicación a ofrecer innovación de primer mercado para la infraestructura de TI de IA, reconociendo que el creciente uso de IA requiere capacidades mejoradas en los centros de datos, lo que aumenta sustancialmente la demanda de sus productos. Específicamente, la mayor demanda y facturación de GPU y Super Racks contribuyeron significativamente a las ventas netas de sistemas de servidores y almacenamiento, con un notable aumento interanual.","[{'name': 'smci-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smci-Q325-10-Q.html'}, {'name': 'smci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smci-Q125-10-Q.html'}, {'name': 'smci-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/smci-FY25-10-K.html'}, {'name': 'smci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smci-Q225-10-Q.html'}]",731466419,USD,SMCI,SMART,STK,True,ACC
technology,accelerated_computing,US21873S1087,COREWEAVE INC-CL A,10,"Proporciona infraestructura de nube especializada que aprovecha las GPU para potenciar aplicaciones de computación acelerada exigentes, particularmente en cargas de trabajo de inteligencia artificial y aprendizaje automático.","El enfoque de CoreWeave en la computación acelerada es evidente a través de la entrega a escala de las GPU de alto rendimiento de NVIDIA, incluidas GB200 NVL72 y HGX B200. La compañía fue la primera en implementar sistemas GB200 Grace Blackwell a escala en su plataforma de nube de IA, apoyando a los principales desarrolladores de IA, Mistral, IBM y Cohere. La infraestructura de CoreWeave está optimizada para IA y computación de alto rendimiento, como lo demuestra su uso de servidores GPU e infraestructura relacionada, financiada a través de líneas de crédito dedicadas. Este compromiso con la tecnología de vanguardia garantiza un rendimiento y una eficiencia superiores para los clientes, solidificando la computación acelerada como un componente clave de la ventaja competitiva y la estrategia de crecimiento de CoreWeave.","[{'name': 'crwv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crwv-Q125-10-Q.html'}, {'name': 'crwv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crwv-Q225-10-Q.html'}]",771759702,USD,CRWV,SMART,STK,False,ACC
