symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
LMT,defense and aerospace,aerospace_defense,US5398301094,LOCKHEED MARTIN CORP,1,"Desarrolla y fabrica sistemas avanzados de aeroespacial y defensa, incluidos aviones, sistemas de misiles y tecnologías espaciales, sirviendo como un proveedor global líder en la industria.","El negocio principal de Lockheed Martin está profundamente arraigado en la industria de Defensa Aeroespacial, ya que la empresa se identifica explícitamente como una empresa aeroespacial y de defensa global dedicada a la investigación, diseño, desarrollo, fabricación, integración y sostenimiento de sistemas, productos y servicios de tecnología avanzada. Esto se demuestra aún más por el hecho de que una parte significativa de sus ingresos se deriva del gobierno de EE. UU., en particular del Departamento de Defensa. La participación de la empresa en programas importantes como el F-35, junto con su enfoque en la integración de tecnologías avanzadas en diversas plataformas, refuerza su posición como un actor clave en el avance de las capacidades de defensa y solidifica su compromiso con el sector de defensa aeroespacial.","[{'name': 'lmt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q125-10-Q.html'}, {'name': 'lmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q225-10-Q.html'}, {'name': 'lmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lmt-FY24-10-K.html'}, {'name': 'lmt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q324-10-Q.html'}]",611191,USD,SMART,STK,True,AER
RTX,defense and aerospace,aerospace_defense,US75513E1010,RTX CORP,2,"Desarrolla y suministra sistemas, tecnologías y servicios aeroespaciales y de defensa avanzados, esenciales para la seguridad global y las operaciones militares.","RTX está fuertemente involucrada en las industrias aeroespacial y de defensa, posicionándose como un proveedor de sistemas de primer nivel. El negocio de defensa de la compañía atiende a clientes nacionales e internacionales, funcionando principalmente como contratista principal o subcontratista en numerosos programas de defensa. RTX enfatiza su compromiso con la defensa aeroespacial a través de menciones de propulsión adaptativa de próxima generación, radares LTAMDS y sistemas integrados de defensa aérea y antimisiles, destacando la innovación, la demanda estructural a largo plazo y las soluciones de seguridad críticas.","[{'name': 'rtx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q125-10-Q.html'}, {'name': 'rtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q324-10-Q.html'}, {'name': 'rtx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q225-10-Q.html'}, {'name': 'rtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rtx-FY24-10-K.html'}]",415342104,USD,SMART,STK,True,AER
BA,defense and aerospace,aerospace_defense,US0970231058,BOEING CO/THE,3,"Desarrolla y fabrica una amplia gama de productos aeroespaciales y sistemas de defensa, contribuyendo significativamente a la seguridad global y a las capacidades de poder aéreo.","La participación de Boeing en el tema de Defensa Aeroespacial se ve subrayada por su papel como líder del mercado mundial en aviones militares, satélites, defensa antimisiles y servicios relacionados. Esto se ejemplifica además en la selección de Boeing para diseñar, construir y entregar el avión de combate de próxima generación de la Fuerza Aérea de EE. UU., el F-47, un programa considerado un logro transformador que asegurará la franquicia de cazas de la compañía durante décadas. Los ingresos del segmento de Defensa, Espacio y Seguridad de la compañía reflejan una parte sustancial del negocio general de Boeing, respaldados por una demanda estable impulsada por las prioridades de seguridad nacional y las amenazas globales en evolución. Además, Boeing está gestionando activamente programas de desarrollo a precio fijo dentro de BDS para mejorar el rendimiento y mitigar riesgos futuros, demostrando un compromiso con el avance de las tecnologías y equipos de defensa.","[{'name': 'ba-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ba-FY24-10-K.html'}, {'name': 'ba-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q125-10-Q.html'}, {'name': 'ba-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q225-10-Q.html'}, {'name': 'ba-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q324-10-Q.html'}]",4762,USD,SMART,STK,True,AER
GE,defense and aerospace,aerospace_defense,US3696043013,GENERAL ELECTRIC,4,"Es un proveedor crítico de sistemas y componentes de propulsión avanzados para aeronaves militares y comerciales, contribuyendo significativamente a las capacidades aeroespaciales y de defensa globales.","La participación de GE Aerospace en la industria aeroespacial y de defensa es evidente a través de su segmento de Tecnologías de Defensa y Propulsión (DPT), que impulsa una parte significativa de las flotas de combate y helicópteros militares de EE. UU. Este segmento no solo se enfoca en los programas de defensa actuales, sino también en el desarrollo de tecnologías de misión crítica para el futuro, incluida la tecnología de vuelo de próxima generación para clientes de defensa. El compromiso de la empresa se ve aún más resaltado por los contratos con la Fuerza Aérea de EE. UU., como el contrato de 5 mil millones de dólares para motores F110, y su progreso en motores avanzados como el XA102 para el programa de Propulsión Adaptativa de Próxima Generación de la Fuerza Aérea de EE. UU. y el motor T901 para los helicópteros Black Hawk del Ejército de EE. UU.","[{'name': 'ge-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ge-FY24-10-K.html'}, {'name': 'ge-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ge-Q324-10-Q.html'}]",498843743,USD,SMART,STK,True,AER
NOC,defense and aerospace,aerospace_defense,US6668071029,NORTHROP GRUMMAN CORP,5,"Desarrolla y entrega sistemas aeroespaciales y de defensa avanzados, incluyendo aeronaves militares, naves espaciales y tecnologías de defensa estratégica, contribuyendo significativamente a la seguridad nacional y a las capacidades de defensa globales.","El fuerte compromiso de Northrop Grumman con el tema de Defensa Aeroespacial es evidente en su identificación explícita como una empresa líder mundial en tecnología aeroespacial y de defensa, que ofrece una amplia gama de productos, servicios y soluciones principalmente al Departamento de Defensa de EE. UU. y a la comunidad de inteligencia. La cartera de la empresa está estratégicamente alineada para apoyar las prioridades de seguridad nacional, con un enfoque en la provisión de capacidades críticas en áreas como la defensa antimisiles, armas avanzadas, sistemas de disuasión estratégica y sistemas espaciales. Además, Northrop Grumman enfatiza su papel en la abordaje de los desafíos de seguridad global a través de sus tecnologías avanzadas y soluciones integradas de hardware y software, incluidos programas clave como B-21 y Sentinel, lo que solidifica su posición como un actor clave en el sector de la defensa aeroespacial.","[{'name': 'noc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/noc-FY24-10-K.html'}, {'name': 'noc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q125-10-Q.html'}, {'name': 'noc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q324-10-Q.html'}, {'name': 'noc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q225-10-Q.html'}]",10376,USD,SMART,STK,True,AER
LHX,defense and aerospace,aerospace_defense,US5024311095,L3HARRIS TECHNOLOGIES INC,6,"Proporciona soluciones avanzadas de defensa y aeroespacial, incluidos sistemas de comunicación, sensores y capacidades de guerra electrónica, cruciales para las operaciones militares modernas.","La participación de L3Harris en la industria de Defensa Aeroespacial es significativa, como lo demuestra su alineación con las prioridades de seguridad nacional de EE. UU., incluida la superioridad espacial y la modernización de sistemas de misiles críticos. La empresa se identifica como el 'Disruptor de confianza en la industria de defensa' y ofrece soluciones tecnológicas de extremo a extremo en los dominios espacial, aéreo, terrestre, marítimo y cibernético en aras de la seguridad nacional. Además, L3Harris participa activamente en iniciativas clave como Golden Dome, con capacidades en alerta, seguimiento y discriminación de misiles, y se está preparando para desplegar una constelación completa de satélites HBTSS para detectar amenazas hipersónicas, lo que demuestra un fuerte compromiso con este sector.","[{'name': 'lhx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lhx-FY24-10-K.html'}, {'name': 'lhx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q225-10-Q.html'}, {'name': 'lhx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q125-10-Q.html'}, {'name': 'lhx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q324-10-Q.html'}]",371886040,USD,SMART,STK,True,AER
GD,defense and aerospace,aerospace_defense,US3695501086,GENERAL DYNAMICS CORP,7,"Proporciona una cartera integral de productos y servicios aeroespaciales y de defensa, incluidos vehículos de combate, buques navales y soluciones de tecnología de la información, esenciales para la seguridad global y las operaciones militares.","La participación de General Dynamics en el tema de Defensa Aeroespacial es evidente a través de su identidad como una empresa aeroespacial y de defensa global, que obtiene aproximadamente el 70% de sus ingresos del gobierno de EE. UU., particularmente del gasto en defensa. Esto se ve aún más enfatizado por la mayor demanda de sus productos y servicios, especialmente dentro del segmento de Sistemas de Combate, debido al conflicto Rusia-Ucrania y al entorno de amenazas globales intensificado. El enfoque de la empresa se extiende a programas clave como los programas de submarinos clase Columbia y clase Virginia, junto con una mayor demanda de productos de artillería, lo que demuestra su papel integral en las iniciativas de defensa de EE. UU.","[{'name': 'gd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q125-10-Q.html'}, {'name': 'gd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q324-10-Q.html'}, {'name': 'gd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q225-10-Q.html'}, {'name': 'gd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gd-FY24-10-K.html'}]",7496,USD,SMART,STK,True,AER
HON,defense and aerospace,aerospace_defense,US4385161066,HONEYWELL INTERNATIONAL INC,8,"Ofrece una cartera integral de aviónica avanzada, motores, sistemas mecánicos y tecnologías de defensa que son fundamentales para el rendimiento y la seguridad de las aeronaves en los sectores comercial, de negocios y militar.","El segmento de Tecnologías Aeroespaciales de Honeywell demuestra una fuerte conexión con el tema de Defensa Aeroespacial, subrayada por su posición de liderazgo en la industria como proveedor de sistemas de misión crítica en verticales y plataformas aeroespaciales. Esto está respaldado además por un amplio ciclo alcista en el sector aeroespacial y de defensa. El enfoque de la compañía es evidente a través del aumento de las ventas en el sector de Defensa y Espacio, impulsado por mayores volúmenes de ventas debido al aumento de los envíos, y el segmento ha experimentado un crecimiento de dos dígitos. Este compromiso también se refleja en movimientos estratégicos, como las adquisiciones de CAES y Civitanavi Systems, que han contribuido significativamente a las ventas.","[{'name': 'hon-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q125-10-Q.html'}, {'name': 'hon-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q324-10-Q.html'}, {'name': 'hon-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q225-10-Q.html'}]",4350,USD,SMART,STK,True,AER
HII,defense and aerospace,aerospace_defense,US4464131063,HUNTINGTON INGALLS INDUSTRIE,9,"Sirve como un proveedor crítico de soluciones de defensa, contribuyendo significativamente a la seguridad nacional a través de su papel principal en la fabricación y mantenimiento de buques navales y otros sistemas de defensa.","Huntington Ingalls Industries (HII) opera como un socio de defensa global, de todos los dominios, entregando buques y tecnologías navales para salvaguardar los mares, el cielo, la tierra, el espacio y los dominios cibernéticos de Estados Unidos. La empresa realiza la mayor parte de su negocio con el Gobierno de los Estados Unidos, en particular con el Departamento de Defensa, participando en programas de defensa prioritarios de los Estados Unidos. Esto se apoya además en la adjudicación de contratos por valor de $11.9 mil millones, incluyendo proyectos como DDG 145 y 146, LPD 33 y submarinos Block V, junto con inversiones en desarrollo de la fuerza laboral e inserción tecnológica. El segmento de Tecnologías de Misión de HII también se especializa en servicios y productos, incluyendo ciberseguridad, guerra electrónica y espacio, contribuyendo a la participación de la empresa en el sector de defensa aeroespacial.","[{'name': 'hii-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hii-Q125-10-Q.html'}, {'name': 'hii-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hii-Q225-10-Q.html'}, {'name': 'hii-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hii-FY24-10-K.html'}, {'name': 'hii-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hii-Q324-10-Q.html'}]",86033355,USD,SMART,STK,True,AER
ATI,defense and aerospace,aerospace_defense,US01741R1023,ATI INC,10,"Proporciona materiales especializados de alto rendimiento, incluidas aleaciones a base de titanio y níquel, esenciales para componentes críticos en aplicaciones aeroespaciales y de defensa.","El sector aeroespacial y de defensa es un mercado crítico para ATI, como lo demuestra su importante contribución a los ingresos y su enfoque estratégico. La empresa identifica consistentemente el sector aeroespacial y de defensa como su mercado más grande, representando una parte significativa de las ventas totales, a menudo alrededor del 66%. Este liderazgo en el mercado se ve reforzado por el hecho de que una gran parte de los ingresos de los segmentos HPMC y AA&S proviene del sector aeroespacial y de defensa, y el enfoque del segmento HPMC es maximizar el crecimiento de materiales y componentes para motores a reacción. Además, la evolución estratégica de ATI se valida con la reclasificación de su código GICS a aeroespacial y de defensa, lo que resalta su compromiso con este sector.","[{'name': 'ati-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ati-Q125-10-Q.html'}, {'name': 'ati-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ati-Q324-10-Q.html'}, {'name': 'ati-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ati-FY24-10-K.html'}]",1946967,USD,SMART,STK,True,AER
