type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,aerospace_materials,US01741R1023,ATI INC,1,"Desarrolla y suministra materiales avanzados críticos para la industria aeroespacial, contribuyendo significativamente al rendimiento y la innovación de las aplicaciones aeroespaciales.","El compromiso de ATI con los Materiales Aeroespaciales es evidente a través de su papel como proveedor crítico de materiales y componentes especializados técnicamente avanzados. El mercado más grande de la empresa es aeroespacial y de defensa, lo que representa una parte significativa de las ventas, con productos para motores a reacción y fuselajes. ATI ha asegurado acuerdos a largo plazo con actores importantes como Boeing y Airbus, suministrando titanio, aceros especiales y forjas, incluidos materiales de su operación de láminas de aleación de titanio. Además, ATI es un proveedor único para aleaciones críticas en motores a reacción, lo que destaca su importancia en la cadena de suministro aeroespacial.","[{'name': 'ati-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ati-Q324-10-Q.html'}, {'name': 'ati-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ati-FY24-10-K.html'}, {'name': 'ati-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ati-Q125-10-Q.html'}]",1946967,USD,ATI,SMART,STK,True,AE1
industrial,aerospace_materials,US4282911084,HEXCEL CORP,2,"Desarrolla y fabrica materiales y estructuras compuestas avanzadas, sirviendo como proveedor principal para aplicaciones críticas dentro de la industria aeroespacial.","El negocio de Hexcel se centra en materiales aeroespaciales, en particular compuestos avanzados y ligeros, como lo demuestra su amplia gama de productos que incluyen fibra de carbono, preimpregnados y núcleos de ingeniería, que atienden tanto a programas comerciales como militares. La empresa enfatiza su posición como líder mundial en esta tecnología, respaldada por una sólida propiedad intelectual y relaciones de larga data con actores clave de la industria aeroespacial como Embraer y Kongsberg. La dedicación de Hexcel a los materiales aeroespaciales se evidencia aún más en su innovación continua a través de inversiones en investigación y tecnología destinadas a desarrollar productos de próxima generación y su presencia manufacturera tanto en EE. UU. como en Europa para apoyar a los clientes de defensa.","[{'name': 'hxl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hxl-Q225-10-Q.html'}, {'name': 'hxl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hxl-Q125-10-Q.html'}, {'name': 'hxl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hxl-Q324-10-Q.html'}]",611167,USD,HXL,SMART,STK,True,AE1
industrial,aerospace_materials,US0970231058,BOEING CO/THE,3,"Utiliza y exige una amplia gama de materiales aeroespaciales avanzados para su extensa fabricación de aeronaves, influyendo así en el desarrollo de materiales y las cadenas de suministro dentro de la industria.",,,4762,USD,BA,SMART,STK,True,AE1
industrial,aerospace_materials,US75513E1010,RTX CORP,4,"Desarrolla y utiliza materiales avanzados para sus productos aeroespaciales, incluidos motores y componentes estructurales, lo que contribuye significativamente a la innovación y el rendimiento en la industria.","El compromiso de RTX con el tema de Materiales Aeroespaciales es evidente a través de varios impactos operativos y financieros. La empresa enfrentó interrupciones en la cadena de suministro que afectaron la adquisición de materias primas, incluido el titanio, lo que generó mayores costos. Específicamente, las sanciones impuestas por el gobierno canadiense a entidades de propiedad rusa, de las cuales RTX obtiene titanio, resultaron en cargos significativos. Para mitigar estas interrupciones, Collins inició fuentes alternativas de titanio, incurriendo en cargos adicionales, lo que destaca los esfuerzos de la empresa para asegurar los materiales necesarios en medio de una desafiante cadena de suministro global.","[{'name': 'rtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q324-10-Q.html'}, {'name': 'rtx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q125-10-Q.html'}, {'name': 'rtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rtx-FY24-10-K.html'}]",415342104,USD,RTX,SMART,STK,True,AE1
industrial,aerospace_materials,US1442851036,CARPENTER TECHNOLOGY,5,Implica el desarrollo y suministro de materiales avanzados esenciales para aplicaciones aeroespaciales.,"El compromiso de Carpenter Technology con el tema de los materiales aeroespaciales es evidente a través de su producción y distribución de aleaciones especiales premium, incluidas aleaciones de titanio, que son esenciales para aplicaciones críticas en las industrias aeroespacial y de defensa. La empresa es un líder reconocido en el suministro de materiales de aleaciones de alto rendimiento y soluciones de procesos adaptados para estos sectores. Carpenter Technology apoya a los fabricantes de equipos originales en motores de futuras generaciones con ventas de materiales avanzados, y tiene un contenido significativo en todas las plataformas de motores a reacción comerciales. El mercado de uso final aeroespacial y de defensa representa aproximadamente el 60% de sus ingresos.","[{'name': 'crs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q225-10-Q.html'}, {'name': 'crs-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q325-10-Q.html'}, {'name': 'crs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q125-10-Q.html'}, {'name': 'crs-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crs-FY25-10-K.html'}]",6077,USD,CRS,SMART,STK,True,AE1
industrial,aerospace_materials,JP3621000003,TORAY INDUSTRIES INC,6,Es un contribuyente destacado al tema de Materiales Aeroespaciales.,,,13905374,JPY,3402,SMART,STK,False,AE1
industrial,aerospace_materials,US4432011082,HOWMET AEROSPACE INC,7,Contribuye al sector de materiales aeroespaciales proporcionando productos de ingeniería de alto rendimiento y aleaciones avanzadas esenciales para la fabricación de aeronaves y motores.,"La participación de Howmet en el tema de Materiales Aeroespaciales es evidente a través de su posición como líder mundial en ingeniería y fabricación de metales ligeros, donde produce productos innovadores de materiales múltiples, incluidos níquel, titanio, aluminio y cobalto, para el mercado aeroespacial. El segmento de Estructuras de Ingeniería enfatiza aún más este enfoque, produciendo lingotes de titanio y productos de molino para aplicaciones aeroespaciales y de defensa, así como forjas de aluminio y níquel. Este segmento está integrado verticalmente para proporcionar forjas de titanio, extrusiones y servicios de mecanizado para componentes críticos de fuselaje, alas, motores a reacción y trenes de aterrizaje, lo que demuestra el papel significativo de Howmet en el suministro de materiales especializados a la industria aeroespacial.","[{'name': 'hwm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hwm-Q324-10-Q.html'}, {'name': 'hwm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hwm-FY24-10-K.html'}]",403121976,USD,HWM,SMART,STK,True,AE1
industrial,aerospace_materials,US5398301094,LOCKHEED MARTIN CORP,8,"Utiliza materiales aeroespaciales avanzados en el desarrollo y fabricación de su diversa cartera de aeronaves, naves espaciales y sistemas de defensa, impulsando la innovación y la demanda dentro del sector.",,,611191,USD,LMT,SMART,STK,True,AE1
industrial,aerospace_materials,US3696043013,GENERAL ELECTRIC,9,"Desarrolla y utiliza materiales avanzados en la producción de componentes aeroespaciales y motores a reacción críticos, impulsando la innovación en rendimiento y eficiencia para el sector de la aviación.",,,498843743,USD,GE,SMART,STK,True,AE1
industrial,aerospace_materials,BE0003470755,SOLVAY SA,10,Proporciona materiales avanzados y productos químicos especializados esenciales para la fabricación y el rendimiento de componentes aeroespaciales.,,,228869,EUR,SOLB,SMART,STK,False,AE1
