industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
RE,AFF,FMCC,real estate,affordable_housing,US3134003017,FREDDIE MAC,1,"Apoya el mercado de la vivienda asequible proporcionando liquidez a los prestamistas, facilitando la disponibilidad de hipotecas para prestatarios de ingresos bajos y moderados.","La misión principal de Freddie Mac, como GSE, es proporcionar liquidez, estabilidad y asequibilidad al mercado de la vivienda de EE. UU. Este compromiso es evidente en sus prioridades estratégicas, que incluyen la entrega de viviendas asequibles. Una parte importante de su actividad de nuevos negocios multifamiliares se dedica a viviendas asequibles impulsadas por la misión, superando el requisito mínimo de la FHFA; por ejemplo, aproximadamente el 72% de la actividad YTD 2025 se dirigió a viviendas asequibles, superando el umbral del 50%.","[{'name': 'fmcc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q225-10-Q.html'}, {'name': 'fmcc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmcc-Q125-10-Q.html'}, {'name': 'fmcc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fmcc-FY24-10-K.html'}]",7341,USD,SMART,STK
RE,AFF,FNMA,real estate,affordable_housing,US3135861090,FANNIE MAE,2,"Facilita el acceso a financiación hipotecaria asequible y apoya el mercado hipotecario secundario para garantizar la estabilidad de la vivienda y las oportunidades de propiedad de vivienda, especialmente para personas de ingresos bajos y moderados.","Fannie Mae demuestra su compromiso con la vivienda asequible a través de sus asignaciones exigidas por la Ley GSE, dirigiendo un porcentaje de las compras de nuevos negocios a fondos de HUD y del Tesoro. Específicamente, Fannie Mae pagó $160 millones a estos fondos en marzo de 2025 basándose en las compras de 2024 y reconoció un gasto de $74 millones en la primera mitad de 2025 relacionado con esta obligación. Estas asignaciones, aunque requeridas, apoyan la vivienda de alquiler asequible y se centran en mercados desatendidos, lo que refleja el papel de Fannie Mae en las iniciativas de vivienda asequible.","[{'name': 'fnma-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q125-10-Q.html'}, {'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}, {'name': 'fnma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnma-FY24-10-K.html'}]",7278,USD,SMART,STK
RE,AFF,SKY,real estate,affordable_housing,US8308301055,CHAMPION HOMES INC,3,"Se especializa en la producción de casas prefabricadas y modulares, abordando directamente la demanda de soluciones de vivienda asequibles y accesibles.","El enfoque de Skyline Champion en la vivienda asequible es evidente en sus iniciativas e inversiones estratégicas. La empresa tiene como objetivo explícito mejorar su capacidad para satisfacer la demanda de vivienda asequible, particularmente dada la creciente necesidad de soluciones de vivienda asequible debido al entorno económico actual. Este compromiso se refleja en su enfoque en crecer en mercados inmobiliarios sólidos en EE. UU. y Canadá, expandir productos y servicios para ofrecer soluciones más holísticas y asequibles a los compradores de viviendas, y colaborar con el Departamento de Vivienda y Desarrollo Urbano para expandir aún más la vivienda prefabricada.","[{'name': 'sky-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sky-Q225-10-Q.html'}, {'name': 'sky-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sky-Q325-10-Q.html'}, {'name': 'sky-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sky-Q126-10-Q.html'}]",12190,USD,SMART,STK
RE,AFF,DHI,real estate,affordable_housing,US23331A1097,DR HORTON INC,4,"Se centra en la construcción y entrega de soluciones de vivienda asequible en diversos mercados, haciendo que la propiedad de vivienda sea accesible para un amplio espectro de compradores.","El compromiso de D.R. Horton con el tema de la Vivienda Asequible es evidente en su enfoque estratégico para ofrecer viviendas de calidad a precios asequibles, adaptar las ofertas de productos y utilizar incentivos de ventas para satisfacer las demandas del mercado. La compañía introduce planes más pequeños en los mercados y ajusta los precios de las viviendas para mantener la asequibilidad para los compradores de viviendas. También se dirige a los compradores de viviendas de primer nivel con ofertas de productos asequibles y gestiona los precios de las viviendas y los incentivos de ventas en función del nivel de demanda de los compradores de viviendas. Si bien la oferta de viviendas a precios asequibles es limitada, D.R. Horton se esfuerza por mantenerse bien posicionado con ofertas de productos asequibles y un suministro flexible de lotes.","[{'name': 'dhi-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q325-10-Q.html'}, {'name': 'dhi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhi-Q125-10-Q.html'}, {'name': 'dhi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dhi-FY24-10-K.html'}]",268627,USD,SMART,STK
RE,AFF,CVCO,real estate,affordable_housing,US1495681074,CAVCO INDUSTRIES INC.,5,"Fabrica casas prefabricadas, proporcionando soluciones de vivienda accesibles y rentables para satisfacer la demanda de viviendas asequibles.","El negocio de Cavco está estrechamente ligado al tema de la vivienda asequible, ya que la empresa se enfoca en la vivienda prefabricada como una solución clave para la crisis de vivienda, ofreciendo alternativas de menor costo a las casas construidas en el sitio que son competitivas con la vivienda de alquiler. Apoyan activamente la preservación y el desarrollo comunitario, incluida la provisión de programas de préstamos basados en el consumidor a través de CountryPlace para facilitar la propiedad de viviendas asequibles. Cavco también participa en actividades de promoción, trabajando con asociaciones comerciales de la industria y GSE para promover acciones legislativas favorables que aborden las necesidades de financiamiento de los compradores de viviendas asequibles, y aprovechan los créditos fiscales para viviendas energéticamente eficientes para reducir aún más los costos.","[{'name': 'cvco-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvco-FY25-10-K.html'}, {'name': 'cvco-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvco-Q126-10-Q.html'}, {'name': 'cvco-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvco-Q325-10-Q.html'}, {'name': 'cvco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvco-Q225-10-Q.html'}]",18844613,USD,SMART,STK
RE,AFF,RKT,real estate,affordable_housing,US77311W1018,ROCKET COS INC-CLASS A,6,"Proporciona soluciones de financiación de vivienda accesibles, incluidas hipotecas para una amplia gama de niveles de ingresos, lo que contribuye a un mayor acceso a la propiedad de vivienda y a iniciativas de vivienda asequible.","La compañía demuestra su enfoque en la vivienda asequible a través de la introducción de programas diseñados para facilitar la transición a la propiedad de vivienda. Específicamente, RentRewards ofrece a los inquilinos un crédito promocional, mientras que 1-0 Rate Break reduce las tasas hipotecarias durante el primer año. Estas iniciativas están diseñadas para abordar las barreras de asequibilidad y resonar con los compradores potenciales, lo que genera un aumento en los clientes de compra minorista con préstamos bloqueados. Al intentar activamente abordar los problemas de asequibilidad con programas como RentRewards y 1-0 Rate Break, la compañía está haciendo que la propiedad de vivienda sea más accesible para los compradores primerizos.",,438058842,USD,SMART,STK
RE,AFF,LEN,real estate,affordable_housing,US5260571048,LENNAR CORP-A,7,Proporciona desarrollos de viviendas que atienden al segmento de Viviendas Asequibles.,"Lennar reconoce la necesidad crítica de viviendas asequibles, y los ejecutivos señalan que los alcaldes y gobernadores están priorizando la escasez y asequibilidad de la vivienda. Lennar está trabajando activamente para abordar estos problemas centrándose en el volumen de construcción y suministrando al mercado productos asequibles, con el objetivo de reducir costos a través de estructuras eficientes. La empresa también está explorando incentivos y reducciones de hipotecas para cumplir los objetivos de asequibilidad y normalizar el equilibrio entre la oferta y la demanda, al tiempo que se centra en cómo construir y entregar viviendas a un nivel más asequible.","[{'name': 'len-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/len-Q324-10-Q.html'}]",9091,USD,SMART,STK
RE,AFF,MTH,real estate,affordable_housing,US59001A1025,MERITAGE HOMES CORP,8,"Construye y vende viviendas diseñadas para ser accesibles a un mayor número de compradores, contribuyendo a la disponibilidad de opciones de vivienda asequible.","El enfoque de la empresa en la vivienda asequible es evidente en su estrategia comercial principal, que se centra en proporcionar viviendas asequibles y listas para mudarse, especialmente a compradores de primera vivienda y que se mudan, así como a millennials, Gen Z y baby boomers. Esta estrategia está respaldada por iniciativas para entregar viviendas asequibles en un plazo más corto a través de procesos de producción optimizados y el mantenimiento de un inventario adecuado. La empresa también aprovecha diversas herramientas, como la reducción de tasas y la optimización de activos locales, para abordar las preocupaciones de asequibilidad y competir con el mercado de reventa ofreciendo viviendas con cómodos pagos hipotecarios mensuales y un compromiso de cierre de 60 días.","[{'name': 'mth-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mth-FY24-10-K.html'}, {'name': 'mth-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q324-10-Q.html'}, {'name': 'mth-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q125-10-Q.html'}, {'name': 'mth-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q225-10-Q.html'}]",2586041,USD,SMART,STK
RE,AFF,PHM,real estate,affordable_housing,US7458671010,PULTE GROUP INC,9,"Desempeña un papel importante en la expansión de opciones de vivienda asequible, haciendo que la propiedad de vivienda sea accesible para una diversa gama de compradores.",,,11109,USD,SMART,STK
RE,AFF,SUI,real estate,affordable_housing,US8666741041,SUN COMMUNITIES INC,10,Se enfoca en proporcionar opciones de vivienda asequible a través de su cartera de comunidades de viviendas prefabricadas.,"La empresa demuestra una fuerte conexión con el tema de Vivienda Asequible, principalmente a través de su enfoque en comunidades de casas prefabricadas (MH), que están diseñadas explícitamente para ofrecer vivienda asequible a individuos y familias. El CEO ha enfatizado las oportunidades a largo plazo dentro del segmento de MH, citando fundamentos sólidos que impulsan la demanda de vivienda asequible y restricciones persistentes en la oferta. Este compromiso se evidencia aún más por la asignación estratégica de la empresa de aproximadamente $1 mil millones para posibles adquisiciones fiscalmente eficientes de activos y carteras de MH de alta calidad, así como su participación activa en la comercialización, venta y arrendamiento de viviendas dentro de estas comunidades.","[{'name': 'sui-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sui-Q125-10-Q.html'}, {'name': 'sui-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sui-Q225-10-Q.html'}, {'name': 'sui-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sui-FY24-10-K.html'}]",12485,USD,SMART,STK
