symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
MOS,AGR,industrial,agricultural_chemicals,US61945C1036,MOSAIC CO/THE,1,"Es un productor mundial líder de nutrientes concentrados de fosfato y potasa para cultivos, que son productos químicos agrícolas esenciales vitales para mejorar la salud del suelo y maximizar los rendimientos de los cultivos en todo el mundo.","El negocio de Mosaic está significativamente ligado a la industria de productos químicos agrícolas, principalmente a través de la producción y venta de fertilizantes a base de fosfato y potasa. Los resultados financieros de la empresa se ven fuertemente influenciados por los volúmenes de ventas, los precios y los costos de producción de estos fertilizantes, como lo demuestran las discusiones detalladas de los segmentos de Fosfato y Mosaic Fertilizantes. Además, Mosaic invierte considerablemente en gastos de capital para apoyar la producción y el suministro de estos productos químicos, y trabaja activamente para normalizar la producción de fosfato y los costos operativos, al tiempo que amplía las capacidades de producción de potasa. El enfoque de la empresa en los fundamentos de los fertilizantes y sus perspectivas de mercado, que siguen siendo positivas debido a la fuerte demanda de fertilizantes, demuestran aún más su fuerte compromiso con la industria de productos químicos agrícolas.","[{'name': 'mos-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mos-Q324-10-Q.html'}, {'name': 'mos-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mos-Q125-10-Q.html'}, {'name': 'mos-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mos-Q225-10-Q.html'}]",88292752,USD,SMART,STK
CTVA,AGR,industrial,agricultural_chemicals,US22052L1044,CORTEVA INC,2,Desarrolla y proporciona productos químicos agrícolas avanzados para la protección de cultivos y la mejora de la productividad agrícola.,"El compromiso de Corteva con el tema de Productos Químicos Agrícolas es evidente a través de su segmento de Protección de Cultivos, dedicado a proporcionar productos que protegen contra malezas, insectos, plagas y enfermedades. El negocio de Protección de Cultivos de la empresa implica inherentemente la producción y el suministro de productos químicos agrícolas, incluidos herbicidas, insecticidas, fungicidas y estabilizadores de nitrógeno. Este segmento es fundamental para la productividad agrícola y está respaldado por el Programa de Reestructuración de la Estrategia de Operaciones de Protección de Cultivos, que tiene como objetivo optimizar la red de fabricación y socios externos de la empresa. El liderazgo de la empresa en herbicidas, insecticidas y estabilizadores de nitrógeno subraya aún más la importancia de los productos químicos agrícolas para sus operaciones.","[{'name': 'ctva-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctva-Q125-10-Q.html'}, {'name': 'ctva-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctva-Q225-10-Q.html'}, {'name': 'ctva-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctva-Q324-10-Q.html'}, {'name': 'ctva-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ctva-FY24-10-K.html'}]",366239371,USD,SMART,STK
CF,AGR,industrial,agricultural_chemicals,US1252691001,CF INDUSTRIES HOLDINGS INC,3,"Se centra en la producción y distribución de productos químicos agrícolas, desempeñando un papel crucial en la nutrición global de los cultivos.","CF Industries demuestra una fuerte conexión con el tema de los productos químicos agrícolas, principalmente a través de su producción y venta de fertilizantes a base de nitrógeno. El producto principal de la compañía, el amoníaco anhidro, y sus derivados como la urea granular y el UAN, se utilizan predominantemente como fertilizantes nitrogenados, esenciales para el crecimiento de los cultivos. El enfoque de la compañía en la dinámica de la oferta y la demanda de nitrógeno, la economía de los agricultores y la gestión de inventarios enfatiza aún más la importancia de los productos químicos agrícolas para su negocio, con la mayoría de sus productos de amoníaco y derivados del amoníaco utilizándose como fertilizantes.","[{'name': 'cf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cf-Q324-10-Q.html'}, {'name': 'cf-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cf-Q225-10-Q.html'}, {'name': 'cf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cf-Q125-10-Q.html'}, {'name': 'cf-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cf-FY24-10-K.html'}]",35447205,USD,SMART,STK
FMC,AGR,industrial,agricultural_chemicals,US3024913036,FMC CORP,4,"Se enfoca en el desarrollo y suministro de soluciones de protección de cultivos, contribuyendo significativamente a la productividad agrícola global y al manejo de plagas.","FMC Corporation opera como una empresa global de ciencias agrícolas, desarrollando, comercializando y vendiendo insecticidas, herbicidas y fungicidas, que son las tres clases principales de productos químicos para la protección de cultivos. El enfoque de la empresa se extiende al descubrimiento de nuevos ingredientes activos, formulaciones de productos y tecnologías, junto con la gestión de costos, precios y acceso al mercado para estos productos químicos. La participación de FMC también incluye productos biológicos, nutrición de cultivos y tratamiento de semillas, agrupados bajo salud vegetal, con estrategias en torno a la gestión de costos, precios y acceso al mercado para estos productos químicos.","[{'name': 'fmc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmc-Q225-10-Q.html'}, {'name': 'fmc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmc-Q125-10-Q.html'}, {'name': 'fmc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fmc-Q324-10-Q.html'}, {'name': 'fmc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fmc-FY24-10-K.html'}]",7238,USD,SMART,STK
BAYN,AGR,industrial,agricultural_chemicals,DE000BAY0017,BAYER AG-REG,5,"Desarrolla y suministra una cartera integral de productos de protección de cultivos, semillas y soluciones de agricultura digital, contribuyendo a la productividad y sostenibilidad agrícola mundial.",,,68598660,EUR,SMART,STK
NTR,AGR,industrial,agricultural_chemicals,CA67077M1086,NUTRIEN LTD,6,"Es un proveedor líder de productos químicos agrícolas, que ofrece una cartera integral de nutrientes para cultivos y soluciones de protección de cultivos cruciales para la producción mundial de alimentos.",,,301035664,CAD,SMART,STK
BAS,AGR,industrial,agricultural_chemicals,DE000BASF111,BASF SE,7,"Participa en la producción e innovación de productos químicos agrícolas, ofreciendo una cartera integral de productos de protección de cultivos que respaldan la producción mundial de alimentos.",,,77680640,EUR,SMART,STK
YAR,AGR,industrial,agricultural_chemicals,NO0010208051,YARA INTERNATIONAL ASA,8,"Un productor y proveedor clave de productos químicos agrícolas esenciales, principalmente fertilizantes, que contribuye significativamente a la nutrición mundial de cultivos y a la eficiencia de la producción de alimentos.",,,28069521,NOK,SMART,STK
SMG,AGR,industrial,agricultural_chemicals,US8101861065,SCOTTS MIRACLE-GRO CO,9,"Desarrolla y comercializa productos para césped y jardín orientados al consumidor, incluidos fertilizantes y productos químicos para la protección de plantas, que contribuyen al mercado más amplio de productos químicos agrícolas.","La empresa demuestra exposición a la industria de Químicos Agrícolas a través de su segmento de Consumo en EE. UU., donde fabrica y comercializa productos de marca para césped y jardín. Específicamente, la empresa comercializa el fertilizante para césped Scotts® Turf Builder® y los productos herbicidas y pesticidas Ortho®. Además, la empresa es el agente exclusivo de Monsanto para la comercialización y distribución de ciertos productos de marca Roundup® de consumo dentro de los Estados Unidos y otros países especificados. La empresa también ofrece una línea orgánica ampliada Miracle-Gro y nuevas semillas de césped y fertilizantes naturales OM Scott.","[{'name': 'smg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smg-Q125-10-Q.html'}, {'name': 'smg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smg-Q225-10-Q.html'}, {'name': 'smg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/smg-FY24-10-K.html'}, {'name': 'smg-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/smg-Q325-10-Q.html'}]",274173,USD,SMART,STK
SDF,AGR,industrial,agricultural_chemicals,DE000KSAG888,K+S AG-REG,10,"Contribuye al sector de productos químicos agrícolas como productor líder de productos de potasa y magnesio, esenciales para la nutrición de las plantas y la salud del suelo, que son componentes vitales de los fertilizantes.",,,92297916,EUR,SMART,STK
