industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
agriculture,agricultural_processing,CH1300646267,BUNGE GLOBAL SA,1,"Desempeña un papel central en la industria global de procesamiento agrícola al transformar semillas oleaginosas y granos en productos de valor agregado para los mercados de alimentos, piensos y combustibles.","La participación de Bunge en el procesamiento agrícola es evidente a través de su segmento de Agribusiness, que abarca la compra, almacenamiento, transporte, procesamiento y venta de productos y materias primas agrícolas. El negocio principal de la empresa implica el procesamiento de productos básicos agrícolas como el triturado y la molienda de soja, con discusiones centradas en los resultados del procesamiento, los márgenes y los proyectos de expansión. Bunge también está buscando activamente oportunidades para mejorar las redes de procesamiento y logística, con un enfoque en la tecnología para mejorar la eficiencia del procesamiento, incluyendo resultados de procesamiento mejores de lo esperado en América del Sur.","[{'name': 'bg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q324-10-Q.html'}, {'name': 'bg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q225-10-Q.html'}, {'name': 'bg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bg-FY24-10-K.html'}]",663174498,USD,BG,SMART,STK,True,AG1
agriculture,agricultural_processing,US0394831020,ARCHER-DANIELS-MIDLAND CO,2,"Desempeña un papel central en el procesamiento agrícola, transformando cultivos en alimentos, piensos, productos industriales y combustibles renovables para los mercados globales.","El compromiso de ADM con el procesamiento agrícola es fundamental para sus operaciones, ya que se identifica como un gestor y procesador esencial de la cadena de suministro agrícola global que proporciona seguridad alimentaria. Esto se refleja en sus segmentos de Servicios Agrícolas y Semillas Oleaginosas y Soluciones de Carbohidratos, que son principalmente negocios basados en productos básicos agrícolas. Las actividades de la compañía incluyen subsegmentos de trituración como soja y canola, soluciones de carbohidratos con almidones y edulcorantes, y molienda de trigo. ADM también se enfoca en optimizar su red, reacondicionar instalaciones como la planta Decatur East y alinear su base de activos con áreas comerciales críticas, lo que demuestra un compromiso con la excelencia en la cadena de suministro y la capacidad de producción.","[{'name': 'adm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q225-10-Q.html'}]",4165,USD,ADM,SMART,STK,True,AG1
agriculture,agricultural_processing,SG1T56930848,WILMAR INTERNATIONAL LTD,3,"Opera como una entidad líder en procesamiento agrícola, contribuyendo sustancialmente al sector.",,,47990698,SGD,F34,SGX,STK,False,AG1
agriculture,agricultural_processing,US9024941034,TYSON FOODS INC-CL A,4,"Procesa productos agrícolas, principalmente ganado, para suministrar una amplia gama de productos alimenticios a consumidores y empresas.",,,275405,USD,TSN,SMART,STK,True,AG1
agriculture,agricultural_processing,US8115431079,SEABOARD CORP,5,"Opera extensas instalaciones de procesamiento agrícola, transformando productos agrícolas crudos en diversos alimentos y piensos para la distribución mundial.",,,756577,USD,SEB,SMART,STK,False,AG1
agriculture,agricultural_processing,US4571871023,INGREDION INC,6,Procesa materias primas agrícolas en una amplia gama de soluciones de ingredientes para diversas industrias a nivel mundial.,,,107051249,USD,INGR,SMART,STK,True,AG1
agriculture,agricultural_processing,GB00BP92CJ43,TATE & LYLE PLC,7,"Procesa materias primas agrícolas en ingredientes alimentarios y de bebidas, contribuyendo a la cadena de valor de los productos agrícolas.",,,559436965,GBP,TATE,SMART,STK,False,AG1
agriculture,agricultural_processing,FR0000120644,DANONE,8,"Se dedica al procesamiento agrícola extensivo para transformar materias primas en su diversa cartera de productos lácteos, de origen vegetal y de nutrición especializada.",,,6579874,CHF,DAN,SMART,STK,False,AG1
agriculture,agricultural_processing,GB00B10RZP78,UNILEVER PLC,9,"Impulsa la demanda y utiliza ampliamente ingredientes agrícolas procesados en su cartera global de productos alimenticios, de bebidas y de cuidado personal.",,,39234893,GBP,ULVR.OLD,SMART,STK,False,AG1
agriculture,agricultural_processing,US2372661015,DARLING INGREDIENTS INC,10,"Procesa subproductos agrícolas y residuos de alimentos en ingredientes sostenibles y energía renovable, contribuyendo a la eficiencia de los recursos dentro de la cadena de suministro agrícola.",,,6604385,USD,DAR,SMART,STK,True,AG1
agriculture,agricultural_processing,US5132721045,LAMB WESTON HOLDINGS INC,11,"Se centra en el procesamiento de productos agrícolas, principalmente patatas, en diversos productos alimenticios congelados para su distribución mundial.","La participación de Lamb Weston en la industria de Procesamiento Agrícola es central para sus operaciones, como lo demuestra su posición como uno de los principales productores, distribuidores y comercializadores mundiales de productos de patata congelada de valor agregado. El negocio principal de la compañía implica la transformación de patatas crudas en productos congelados procesados, con las patatas fritas representando la mayoría de su cartera de productos. Este procesamiento incluye la operación de instalaciones en múltiples países y empresas conjuntas de procesamiento de patatas, lo que solidifica aún más el enfoque de la compañía en el procesamiento agrícola.","[{'name': 'lw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lw-Q225-10-Q.html'}, {'name': 'lw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lw-Q125-10-Q.html'}]",253184108,USD,LW,SMART,STK,True,AG1
agriculture,agricultural_processing,US3703341046,GENERAL MILLS INC,12,Contribuye a la industria del procesamiento agrícola.,,,7616,USD,GIS,SMART,STK,True,AG1
agriculture,agricultural_processing,US72147K1088,PILGRIM'S PRIDE CORP,13,"Se especializa en el procesamiento agrícola de aves de corral, transformando materias primas en diversos productos alimenticios para los mercados minorista y de servicios de alimentos.",,,71395583,USD,PPC,SMART,STK,True,AG1
agriculture,agricultural_processing,US4404521001,HORMEL FOODS CORP,14,"Procesa una variedad de materias primas agrícolas para producir sus productos alimenticios, sirviendo como un participante clave en el sector del procesamiento agrícola.","La participación de Hormel en el procesamiento agrícola es evidente a través de su transformación de materias primas agrícolas en productos alimenticios de marca, incluyendo proteínas preparadas premium, tocino y salchicha de desayuno. Esto está respaldado por gastos de capital asignados a capacidad de valor agregado, como la transición de cosecha a capacidad de valor agregado para los productos Hormel® Fire Braised® y Applegate® en la instalación de Barron, Wisconsin. El enfoque de la empresa en esta transición resalta su participación en la conversión de materias primas en productos terminados, lo cual es central para sus operaciones.","[{'name': 'hrl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hrl-Q125-10-Q.html'}]",8153,USD,HRL,SMART,STK,True,AG1
agriculture,agricultural_processing,US2058871029,CONAGRA BRANDS INC,15,Utiliza extensas operaciones de procesamiento agrícola para transformar materias primas en su diversa cartera de productos alimenticios de marca.,,,5402,USD,CAG,SMART,STK,True,AG1
agriculture,agricultural_processing,JP3676800000,NISSHIN SEIFUN GROUP INC,16,"Procesa materias primas agrícolas, en particular granos, en una variedad de productos alimenticios e ingredientes, contribuyendo al sector de procesamiento de alimentos.",,,13905294,JPY,2002,SMART,STK,False,AG1
agriculture,agricultural_processing,US7374461041,POST HOLDINGS INC,17,"Implica el procesamiento de materias primas agrícolas en una diversa cartera de productos envasados para el consumidor, que incluyen cereales, huevos y otros productos alimenticios.",,,100547520,USD,POST,SMART,STK,True,AG1
agriculture,agricultural_processing,US0341641035,ANDERSONS INC/THE,18,Se involucra en la transformación de productos agrícolas a través de diversas actividades de procesamiento.,,,4726335,USD,ANDE,SMART,STK,True,AG1
agriculture,agricultural_processing,US7616241052,REX AMERICAN RESOURCES CORP,19,Implica el procesamiento de productos agrícolas.,,,11736,USD,REX,SMART,STK,True,AG1
agriculture,agricultural_processing,US4595061015,INTL FLAVORS & FRAGRANCES,20,Está involucrada con el tema de Procesamiento Agrícola.,,,8385,USD,IFF,SMART,STK,True,AG1
