industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
energy and utilities,agricultural_raw_materials,CH1300646267,BUNGE GLOBAL SA,1,"Se dedica a la obtención, procesamiento y distribución global de productos agrícolas esenciales, facilitando el movimiento de cultivos como oleaginosas y granos desde la granja hasta los mercados de consumo en todo el mundo.","La participación de Bunge en el tema de Materias Primas Agrícolas está profundamente arraigada en sus operaciones principales, ya que la empresa compra, almacena, transporta, procesa y vende activamente estas materias primas. Esto es evidente en el valor significativo de los inventarios de materias primas agrícolas, que incluyen soja, maíz y trigo, que son fácilmente convertibles en efectivo debido a sus características de materia prima. La dependencia del segmento de Agribusiness de estas materias primas se ve aún más resaltada por el impacto de su disponibilidad y los precios del mercado en la rentabilidad de la empresa, y la empresa también emplea estrategias de cobertura para gestionar las fluctuaciones de precios.","[{'name': 'bg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q225-10-Q.html'}, {'name': 'bg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q125-10-Q.html'}, {'name': 'bg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q324-10-Q.html'}, {'name': 'bg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bg-FY24-10-K.html'}]",663174498,USD,BG,SMART,STK,True,BA1
energy and utilities,agricultural_raw_materials,US0394831020,ARCHER-DANIELS-MIDLAND CO,2,"Facilita el comercio y procesamiento global de productos agrícolas mediante el abastecimiento, transporte y transformación de cultivos en productos alimenticios, forraje y productos industriales, sustentando así la cadena de suministro.","El compromiso de ADM con el tema de las Materias Primas Agrícolas es sustancial, derivado de su papel como gestor y procesador de la cadena de suministro agrícola global. Los segmentos de Servicios Agrícolas y Semillas Oleaginosas y Soluciones de Carbohidratos de la compañía son negocios principalmente basados en materias primas agrícolas, donde los precios de venta fluctúan en relación con los precios de las materias primas. ADM utiliza su base de activos global para originar y transportar materias primas agrícolas, conectando mercados en más de 190 países, y procesa maíz, semillas oleaginosas y trigo para diversos usos. Además, las llamadas de ganancias de ADM abordan frecuentemente temas como los márgenes de trituración de soja y canola, los niveles de existencias globales de soja y las políticas comerciales que afectan la harina y el aceite de canola, destacando la centralidad de las materias primas agrícolas en sus operaciones y rendimiento financiero.","[{'name': 'adm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q225-10-Q.html'}, {'name': 'adm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q324-10-Q.html'}, {'name': 'adm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adm-FY24-10-K.html'}]",4165,USD,ADM,SMART,STK,True,BA1
energy and utilities,agricultural_raw_materials,US2441991054,DEERE & CO,3,"Proporciona una gama completa de maquinaria y tecnología agrícola esenciales para el cultivo, la cosecha y el procesamiento de productos agrícolas, lo que impacta significativamente la producción mundial de alimentos.","El negocio de Deere se ve afectado por diversos factores que impactan el mercado agrícola, incluyendo los precios de los productos básicos, la superficie sembrada y los rendimientos de los cultivos, que influyen en los ingresos de los agricultores y su demanda de equipos. La empresa reconoce el impacto de los precios de los productos básicos en los fundamentos agrícolas, monitoreando los precios del trigo, la canola, el maíz y la soja en varias regiones, así como los aranceles sobre productos básicos como el café y los cítricos. Si bien los productos básicos agrícolas están a la vanguardia de la agenda de política comercial de la administración estadounidense, la inversión directa de la empresa en esta área no se menciona explícitamente, lo que indica un impacto indirecto en la empresa.","[{'name': 'de-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q125-10-Q.html'}, {'name': 'de-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q324-10-Q.html'}]",6393,USD,DE,SMART,STK,True,BA1
energy and utilities,agricultural_raw_materials,CA67077M1086,NUTRIEN LTD,4,"Desempeña un papel fundamental en el mercado de materias primas agrícolas al proporcionar insumos esenciales para cultivos, como potasa, nitrógeno y fosfato, que son vitales para la producción mundial de alimentos.",,,301035664,CAD,NTR,SMART,STK,False,BA1
energy and utilities,agricultural_raw_materials,JE00B4T3BW64,GLENCORE PLC,5,"Participa en la comercialización, procesamiento, comercialización y distribución mundial de productos agrícolas, desempeñando un papel importante en la cadena de suministro de granos, semillas oleaginosas y otras materias primas blandas.",,,88286963,GBP,GLEN,SMART,STK,False,BA1
energy and utilities,agricultural_raw_materials,US12572Q1058,CME GROUP INC,6,"Proporciona un mercado integral para la negociación de futuros y opciones de materias primas agrícolas, facilitando el descubrimiento de precios y la gestión de riesgos para los participantes en el sector agrícola mundial.","El negocio de CME Group se ve significativamente influenciado por los productos básicos agrícolas, como lo demuestran los récords trimestrales de volumen de todos los tiempos logrados en este sector. Esto se ve respaldado además por un crecimiento del 19% en los volúmenes del sector de productos básicos, con el negocio agrícola experimentando un año récord y un aumento del 23%. La compañía facilita la negociación de granos y oleaginosas, lácteos, madera y ganado, ofreciendo contratos de futuros y opciones sobre estos productos. El volumen diario promedio de productos básicos agrícolas es sustancial, con cifras específicas proporcionadas para maíz, soja y trigo, y los volúmenes generales de contratos de productos básicos han aumentado debido a la volatilidad del mercado y la incertidumbre climática.","[{'name': 'cme-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q125-10-Q.html'}, {'name': 'cme-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q324-10-Q.html'}, {'name': 'cme-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q225-10-Q.html'}, {'name': 'cme-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cme-FY24-10-K.html'}]",45127739,USD,CME,SMART,STK,True,BA1
energy and utilities,agricultural_raw_materials,SG1T56930848,WILMAR INTERNATIONAL LTD,7,"Es un grupo agroindustrial líder dedicado al cultivo, procesamiento y comercialización de una amplia gama de productos básicos agrícolas, que incluyen aceite de palma, azúcar y semillas oleaginosas.",,,47990698,SGD,F34,SGX,STK,False,BA1
energy and utilities,agricultural_raw_materials,NO0010208051,YARA INTERNATIONAL ASA,8,"Suministra productos cruciales para la nutrición de cultivos, como fertilizantes, que son fundamentales para mejorar el rendimiento y la calidad de los productos agrícolas a nivel mundial.",,,28069521,NOK,YAR,SMART,STK,False,BA1
energy and utilities,agricultural_raw_materials,US9024941034,TYSON FOODS INC-CL A,9,"Impulsa una demanda significativa de productos agrícolas, en particular de granos forrajeros, esenciales para sus operaciones de producción ganadera y procesamiento de carne a gran escala.","El negocio de Tyson Foods está significativamente entrelazado con las materias primas agrícolas, como lo demuestra su participación directa en la adquisición de granos y ganado para sus operaciones normales. La empresa utiliza activamente instrumentos financieros derivados, incluyendo forwards y opciones, como una estrategia clave para mitigar el impacto de las fluctuaciones de precios y asegurar el suministro de materias primas esenciales. Los costos de las materias primas agrícolas, como el ganado vivo, el cerdo y los ingredientes para piensos, influyen directamente en el desempeño financiero de la empresa, afectando particularmente la rentabilidad de sus segmentos de Carne de Res, Cerdo y Pollo, así como la producción doméstica de proteínas.","[{'name': 'tsn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsn-FY24-10-K.html'}]",275405,USD,TSN,SMART,STK,True,BA1
energy and utilities,agricultural_raw_materials,US61945C1036,MOSAIC CO/THE,10,"Produce y comercializa nutrientes concentrados de fosfato y potasa para cultivos, que son insumos esenciales para la producción agrícola mundial, apoyando así directamente el mercado de productos agrícolas.","El negocio de Mosaic está significativamente influenciado por la dinámica del mercado de productos agrícolas, como lo demuestra su enfoque en los fundamentos de los fertilizantes, particularmente el fosfato y la potasa. La empresa anticipa un entorno favorable para los productos agrícolas, impulsado por sólidos fundamentos de cultivos en todo el mundo, lo que incentiva a los agricultores a maximizar los rendimientos, aumentando así la demanda de fosfato y potasa. Mosaic también reconoce las limitaciones del lado de la oferta que afectan la demanda de fosfato y discute la fuerte demanda mundial de maíz y el aumento de los precios del maíz, así como los movimientos en los precios de la soja, lo que destaca la interconexión de los mercados de productos básicos y la demanda de fertilizantes.",,88292752,USD,MOS,SMART,STK,True,BA1
