symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
NVDA,TE,AIC,technology,ai_chips,US67066G1040,NVIDIA CORP,1,"Desarrolla y suministra los procesadores especializados líderes (GPU) que son fundamentales para acelerar las cargas de trabajo de inteligencia artificial, aprendizaje automático y aprendizaje profundo en industrias globales.","El compromiso de NVIDIA con los chips de IA es evidente en su enfoque en plataformas de computación y redes para centros de datos diseñadas para la computación acelerada y soluciones de IA, que impulsan un crecimiento de ingresos significativo. El desarrollo y despliegue de hardware específico para IA de la empresa, como las GPU Blackwell, los sistemas GB200 NVL y la plataforma Rubin (incluyendo la GPU Rubin y la CPU Vera), subrayan este énfasis. Además, las arquitecturas de NVIDIA como Hopper y Blackwell tienen una gran demanda, y Blackwell contribuye significativamente a los ingresos de computación para centros de datos, demostrando el compromiso y el éxito de la empresa en el mercado de chips de IA.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,SMART,STK
AMD,TE,AIC,technology,ai_chips,US0079031078,ADVANCED MICRO DEVICES,2,"Desarrolla aceleradores y procesadores de IA de alto rendimiento que impulsan diversas aplicaciones de inteligencia artificial, desde centros de datos hasta computación en el borde.","El compromiso de AMD con los chips de IA es evidente a través de su amplia cartera de aceleradores de IA, que incluyen CPUs, GPUs, APUs, DPUs, FPGAs y SmartNICs, diseñados para centros de datos. AMD generó más de $5 mil millones en ingresos de IA para centros de datos, y los ingresos netos de la compañía para centros de datos aumentaron significativamente, impulsados por las sólidas ventas de GPUs AMD Instinct y CPUs EPYC. Para mejorar sus capacidades de IA, AMD adquirió ZT Systems, con el objetivo de acelerar el diseño y la implementación de infraestructura de IA impulsada por AMD. Además, AMD está desarrollando activamente chips de IA de próxima generación, como las series MI350 y MI400, y se espera que la serie MI350 ofrezca un salto sustancial en el rendimiento de IA a través de su arquitectura CDNA 4, con planes de ofrecer nuevos aceleradores Instinct anualmente.","[{'name': 'amd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q125-10-Q.html'}, {'name': 'amd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amd-FY24-10-K.html'}, {'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}]",4391,USD,SMART,STK
INTC,TE,AIC,technology,ai_chips,US4581401001,INTEL CORP,3,Desarrolla y suministra una amplia gama de procesadores y chips especializados esenciales para potenciar aplicaciones de inteligencia artificial e impulsar la innovación en el sector de la IA.,"La participación de Intel en chips de IA es evidente a través de varias iniciativas estratégicas y lanzamientos de productos. La empresa está optimizando su hoja de ruta de productos para cargas de trabajo de IA, como lo demuestra el lanzamiento de procesadores Xeon 6 diseñados para potenciar las capacidades de IA y su selección como nodos anfitriones para los sistemas acelerados de IA de NVIDIA. El compromiso de Intel se demuestra aún más con el desarrollo y lanzamiento de chips específicos para IA como los aceleradores de IA Gaudi, la integración de unidades de procesamiento neuronal (NPU) en los procesadores Core Ultra y la introducción de PC con IA en el mercado. Este enfoque en la IA también se refleja en los esfuerzos de la empresa para desarrollar soluciones de IA de pila completa para clientes empresariales y optimizar productos para cargas de trabajo de IA emergentes.","[{'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}, {'name': 'intc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q225-10-Q.html'}, {'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}]",270639,USD,SMART,STK
2330,TE,AIC,technology,ai_chips,TW0002330008,TAIWAN SEMICONDUCTOR MANUFAC,4,"Fabrica semiconductores avanzados críticos para aplicaciones de inteligencia artificial, sirviendo como un socio de fundición fundamental para empresas que diseñan chips de IA en diversas industrias.",,,37928709,TWD,TWSE,STK
ARM,TE,AIC,technology,ai_chips,US0420682058,ARM HOLDINGS PLC-ADR,5,"Ofrece IP y arquitecturas de procesador fundamentales esenciales para el diseño y la implementación generalizada de chips de IA, particularmente en aplicaciones de IA de borde y sensibles a la energía.","La importancia de Arm en la industria de los chips de IA es evidente a través de su creciente adopción en implementaciones de nube de IA y centros de datos, particularmente con el superchip Grace Blackwell de NVIDIA que utiliza CPU Arm. La plataforma informática de Arm, que presenta la NPU Ethos-U85 y las CPU v9 con extensiones de matriz escalables, ofrece aceleración del rendimiento de IA y eficiencia energética. La tecnología de la empresa es integral para los avances de la IA, y los líderes tecnológicos integran estas capacidades de IA para una IA más rápida y eficiente en los teléfonos inteligentes, y silicio personalizado que impulsa la escala de la IA en la nube.",,653400472,USD,SMART,STK
005930,TE,AIC,technology,ai_chips,KR7005930003,SAMSUNG ELECTRONICS CO LTD,6,"Fabrica semiconductores avanzados de memoria y lógica, componentes esenciales para el desarrollo y funcionamiento de procesadores y sistemas de inteligencia artificial.",,,17382528,KRW,KSE,STK
ASML,TE,AIC,technology,ai_chips,NL0010273215,ASML HOLDING NV,7,Proporciona equipos avanzados de fotolitografía cruciales para la fabricación de semiconductores de alto rendimiento que impulsan las aplicaciones de inteligencia artificial.,,,117589399,EUR,SMART,STK
000660,TE,AIC,technology,ai_chips,KR7000660001,SK HYNIX INC,8,Ofrece soluciones de memoria de alto rendimiento vitales para potenciar los chips avanzados de inteligencia artificial y sus exigentes requisitos de procesamiento de datos.,,,17382246,KRW,KSE,STK
MSFT,TE,AIC,technology,ai_chips,US5949181045,MICROSOFT CORP,9,"Desarrolla y utiliza aceleradores de IA avanzados y silicio personalizado para potenciar sus servicios en la nube, plataformas de IA e integrar capacidades inteligentes en su extenso ecosistema de software y hardware.",,,272093,USD,SMART,STK
AVGO,TE,AIC,technology,ai_chips,US11135F1012,BROADCOM INC,10,Proporciona soluciones esenciales de redes de alto rendimiento y silicio personalizado que son críticas para potenciar la infraestructura avanzada de inteligencia artificial y los centros de datos.,"El énfasis estratégico de Broadcom en los chips de IA es evidente a través de su desarrollo y despliegue de aceleradores de IA personalizados (XPU) para clientes clave. Hock Tan destaca la creciente demanda de estos aceleradores, señalando que Broadcom ha asegurado más de $10 mil millones en pedidos de racks de IA basados en sus XPU y continúa ganando cuota de mercado. Este enfoque se refleja en los ingresos de semiconductores de IA de Broadcom, que alcanzaron los $5.2 mil millones en el tercer trimestre, impulsados significativamente por su negocio de XPU. Además, Broadcom está invirtiendo en I+D para optimizar algoritmos en modelos de lenguaje grandes, mejorando el rendimiento de sus aceleradores personalizados, y anticipa un crecimiento sostenido en los ingresos de semiconductores de IA hasta el año fiscal 2026.",,313130367,USD,SMART,STK
AAPL,TE,AIC,technology,ai_chips,US0378331005,APPLE INC,11,"Desarrolla silicio personalizado con motores neuronales integrados, lo que permite funcionalidades avanzadas de inteligencia artificial y aprendizaje automático en el dispositivo en su amplia gama de electrónica de consumo.","La participación de Apple en Chips de IA es evidente a través de sus esfuerzos estratégicos de abastecimiento y desarrollo interno. La compañía planea obtener un volumen significativo de chips, incluidos los avanzados, de varios estados, con una notable asociación con TSMC en Arizona. Además, Apple está integrando sus chips A18 de diseño propio y módems C1 en su buque insignia iPhone 16e, enfatizando la eficiencia energética y la personalización, lo que indica un movimiento hacia soluciones de chips propietarias para mejorar el rendimiento del producto y la experiencia del usuario.",,265598,USD,SMART,STK
