type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,ai_in_fintech,US92826C8394,VISA INC-CLASS A SHARES,1,"Utiliza inteligencia artificial de forma extensiva para la prevención de fraudes en tiempo real, optimizando el procesamiento de pagos y desarrollando soluciones financieras digitales seguras y avanzadas que potencian el ecosistema fintech en general.","La participación de Visa en IA en Fintech está impulsada significativamente por su adquisición estratégica de Featurespace, un desarrollador especializado en IA en tiempo real para la protección de pagos, por $ 946 millones. Esta adquisición demuestra un esfuerzo enfocado para integrar la IA en soluciones fintech centrales, particularmente en la mitigación de riesgos de fraude en pagos y delitos financieros. Subrayando aún más este compromiso, Visa está desarrollando 'Visa Intelligent Commerce', que permite a los consumidores utilizar agentes de IA para comprar y adquirir, integrando tarjetas preparadas para IA y modelos avanzados de puntuación de IA para mejorar la seguridad y la innovación de las transacciones.","[{'name': 'v-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/v-Q125-10-Q.html'}, {'name': 'v-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/v-Q225-10-Q.html'}, {'name': 'v-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/v-Q325-10-Q.html'}, {'name': 'v-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/v-FY24-10-K.html'}]",49462172,USD,V,SMART,STK,True,TE_AI2
technology,ai_in_fintech,US91680M1071,UPSTART HOLDINGS INC,2,"Aplica inteligencia artificial para revolucionar la suscripción de crédito y el procesamiento de préstamos, mejorando la eficiencia y ampliando el acceso al crédito en la industria fintech.","El negocio principal de Upstart gira en torno a la aplicación de IA en tecnología financiera, específicamente en la suscripción de crédito al consumidor y la conexión de consumidores con socios de préstamos a través de su mercado de IA. La empresa enfatiza la importancia de la IA en sus operaciones, con un enfoque en la mejora de las tasas y procesos para los prestatarios, la automatización de los procesos de préstamo y la mejora de la precisión de la suscripción de crédito a través de técnicas de aprendizaje automático como los embeddings. El compromiso de Upstart con la IA se demuestra además por su objetivo de crear la plataforma de préstamos de IA líder en el mundo, su uso de redes neuronales en todos los niveles de su arquitectura de modelo y su inversión continua en investigación y desarrollo para mejorar los modelos de IA y desarrollar nuevos productos.","[{'name': 'upst-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/upst-Q225-10-Q.html'}, {'name': 'upst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/upst-FY24-10-K.html'}, {'name': 'upst-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/upst-Q125-10-Q.html'}]",460492620,USD,UPST,SMART,STK,False,TE_AI2
technology,ai_in_fintech,US57636Q1040,MASTERCARD INC - A,3,"Aprovecha la inteligencia artificial para mejorar su red de pagos, optimizar la detección de fraudes y ofrecer soluciones financieras innovadoras en todo el ecosistema fintech.","Mastercard está integrando activamente la IA en sus soluciones de pago, como lo demuestra el lanzamiento de Mastercard Agent Pay, que aprovecha los tokens Agentic y las soluciones de ciberseguridad, y las colaboraciones con Microsoft y OpenAI para facilitar transacciones seguras en plataformas de IA. La empresa también está utilizando inteligencia de decisiones impulsada por IA para mejorar las tasas de puntuación y detección de fraudes. Además, aproximadamente un tercio de los servicios y soluciones de valor agregado de Mastercard están habilitados por IA. La empresa también reconoce la importancia de la IA en el contexto de la regulación de la privacidad, los datos, la seguridad de la información y la economía digital como uno de los factores que influyen en sus operaciones y entorno empresarial.","[{'name': 'ma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ma-Q225-10-Q.html'}]",38685693,USD,MA,SMART,STK,True,TE_AI2
technology,ai_in_fintech,US67066G1040,NVIDIA CORP,4,"Proporciona la infraestructura informática esencial y las plataformas de IA que impulsan aplicaciones avanzadas de inteligencia artificial en el sector de la tecnología financiera, incluida la detección de fraudes, el trading algorítmico y la gestión de riesgos.",,,4815747,USD,NVDA,SMART,STK,True,TE_AI2
technology,ai_in_fintech,US5949181045,MICROSOFT CORP,5,"Proporciona plataformas de IA fundamentales y servicios en la nube que permiten a las instituciones financieras desarrollar y desplegar soluciones avanzadas de IA para aplicaciones fintech, impulsando la innovación en áreas como la detección de fraudes, la banca personalizada y la gestión de riesgos.",,,272093,USD,MSFT,SMART,STK,True,TE_AI2
technology,ai_in_fintech,US70450Y1038,PAYPAL HOLDINGS INC,6,"Aprovecha la inteligencia artificial para mejorar sus ofertas de fintech, centrándose en áreas como la prevención de fraudes, la gestión de riesgos y las experiencias personalizadas del cliente para mejorar la seguridad y la eficiencia en los pagos digitales.","PayPal se está posicionando a la vanguardia de la revolución del comercio impulsada por la IA, lo que se evidencia en su temprana adopción de servidores MCP remotos y su enfoque en permitir que los comerciantes y desarrolladores interactúen con los consumidores a través de agentes de IA. La empresa está colaborando activamente con importantes actores de la IA como Perplexity, Anthropic y Salesforce para desarrollar experiencias de comercio agentivo. Esta iniciativa se extiende a la optimización de operaciones a través de IA y automatización, junto con exploraciones en anuncios y criptomonedas, demostrando un compromiso con lo que los clientes necesitan hoy y esperarán mañana.",,199169591,USD,PYPL,SMART,STK,True,TE_AI2
technology,ai_in_fintech,CNE1000003X6,PING AN INSURANCE GROUP CO-H,7,Aprovecha la inteligencia artificial dentro de sus estrategias de tecnología financiera para mejorar sus ofertas de seguros y servicios financieros más amplios.,,,46652400,HKD,2318,SEHK,STK,False,TE_AI2
technology,ai_in_fintech,US09290D1019,BLACKROCK INC,8,"Aprovecha las tecnologías de inteligencia artificial y aprendizaje automático para mejorar sus estrategias de inversión, análisis de riesgos y eficiencias operativas en sus extensas plataformas de servicios financieros y gestión de activos.",,,729193719,USD,BLK,SMART,STK,True,TE_AI2
technology,ai_in_fintech,US31620M1062,FIDELITY NATIONAL INFO SERV,9,"Aprovecha la inteligencia artificial para mejorar sus soluciones de tecnología financiera, apoyando la innovación y la eficiencia en el sector fintech.","FIS demuestra un compromiso con la IA en fintech a través de varias iniciativas. La empresa está impulsando activamente la innovación en IA en toda la empresa basándose en el éxito de TreasuryGPT y está en camino de lanzar la solución Banker Assist a finales de año, una plataforma de IA agéntica para la banca comercial que integra asistencia inteligente y activada por voz directamente en la interacción con el cliente. Además, FIS ha actualizado su oferta de TreasuryGPT con herramientas mejoradas de informes de riesgos y gestión de liquidez y está ejecutando múltiples pilotos de IA en Banca y Mercados de Capitales, con anuncios de productos adicionales esperados a lo largo del año. FIS también reconoce la importancia de navegar las oportunidades y los riesgos asociados con las tecnologías de IA, especialmente en lo que respecta al creciente uso de IA por parte de actores maliciosos en ciberataques.","[{'name': 'fis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fis-Q225-10-Q.html'}]",37866641,USD,FIS,SMART,STK,True,TE_AI2
technology,ai_in_fintech,US1729674242,CITIGROUP INC,10,"Aprovecha la inteligencia artificial y la tecnología financiera para mejorar sus servicios, operaciones y experiencia del cliente en el sector financiero.","El compromiso de Citi con la IA en Fintech es evidente a través de su importante expansión de herramientas de IA generativa destinadas a aumentar la eficiencia y la productividad en toda la organización. Esto incluye la implementación de herramientas empresariales como inteligencia documental y asistentes virtuales, que han tenido una utilización sustancial. Además, Citi ha automatizado las revisiones de código utilizando IA generativa, mejorando la capacidad de codificación, y ha lanzado Agent Assist, su primera herramienta de servicio al cliente de IA generativa de USPB. La empresa también está aprovechando la IA generativa para mejorar la detección de actividades comerciales no autorizadas y mejorar la vigilancia de las operaciones de divisas en los mercados.","[{'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}]",87335484,USD,C,SMART,STK,True,TE_AI2
