type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,ai_infrastructure,US67066G1040,NVIDIA CORP,1,"Proporciona las plataformas de hardware y software fundamentales, particularmente sus GPUs y el ecosistema CUDA, que son esenciales para el desarrollo, entrenamiento y despliegue de infraestructura de inteligencia artificial a nivel mundial.","La sustancial participación de NVIDIA en la infraestructura de IA es evidente a través de sus soluciones de IA de pila completa, que atienden a proveedores de servicios en la nube, empresas y entidades soberanas. El enfoque de la empresa en plataformas de computación y redes de centros de datos para computación acelerada y soluciones de IA es un motor clave del crecimiento de los ingresos. NVIDIA está desarrollando activamente fábricas de IA, destacadas por la arquitectura Blackwell y los sistemas GB200 NVL diseñados para cargas de trabajo de IA a escala de centro de datos, y está desplegando miles de GPU Blackwell a los principales hiperscaladores. NVIDIA se identifica como una empresa de infraestructura de IA y ve una enorme oportunidad de mercado de billones de dólares, estimando que representa una parte significativa del gasto en centros de datos de gigavatios de IA.","[{'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,NVDA,SMART,STK,True,AII
technology,ai_infrastructure,US02079K3059,ALPHABET INC-CL A,2,"Proporciona servicios fundamentales de computación en la nube, hardware especializado de IA como TPUs y modelos avanzados de IA, sirviendo como un habilitador crítico para el desarrollo y la implementación de soluciones de inteligencia artificial a nivel mundial.","El compromiso de Google con la Infraestructura de IA es evidente a través de su Plataforma Google Cloud, que ofrece soluciones de IA como infraestructura de IA, la plataforma Vertex AI y Gemini para Google Cloud. La empresa opera una red global líder de centros de datos optimizados para IA y regiones en la nube, ofreciendo una amplia gama de TPU y GPU. Este compromiso se demuestra aún más por la mención explícita de Google de inversiones a largo plazo en infraestructura de IA, incluida una red global con millones de millas de fibra y numerosos cables submarinos, así como capacidades de próxima generación como Ironwood y su sólida relación con NVIDIA, siendo el primer proveedor de la nube en ofrecer las GPU avanzadas de NVIDIA. Además, Google está aumentando su inversión en infraestructura técnica, incluidos servidores, equipos de red y centros de datos, para respaldar el crecimiento de su negocio e iniciativas a largo plazo, particularmente en apoyo de productos y servicios de IA.","[{'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}, {'name': 'googl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q125-10-Q.html'}, {'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}, {'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}]",208813719,USD,GOOGL,SMART,STK,True,AII
technology,ai_infrastructure,US5949181045,MICROSOFT CORP,3,"Proporciona servicios y plataformas en la nube fundamentales que permiten el desarrollo, la implementación y la escalabilidad de modelos y aplicaciones de inteligencia artificial para empresas y desarrolladores a nivel mundial.","El compromiso de Microsoft con la infraestructura de IA es evidente a través de sus iniciativas estratégicas e inversiones financieras. La empresa está expandiendo activamente sus ubicaciones de centros de datos y aumentando la capacidad de servidores, particularmente para abordar la creciente demanda de servicios de IA. Este compromiso se ve aún más reforzado por el hecho de que cada región de Azure es ahora prioritaria en IA, y Microsoft continúa liderando la ola de infraestructura de IA, ganando cuota de mercado cada trimestre. Estas inversiones en ingeniería de nube e IA también están impactando el rendimiento financiero de Microsoft, con un aumento de los costos operativos y una disminución en el porcentaje del margen bruto de Microsoft Cloud debido a la escalada de la infraestructura de IA.","[{'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,AII
technology,ai_infrastructure,US0231351067,AMAZON.COM INC,4,"Proporciona amplios servicios de computación en la nube y plataformas especializadas a través de Amazon Web Services (AWS), que son fundamentales para desarrollar, implementar y escalar la infraestructura de inteligencia artificial.",,,3691937,USD,AMZN,SMART,STK,True,AII
technology,ai_infrastructure,US11135F1012,BROADCOM INC,5,Proporciona soluciones críticas de red y silicio personalizado esenciales para el desarrollo y la escalabilidad de la infraestructura de centros de datos de IA.,"La participación de Broadcom en la infraestructura de IA es evidente a través de sus ingresos de semiconductores de IA, que alcanzaron los $5.2 mil millones, impulsados por aceleradores de IA personalizados (XPU). Estos XPU son cruciales para la autosuficiencia computacional en IA, y la compañía ha asegurado pedidos sustanciales de racks de IA basados en ellos. Las soluciones de red de Broadcom, incluidos los switches Tomahawk y los routers Jericho, son esenciales para escalar clústeres de cómputo de IA, abordando desafíos de ancho de banda y latencia, y la red de IA representa una parte significativa de los ingresos de IA. El CEO Hock Tan enfatiza el papel crítico de la red en la IA, destacando las soluciones de Broadcom para escalar la infraestructura de IA, incluidos los routers Ethernet Tomahawk 5, Tomahawk 6 y Jericho4.",,313130367,USD,AVGO,SMART,STK,True,AII
technology,ai_infrastructure,US24703L2025,DELL TECHNOLOGIES -C,6,"Proporciona componentes de infraestructura críticos, incluidos servidores, almacenamiento y soluciones de red, que son esenciales para construir e implementar sistemas de inteligencia artificial.","La participación de Dell en la infraestructura de IA es significativa, destacada por envíos récord de servidores de IA y una guía de envío elevada. La empresa está experimentando una demanda sin precedentes de servidores optimizados para IA, evidenciada por importantes reservas de pedidos y una cartera creciente que incluye oportunidades soberanas. Dell está innovando rápidamente, entregando clústeres de IA a gran escala e invirtiendo en fábricas de IA, con un enfoque en sistemas de archivos y almacenamiento de alto rendimiento para satisfacer las demandas de las cargas de trabajo de IA. La empresa está a la vanguardia de las soluciones de infraestructura de IA, diseñando soluciones personalizadas y superando los límites con infraestructura de IA energéticamente eficiente, incluidas plataformas avanzadas que soportan GPUs NVIDIA.","[{'name': 'dell-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dell-Q225-10-Q.html'}, {'name': 'dell-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dell-FY25-10-K.html'}, {'name': 'dell-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dell-Q325-10-Q.html'}]",346218218,USD,DELL,SMART,STK,True,AII
technology,ai_infrastructure,US5951121038,MICRON TECHNOLOGY INC,7,Proporciona soluciones críticas de memoria y almacenamiento que son esenciales para soportar los exigentes requisitos de la infraestructura de IA.,,,9939,USD,MU,SMART,STK,True,AII
technology,ai_infrastructure,US0079031078,ADVANCED MICRO DEVICES,8,Desarrolla procesadores y aceleradores de alto rendimiento esenciales para construir y escalar la infraestructura de hardware subyacente que potencia las cargas de trabajo de inteligencia artificial.,"La importante participación de AMD en la infraestructura de IA se ve subrayada por varias iniciativas estratégicas y desarrollos de productos. Las plataformas de la serie Instinct MI300 de la compañía están en producción con los principales proveedores de servicios, dando soporte a clientes de nube, empresa e IA, y están escalando activamente Instinct desde implementaciones de un solo nodo hasta clústeres de inferencia distribuidos. El compromiso de AMD se evidencia aún más con la adquisición de ZT Systems, un proveedor de infraestructura de cómputo de propósito general e IA, con el objetivo de acelerar el tiempo de comercialización de soluciones de entrenamiento e inferencia de IA, así como su desarrollo de una NIC de IA interna. AMD potencia varios de los sistemas más rápidos y eficientes energéticamente del mundo y sus productos son utilizados por grandes empresas como Meta y Microsoft para cargas de trabajo de IA.","[{'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}, {'name': 'amd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amd-FY24-10-K.html'}]",4391,USD,AMD,SMART,STK,True,AII
technology,ai_infrastructure,NL0010273215,ASML HOLDING NV,9,"Suministra equipos avanzados de litografía críticos para la producción de chips semiconductores de alto rendimiento, que son componentes fundamentales de la infraestructura global de IA.",,,117589399,EUR,ASML,SMART,STK,False,AII
technology,ai_infrastructure,KR7005930003,SAMSUNG ELECTRONICS CO LTD,10,"Desarrolla y fabrica componentes semiconductores críticos, incluida memoria de alto ancho de banda y soluciones de almacenamiento avanzadas, que son fundamentales para la sólida infraestructura que soporta las cargas de trabajo de inteligencia artificial.",,,17382528,KRW,005930,KSE,STK,False,AII
technology,ai_infrastructure,US4581401001,INTEL CORP,11,"Desarrolla hardware fundamental, incluidos procesadores y aceleradores, esenciales para construir y escalar la infraestructura de IA.","Intel se está posicionando estratégicamente en el panorama de la infraestructura de IA ajustando su hoja de ruta de productos para optimizar las cargas de trabajo de IA, centrándose particularmente en áreas emergentes como modelos de razonamiento, IA agentiva e IA física. Esto implica redefinir su cartera y reevaluar su estrategia de IA para competir de manera efectiva, incluidas las inversiones en PC con IA, redes a escala de rack y el aprovechamiento de sus capacidades XPU, CPU y GPU. El segmento de Centros de Datos e IA (DCAI) de Intel juega un papel crucial al ofrecer soluciones optimizadas para cargas de trabajo, aceleración de IA e infraestructura para dar soporte a centros de datos, proveedores de nube y empresas en el cumplimiento de las crecientes demandas de procesamiento de datos y cargas de trabajo de IA, lo que se demuestra aún más con el lanzamiento del procesador Intel Xeon 6 y el acelerador de IA Gaudi 3.","[{'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q225-10-Q.html'}]",270639,USD,INTC,SMART,STK,True,AII
technology,ai_infrastructure,US7475251036,QUALCOMM INC,12,"Desarrolla tecnologías fundamentales, incluidos chipsets y plataformas, que potencian las capacidades de inteligencia artificial en el dispositivo, extendiendo así la infraestructura de IA a dispositivos móviles y de borde.",,,273544,USD,QCOM,SMART,STK,True,AII
technology,ai_infrastructure,US0382221051,APPLIED MATERIALS INC,13,Proporciona equipos y materiales de fabricación avanzados esenciales para la producción de semiconductores de alto rendimiento que sustentan la infraestructura de inteligencia artificial.,"Applied Materials demuestra una fuerte conexión con la Infraestructura de IA a través de su enfoque en tecnologías de semiconductores, que son cruciales para los avances en los centros de datos de IA. La compañía enfatiza la importancia de las inflexiones en la arquitectura de dispositivos que son críticas para la computación de IA energéticamente eficiente. Además, la IA es central para las perspectivas de Applied Materials, y la compañía reconoce el potencial transformador de la IA y su papel como un importante catalizador de innovación y crecimiento en todo el sector tecnológico.",,266093,USD,AMAT,SMART,STK,True,AII
technology,ai_infrastructure,US8716071076,SYNOPSYS INC,14,Proporciona software crucial de automatización de diseño electrónico (EDA) y propiedad intelectual (IP) necesarios para desarrollar los chips y sistemas avanzados que sustentan la infraestructura de IA.,,,274499,USD,SNPS,SMART,STK,True,AII
technology,ai_infrastructure,US4824801009,KLA CORP,15,Contribuye al tema de Infraestructura de IA.,"Las soluciones de control de procesos de KLA son cruciales para facilitar la creación de infraestructura de IA, permitiendo a los clientes desarrollar los componentes avanzados necesarios para la IA. KLA enfatiza su posición única para permitir el éxito del cliente en la construcción de infraestructura para inteligencia artificial, respaldado por su liderazgo en control de procesos. Esto se demuestra además por la priorización de las inversiones de KLA para aumentar las capacidades de IA, impulsando el crecimiento en la vanguardia de la industria de semiconductores, y los comentarios directos de la empresa sobre su relevancia en la creación de infraestructura de IA.",,270957,USD,KLAC,SMART,STK,True,AII
technology,ai_infrastructure,US8825081040,TEXAS INSTRUMENTS INC,16,"Proporciona componentes esenciales de procesamiento analógico y embebido que permiten la gestión de energía, la conversión de datos y las funciones de control críticas para el desarrollo y la implementación de infraestructura de IA, particularmente en el borde.",,,13096,USD,TXN,SMART,STK,True,AII
