industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
unclassified,aipowered_insights,US67066G1040,NVIDIA CORP,1,"Proporciona las plataformas informáticas fundamentales y las tecnologías de aceleración esenciales para procesar vastos conjuntos de datos, entrenar modelos avanzados de inteligencia artificial y generar información crítica en diversas industrias.","El enfoque de NVIDIA en información impulsada por IA es evidente en su desempeño financiero y desarrollos tecnológicos. El crecimiento de los ingresos de la empresa en el año fiscal 2025 fue impulsado significativamente por plataformas de cómputo y redes de centros de datos diseñadas para computación acelerada y soluciones de IA, particularmente a través de la demanda de su plataforma de cómputo GPU Hopper, que admite el entrenamiento e inferencia de modelos de lenguaje grandes, motores de recomendación y aplicaciones de IA generativa. NVIDIA ha aprovechado su arquitectura GPU para crear plataformas para IA y ciencia de datos, enfatizando aún más su papel en la generación de información impulsada por IA. Además, la empresa ha comenzado a enviar sistemas de producción de la arquitectura Blackwell en el cuarto trimestre del año fiscal 2025, lo que demuestra su compromiso con el avance de sus capacidades de IA.","[{'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,NVDA,SMART,STK,True,AIP
unclassified,aipowered_insights,US5949181045,MICROSOFT CORP,2,"Proporciona capacidades de IA y servicios en la nube que permiten a las organizaciones analizar datos, generar información útil y mejorar la toma de decisiones y la eficiencia operativa.","El compromiso de Microsoft con los insights impulsados por IA es evidente en el crecimiento de sus servicios en la nube. El crecimiento de los ingresos de Azure está impulsado significativamente por la demanda de servicios de IA, lo que contribuye sustancialmente a los ingresos generales. Además, Dynamics 365, una suite de aplicaciones inteligentes basadas en la nube, también refleja el enfoque de Microsoft en la integración de insights impulsados por IA en sus diversas cargas de trabajo.","[{'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,AIP
unclassified,aipowered_insights,IE00B4BNMY34,ACCENTURE PLC-CL A,3,Ofrece servicios de consultoría e implementación que permiten a los clientes aprovechar la inteligencia artificial para extraer información valiosa de los datos y mejorar la toma de decisiones.,"El compromiso de Accenture con los insights impulsados por la IA es evidente en sus importantes inversiones e implementaciones estratégicas. La empresa reportó importantes reservas e ingresos de GenAI, demostrando su liderazgo en el campo. Accenture también está expandiendo su fuerza laboral de datos e IA, con el objetivo de 80.000 empleados para el año fiscal 26. Esta expansión apoya las transformaciones impulsadas por la IA para clientes como Air France-KLM, Fincantieri, Nestle y UOB, mejorando las operaciones, las experiencias del cliente y la toma de decisiones a través de soluciones y plataformas impulsadas por IA como la AI Refinery.",,67889930,USD,ACN,SMART,STK,True,AIP
unclassified,aipowered_insights,US69608A1088,PALANTIR TECHNOLOGIES INC-A,4,Proporciona plataformas de software avanzadas que aprovechan la inteligencia artificial para integrar vastos conjuntos de datos y generar información procesable para la toma de decisiones complejas en diversas industrias.,"El compromiso de Palantir con las perspectivas impulsadas por la IA es evidente a través del desarrollo y despliegue de la Plataforma de Inteligencia Artificial (AIP), diseñada para permitir a los clientes de los sectores comercial y gubernamental obtener valor de los recientes avances en IA. AIP aprovecha las tecnologías de aprendizaje automático y los modelos de IA generativa dentro de las plataformas Gotham y Foundry de Palantir para operacionalizar la IA en datos empresariales y facilitar la toma de decisiones. Gotham tiene un historial probado de proporcionar información a agencias de defensa globales y otras organizaciones durante más de una década. Las plataformas de software de Palantir empoderan a las organizaciones para integrar datos, decisiones y operaciones a escala, con AIP conectando de manera única los LLM y la IA con los datos y las operaciones para facilitar la toma de decisiones dentro de restricciones legales, éticas y de seguridad.","[{'name': 'pltr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pltr-Q225-10-Q.html'}, {'name': 'pltr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pltr-Q125-10-Q.html'}]",444857009,USD,PLTR,SMART,STK,True,AIP
unclassified,aipowered_insights,US02079K3059,ALPHABET INC-CL A,5,"Desarrolla e integra tecnologías avanzadas de IA en sus plataformas para procesar datos extensos, generando información para sus servicios y clientes.",,,208813719,USD,GOOGL,SMART,STK,True,AIP
unclassified,aipowered_insights,US0231351067,AMAZON.COM INC,6,"Proporciona servicios de inteligencia artificial y aprendizaje automático basados en la nube que permiten a las empresas obtener información de los datos, al tiempo que aprovecha la IA de forma extensiva en sus propias operaciones de comercio electrónico y logística para mejorar la experiencia del cliente y la eficiencia operativa.",,,3691937,USD,AMZN,SMART,STK,True,AIP
unclassified,aipowered_insights,US79466L3024,SALESFORCE INC,7,"Aprovecha la inteligencia artificial para ofrecer información procesable a partir de datos de clientes, mejorando las operaciones de ventas, servicio y marketing a través de análisis predictivos y automatización inteligente.","El enfoque de Salesforce en los conocimientos impulsados por la IA es evidente en sus iniciativas estratégicas, particularmente a través de la integración de las capacidades de IA de Informatica y el desarrollo de sus plataformas Data Cloud y Agentforce. La adquisición de Informatica se considera un facilitador clave para la próxima fase de crecimiento impulsado por la IA de Salesforce, cuyo objetivo es mejorar las capacidades de datos para la transformación de la IA. Salesforce enfatiza la importancia de la preparación de los datos para la IA, y Data Cloud desempeña un papel crucial en la unificación y armonización de los datos en toda la empresa, así como en la integración de la IA en sus ofertas principales para mejorar la toma de decisiones y la automatización.","[{'name': 'crm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q325-10-Q.html'}]",29624264,USD,CRM,SMART,STK,True,AIP
unclassified,aipowered_insights,US78409V1044,S&P GLOBAL INC,8,"Aprovecha la inteligencia artificial para mejorar sus datos, análisis y calificaciones, proporcionando información más profunda y herramientas de toma de decisiones más sólidas a sus clientes en diversos mercados financieros y de materias primas.","S&P Global está integrando activamente la IA para mejorar sus ofertas de productos y procesos internos. La empresa está ejecutando una estrategia de IA a nivel empresarial para acelerar la innovación y mejorar la productividad, así como integrando IA generativa en el desarrollo de productos y flujos de trabajo internos. Esto incluye el lanzamiento de herramientas impulsadas por IA como CreditCompanion para RatingsDirect en Capital IQ Pro y el generador de índices SPICE, y la ingesta automatizada de datos iLEVEL, una herramienta impulsada por IA desarrollada conjuntamente por los equipos de Market Intelligence y Kensho. Además, el segmento de Market Intelligence está mejorando su enfoque centrado en el cliente al mejorar la capacidad de vincular conjuntos de datos entre clases y plataformas, y está poniendo a disposición conjuntos de datos listos para IA a través de plataformas hiperscalares.","[{'name': 'spgi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q324-10-Q.html'}, {'name': 'spgi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q225-10-Q.html'}]",229629397,USD,SPGI,SMART,STK,True,AIP
unclassified,aipowered_insights,US2681501092,DYNATRACE INC,9,"Utiliza inteligencia artificial avanzada para generar información profunda y procesable a partir de datos complejos, lo que permite optimizar el rendimiento y la toma de decisiones estratégicas.","Dynatrace enfatiza sus capacidades impulsadas por IA, destacando que aprovecha información impulsada por IA para permitir a las organizaciones analizar, automatizar e innovar más rápido. La compañía tiene la intención de mantener su posición como plataforma líder de observabilidad impulsada por IA a través de una mayor inversión en investigación y desarrollo. La plataforma de Dynatrace permite a los clientes detectar automáticamente problemas, analizarlos y realizar acciones de remediación automática, con cientos de clientes ya comprometidos con Dynatrace en la observación de sus iniciativas de GenAI. Además, Dynatrace aprovecha el análisis contextual y la información de IA para automatizar las respuestas y ayudar a evitar incidentes, diferenciándose a través de su aplicación única de IA para analizar miles de millones de puntos de datos interconectados en tiempo real.","[{'name': 'dt-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dt-FY25-10-K.html'}, {'name': 'dt-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dt-Q126-10-Q.html'}]",376427905,USD,DT,SMART,STK,True,AIP
unclassified,aipowered_insights,US0567521085,BAIDU INC - SPON ADR,10,"Aprovecha la inteligencia artificial para mejorar su motor de búsqueda, servicios en la nube y tecnología de conducción autónoma, generando valiosos conocimientos de datos y potenciando aplicaciones inteligentes en diversos sectores.",,,35359385,USD,BIDU,SMART,STK,False,AIP
