type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,airlines,US9100471096,UNITED AIRLINES HOLDINGS INC,1,"Opera como una importante aerolínea mundial, proporcionando amplios servicios de transporte aéreo para pasajeros y carga a través de una vasta red de rutas nacionales e internacionales.","El negocio principal de United Airlines gira en torno a la industria de las aerolíneas, como lo demuestran sus operaciones, su desempeño financiero y sus planes estratégicos. La función principal de la compañía es transportar personas y carga a través de sus operaciones principales y regionales, y los ingresos por pasajeros constituyen una parte significativa de sus ingresos totales. United se enfoca en ganar clientes leales a la marca y enfatiza su posicionamiento único dentro de la industria y sus ventajas estructurales, y el CEO destaca que United y otra aerolínea son las únicas dos aerolíneas con ingresos diversos y leales a la marca. El compromiso de la compañía con la industria de las aerolíneas se demuestra aún más por su gran número de empleados y las continuas inversiones en aeronaves.","[{'name': 'ual-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ual-FY24-10-K.html'}, {'name': 'ual-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ual-Q125-10-Q.html'}, {'name': 'ual-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ual-Q225-10-Q.html'}, {'name': 'ual-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ual-Q324-10-Q.html'}]",79498203,USD,UAL,SMART,STK,True,TL_AIR
transportation and logistics,airlines,US2473617023,DELTA AIR LINES INC.,2,"Opera una red global de servicios de transporte aéreo, conectando pasajeros y carga a través de numerosos destinos nacionales e internacionales.","Las operaciones, el desempeño financiero y las estrategias de Delta Air Lines se discuten extensamente, siendo la industria de las aerolíneas el negocio principal de la empresa. Los ingresos por pasajeros constituyen la mayor parte de los ingresos de la empresa, y el desempeño, la estrategia, los ingresos y la capacidad de la empresa son centrales para el tema de las aerolíneas. La gestión de la flota de la empresa a través de retiros y adiciones de nuevas aeronaves también indica una inversión importante en la industria de las aerolíneas, con un número significativo de personal dedicado.","[{'name': 'dal-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dal-Q125-10-Q.html'}, {'name': 'dal-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dal-Q225-10-Q.html'}, {'name': 'dal-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dal-Q324-10-Q.html'}, {'name': 'dal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dal-FY24-10-K.html'}]",44001820,USD,DAL,SMART,STK,True,TL_AIR
transportation and logistics,airlines,US02376R1023,AMERICAN AIRLINES GROUP INC,3,"Opera como una importante aerolínea global, brindando extensos servicios de transporte aéreo de pasajeros y carga a través de redes nacionales e internacionales, contribuyendo directamente a las operaciones centrales y la infraestructura de la industria de la aviación.","El negocio principal de American Airlines gira en torno a la industria de las aerolíneas, como lo demuestran las amplias discusiones sobre ingresos de pasajeros y carga, gastos operativos y rendimiento financiero general. Las operaciones, estrategias y resultados financieros de la empresa están fuertemente entrelazados con el sector de las aerolíneas, y una parte significativa de sus ingresos proviene de servicios de pasajeros y carga. Esto está respaldado además por el enfoque de la empresa en la renovación de la flota, la gestión de costos y las mejoras de la experiencia del cliente, todo lo cual es fundamental para mantener una ventaja competitiva en la industria de las aerolíneas. El liderazgo de la aerolínea enfatiza su fortaleza fundamental, resiliencia y flexibilidad financiera para navegar los desafíos económicos, destacando la importancia estratégica de la industria de las aerolíneas para el éxito de la empresa.","[{'name': 'aal-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q125-10-Q.html'}, {'name': 'aal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aal-FY24-10-K.html'}, {'name': 'aal-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q225-10-Q.html'}, {'name': 'aal-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q324-10-Q.html'}]",139673266,USD,AAL,SMART,STK,True,TL_AIR
transportation and logistics,airlines,US0970231058,BOEING CO/THE,4,"Diseña, fabrica y da servicio a aeronaves comerciales, formando la columna vertebral de los viajes aéreos globales y apoyando las necesidades operativas de las aerolíneas en todo el mundo.","La conexión de Boeing con la industria de las aerolíneas es evidente a través de su papel como uno de los principales fabricantes de aviones comerciales del mundo. El segmento de Aviones Comerciales de la empresa se discute extensamente, cubriendo ingresos, entregas y desafíos, con modelos específicos como el 737, 767, 777 y 787 destacados. La dependencia de Boeing de las aerolíneas se demuestra aún más por las entregas a clientes importantes como Qatar Airways y British Airways, y una cartera de pedidos sustancial de más de 5.600 aviones, lo que representa varios años de producción. Sin embargo, la empresa enfrenta desafíos como aranceles que afectan las entregas a clientes chinos y el impacto de eventos como el accidente de Alaska Airlines, lo que indica una relación compleja pero significativa con la industria de las aerolíneas.","[{'name': 'ba-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q324-10-Q.html'}, {'name': 'ba-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q225-10-Q.html'}, {'name': 'ba-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ba-FY24-10-K.html'}]",4762,USD,BA,SMART,STK,True,TL_AIR
transportation and logistics,airlines,US3696043013,GENERAL ELECTRIC,5,"Suministra motores de aviones y servicios de mantenimiento críticos a la industria de la aviación mundial, impulsando flotas comerciales y militares en todo el mundo.","La conexión de GE Aerospace con la industria de las aerolíneas es evidente a través de su amplia presencia y soporte, ya que su tecnología está presente en tres de cada cuatro vuelos comerciales. El negocio de Motores Comerciales y Servicios (CES) de la empresa se dirige principalmente a fabricantes de fuselajes y aerolíneas, incluidos Boeing y Airbus, y CES representa una parte sustancial de los ingresos totales. GE Aerospace se relaciona activamente con las aerolíneas, como lo demuestran las frecuentes comunicaciones y los importantes acuerdos con clientes importantes como ANA HOLDINGS, Malaysia Aviation Group y Korean Air para motores LEAP y GEnx. Además, la empresa se enfoca en dar servicio y hacer crecer la base instalada comercial de la industria, lo que resalta la importancia de apoyar a los clientes de las aerolíneas y mantener sus flotas en funcionamiento.","[{'name': 'ge-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ge-Q324-10-Q.html'}, {'name': 'ge-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ge-FY24-10-K.html'}]",498843743,USD,GE,SMART,STK,True,TL_AIR
transportation and logistics,airlines,US8447411088,SOUTHWEST AIRLINES CO,6,"Opera como una importante aerolínea comercial, brindando extensos servicios de transporte aéreo de pasajeros a través de una vasta red de destinos nacionales e internacionales.","El negocio principal de Southwest Airlines es proporcionar transporte aéreo programado, como lo demuestra la operación de Southwest Airlines como una importante aerolínea de pasajeros. Esto se destaca en numerosos documentos que detallan el desempeño financiero, las operaciones y las iniciativas estratégicas de la empresa dentro de la industria de las aerolíneas. El enfoque de la empresa en mejorar la experiencia del cliente, gestionar la capacidad y reducir los costos subraya aún más su profunda participación en el tema de las aerolíneas, al igual que sus importantes compromisos de capital para aeronaves y su gran fuerza laboral dedicada a las operaciones de aerolíneas. Con una parte sustancial de sus ingresos derivada de servicios de pasajeros y carga, Southwest Airlines demuestra una conexión fuerte y central con la industria de las aerolíneas.","[{'name': 'luv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/luv-Q125-10-Q.html'}, {'name': 'luv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/luv-Q324-10-Q.html'}, {'name': 'luv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/luv-FY24-10-K.html'}]",9282,USD,LUV,SMART,STK,True,TL_AIR
transportation and logistics,airlines,US31428X1063,FEDEX CORPORATION,7,"Opera una de las aerolíneas de carga más grandes del mundo, proporcionando servicios esenciales de transporte aéreo para la entrega de paquetes y carga a nivel mundial.","Federal Express Corporation, como la mayor empresa de transporte exprés del mundo, muestra exposición a la industria de las aerolíneas a través de sus importantes inversiones en aeronaves y operaciones de transporte aéreo. La empresa compra grandes cantidades de combustible para operar sus aeronaves y vehículos, y sus gastos de capital incluyen inversiones en aeronaves. Además, el negocio principal de FedEx gira en torno a la provisión de transporte aéreo de mercancías, y los ejecutivos destacan el crecimiento del transporte aéreo mundial y la escala de la red global de FedEx.","[{'name': 'fdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q325-10-Q.html'}, {'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}, {'name': 'fdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q125-10-Q.html'}]",5100583,USD,FDX,SMART,STK,True,TL_AIR
transportation and logistics,airlines,DE0008232125,DEUTSCHE LUFTHANSA-REG,8,"Opera un importante grupo de aerolíneas a nivel mundial, proporcionando amplios servicios de transporte aéreo de pasajeros y carga a través de una vasta red internacional.",,,14171,EUR,LHA,SMART,STK,False,TL_AIR
transportation and logistics,airlines,US9113121068,UNITED PARCEL SERVICE-CL B,9,"Opera una de las aerolíneas de carga más grandes del mundo, que es esencial para sus servicios globales de entrega de paquetes y un contribuyente significativo a la industria de carga aérea.","La participación de UPS en la industria de las aerolíneas se refleja en la gestión activa de su red aérea, incluyendo ajustes en los horarios de vuelo en respuesta a los cambiantes políticas comerciales y necesidades de los clientes en Asia, Europa y las rutas internacionales de EE. UU. Esto se ve aún más respaldado por la expansión de su centro aéreo en Hong Kong y la construcción de un nuevo centro aéreo en Filipinas. Si bien la empresa opera su propia aerolínea para apoyar sus operaciones logísticas y ajusta su red aérea según las necesidades de los clientes, los servicios de aerolínea facilitan el negocio más amplio de logística y entrega de paquetes.",,6231002,USD,UPS,SMART,STK,True,TL_AIR
transportation and logistics,airlines,FR001400J770,AIR FRANCE-KLM,10,"Opera una red global de aerolíneas, proporcionando servicios de transporte de pasajeros y carga.",,,641843046,EUR,AF,SMART,STK,False,TL_AIR
