industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TE,ART,NVDA,technology,artificial_intelligence,US67066G1040,NVIDIA CORP,1,"Impulsa la industria de la inteligencia artificial al proporcionar las plataformas de hardware y software fundamentales, incluyendo potentes GPUs, esenciales para el desarrollo, entrenamiento y despliegue de IA.","El crecimiento de los ingresos de NVIDIA está impulsado significativamente por sus plataformas de computación y redes para centros de datos diseñadas para la computación acelerada y soluciones de IA. La demanda de la plataforma de computación Hopper de NVIDIA, utilizada en el entrenamiento e inferencia de modelos de lenguaje grandes y aplicaciones de IA generativa, es un motor clave. La empresa se posiciona como un actor central en la construcción de infraestructura de IA, considerando la IA como una revolución industrial que transformará todas las industrias, con billones de dólares en gasto en infraestructura de IA esperados para finales de la década. Las soluciones de IA de pila completa de NVIDIA atienden a proveedores de servicios en la nube, empresas y entidades soberanas, lo que contribuye al crecimiento de la empresa, y la empresa se enfoca en expandir las capacidades de IA en varios sectores, incluida la IA soberana, la IA empresarial y la robótica.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,SMART,STK
TE,ART,MSFT,technology,artificial_intelligence,US5949181045,MICROSOFT CORP,2,"Aprovecha e integra inteligencia artificial avanzada en sus servicios en la nube, herramientas de productividad y plataformas de desarrollo, impulsando la innovación y la adopción generalizada de tecnologías de IA.","El compromiso de Microsoft con la Inteligencia Artificial es evidente en su misión de hacer que la IA sea ampliamente accesible, creando plataformas y herramientas impulsadas por IA. La empresa está construyendo un conjunto completo de productos y pila tecnológica de IA a gran escala, con cada región de Azure ahora priorizando la IA. Este énfasis está respaldado además por inversiones sustanciales en infraestructura e ingeniería de nube e IA, que están impactando los costos operativos y los gastos de capital. Los servicios de IA también están impulsando el crecimiento de los ingresos, contribuyendo significativamente al rendimiento general de Azure, y Microsoft mantiene una asociación estratégica a largo plazo con OpenAI, integrando sus modelos e infraestructura en sus productos.","[{'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}]",272093,USD,SMART,STK
TE,ART,META,technology,artificial_intelligence,US30303M1027,META PLATFORMS INC-CLASS A,3,"Desarrolla e integra inteligencia artificial avanzada en sus plataformas y productos para mejorar las experiencias de los usuarios, potenciar las recomendaciones de contenido e impulsar la innovación en áreas como la IA generativa y el metaverso.","El enfoque de Meta en la Inteligencia Artificial es evidente a través de sus importantes inversiones en diversos aspectos del desarrollo y despliegue de IA. El compromiso de la empresa se ve subrayado por la creación de Meta Superintelligence Labs y la contratación continua de talentos líderes en IA. Meta está desarrollando activamente nuevos modelos de IA, incluyendo Llama 4.1 y 4.2, e integrando la IA en productos como gafas de IA, con la creencia de que la IA mejorará cada faceta de sus operaciones. Este énfasis estratégico está respaldado además por importantes gastos de capital asignados a iniciativas de IA, incluida la IA generativa, destinadas a mejorar las capacidades publicitarias, la recomendación de contenido y el desarrollo de productos.","[{'name': 'meta-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q125-10-Q.html'}, {'name': 'meta-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q324-10-Q.html'}, {'name': 'meta-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q225-10-Q.html'}, {'name': 'meta-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/meta-FY24-10-K.html'}]",107113386,USD,SMART,STK
TE,ART,GOOGL,technology,artificial_intelligence,US02079K3059,ALPHABET INC-CL A,4,"Desarrolla e integra tecnologías avanzadas de inteligencia artificial en su amplia cartera de productos y servicios, impulsando la innovación en áreas como la búsqueda, la computación en la nube y los sistemas autónomos.","El compromiso de Google con la Inteligencia Artificial es evidente en sus iniciativas estratégicas y ofertas de productos. La empresa enfatiza que la IA es central para su crecimiento, destacada por su enfoque diferenciado de pila completa y el lanzamiento de modelos avanzados como Gemini, que se integran en los 15 productos con 0,5 mil millones de usuarios. Google está incorporando activamente innovaciones de IA en todos sus productos, incluida la IA en la Búsqueda, y está aumentando las inversiones en infraestructura técnica para respaldar productos y servicios de IA, como la infraestructura de IA, la plataforma Vertex AI y Gemini para Google Cloud. Este compromiso se ve reforzado aún más por el liderazgo de Google en entrenamiento e inferencia de IA, así como por un crecimiento significativo en usuarios activos dentro de su estudio de IA y la API de Gemini.","[{'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}, {'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}, {'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}]",208813719,USD,SMART,STK
TE,ART,AMZN,technology,artificial_intelligence,US0231351067,AMAZON.COM INC,5,"Integra inteligencia artificial en sus ofertas de comercio electrónico, computación en la nube (AWS) y asistente de voz (Alexa), utilizando IA para recomendaciones, logística y para potenciar una amplia gama de servicios de aprendizaje automático para desarrolladores.","Amazon demuestra un fuerte compromiso con la Inteligencia Artificial, evidente en sus agresivas inversiones y amplias aplicaciones en toda la empresa. El negocio de IA de la compañía tiene una tasa de ingresos anual de miles de millones de dólares con un crecimiento interanual de tres dígitos, respaldado por inversiones en chips de IA personalizados como Trainium2 y más de 1000 aplicaciones de IA en Amazon, incluido Alexa+. Esto se ve reforzado aún más por inversiones significativas en empresas como Anthropic, con miles de millones asignados en pagarés convertibles, lo que resalta la importancia de la IA para las operaciones y el crecimiento futuro de Amazon.","[{'name': 'amzn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q125-10-Q.html'}, {'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}]",3691937,USD,SMART,STK
TE,ART,AMAT,technology,artificial_intelligence,US0382221051,APPLIED MATERIALS INC,6,Proporciona equipos y servicios de fabricación avanzados esenciales para la producción de dispositivos semiconductores de alto rendimiento que impulsan aplicaciones de inteligencia artificial.,"Applied Materials demuestra su compromiso con la Inteligencia Artificial a través de varias vías clave. La empresa enfatiza que la IA es la tecnología más transformadora de nuestras vidas y un importante catalizador para la innovación y el crecimiento, y afirma además que la IA sigue siendo central en su perspectiva. Esto está respaldado por su inversión en semiconductores y memoria de cómputo que habilitan la IA, impulsada por la demanda del mercado final, y la empresa colabora estrechamente con los clientes para acelerar la hoja de ruta de la industria, centrándose en la lógica de alto rendimiento, DRAM y memoria de alto ancho de banda.","[{'name': 'amat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q125-10-Q.html'}, {'name': 'amat-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amat-FY24-10-K.html'}, {'name': 'amat-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q324-10-Q.html'}, {'name': 'amat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q225-10-Q.html'}]",266093,USD,SMART,STK
TE,ART,SNPS,technology,artificial_intelligence,US8716071076,SYNOPSYS INC,7,Proporciona software crucial de automatización de diseño electrónico y propiedad intelectual que son esenciales para el desarrollo y la optimización de chips de alto rendimiento que impulsan aplicaciones de inteligencia artificial.,"Synopsys tiene un fuerte enfoque en Inteligencia Artificial, particularmente en el ámbito del diseño de chips, y el CEO enfatiza el liderazgo y las inversiones continuas de la compañía para solidificar esta posición. Las capacidades de IA de la compañía están generando éxitos entre los clientes de semiconductores y sistemas, y están liderando capacidades de IA de vanguardia en toda la pila. Synopsys también está experimentando una fuerte demanda en los sectores de IA y HPC, y la IA continúa impulsando inversiones sin precedentes en infraestructura y I+D para la compañía.","[{'name': 'snps-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snps-Q324-10-Q.html'}, {'name': 'snps-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snps-Q225-10-Q.html'}, {'name': 'snps-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snps-Q125-10-Q.html'}, {'name': 'snps-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/snps-FY24-10-K.html'}]",274499,USD,SMART,STK
TE,ART,INTC,technology,artificial_intelligence,US4581401001,INTEL CORP,8,"Ofrece una amplia cartera de procesadores y aceleradores diseñados para potenciar cargas de trabajo de inteligencia artificial, permitiendo análisis avanzados, aprendizaje automático y aprendizaje profundo en dispositivos en la nube, en el borde y de cliente.","El compromiso de Intel con la Inteligencia Artificial es evidente en su estrategia para abordar cada fase del continuo de IA, desde modelos de lenguaje grandes hasta PC con IA y IA en el borde. La empresa está infundiendo activamente IA en sus tecnologías, apoyando cargas de trabajo GenAI y refinando su estrategia de IA para centrarse en cargas de trabajo emergentes como modelos de razonamiento, IA agentiva e IA física. Esto incluye reevaluar su estrategia y cartera de IA para competir de manera efectiva, junto con esfuerzos para optimizar productos para cargas de trabajo de IA nuevas y emergentes, con el objetivo de convertirse en la plataforma de cómputo de elección y ofrecer soluciones de IA de pila completa.","[{'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q225-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}]",270639,USD,SMART,STK
TE,ART,AAPL,technology,artificial_intelligence,US0378331005,APPLE INC,9,"Integra capacidades avanzadas de inteligencia artificial y aprendizaje automático en su hardware, software y servicios para mejorar la experiencia del usuario, potenciar funciones inteligentes e impulsar la innovación dentro de su ecosistema.","El compromiso de Apple con la Inteligencia Artificial es evidente a través de su integración en dispositivos y plataformas, destacado por la introducción de 'Apple Intelligence', un sistema de inteligencia personal que aprovecha modelos generativos. El compromiso de la compañía se ve subrayado por importantes inversiones y el desarrollo de silicio de Apple con un motor neuronal, diseñado para potenciar las funciones de IA en sus productos y aplicaciones de terceros. Esta estrategia tiene como objetivo hacer accesibles las tecnologías avanzadas, con más de 20 funciones de Apple Intelligence ya lanzadas y planes para una Siri más personalizada. La compañía también está desarrollando modelos fundacionales y enviando LLM en el iPhone 16.","[{'name': 'aapl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aapl-FY24-10-K.html'}]",265598,USD,SMART,STK
TE,ART,AMD,technology,artificial_intelligence,US0079031078,ADVANCED MICRO DEVICES,10,"Desarrolla procesadores de alto rendimiento, incluyendo CPUs, GPUs y aceleradores de IA especializados, que potencian las cargas de trabajo de inteligencia artificial en centros de datos, computación en la nube y diversas aplicaciones de IA.","El compromiso de AMD con la Inteligencia Artificial es evidente a través de su enfoque estratégico en aceleradores de IA y soluciones integrales de IA. La empresa ha realizado inversiones sustanciales, incluida la adquisición de ZT Systems para mejorar la infraestructura de IA y Silo AI para reforzar el desarrollo de modelos de IA. AMD está expandiendo activamente sus capacidades de IA, como lo demuestra el aumento de su gasto en I+D y el desarrollo de un ecosistema de software integral, posicionándose como un actor clave en la potenciación de soluciones de IA en centros de datos, dispositivos de borde y dispositivos de cliente.","[{'name': 'amd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q125-10-Q.html'}, {'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}, {'name': 'amd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q225-10-Q.html'}, {'name': 'amd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amd-FY24-10-K.html'}]",4391,USD,SMART,STK
TE,ART,SYM,technology,artificial_intelligence,US87151X1019,SYMBOTIC INC,11,"Aprovecha la inteligencia artificial para potenciar sus sistemas de automatización robótica, mejorando la eficiencia y el rendimiento en las operaciones de almacén.","La participación de la empresa en Inteligencia Artificial es evidente en la arquitectura de su sistema central, que utiliza software de sistema habilitado para IA para controlar robots totalmente autónomos para mejoras en la cadena de suministro. Este enfoque impulsado por IA se presenta como un diferenciador clave, y la empresa tiene como objetivo establecerlo como el estándar para las operaciones de almacén. Además, la empresa estableció GreenBox como una empresa conjunta estratégica dedicada a operar y financiar tecnología avanzada de IA y automatización para almacenes, y continúa haciendo crecer sus organizaciones de ingeniería de software y hardware para respaldar el desarrollo de proyectos clave y la continua expansión de sus capacidades de IA y análisis.","[{'name': 'sym-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sym-Q325-10-Q.html'}, {'name': 'sym-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sym-Q225-10-Q.html'}, {'name': 'sym-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sym-FY24-10-K.html'}]",566188877,USD,SMART,STK
