industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,augmented_reality,US30303M1027,META PLATFORMS INC-CLASS A,1,"Impulsa una innovación e inversión significativas en hardware y software de Realidad Aumentada a través de su división Reality Labs, con el objetivo de desarrollar experiencias inmersivas y tecnologías fundamentales para el metaverso.","La participación de Meta con la Realidad Aumentada es evidente a través de su segmento Reality Labs (RL), que se dedica a hardware, software y contenido de consumo relacionados con la realidad virtual, aumentada y mixta. Meta está invirtiendo significativamente en esfuerzos de metaverso y wearables, incluido el desarrollo de dispositivos y software de realidad aumentada. Este compromiso se refleja en los ingresos generados por productos de hardware de consumo como las gafas Ray-Ban Meta AI, que forman parte de las ofertas del segmento RL.","[{'name': 'meta-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q324-10-Q.html'}, {'name': 'meta-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q125-10-Q.html'}, {'name': 'meta-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/meta-FY24-10-K.html'}, {'name': 'meta-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q225-10-Q.html'}]",107113386,USD,META,SMART,STK,True,AUG
technology,augmented_reality,US0378331005,APPLE INC,2,Desarrolla e integra tecnologías de Realidad Aumentada.,"La participación de Apple en la Realidad Aumentada es evidente a través del desarrollo y la promoción del Apple Vision Pro y visionOS. El último visionOS 2 introduce widgets espaciales para la personalización del espacio digital y API empresariales para experiencias espaciales personalizadas. Organizaciones como CAE están utilizando Apple Vision Pro para la formación de pilotos, mejorando la familiaridad con los procedimientos de aeronaves y Dassault Systèmes ha integrado Apple Vision Pro en su plataforma de ingeniería y diseño 3D, ofreciendo experiencias espaciales inmersivas a clientes empresariales. Apple Vision Pro también mejora el entretenimiento a través de experiencias de video inmersivas como el concierto de Metallica.",,265598,USD,AAPL,SMART,STK,True,AUG
technology,augmented_reality,US83304A1060,SNAP INC - A,3,"Desarrolla e integra experiencias de realidad aumentada a través de su plataforma Snapchat, permitiendo superposiciones digitales interactivas en el mundo real para su base de usuarios global.","El compromiso de Snap con la Realidad Aumentada es evidente a través de sus importantes inversiones y priorización estratégica. La empresa ha invertido más de 3 mil millones de dólares para desarrollar una plataforma de RA integrada verticalmente, con más de 350 millones de Snapchatters interactuando con RA a diario. Esta plataforma apoya a una gran comunidad de desarrolladores de RA, con más de 400.000 creadores construyendo millones de lentes, e incluye anuncios de RA como fuente de ingresos. Snap también planea lanzar gafas Specs AR y considera la RA como la interfaz ideal para la IA, lo que solidifica aún más su dedicación a esta tecnología.","[{'name': 'snap-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/snap-FY24-10-K.html'}, {'name': 'snap-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snap-Q225-10-Q.html'}, {'name': 'snap-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snap-Q125-10-Q.html'}]",268060148,USD,SNAP,SMART,STK,False,AUG
technology,augmented_reality,US5949181045,MICROSOFT CORP,4,"Desarrolla y ofrece hardware avanzado de realidad aumentada, como HoloLens, y plataformas de software relacionadas, contribuyendo significativamente a las aplicaciones empresariales e industriales de la tecnología AR.",,,272093,USD,MSFT,SMART,STK,True,AUG
technology,augmented_reality,US7475251036,QUALCOMM INC,5,"Potencia los dispositivos de realidad aumentada con sus procesadores y plataformas especializadas, permitiendo experiencias inmersivas avanzadas.","El compromiso de Qualcomm con la Realidad Aumentada es evidente a través de su plataforma Snapdragon, que se ha convertido en la opción preferida para gafas inteligentes y dispositivos de realidad mixta, como lo demuestra su uso en más de 15 diseños de socios globales. La demanda de los chipsets Snapdragon AR1, en particular en las gafas inteligentes con IA de Meta, ha superado las expectativas, lo que ha llevado a capacidades mejoradas como interacciones de asistentes de IA y traducción de voz en vivo. El compromiso de Qualcomm se destaca aún más por la demostración de un modelo de 1 mil millones de parámetros ejecutándose localmente en gafas inteligentes impulsadas por su plataforma Snapdragon AR de próxima generación en la Augmented World Expo USA, mostrando su enfoque en avanzar en aplicaciones de realidad aumentada habilitadas por IA.",,273544,USD,QCOM,SMART,STK,True,AUG
technology,augmented_reality,US02079K3059,ALPHABET INC-CL A,6,"Desarrolla e integra tecnologías de realidad aumentada en varias plataformas, incluidos dispositivos móviles y experiencias inmersivas, impulsando la innovación en computación espacial y contenido digital interactivo.",,,208813719,USD,GOOGL,SMART,STK,True,AUG
technology,augmented_reality,US67066G1040,NVIDIA CORP,7,Proporciona tecnología de GPU y plataformas de software críticas que permiten la renderización y el desarrollo de experiencias inmersivas de realidad aumentada.,,,4815747,USD,NVDA,SMART,STK,True,AUG
technology,augmented_reality,KR7005930003,SAMSUNG ELECTRONICS CO LTD,8,"Desarrolla y fabrica una amplia gama de dispositivos y componentes que apoyan e impulsan el avance de las tecnologías de realidad aumentada, incluyendo teléfonos inteligentes, pantallas y otro hardware innovador.",,,17382528,KRW,005930,KSE,STK,False,AUG
technology,augmented_reality,JP3435000009,SONY GROUP CORP,9,Contribuye a la evolución y expansión del panorama de la realidad aumentada.,,,13905705,JPY,6758,SMART,STK,False,AUG
technology,augmented_reality,US91332U1016,UNITY SOFTWARE INC,10,Proporciona una plataforma líder y herramientas de desarrollo que permiten a los creadores construir e implementar una amplia gama de aplicaciones y experiencias de realidad aumentada en varios dispositivos.,"Unity proporciona herramientas para crear juegos y experiencias interactivas en realidad extendida (XR), lo que indica cierta inversión en realidad aumentada. La empresa se muestra optimista sobre el futuro de los juegos y el entretenimiento en RA y RV, con el objetivo de seguir siendo una plataforma líder que impulse estas experiencias. Unity tiene la intención de mantenerse a la vanguardia de la evolución de la RA y la RV, impulsando ya la mayoría de las principales aplicaciones del mercado.","[{'name': 'u-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/u-FY24-10-K.html'}]",445423543,USD,U,SMART,STK,False,AUG
