symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
ORLY,AUT,transportation and logistics,automotive_aftermarket,US67103H1077,O'REILLY AUTOMOTIVE INC,1,"Opera como un minorista líder de piezas de repuesto para automóviles, sirviendo tanto a proveedores de servicios profesionales como a clientes que lo hacen ellos mismos en todos los Estados Unidos.","El negocio de O'Reilly Automotive se centra en el mercado de repuestos para automóviles, ya que la compañía opera como un minorista especializado de piezas, herramientas, suministros, equipos y accesorios, que atiende tanto a clientes de bricolaje como a profesionales. El rendimiento de la compañía está estrechamente ligado a los impulsores clave dentro de esta industria, incluyendo las millas recorridas, el número de vehículos registrados y la edad promedio de los vehículos. Esto se evidencia además por la extensa línea de productos de O'Reilly y el enfoque estratégico en una estrategia de doble mercado, que solidifica su posición en el mercado de repuestos para automóviles.","[{'name': 'orly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orly-Q125-10-Q.html'}, {'name': 'orly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orly-Q225-10-Q.html'}, {'name': 'orly-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orly-Q324-10-Q.html'}, {'name': 'orly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/orly-FY24-10-K.html'}]",82457808,USD,SMART,STK
AZO,AUT,transportation and logistics,automotive_aftermarket,US0533321024,AUTOZONE INC,2,"Proporciona una selección completa de piezas de repuesto para automóviles, accesorios y artículos de mantenimiento tanto para clientes que lo hacen ellos mismos como para instaladores profesionales, apoyando la reparación y el mantenimiento continuos de los vehículos.","El compromiso de AutoZone con el mercado de repuestos automotrices es evidente a través de su posición como minorista y distribuidor líder de repuestos y accesorios automotrices en las Américas, operando miles de tiendas en EE. UU., México y Brasil. La extensa línea de productos de la compañía se adapta a una amplia gama de vehículos, y las categorías relacionadas con fallas y mantenimiento representan consistentemente una parte significativa de sus ventas totales, aproximadamente el 86%. Además, el enfoque estratégico de AutoZone incluye mejorar la disponibilidad de piezas y la velocidad de entrega, respaldado por inversiones en iniciativas como las tiendas MegaHub, que son clave para su crecimiento comercial.","[{'name': 'azo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/azo-Q225-10-Q.html'}, {'name': 'azo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/azo-Q125-10-Q.html'}, {'name': 'azo-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/azo-Q325-10-Q.html'}, {'name': 'azo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/azo-FY24-10-K.html'}]",4750,USD,SMART,STK
LKQ,AUT,transportation and logistics,automotive_aftermarket,US5018892084,LKQ CORP,3,"Es un proveedor mundial líder de piezas alternativas y especializadas para la reparación y el mantenimiento de vehículos, al servicio del mercado de repuestos del automóvil.","El negocio de LKQ está fuertemente involucrado en el Mercado de Repuestos Automotrices, ya que la empresa es un distribuidor global de productos para vehículos, que incluyen repuestos, componentes, sistemas y productos y accesorios especializados para el mercado de repuestos. La empresa opera a través de cuatro segmentos: Mayorista - América del Norte, Europa, Especialidades y Autoservicio, todos profundamente involucrados en el mercado de repuestos automotrices. El segmento Mayorista - América del Norte es un proveedor líder de productos alternativos de repuesto para colisiones de vehículos, mientras que el segmento de Especialidades es un distribuidor líder de equipos y accesorios especializados para el mercado de repuestos de vehículos. La ventaja de la empresa en el mercado de repuestos proviene de su suministro de productos reciclados y su capacidad para trasladar aumentos de precios, lo que solidifica aún más su posición en este sector.","[{'name': 'lkq-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lkq-FY24-10-K.html'}, {'name': 'lkq-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lkq-Q125-10-Q.html'}, {'name': 'lkq-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lkq-Q324-10-Q.html'}, {'name': 'lkq-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lkq-Q225-10-Q.html'}]",26345312,USD,SMART,STK
GPC,AUT,transportation and logistics,automotive_aftermarket,US3724601055,GENUINE PARTS CO,4,"Opera como un distribuidor global líder de piezas de repuesto automotrices, suministrando una amplia gama de componentes para el mantenimiento y reparación de vehículos a diversos clientes.","Genuine Parts Company mantiene una fuerte presencia en el mercado de repuestos para automóviles, como lo demuestra el segmento Global Automotive de la empresa, que experimentó un aumento en las ventas. El Automotive Parts Group representa una parte importante de los ingresos totales. La dedicación de la empresa a este sector se evidencia aún más en las adquisiciones estratégicas de tiendas de repuestos para automóviles y la posición establecida de NAPA como líder mundial en la industria del mercado de repuestos para automóviles.","[{'name': 'gpc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gpc-FY24-10-K.html'}, {'name': 'gpc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpc-Q324-10-Q.html'}]",7745,USD,SMART,STK
CMI,AUT,transportation and logistics,automotive_aftermarket,US2310211063,CUMMINS INC,5,"Suministra repuestos originales, mantenimiento y soluciones de servicio para su diversa gama de motores y sistemas de potencia, apoyando la longevidad y el rendimiento de vehículos y equipos en el mercado de posventa.","Cummins se relaciona con el Mercado de Repuestos Automotrices a través de sus segmentos de Componentes y Distribución, que participan en la venta de piezas y la prestación de actividades de servicio y reparación. Específicamente, el segmento de Distribución se enfoca en la venta al por mayor de motores, grupos electrógenos y repuestos de servicio, además de realizar actividades de servicio y reparación. La compañía ha notado la estabilidad de su negocio de posventa y experimenta una fuerte demanda de piezas dentro del segmento de Distribución, con volúmenes de posventa que contribuyen a un mayor EBITDA en el segmento de Motores. El negocio de posventa también se considera menos sensible al sentimiento económico a corto plazo.","[{'name': 'cmi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmi-Q324-10-Q.html'}]",6207,USD,SMART,STK
MMM,AUT,transportation and logistics,automotive_aftermarket,US88579Y1010,3M CO,6,"Suministra una amplia cartera de productos, incluidos abrasivos, adhesivos y recubrimientos, fundamentales para la reparación, el mantenimiento y el detallado de vehículos en el mercado de repuestos automotrices.","La participación de 3M en el mercado de repuestos automotrices se refleja en menciones en sus segmentos de Seguridad e Industrial, Transporte y Electrónica, y Consumo, aunque enfrenta desafíos. Específicamente, se han observado disminuciones en las ventas en el mercado de repuestos automotrices dentro del negocio de Seguridad e Industrial. La compañía también ha reconocido debilidad en el sector automotriz y de repuestos automotrices, afectada además por la disminución de las tasas de reclamaciones de reparación de colisiones y la debilidad en la producción de automóviles, particularmente en Europa y EE. UU. Si bien Meguiar's Auto Care experimentó crecimiento, la contribución general a la cartera de 3M parece mínima.","[{'name': 'mmm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmm-Q125-10-Q.html'}, {'name': 'mmm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mmm-FY24-10-K.html'}, {'name': 'mmm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmm-Q225-10-Q.html'}]",9720,USD,SMART,STK
AAP,AUT,transportation and logistics,automotive_aftermarket,US00751Y1064,ADVANCE AUTO PARTS INC,7,"Proporciona una amplia gama de piezas, accesorios y artículos de mantenimiento para el mercado de repuestos automotrices, satisfaciendo las necesidades de talleres de reparación profesionales y propietarios de vehículos individuales.","Advance Auto Parts opera en el mercado de repuestos de automóviles, atendiendo tanto a clientes profesionales como a aficionados al bricolaje. La empresa se enfoca en proporcionar repuestos de automóviles de alta calidad, mejorar la disponibilidad de piezas y ofrecer un excelente servicio al cliente. Esto se apoya en su amplia red de tiendas, su enfoque en el mantenimiento y la reparación de una flota de vehículos envejecida, y sus esfuerzos por gestionar los costos y mejorar la eficiencia de la cadena de suministro. La empresa declara explícitamente su confianza en las perspectivas de crecimiento a largo plazo para la industria de repuestos de automóviles.","[{'name': 'aap-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aap-Q125-10-Q.html'}, {'name': 'aap-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aap-Q324-10-Q.html'}, {'name': 'aap-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aap-Q224-10-Q.html'}, {'name': 'aap-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aap-FY24-10-K.html'}]",4027,USD,SMART,STK
6902,AUT,transportation and logistics,automotive_aftermarket,JP3551500006,DENSO CORP,8,Contribuye al mercado de repuestos automotrices suministrando una amplia gama de componentes y sistemas para el mantenimiento y reparación de vehículos.,,,13905745,JPY,SMART,STK
GT,AUT,transportation and logistics,automotive_aftermarket,US3825501014,GOODYEAR TIRE & RUBBER CO,9,"Suministra una cartera integral de neumáticos de repuesto y servicios relacionados al mercado de posventa automotriz, satisfaciendo diversas necesidades de vehículos de consumo y comerciales.","El involucramiento de Goodyear en el mercado de repuestos automotrices es evidente a través de sus ventas de neumáticos de reemplazo, servicios de recauchutado y ofertas de servicios minoristas. La empresa se enfoca en distribuidores alineados que representan su cartera completa de productos y en la construcción de marcas Goodyear, junto con la introducción de nuevos productos y extensiones de líneas de productos. El segmento EMEA de Goodyear experimenta un crecimiento en Soluciones para Flotas, mientras que el segmento de las Américas ve una mayor competitividad en los EE. UU. de los mercados de menor nivel. La empresa también tiene como objetivo ser la número 1 en neumáticos y servicios, lo que incluye servicios de posventa, y se enfoca en optimizar su estrategia de distribución de posventa.","[{'name': 'gt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gt-Q324-10-Q.html'}, {'name': 'gt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gt-Q225-10-Q.html'}, {'name': 'gt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gt-FY24-10-K.html'}, {'name': 'gt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gt-Q125-10-Q.html'}]",7830,USD,SMART,STK
CON,AUT,transportation and logistics,automotive_aftermarket,DE0005439004,CONTINENTAL AG,10,"Suministra una amplia gama de componentes, sistemas y servicios para el mantenimiento, reparación y mejora de vehículos, contribuyendo activamente al sector global del mercado de repuestos automotrices.",,,14106,EUR,SMART,STK
