symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
APTV,automotive,automotive_electronics,JE00BTDN8H13,APTIV PLC,1,"Desarrolla y suministra electrónica automotriz avanzada, incluidas soluciones para seguridad activa, conducción autónoma, conectividad y electrificación de vehículos, lo que permite el futuro de la movilidad.","El compromiso de Aptiv con la electrónica automotriz es evidente en su papel como empresa tecnológica global centrada en ofrecer soluciones para un futuro definido por software, proporcionando software, hardware y componentes eléctricos para el mercado automotriz. El segmento de Seguridad Avanzada y Experiencia de Usuario de la empresa suministra software y plataformas informáticas avanzadas, mientras que su segmento de Soluciones de Señal y Energía se centra en la arquitectura de redes para sistemas de vehículos integrados. Las tecnologías de Aptiv dan soporte a una gama de sistemas electrónicos automotrices, incluyendo asistencia avanzada al conductor, sistemas de seguridad, pantallas e infoentretenimiento, y la empresa se beneficia del creciente contenido electrónico en los vehículos, lo que solidifica aún más su posición en el panorama de la electrónica automotriz.","[{'name': 'aptv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q225-10-Q.html'}, {'name': 'aptv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q324-10-Q.html'}, {'name': 'aptv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q125-10-Q.html'}, {'name': 'aptv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aptv-FY24-10-K.html'}]",748351585,USD,SMART,STK,True,AU2
MBLY,automotive,automotive_electronics,US60741F1049,MOBILEYE GLOBAL INC-A,2,"Desarrolla y suministra sistemas avanzados de asistencia al conductor (ADAS) y tecnologías de conducción autónoma, desempeñando un papel fundamental en la evolución de la electrónica automotriz inteligente y segura.","El fuerte compromiso de Mobileye con el tema de la Electrónica Automotriz es evidente a través de su liderazgo en el desarrollo y despliegue de sistemas avanzados de asistencia al conductor (ADAS) y tecnologías de conducción autónoma. Las soluciones de la empresa, basadas en software y hardware integrales, se instalan en aproximadamente 1.200 modelos de vehículos, con sus System-on-Chips (SoCs) desplegados en más de 200 millones de vehículos. Mobileye colabora activamente con más de 50 fabricantes de equipos originales (OEM) en todo el mundo en la implementación de ADAS y se asocia con STMicroelectronics en la fabricación, diseño e I+D de su serie EyeQ, solidificando aún más su posición en la electrónica automotriz.","[{'name': 'mbly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q125-10-Q.html'}, {'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}]",593660024,USD,SMART,STK,False,AU2
VC,automotive,automotive_electronics,US92839U2069,VISTEON CORP,3,"Desarrolla y suministra electrónica avanzada para cabinas de mando, incluidos clústeres de instrumentos digitales, sistemas de infoentretenimiento y tecnologías de visualización, esenciales para las arquitecturas de vehículos modernas.","El compromiso de Visteon con la Electrónica Automotriz es evidente en su posición como líder mundial en electrónica de cabina, ofreciendo soluciones para la experiencia de cabina automotriz de próxima generación. El enfoque de la empresa se ve subrayado por su amplia cartera de electrónica de cabina digital y electrificación, que apoya las macrotendencias en la industria automotriz. La dedicación de Visteon a crear experiencias de conducción agradables, conectadas y seguras se demuestra aún más a través de sus plataformas que aprovechan hardware y software escalables, permitiendo la evolución digital, eléctrica y autónoma de sus clientes automotrices. Esto también se refleja en las inversiones de Visteon para desarrollar experiencia en el diseño y fabricación de pantallas automotrices.","[{'name': 'vc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vc-Q125-10-Q.html'}, {'name': 'vc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vc-FY24-10-K.html'}, {'name': 'vc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vc-Q225-10-Q.html'}, {'name': 'vc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vc-Q324-10-Q.html'}]",79565601,USD,SMART,STK,True,AU2
NXPI,automotive,automotive_electronics,NL0009538784,NXP SEMICONDUCTORS NV,4,Desarrolla y suministra una cartera integral de soluciones de semiconductores que potencian funciones e innovaciones críticas dentro del sector de la electrónica automotriz.,"NXP demuestra una fuerte conexión con el tema de la electrónica automotriz, evidenciada por los ingresos significativos generados en este sector. Específicamente, el mercado final automotriz contribuyó con $7,151 millones en ingresos, representando una parte sustancial de las ganancias generales de NXP. El enfoque de la empresa incluye procesadores automotrices, productos de conectividad, carteras analógicas avanzadas y productos ADAS – Seguridad, con fluctuaciones de ingresos atribuidas a cambios en estas categorías de productos específicas. Esto resalta la importancia de la electrónica automotriz para el negocio de NXP.","[{'name': 'nxpi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxpi-FY24-10-K.html'}, {'name': 'nxpi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q324-10-Q.html'}]",77791077,USD,SMART,STK,True,AU2
ARM,automotive,automotive_electronics,US0420682058,ARM HOLDINGS PLC-ADR,5,Proporciona propiedad intelectual fundamental para diseños de semiconductores que impulsan una amplia gama de sistemas electrónicos automotrices.,"La participación de Arm en la Electrónica Automotriz se demuestra a través de varias actividades clave. El crecimiento de las regalías de la empresa es amplio, incluido el sector automotriz, y están ganando activamente cuota de mercado en Infotainment en el Vehículo (IVI) y Sistemas Avanzados de Asistencia al Conductor (ADAS). Además, Arm ha firmado su primera licencia CSS automotriz con un líder mundial en vehículos eléctricos, lo que permite silicio personalizado para vehículos de próxima generación, y está colaborando con GM y NVIDIA en plataformas Arm-based Drive AGX para vehículos de próxima generación. Arm ha experimentado un fuerte crecimiento de dos dígitos en el sector automotriz.",,653400472,USD,SMART,STK,False,AU2
TXN,automotive,automotive_electronics,US8825081040,TEXAS INSTRUMENTS INC,6,Proporciona componentes y soluciones semiconductores fundamentales que potencian sistemas y funcionalidades avanzadas en la industria de la electrónica automotriz.,,,13096,USD,SMART,STK,True,AU2
NVDA,automotive,automotive_electronics,US67066G1040,NVIDIA CORP,7,"Desarrolla una plataforma integral de computación de IA, que incluye chips de alto rendimiento y software, específicamente para vehículos autónomos y sistemas avanzados de asistencia al conductor, impulsando la innovación en el sector de la electrónica automotriz.",,,4815747,USD,SMART,STK,True,AU2
CON,automotive,automotive_electronics,DE0005439004,CONTINENTAL AG,8,"Desarrolla y suministra una amplia gama de componentes y sistemas electrónicos críticos para las funcionalidades modernas de los vehículos, incluida la seguridad, la conectividad y el infoentretenimiento.",,,14106,EUR,SMART,STK,False,AU2
QCOM,automotive,automotive_electronics,US7475251036,QUALCOMM INC,9,"Desarrolla soluciones avanzadas de chasis digital, incluidas las plataformas Snapdragon, que integran conectividad, conducción autónoma y funciones de cabina inteligente para potenciar vehículos de próxima generación.","El segmento QCT de Qualcomm experimentó un crecimiento de ingresos en el tercer trimestre del año fiscal 2025, impulsado por un aumento en los ingresos automotrices. Este crecimiento se atribuye a un mayor envío de nuevos lanzamientos de vehículos que incorporan productos de cabina digital Snapdragon. El aumento de los ingresos de QCT se debió a mayores ingresos de teléfonos, IoT y automotrices.","[{'name': 'qcom-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q325-10-Q.html'}]",273544,USD,SMART,STK,True,AU2
6902,automotive,automotive_electronics,JP3551500006,DENSO CORP,10,"Desarrolla y suministra una amplia gama de componentes y sistemas electrónicos avanzados, críticos para la funcionalidad, seguridad y rendimiento de los vehículos modernos.",,,13905745,JPY,SMART,STK,False,AU2
