type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
automotive,automotive_semiconductors,NL0009538784,NXP SEMICONDUCTORS NV,1,"Desarrolla y suministra soluciones de semiconductores críticas para sistemas automotrices avanzados, posicionándose como un contribuyente principal a la industria.","El enfoque de NXP en semiconductores para automóviles es evidente a través de su significativa contribución de ingresos del mercado final automotriz, que fue de $7,151 millones. Si bien hubo una ligera disminución en los procesadores automotrices y productos de conectividad, el crecimiento en productos ADAS – Seguridad y la cartera analógica avanzada compensaron parcialmente esta disminución. La empresa está invirtiendo activamente en semiconductores para automóviles, particularmente en áreas de crecimiento como vehículos definidos por software (SDV), radar y electrificación, con las familias de procesadores S32 impulsando los ingresos en este espacio. NXP también se enfoca en impulsores de crecimiento como el radar y la electrificación, que dependen en gran medida de los semiconductores para automóviles.","[{'name': 'nxpi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxpi-FY24-10-K.html'}, {'name': 'nxpi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q324-10-Q.html'}, {'name': 'nxpi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q225-10-Q.html'}]",77791077,USD,NXPI,SMART,STK,True,AU5
automotive,automotive_semiconductors,US60741F1049,MOBILEYE GLOBAL INC-A,2,"Desarrolla soluciones avanzadas de procesamiento de visión y detección basadas en semiconductores, cruciales para los sistemas de asistencia al conductor y las tecnologías de conducción autónoma en la industria automotriz.","La exposición de Mobileye al tema de Semiconductores Automotrices es sustancial, impulsada principalmente por su serie EyeQ de SoC. La empresa genera la mayor parte de sus ingresos de la venta de estos SoC EyeQ a los fabricantes de equipos originales (OEM) a través de proveedores automotrices de Nivel 1, y las ventas de SoC EyeQ representan una parte significativa de sus ingresos en períodos recientes. Estos SoC son fundamentales para las soluciones de ADAS y conducción autónoma de Mobileye, y la empresa está co-desarrollando seis generaciones del SoC EyeQ con STMicroelectronics. La serie EyeQ incluye chips como el EyeQ6 Lite, diseñado para aplicaciones de alto volumen, y el EyeQ6 High, utilizado en productos avanzados, lo que demuestra el enfoque de Mobileye en ofrecer soluciones de semiconductores automotrices rentables y escalables.","[{'name': 'mbly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q125-10-Q.html'}, {'name': 'mbly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q225-10-Q.html'}, {'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}]",593660024,USD,MBLY,SMART,STK,False,AU5
automotive,automotive_semiconductors,US6821891057,ON SEMICONDUCTOR,3,"Un proveedor clave de soluciones de semiconductores esenciales para diversas aplicaciones automotrices, apoyando los avances en electrificación de vehículos, seguridad y tecnologías de conducción autónoma.","La empresa demuestra una fuerte conexión con el tema de los semiconductores automotrices a través de su enfoque en proporcionar soluciones inteligentes de energía y detección principalmente para los mercados automotriz e industrial. Estas soluciones son cruciales para los avances en la conducción autónoma, ADAS, la electrificación de vehículos y el aumento del contenido electrónico en los vehículos, remodelando la industria del transporte. Las tecnologías de la empresa facilitan la electrificación de la industria automotriz, permitiendo vehículos eléctricos más ligeros y de mayor autonomía, y sistemas eficientes de carga rápida.","[{'name': 'on-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/on-Q324-10-Q.html'}, {'name': 'on-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/on-Q224-10-Q.html'}]",8677881,USD,ON,SMART,STK,True,AU5
automotive,automotive_semiconductors,US67066G1040,NVIDIA CORP,4,"Proporciona plataformas informáticas avanzadas y soluciones de IA esenciales para la conducción autónoma, la inteligencia en el automóvil y los sistemas automotrices de próxima generación.",,,4815747,USD,NVDA,SMART,STK,True,AU5
automotive,automotive_semiconductors,JP3164720009,RENESAS ELECTRONICS CORP,5,Permite funcionalidades avanzadas en el sector automotriz a través del desarrollo y provisión de componentes semiconductores especializados.,,,31676917,JPY,6723,SMART,STK,False,AU5
automotive,automotive_semiconductors,US8825081040,TEXAS INSTRUMENTS INC,6,"Desarrolla y suministra un amplio portafolio de semiconductores analógicos y de procesamiento embebido esenciales para aplicaciones automotrices avanzadas, incluyendo ADAS, infoentretenimiento y sistemas de propulsión.","La participación de la empresa en la industria de semiconductores automotrices es evidente a través del diseño, fabricación y venta de semiconductores al mercado automotriz, con la empresa enfatizando estratégicamente este sector. El mercado automotriz se identifica consistentemente como uno de los principales mercados finales de la empresa, y la empresa pone un énfasis estratégico adicional en el diseño y la venta de productos en los mercados automotrices, considerándolo un área clave para oportunidades de crecimiento a largo plazo. Si bien la automoción es un mercado importante, no hay mención explícita de tecnología patentada o acuerdos exclusivos relacionados con semiconductores automotrices.","[{'name': 'txn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/txn-FY24-10-K.html'}, {'name': 'txn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txn-Q225-10-Q.html'}]",13096,USD,TXN,SMART,STK,True,AU5
automotive,automotive_semiconductors,US7475251036,QUALCOMM INC,7,"Desarrolla y suministra plataformas y soluciones avanzadas de semiconductores esenciales para vehículos conectados, infoentretenimiento y tecnologías de conducción autónoma.","La participación de Qualcomm en la industria de semiconductores automotrices es evidente a través de sus crecientes ingresos automotrices, impulsados principalmente por la demanda de productos de cabina digital y conectividad Snapdragon. Estas plataformas Snapdragon, que incluyen procesadores, módems y chipsets integrados, se utilizan en lanzamientos de vehículos nuevos. El segmento QCT de la empresa genera ingresos por ventas automotrices de estas plataformas Snapdragon, lo que indica el papel de Qualcomm en el suministro de componentes semiconductores para aplicaciones automotrices.","[{'name': 'qcom-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qcom-FY24-10-K.html'}, {'name': 'qcom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q125-10-Q.html'}, {'name': 'qcom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q225-10-Q.html'}]",273544,USD,QCOM,SMART,STK,True,AU5
automotive,automotive_semiconductors,US0326541051,ANALOG DEVICES INC,8,Desarrolla y suministra soluciones críticas de semiconductores analógicos y de señal mixta que permiten características y funcionalidades avanzadas en sistemas automotrices.,,,4157,USD,ADI,SMART,STK,True,AU5
automotive,automotive_semiconductors,US01749D1054,ALLEGRO MICROSYSTEMS INC,9,"Desarrolla y suministra una cartera diversa de soluciones de semiconductores diseñadas específicamente para aplicaciones automotrices, lo que permite funcionalidades avanzadas en los vehículos.","El compromiso de Allegro MicroSystems con el tema de los semiconductores automotrices es evidente en su papel como diseñador, desarrollador y fabricante de circuitos integrados de sensores y de potencia para el mercado automotriz. La empresa es un proveedor líder mundial de soluciones de circuitos integrados de sensores magnéticos, impulsado por su liderazgo en el sector automotriz, donde sus productos son fundamentales para los sistemas electrónicos de los automóviles. Esto se ve respaldado por nuevas adjudicaciones de diseño en sistemas de frenado electromecánico de alto crecimiento, gestión térmica de vehículos eléctricos (xEV), sistemas avanzados de asistencia al conductor (ADAS), aplicaciones de dirección por cable y un emocionante nuevo programa de carga para vehículos eléctricos (xEV) en China, así como su primera adjudicación de un controlador de puerta aislado para automoción.","[{'name': 'algm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/algm-Q325-10-Q.html'}, {'name': 'algm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/algm-Q225-10-Q.html'}]",452380681,USD,ALGM,SMART,STK,True,AU5
automotive,automotive_semiconductors,US5950171042,MICROCHIP TECHNOLOGY INC,10,"Ofrece una cartera completa de soluciones de semiconductores, incluidos microcontroladores y componentes analógicos, esenciales para los sistemas electrónicos avanzados de la industria automotriz.",,,271568,USD,MCHP,SMART,STK,True,AU5
