symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
MBLY,AU,AUT_10,automotive,automotive_sensors,US60741F1049,MOBILEYE GLOBAL INC-A,1,Desarrolla y suministra sistemas de sensores sofisticados y tecnologías relacionadas que son fundamentales para las soluciones avanzadas de asistencia al conductor y conducción autónoma en la industria automotriz.,"La participación de Mobileye en los sensores automotrices es evidente a través de su desarrollo y despliegue de sistemas avanzados de asistencia al conductor (ADAS) y tecnologías de conducción autónoma. La empresa está innovando activamente en tecnología de sensores, como lo demuestra su desarrollo de radar de imagen definido por software, que tiene como objetivo reducir costos al minimizar la necesidad de múltiples unidades LiDAR. Mobileye integra radares de imagen en sus sistemas, como el vehículo de prueba ID.Buzz, y anticipa victorias de diseño con fabricantes de equipos originales (OEM) europeos para sus productos de radar de imagen, particularmente para habilitar soluciones de conducción autónoma de Nivel 3. Además, los SoC EyeQ de Mobileye y las asociaciones con empresas como STMicroelectronics e Intel resaltan su compromiso de avanzar en la tecnología de sensores para aplicaciones automotrices.","[{'name': 'mbly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q125-10-Q.html'}, {'name': 'mbly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q225-10-Q.html'}, {'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}]",593660024,USD,SMART,STK
NXPI,AU,AUT_10,automotive,automotive_sensors,NL0009538784,NXP SEMICONDUCTORS NV,2,"Es un proveedor global líder de sensores automotrices, que contribuye significativamente al desarrollo y suministro de componentes críticos para la industria automotriz.","El compromiso de NXP con los sensores automotrices es evidente a través de su significativa contribución de ingresos del sector automotriz, que representó $7,151 millones de sus ingresos. El enfoque de la empresa en productos ADAS - Seguridad, que dependen en gran medida de los sensores automotrices, es un elemento clave de su estrategia, siendo el radar un impulsor de crecimiento debido al aumento de los niveles de ADAS. Además, NXP está desarrollando activamente soluciones para el mercado automotriz, como lo demuestra su adquisición de Kinara para mejorar los sistemas basados en el borde con IA para aplicaciones automotrices.","[{'name': 'nxpi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q324-10-Q.html'}, {'name': 'nxpi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxpi-FY24-10-K.html'}]",77791077,USD,SMART,STK
ON,AU,AUT_10,automotive,automotive_sensors,US6821891057,ON SEMICONDUCTOR,3,"Se enfoca en proporcionar soluciones de sensores para la industria automotriz, permitiendo avances en seguridad, conducción autónoma y electrificación de vehículos.","El compromiso de la empresa con los sensores automotrices es evidente a través de sus tecnologías de detección inteligente, que mejoran la movilidad automotriz al permitir sistemas avanzados de seguridad y conducción automatizada con detección de imágenes y profundidad. El enfoque de la empresa en la automoción se destaca por su División de Sensores Automotrices, aunque los ingresos de esta división han disminuido. La empresa también se enfoca en ADAS y visión artificial, y está ganando terreno con sensores de imagen y aplicaciones automotrices, que continúan siendo un diferenciador.","[{'name': 'on-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/on-Q324-10-Q.html'}, {'name': 'on-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/on-Q125-10-Q.html'}, {'name': 'on-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/on-Q224-10-Q.html'}, {'name': 'on-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/on-FY24-10-K.html'}]",8677881,USD,SMART,STK
IFX,AU,AUT_10,automotive,automotive_sensors,DE0006231004,INFINEON TECHNOLOGIES AG,4,"Desarrolla y suministra una amplia gama de sensores críticos para aplicaciones automotrices, permitiendo funciones avanzadas de seguridad, eficiencia y conducción autónoma en vehículos.",,,7747731,EUR,SMART,STK
6902,AU,AUT_10,automotive,automotive_sensors,JP3551500006,DENSO CORP,5,"Desarrolla y fabrica sensores automotrices avanzados críticos para la seguridad del vehículo, sistemas de conducción autónoma y control del motor dentro de la industria automotriz.",,,13905745,JPY,SMART,STK
CON,AU,AUT_10,automotive,automotive_sensors,DE0005439004,CONTINENTAL AG,6,"Se enfoca en el desarrollo y la producción de soluciones avanzadas de sensores esenciales para la seguridad del vehículo, la conducción automatizada y el rendimiento mejorado del vehículo.",,,14106,EUR,SMART,STK
TXN,AU,AUT_10,automotive,automotive_sensors,US8825081040,TEXAS INSTRUMENTS INC,7,"Desarrolla y suministra semiconductores esenciales de procesamiento analógico y embebido que potencian una amplia gama de sistemas de sensores automotrices, mejorando la seguridad, el rendimiento y las funciones avanzadas de asistencia al conductor del vehículo.",,,13096,USD,SMART,STK
ST,AU,AUT_10,automotive,automotive_sensors,GB00BFMBMT84,SENSATA TECHNOLOGIES HOLDING,8,"Desarrolla y suministra una amplia gama de soluciones avanzadas de sensores críticas para diversas aplicaciones automotrices, mejorando la seguridad, la eficiencia y el rendimiento del vehículo.","La participación de Sensata Technologies en el tema de los sensores automotrices es evidente a través de su segmento de Sensores de Rendimiento, que se ve significativamente afectado por los niveles de producción automotriz y representa una parte sustancial de los ingresos netos de la empresa. La empresa proporciona sensores y soluciones ricas en sensores, incluidos sistemas de monitoreo de presión de neumáticos (TPMS) y protección eléctrica específica para NEV, y ha demostrado innovación con su tecnología de detección de reventones de neumáticos. El enfoque de Sensata en tecnologías de productos centrales como la protección de presión, temperatura y eléctrica, junto con la combinación de los negocios Automotriz y HVOR, subraya aún más su participación en el mercado de sensores automotrices.","[{'name': 'st-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/st-Q125-10-Q.html'}, {'name': 'st-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/st-Q225-10-Q.html'}, {'name': 'st-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/st-Q324-10-Q.html'}, {'name': 'st-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/st-FY24-10-K.html'}]",311458442,USD,SMART,STK
APTV,AU,AUT_10,automotive,automotive_sensors,JE00BTDN8H13,APTIV PLC,9,"Desarrolla y suministra tecnologías de sensores críticas para aplicaciones automotrices avanzadas, apoyando los sistemas de vehículos modernos.","El compromiso de Aptiv con los sensores automotrices es evidente a través de su desarrollo de soluciones de conducción automatizada líderes en el mercado, que incluyen tecnologías de detección y computación de seguridad activa para aplicaciones críticas de seguridad. Las capacidades de la empresa se extienden desde el sensor hasta la nube, brindando a los clientes flexibilidad y escalabilidad y fortaleciendo su ventaja competitiva. Aptiv experimenta una fuerte demanda de sus productos líderes en la industria en toda la pila tecnológica de sensor a nube.","[{'name': 'aptv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q324-10-Q.html'}]",748351585,USD,SMART,STK
FR,AU,AUT_10,automotive,automotive_sensors,FR0013176526,VALEO,10,Desarrolla y suministra una amplia gama de tecnologías de detección esenciales para sistemas avanzados de asistencia al conductor y funcionalidades de conducción autónoma en la industria automotriz.,,,235161255,EUR,SMART,STK
