type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
automotive,automotive_technology,US88160R1014,TESLA INC,1,"Impulsa la innovación en el desarrollo de vehículos eléctricos, sistemas avanzados de asistencia al conductor y plataformas de software integradas, estableciendo puntos de referencia para el futuro de la tecnología automotriz.","El enfoque de Tesla en la tecnología automotriz es evidente en el diseño, desarrollo y fabricación de vehículos eléctricos de alto rendimiento, junto con un énfasis creciente en IA, robótica y automatización. La compañía se dedica a mejorar el rendimiento y la funcionalidad de los vehículos a través de funciones impulsadas por IA como Autopilot y FSD, y actualiza continuamente toda su línea de vehículos. Tesla también enfatiza que todos sus vehículos son capaces de autonomía, lo que se considera un diferenciador clave, y que los vehículos con FSD establecen un nuevo estándar de seguridad.","[{'name': 'tsla-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q324-10-Q.html'}, {'name': 'tsla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsla-FY24-10-K.html'}]",76792991,USD,TSLA,SMART,STK,True,AUT
automotive,automotive_technology,US60741F1049,MOBILEYE GLOBAL INC-A,2,"Se centra en el desarrollo y la implementación de sistemas avanzados de asistencia al conductor basados en visión y tecnologías de conducción autónoma, que son fundamentales para los avances en seguridad automotriz y capacidades autónomas.","Mobileye está fuertemente invertida en tecnología automotriz, particularmente en el desarrollo y despliegue de tecnologías ADAS y de conducción autónoma, y obtiene sustancialmente todos sus ingresos de soluciones ADAS. La empresa trabaja activamente con más de 50 OEM en todo el mundo para implementar soluciones ADAS y está innovando en tecnología vehicular con sistemas como SuperVision, Chauffeur y Drive, todos orientados a mejorar la experiencia de conducción, la seguridad y la eficiencia. Como líder en el sector, Mobileye se enfoca en desarrollar soluciones ADAS y AV avanzadas, incluidos los SoC EyeQ, para extender su liderazgo tecnológico y permitir mayores niveles de autonomía, alineándose con los objetivos de vehículos definidos por software de los OEM.","[{'name': 'mbly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q125-10-Q.html'}, {'name': 'mbly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q225-10-Q.html'}, {'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}]",593660024,USD,MBLY,SMART,STK,False,AUT
automotive,automotive_technology,US7475251036,QUALCOMM INC,3,"Es un proveedor líder de tecnologías avanzadas para la industria automotriz, incluyendo soluciones de conectividad, cabina digital y ADAS que permiten vehículos inteligentes y conectados.","Qualcomm demuestra un fuerte compromiso con el tema de la Tecnología Automotriz, como lo demuestran el aumento de los ingresos automotrices y la tracción de sus soluciones Snapdragon Digital Chassis en todo el ecosistema automotriz. Los ingresos automotrices de la compañía han mostrado un crecimiento constante año tras año, impulsado por el crecimiento de contenido en lanzamientos de vehículos nuevos que presentan la plataforma Snapdragon Digital Chassis. Esta plataforma está ganando impulso con numerosos diseños y lanzamientos de vehículos nuevos, incluidas colaboraciones con BMW en sus vehículos Neue Klasse, utilizando las plataformas Snapdragon Ride de Qualcomm y el Driving Stack desarrollado conjuntamente. Estas iniciativas, junto con nuevas colaboraciones para soluciones de cabina inteligente con IA y programas ADAS, resaltan el compromiso y la inversión de Qualcomm en el avance de la tecnología automotriz.","[{'name': 'qcom-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q325-10-Q.html'}, {'name': 'qcom-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qcom-FY24-10-K.html'}, {'name': 'qcom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q125-10-Q.html'}]",273544,USD,QCOM,SMART,STK,True,AUT
automotive,automotive_technology,US67066G1040,NVIDIA CORP,4,"Desarrolla plataformas informáticas avanzadas y tecnologías de IA críticas para la conducción autónoma, cabinas inteligentes y simulación en la industria automotriz.","La participación de NVIDIA en Tecnología Automotriz es evidente a través de sus plataformas de conducción autónoma y soluciones de AI Cockpit, que impulsan un crecimiento significativo de los ingresos en el sector automotriz. El enfoque de la empresa en esta área se demuestra aún más por la transición de arquitecturas en sus productos automotrices y su reconocimiento del sector automotriz como uno de sus cuatro mercados clave. El éxito de NVIDIA en el Desafío Gran Prix Autónomo subraya la importancia de la IA generativa en el desarrollo de sus vehículos autónomos, destacando su compromiso con el avance de la tecnología en este dominio. Sin embargo, las posibles restricciones del gobierno de EE. UU. a las importaciones de productos automotrices podrían afectar la capacidad de NVIDIA para suministrar soluciones a clientes automotrices.","[{'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,NVDA,SMART,STK,True,AUT
automotive,automotive_technology,NL0009538784,NXP SEMICONDUCTORS NV,5,"Desarrolla y suministra una amplia cartera de soluciones de semiconductores cruciales para aplicaciones automotrices avanzadas, incluyendo redes en el vehículo, conducción autónoma y sistemas de vehículos eléctricos.","La participación de NXP en la tecnología automotriz es evidente a través de varias iniciativas estratégicas y resultados financieros. La adquisición de TTTech Auto por parte de la empresa, destinada a reforzar sus capacidades en vehículos definidos por software, demuestra un compromiso con el avance de la tecnología automotriz. Esto se ve respaldado aún más por el enfoque de la empresa en productos de seguridad ADAS, que han compensado las caídas en otros segmentos automotrices. Las soluciones de NXP para vehículos definidos por software, radar, ADAS y electrificación resaltan el enfoque de la empresa en la tecnología automotriz.","[{'name': 'nxpi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q125-10-Q.html'}, {'name': 'nxpi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q225-10-Q.html'}, {'name': 'nxpi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxpi-Q324-10-Q.html'}, {'name': 'nxpi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxpi-FY24-10-K.html'}]",77791077,USD,NXPI,SMART,STK,True,AUT
automotive,automotive_technology,JP3633400001,TOYOTA MOTOR CORP,6,"Desarrolla e integra tecnologías avanzadas para vehículos, incluida la conducción autónoma, la electrificación y los servicios conectados, para mejorar el rendimiento, la seguridad y la experiencia del usuario dentro de la industria automotriz.",,,13905804,JPY,7203,SMART,STK,False,AUT
automotive,automotive_technology,DE0007664005,VOLKSWAGEN AG,7,"Un importante contribuyente a la evolución y el avance de la tecnología automotriz, impulsando la innovación en diversas facetas de la industria.",,,14232,EUR,VOW,SMART,STK,False,AUT
automotive,automotive_technology,JE00BTDN8H13,APTIV PLC,8,"Desarrolla y proporciona soluciones avanzadas de seguridad, conducción autónoma y electrificación de vehículos, integrando software y hardware para permitir el futuro de la movilidad.","El enfoque de Aptiv en la tecnología automotriz es evidente en su misión de crear un mundo más seguro, ecológico y conectado a través de soluciones de movilidad de extremo a extremo, lo que permite la transición a vehículos electrificados y definidos por software. La dedicación de la empresa se demuestra aún más por su enfoque en el desarrollo de tecnologías avanzadas de asistencia al conductor y soluciones de movilidad inteligente de extremo a extremo y por su alineación con las tendencias aceleradas de electrificación, automatización y digitalización en múltiples industrias. El compromiso de Aptiv se ve subrayado por su importante inversión en investigación y desarrollo para mantener una cartera de productos innovadores, posicionándola para capitalizar el cambio de la industria hacia vehículos definidos por software, seguridad activa y tecnologías de conducción autónoma.","[{'name': 'aptv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q125-10-Q.html'}, {'name': 'aptv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q324-10-Q.html'}, {'name': 'aptv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aptv-FY24-10-K.html'}]",748351585,USD,APTV,SMART,STK,True,AUT
automotive,automotive_technology,US4581401001,INTEL CORP,9,Proporciona plataformas informáticas fundamentales y soluciones de silicio que impulsan los sistemas avanzados de asistencia al conductor y las tecnologías de conducción autónoma dentro de la industria automotriz.,"El compromiso de Intel con la Tecnología Automotriz se realiza principalmente a través de Mobileye, un líder mundial en soluciones de asistencia a la conducción y conducción autónoma. La cartera de productos de Mobileye abarca toda la pila necesaria para la conducción asistida y autónoma, incluidas plataformas de computación, visión por computadora, percepción basada en aprendizaje automático, mapeo y localización, política de conducción y sensores activos. El enfoque de la empresa en soluciones de asistencia a la conducción y conducción autónoma indica una inversión significativa y personal dedicado en tecnología automotriz, y Mobileye contribuye a los ingresos generales de Intel.","[{'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}]",270639,USD,INTC,SMART,STK,True,AUT
automotive,automotive_technology,US02079K3059,ALPHABET INC-CL A,10,"Integra su sistema operativo Android y servicios de Google en vehículos, y desarrolla tecnología avanzada de conducción autónoma para mejorar la experiencia automotriz e impulsar el futuro del transporte.",,,208813719,USD,GOOGL,SMART,STK,True,AUT
