industry,theme,isin_code,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
automotive,automotive_telematics,US7475251036,QUALCOMM INC,1,"Proporciona soluciones integrales de Snapdragon Digital Chassis que integran telemática avanzada, conectividad y funciones inteligentes para la industria automotriz.",,273544,USD,QCOM,SMART,STK,True,,AU6
automotive,automotive_telematics,US88160R1014,TESLA INC,2,"Integra conectividad avanzada, actualizaciones inalámbricas y procesamiento sofisticado de datos de sensores para habilitar funciones de conducción autónoma, diagnósticos remotos y experiencias mejoradas en el automóvil.",,76792991,USD,TSLA,SMART,STK,True,,AU6
automotive,automotive_telematics,DE0005439004,CONTINENTAL AG,3,"Desarrolla y suministra soluciones telemáticas avanzadas para vehículos, integrando tecnologías de comunicación, navegación e infoentretenimiento para mejorar la conectividad y la experiencia del conductor.",,14106,EUR,CON,SMART,STK,False,,AU6
automotive,automotive_telematics,CA09228F1036,BLACKBERRY LTD,4,"Proporciona una plataforma de software segura y confiable, incluido su sistema operativo QNX, para soluciones de telemática automotriz, lo que permite servicios de vehículos conectados, gestión de datos y actualizaciones inalámbricas.","La participación de BlackBerry en Telemática Automotriz es evidente a través de BlackBerry Radar, una solución telemática para la industria del transporte y la logística, que incluye dispositivos y paneles basados en la nube para el seguimiento de activos y la presentación de informes de datos de sensores. QNX, que impulsa más de 255 millones de vehículos y fue seleccionado por Hyundai Mobis para impulsar su plataforma de cabina digital de próxima generación, apoya aún más esto. Además, BlackBerry IVY sirve como una plataforma de datos inteligentes para vehículos, lo que permite a los fabricantes de automóviles acceder y normalizar los datos de los sensores del vehículo para obtener información predictiva.",131217645,CAD,BB,SMART,STK,False,"[{'name': 'bb-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bb-FY25-10-K.html'}, {'name': 'bb-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bb-Q325-10-Q.html'}, {'name': 'bb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bb-Q125-10-Q.html'}]",AU6
automotive,automotive_telematics,US79589L1061,SAMSARA INC-CL A,5,"Proporciona una plataforma de operaciones conectadas que aprovecha la telemática de vehículos para mejorar la seguridad, la eficiencia y la sostenibilidad de las flotas para organizaciones comerciales e industriales.","La participación de la empresa en la telemática automotriz es evidente a través de su Plataforma de Operaciones Conectadas, que incluye aplicaciones para telemática de vehículos y dispositivos IoT como sensores y cámaras telemáticas. Ofrecen soluciones de telemática de vehículos, recopilando datos de sensores para mejorar la eficiencia del lugar de trabajo, la seguridad del conductor y la experiencia del cliente. Esto se demuestra aún más por sus soluciones de seguridad impulsadas por IA que gestionan el riesgo a escala empresarial, proporcionando alertas integrales de IA para problemas de seguridad. Por ejemplo, una asociación con una importante empresa de propano resultó en una reducción significativa de los eventos de seguridad y el uso móvil, lo que demuestra los beneficios tangibles de sus soluciones telemáticas.",532274461,USD,IOT,SMART,STK,False,"[{'name': 'iot-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/iot-FY25-10-K.html'}]",AU6
automotive,automotive_telematics,NL0009538784,NXP SEMICONDUCTORS NV,6,"Proporciona soluciones semiconductoras fundamentales que permiten capacidades avanzadas de conectividad, seguridad y procesamiento esenciales para los sistemas modernos de telemática automotriz.",,77791077,USD,NXPI,SMART,STK,True,,AU6
automotive,automotive_telematics,JP3551500006,DENSO CORP,7,"Desarrolla y suministra sistemas y componentes telemáticos avanzados que mejoran la conectividad del vehículo, la navegación, la seguridad y las capacidades de infoentretenimiento.",,13905745,JPY,6902,SMART,STK,False,,AU6
automotive,automotive_telematics,JE00BTDN8H13,APTIV PLC,8,"Desarrolla soluciones avanzadas para la conectividad de vehículos y la gestión de datos, lo que permite servicios de movilidad inteligente y mejora la experiencia del automóvil conectado a través de sistemas integrados de hardware y software.",,748351585,USD,APTV,SMART,STK,True,,AU6
automotive,automotive_telematics,US60741F1049,MOBILEYE GLOBAL INC-A,9,"Desarrolla soluciones avanzadas de detección y procesamiento basadas en visión que son críticas para los sistemas avanzados de asistencia al conductor y la conducción autónoma, formando componentes clave de las plataformas modernas de telemática automotriz.",,593660024,USD,MBLY,SMART,STK,False,,AU6
automotive,automotive_telematics,CA5592224011,MAGNA INTERNATIONAL INC,10,Proporciona componentes y sistemas automotrices que respaldan el desarrollo e integración de soluciones telemáticas en vehículos.,,14892129,CAD,MG,SMART,STK,False,,AU6
