type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
automotive,autonomous_driving,US60741F1049,MOBILEYE GLOBAL INC-A,1,"Desarrolla y despliega tecnologías avanzadas de detección basada en visión, mapeo y políticas de conducción, críticas para habilitar y acelerar la adopción global de sistemas de conducción autónoma en diversos tipos de vehículos.","Mobileye está fuertemente invertida en tecnologías y soluciones de conducción autónoma, como lo demuestra su liderazgo en el desarrollo y despliegue de sistemas ADAS y de conducción autónoma. El compromiso de la empresa es evidente a través de su desarrollo de tecnologías para la autonomía sin supervisión en vehículos privados y robotaxis, respaldado por productos como SuperVision, Chauffeur y Drive que comparten pilas de IA e infraestructura comunes. Mobileye se asocia activamente con empresas como Volkswagen, Holon, Lyft y Uber para el desarrollo y despliegue de robotaxis, con planes de eliminar al conductor en 2026 y lanzar robotaxis sin conductor, utilizando su hardware basado en EyeQ6 High y la ECU DRIVE 64. Este enfoque está respaldado aún más por los esfuerzos continuos de I+D de la empresa, asociaciones significativas y plazos claros para el despliegue comercial, lo que indica que la conducción autónoma es una prioridad estratégica importante para el crecimiento futuro de Mobileye.","[{'name': 'mbly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q225-10-Q.html'}, {'name': 'mbly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q125-10-Q.html'}, {'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}]",593660024,USD,MBLY,SMART,STK,False
automotive,autonomous_driving,US67066G1040,NVIDIA CORP,2,"Desarrolla plataformas informáticas centrales y tecnologías de IA esenciales para la percepción, planificación y operación de vehículos autónomos, acelerando el desarrollo y la implementación de capacidades autónomas en la industria automotriz.","El compromiso de NVIDIA con la conducción autónoma es evidente a través de múltiples vías. Los ingresos automotrices de la compañía han experimentado un crecimiento sustancial, impulsado en gran medida por sus plataformas de autoconducción. NVIDIA se asocia activamente con empresas como GM y Mercedes-Benz para desarrollar vehículos y fábricas de próxima generación, aprovechando la IA, la simulación y la computación acelerada de NVIDIA. Además, la innovación de NVIDIA en este espacio se destaca por su plataforma de software de pila completa Drive AV, el SoC NVIDIA Thor y su reconocimiento en el Autonomous Grand Challenge.","[{'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,NVDA,SMART,STK,True
automotive,autonomous_driving,US88160R1014,TESLA INC,3,"Desarrolla e implementa sistemas avanzados de asistencia al conductor y software de conducción autónoma completa, recopilando activamente datos para mejorar las capacidades autónomas e impulsar el futuro de la automatización de vehículos.","El compromiso de Tesla con la conducción autónoma es evidente a través de sus continuos esfuerzos para mejorar y desplegar las capacidades de conducción autónoma total (FSD) y su desarrollo del Robotaxi, Cybercab. La empresa ha lanzado servicios de robotaxi en Austin, con planes de expandirse a otras ubicaciones pendientes de aprobación regulatoria, y está trabajando activamente para mejorar las funciones del piloto automático y aumentar el número de parámetros para el software FSD. Además, Tesla está invirtiendo en autonomía y productos habilitados por IA, y el crecimiento futuro de la producción depende de los avances en la autonomía.","[{'name': 'tsla-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q225-10-Q.html'}, {'name': 'tsla-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q324-10-Q.html'}, {'name': 'tsla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsla-FY24-10-K.html'}]",76792991,USD,TSLA,SMART,STK,True
automotive,autonomous_driving,JE00BTDN8H13,APTIV PLC,4,Desarrolla y suministra tecnologías y sistemas avanzados críticos para la habilitación y el progreso de las capacidades de conducción autónoma en vehículos.,"Aptiv demuestra un compromiso con la conducción autónoma a través de varias iniciativas. La compañía se enfoca en habilitar soluciones de movilidad inteligente y acelerar la comercialización de tecnologías de seguridad activa y conducción autónoma. Esto se apoya aún más en su desarrollo de soluciones de conducción automatizada, incluyendo software y tecnologías de detección, y su anterior empresa conjunta con Hyundai para formar Motional, que se centró en tecnologías de conducción autónoma. El enfoque de Aptiv también es evidente en sus premios de ensamblaje de cables de alta velocidad para conducción manos libres L2++ y sus soluciones ADAS de próxima generación.","[{'name': 'aptv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q125-10-Q.html'}, {'name': 'aptv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q324-10-Q.html'}, {'name': 'aptv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aptv-FY24-10-K.html'}, {'name': 'aptv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q225-10-Q.html'}]",748351585,USD,APTV,SMART,STK,True
automotive,autonomous_driving,US37045V1008,GENERAL MOTORS CO,5,Impulsa el avance de la conducción autónoma a través del desarrollo y la implementación de sus tecnologías y servicios de vehículos autónomos.,"GM está significativamente involucrada en el tema de la Conducción Autónoma a través de diversas iniciativas. La compañía está innovando en tecnología autónoma, destacada por el crecimiento y la expansión de la tecnología Super Cruise, ahora disponible en 23 modelos y guiando el desarrollo de vehículos personales autónomos. GM también está priorizando el desarrollo de ADAS, con el objetivo de lograr vehículos personales totalmente autónomos, y está reenfocando activamente su estrategia de conducción autónoma en vehículos personales, combinando los esfuerzos técnicos de Cruise y GM para avanzar en las capacidades de conducción autónoma y asistida. Este compromiso se demuestra aún más con la inversión de GM en actividades de ingeniería y desarrollo de productos relacionadas con la tecnología AV y los servicios habilitados por software.","[{'name': 'gm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q225-10-Q.html'}, {'name': 'gm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q324-10-Q.html'}, {'name': 'gm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q125-10-Q.html'}, {'name': 'gm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gm-FY24-10-K.html'}]",80986742,USD,GM,SMART,STK,True
automotive,autonomous_driving,JP3633400001,TOYOTA MOTOR CORP,6,"Desarrolla e integra tecnologías avanzadas de conducción autónoma en sus vehículos, con el objetivo de una adopción generalizada y características de seguridad mejoradas.",,,13905804,JPY,7203,SMART,STK,False
automotive,autonomous_driving,US02079K3059,ALPHABET INC-CL A,7,"Desarrolla tecnología avanzada de conducción autónoma a través de su subsidiaria Waymo, con el objetivo de implementar vehículos autónomos para servicios de transporte y logística.","El compromiso de Google con la conducción autónoma es evidente a través de Waymo, que está escalando y expandiendo activamente sus servicios de transporte autónomo. Los servicios de Waymo incluyen el lanzamiento en nuevas ubicaciones como Atlanta, la expansión de territorios en Austin, Los Ángeles y el Área de la Bahía de San Francisco, y la introducción de cuentas para adolescentes en Phoenix. Además, Waymo ha conducido autónomamente más de 100 millones de millas en carreteras públicas y está probando en más de 10 ciudades, con el objetivo de atender a pasajeros en cada una de ellas. La empresa genera ingresos de estos servicios de transporte autónomo dentro de su segmento de 'Otras Apuestas'.","[{'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}]",208813719,USD,GOOGL,SMART,STK,True
automotive,autonomous_driving,DE0007664005,VOLKSWAGEN AG,8,"Participa en la investigación, el desarrollo y la integración de tecnologías de conducción autónoma en sus plataformas de vehículos, con el objetivo de mejorar la seguridad y la comodidad para futuras soluciones de movilidad.",,,14232,EUR,VOW,SMART,STK,False
automotive,autonomous_driving,KYG070341048,BAIDU INC-CLASS A,9,Ocupa una posición destacada en la industria mundial de la conducción autónoma.,,,476787454,HKD,9888,SEHK,STK,False
automotive,autonomous_driving,US0567521085,BAIDU INC - SPON ADR,10,"Desarrolla y despliega su plataforma Apollo, un ecosistema de conducción autónoma de código abierto, para avanzar en la tecnología de conducción autónoma y su aplicación comercial.",,,35359385,USD,BIDU,SMART,STK,False
