type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
automotive,autonomous_vehicles,US88160R1014,TESLA INC,1,"Desarrolla e implementa tecnología avanzada de conducción autónoma en sus vehículos, con el objetivo de lograr la autonomía total y mejorar la seguridad y la comodidad de los conductores.","La participación de Tesla en vehículos autónomos es evidente a través de su desarrollo y despliegue continuo de capacidades de conducción totalmente autónoma (FSD) y la creación del Robotaxi, Cybercab, diseñado específicamente. La compañía ha lanzado con éxito servicios de robotaxi en Austin, brindando viajes sin conductor, y está buscando activamente aprobaciones regulatorias para la expansión a nuevas áreas. El compromiso de Tesla se ve aún más subrayado por su enfoque en automóviles autónomos y robotaxis a gran escala, utilizando IA y un chip de IA diseñado por Tesla para lograr una solución general para la autonomía, y la próxima fase de crecimiento de la producción se está iniciando con avances en este campo.","[{'name': 'tsla-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q225-10-Q.html'}, {'name': 'tsla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsla-FY24-10-K.html'}, {'name': 'tsla-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q125-10-Q.html'}, {'name': 'tsla-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q324-10-Q.html'}]",76792991,USD,TSLA,SMART,STK,True
automotive,autonomous_vehicles,US67066G1040,NVIDIA CORP,2,"Desarrolla plataformas integrales de computación de IA, que incluyen hardware y software, que son esenciales para el desarrollo, entrenamiento y despliegue de automóviles autónomos y sistemas autónomos.","El compromiso de NVIDIA con los Vehículos Autónomos es evidente a través de sus plataformas de conducción autónoma, que contribuyen significativamente a los ingresos del sector automotriz. Esto se demuestra con un notable aumento interanual de los ingresos del sector automotriz, impulsado por estas plataformas. Las soluciones de la empresa, como el SoC NVIDIA Thor y la plataforma de software Drive AV, están en producción y son utilizadas por empresas como Hyundai para el diseño de fábricas y la validación de vehículos autónomos. Además, el reconocimiento de NVIDIA en el Autonomous Grand Challenge subraya su papel activo en el avance de la tecnología de vehículos autónomos.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}]",4815747,USD,NVDA,SMART,STK,True
automotive,autonomous_vehicles,US60741F1049,MOBILEYE GLOBAL INC-A,3,"Desarrolla sistemas avanzados de asistencia al conductor y tecnologías de conducción autónoma, proporcionando soluciones críticas que permiten el desarrollo y la implementación de vehículos autónomos.","Mobileye está significativamente invertida en tecnología de vehículos autónomos, particularmente a través de su sistema Mobileye Drive e iniciativas de robotaxi. La compañía está desarrollando y desplegando activamente sistemas de conducción autónoma, con alianzas establecidas con Volkswagen, Holon, Lyft y Uber para integrar su tecnología en servicios de robotaxi. Mobileye está en camino de lanzar robotaxis sin conductor para finales de 2026, utilizando su ECU basada en EyeQ6 High, DRIVE 64, y se enfoca en permitir la adopción masiva de vehículos autónomos a través de su conjunto integral de tecnologías de software y hardware.","[{'name': 'mbly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q225-10-Q.html'}, {'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}]",593660024,USD,MBLY,SMART,STK,False
automotive,autonomous_vehicles,KYG651631007,JOBY AVIATION INC,4,"Desarrolla vehículos aéreos autónomos, contribuyendo a la evolución más amplia de los sistemas de transporte de autoconducción.","La participación de Joby en vehículos autónomos es evidente a través de su desarrollo de aeronaves híbridas para la defensa de EE. UU., combinando capacidades VTOL con tecnologías de vuelo autónomo en colaboración con L3Harris. Esta asociación tiene como objetivo entregar aeronaves autónomas e híbridas, lo que se enfatiza aún más en la distinción de Joby como la única empresa en proporcionar eVTOL a una base de la Fuerza Aérea de EE. UU. y realizar misiones tanto pilotadas como no pilotadas. Si bien el DOD ha cambiado su enfoque hacia estas tecnologías, lo que ha llevado a ajustes en los contratos existentes, Joby está buscando activamente nuevos contratos e invirtiendo en tecnología de hidrógeno-eléctrica y autónoma para capitalizar las oportunidades emergentes dentro del sector de la defensa.","[{'name': 'joby-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/joby-Q225-10-Q.html'}]",507188246,USD,JOBY,SMART,STK,False
automotive,autonomous_vehicles,US37045V1008,GENERAL MOTORS CO,5,"Desarrolla y despliega tecnología de vehículos autónomos a través de su subsidiaria dedicada, con el objetivo de integrar capacidades autónomas en futuras soluciones de transporte.","La participación de GM en el tema de Vehículos Autónomos es evidente a través de sus continuos esfuerzos de desarrollo y comercialización, principalmente a través de Cruise, que está probando activamente vehículos autónomos y planeando un regreso a las operaciones comerciales sin conductor. Este compromiso está respaldado además por el enfoque estratégico de GM en la tecnología de AV personal, incluidas las inversiones en ADAS y Super Cruise, que guía el desarrollo de vehículos personales autónomos. Si bien GM ha reenfocado su estrategia de conducción autónoma en vehículos personales y ha combinado esfuerzos técnicos de Cruise y GM, la compañía todavía está priorizando el desarrollo de ADAS como un camino hacia vehículos personales totalmente autónomos, lo que refleja su visión de un futuro con cero accidentes y cero congestión.","[{'name': 'gm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q125-10-Q.html'}, {'name': 'gm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q225-10-Q.html'}, {'name': 'gm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q324-10-Q.html'}, {'name': 'gm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gm-FY24-10-K.html'}]",80986742,USD,GM,SMART,STK,True
automotive,autonomous_vehicles,US6668071029,NORTHROP GRUMMAN CORP,6,Desarrolla e integra tecnologías relevantes para el sector de Vehículos Autónomos.,"La participación de Northrop Grumman en Vehículos Autónomos es evidente a través del desarrollo de Beacon, un banco de pruebas de misiones voladoras diseñado para acelerar las capacidades de misiones autónomas. Esta iniciativa aprovecha la amplia experiencia de la empresa, que incluye décadas de trabajo y 500.000 horas de vuelo autónomo, para apoyar el avance de los sistemas autónomos de próxima generación. Al integrar software y hardware, Beacon permite a los socios de la industria acelerar su progreso en autonomía, destacando el papel de Northrop Grumman en el fomento de la innovación dentro del sector.",,10376,USD,NOC,SMART,STK,True
automotive,autonomous_vehicles,US0517741072,AURORA INNOVATION INC,7,"Desarrolla el Aurora Driver, una tecnología de conducción autónoma diseñada para operar de manera segura y eficiente camiones y vehículos de pasajeros autónomos, contribuyendo al avance de la movilidad autónoma.","El enfoque de Aurora en vehículos autónomos es evidente a través del desarrollo de Aurora Driver, un sistema de autoconducción diseñado para integrarse en diversas plataformas de vehículos, incluidos vehículos de pasajeros, vehículos comerciales ligeros y camiones Clase 8. La compañía ha lanzado operaciones comerciales de transporte de carga sin conductor en carreteras públicas en los EE. UU., con camiones impulsados por Aurora Driver realizando entregas entre Dallas y Houston, y ha recorrido más de 20,000 millas seguras sin conductor. Además, Aurora está expandiendo activamente sus rutas comerciales y trabajando para validar operaciones sin conductor en condiciones climáticas más desafiantes, asociándose con empresas como Volvo y PACCAR para desarrollar camiones autónomos.","[{'name': 'aur-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aur-Q125-10-Q.html'}, {'name': 'aur-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aur-FY24-10-K.html'}, {'name': 'aur-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aur-Q225-10-Q.html'}]",524706371,USD,AUR,SMART,STK,False
automotive,autonomous_vehicles,US4581401001,INTEL CORP,8,"Desarrolla plataformas informáticas avanzadas y procesadores especializados críticos para las necesidades de procesamiento, inteligencia artificial y conectividad de los sistemas de conducción autónoma.",,,270639,USD,INTC,SMART,STK,True
automotive,autonomous_vehicles,US02079K3059,ALPHABET INC-CL A,9,"Desarrolla tecnología avanzada de conducción autónoma a través de Waymo, proporcionando servicios de transporte autónomo y contribuyendo al avance del transporte totalmente sin conductor.","La participación de Google en el tema de Vehículos Autónomos es principalmente a través de Waymo, que está generando ingresos de servicios de transporte autónomo. Waymo está experimentando un crecimiento sustancial, demostrado por un aumento significativo en los viajes pagados de pasajeros y la expansión a nuevas ciudades, incluidas asociaciones con Uber. Además, Google está invirtiendo en el desarrollo de modelos de IA para robótica, incluidos nuevos modelos Gemini Robotics, lo que indica un interés continuo en tecnologías autónomas.","[{'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}]",208813719,USD,GOOGL,SMART,STK,True
automotive,autonomous_vehicles,US5024311095,L3HARRIS TECHNOLOGIES INC,10,"Proporciona tecnologías críticas de detección, comunicación y navegación esenciales para el desarrollo y despliegue de vehículos autónomos en los sectores de defensa, inteligencia y comercial.","L3Harris está involucrada en el tema de Vehículos Autónomos a través de inversiones aceleradas en plataformas autónomas. Esto incluye trabajos con Palantir en el programa Titan del Ejército de EE. UU., con entregas iniciales de vehículos definidos por IA equipados con enlaces de datos y SATCOM seguro. La empresa identifica las plataformas autónomas como una fortaleza central, lo que se refleja en sus esfuerzos para permitir un procesamiento de datos más rápido y efectivo en el campo de batalla para el Ejército.",,371886040,USD,LHX,SMART,STK,True
