symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
AL,AV2,defense and aerospace,aviation_financing,US00912X3026,AIR LEASE CORP,1,Desempeña un papel global crítico en Financiación de Aviación al ofrecer servicios integrales de arrendamiento y financiación de aeronaves a la industria aérea.,"El negocio de Air Lease Corporation se centra en las finanzas de aviación, como lo demuestra su participación en el arrendamiento, la venta y la gestión de aeronaves. La empresa compra aviones nuevos a fabricantes como Airbus y Boeing, los arrienda a aerolíneas a nivel mundial y genera ingresos a través de pagos de arrendamiento y ventas de aeronaves. Esto se financia a través de una combinación de efectivo, fondos generados internamente y financiación de deuda, con estrategias centradas en la obtención de deuda no garantizada en los mercados globales. Las actividades financieras de la empresa incluyen la gestión de una flota sustancial, compras significativas de aeronaves y una gran cartera de ventas, todo lo cual indica que las finanzas de aviación son un motor principal de las ventas y el modelo de negocio general de la empresa.","[{'name': 'al-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/al-Q225-10-Q.html'}, {'name': 'al-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/al-Q324-10-Q.html'}, {'name': 'al-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/al-Q125-10-Q.html'}, {'name': 'al-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/al-FY24-10-K.html'}]",87254484,USD,SMART,STK
AER,AV2,defense and aerospace,aviation_financing,NL0000687663,AERCAP HOLDINGS NV,2,"Proporciona soluciones de arrendamiento y financiación de aeronaves y motores, que son integrales para el panorama mundial de las finanzas de la aviación.","El negocio de AerCap está significativamente entrelazado con las Finanzas de Aviación, como lo demuestra su constante participación en actividades de arrendamiento, compra y venta de aeronaves. La empresa mantiene altas tasas de utilización y extensión de aeronaves, gestiona activamente su cartera de aeronaves y persigue estratégicamente transacciones de venta y arrendamiento posterior. La participación activa de AerCap se destaca aún más por su capacidad para transicionar rápidamente aeronaves entre clientes, aumentar los alquileres y desplegar capital sustancial en el sector, lo que demuestra su papel central y experiencia en finanzas de aviación. El desempeño financiero de la empresa, las estrategias de asignación de capital y las asociaciones estratégicas, como el acuerdo de arrendamiento de motores con Air France-KLM, subrayan la importancia de las finanzas de aviación para las operaciones de AerCap.",,41692402,USD,SMART,STK
FTAI,AV2,defense and aerospace,aviation_financing,KYG3730V1059,FTAI AVIATION LTD,3,"Se centra en la inversión y el arrendamiento de activos de aviación comercial, desempeñando un papel importante en el suministro de capital y soluciones financieras a la industria de la aviación.","La participación de FTAI en las finanzas de la aviación es evidente a través de sus diversas actividades, que incluyen la propiedad, el arrendamiento y la venta de equipos de aviación como aeronaves y motores. La Iniciativa de Capital Estratégico (SCI) de la compañía, en particular la Asociación 2025, se enfoca en la adquisición de aeronaves 737NG y A320ceo, lo que permite a FTAI mantener un modelo de negocio de activos ligeros mientras administra estos activos y recibe una compensación. Además, FTAI enfatiza su posición en el mercado de posventa de mantenimiento de motores, con el objetivo de aumentar su cuota de mercado y asociarse con Pratt para motores V2500, lo que demuestra un compromiso con el sector de la aviación.","[{'name': 'ftai-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftai-Q125-10-Q.html'}, {'name': 'ftai-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ftai-FY24-10-K.html'}, {'name': 'ftai-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftai-Q225-10-Q.html'}]",597016366,USD,SMART,STK
GATX,AV2,defense and aerospace,aviation_financing,US3614481030,GATX CORP,4,"Proporciona soluciones integrales de financiación y arrendamiento de aeronaves, facilitando la adquisición y gestión de activos para aerolíneas y otros participantes de la industria de la aviación.","GATX participa en la financiación de la aviación a través de su segmento de Arrendamiento de Motores, que incluye sus empresas conjuntas con Rolls-Royce (afiliadas de RRPF) y su entidad de propiedad total, GATX Engine Leasing (GEL). Las afiliadas de RRPF arriendan motores de repuesto de aeronaves, mientras que GEL posee directamente motores de repuesto de aeronaves arrendados a clientes de aerolíneas o empleados en un acuerdo de capacidad de motor con Rolls-Royce. El entorno operativo para las afiliadas de RRPF ha sido favorable debido a la sólida demanda de motores de repuesto de aeronaves, impulsada por un fuerte volumen mundial de pasajeros aéreos, y GATX anticipa un rendimiento sólido continuo en el arrendamiento de motores.","[{'name': 'gatx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gatx-Q225-10-Q.html'}, {'name': 'gatx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gatx-Q324-10-Q.html'}, {'name': 'gatx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gatx-Q125-10-Q.html'}, {'name': 'gatx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gatx-FY24-10-K.html'}]",7690,USD,SMART,STK
AIG,AV2,defense and aerospace,aviation_financing,US0268747849,AMERICAN INTERNATIONAL GROUP,5,"Involucra actividades y servicios financieros relacionados con la industria de la aviación, abarcando diversos aspectos de la financiación de aeronaves y aerolíneas.","La participación de AIG en Financiación de Aviación se realiza principalmente a través de su negocio Global Specialty, que incluye productos relacionados con la aviación junto con otras áreas como marina y energía. La aviación es un componente de la línea de productos Global Specialty, lo que indica su presencia dentro de las ofertas de AIG. Si bien la aviación se menciona como parte de Global Specialty de AIG, no hay indicios de capacidades únicas o contribución significativa de ingresos de esta área.",,61319701,USD,SMART,STK
WRB,AV2,defense and aerospace,aviation_financing,US0844231029,WR BERKLEY CORP,6,Proporciona soluciones de seguros y reaseguros que respaldan los aspectos financieros y las operaciones dentro de la industria de la aviación.,"La participación de la empresa en Financiación de Aviación es evidente a través de sus negocios relacionados con la aviación, que brindan servicios a los mercados de aviación. Estos servicios abarcan una gama de actividades, incluida la distribución, fabricación, reparación y revisión de piezas y componentes de aeronaves, así como la venta de aeronaves nuevas y usadas. El negocio relacionado con la aviación de la empresa contribuyó a los ingresos no relacionados con seguros, alcanzando los 258 millones de dólares en 2025, lo que demuestra la importancia financiera de este sector para la empresa.","[{'name': 'wrb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wrb-Q324-10-Q.html'}, {'name': 'wrb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wrb-Q225-10-Q.html'}]",266822,USD,SMART,STK
CG,AV2,defense and aerospace,aviation_financing,US14316J1088,CARLYLE GROUP INC/THE,7,"Proporciona capital y experiencia al sector de Finanzas de Aviación, facilitando inversiones en aeronaves y activos relacionados.","El segmento Global Credit de Carlyle participa en Aviation Finance, asesorando a fondos y vehículos que persiguen estrategias de inversión en esta área, incluida la financiación y el servicio de aeronaves. Aviation Finance (SASOF / CALF) tiene un AUM sustancial, alcanzando $12.9 mil millones al 30 de junio de 2025 y $12.1 mil millones al 30 de septiembre de 2024. Si bien Aviation Finance es una de varias estrategias de inversión dentro del segmento Global Credit, su mención constante y su AUM significativo indican su importancia para Carlyle.","[{'name': 'cg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cg-Q225-10-Q.html'}, {'name': 'cg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cg-Q324-10-Q.html'}, {'name': 'cg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cg-Q125-10-Q.html'}, {'name': 'cg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cg-FY24-10-K.html'}]",397999651,USD,SMART,STK
APO,AV2,defense and aerospace,aviation_financing,US03769M1062,APOLLO GLOBAL MANAGEMENT INC,8,Participa en actividades de Financiación de Aviación.,"El compromiso de Apollo con el tema de Financiación de la Aviación es evidente a través de las comisiones de rendimiento generadas por AAA Aviation Holdings, L.P. La cristalización de estas comisiones de rendimiento contribuyó significativamente al aumento de las comisiones de rendimiento realizadas durante 2025. Esto fue impulsado por monetizaciones considerables dentro del capital privado tradicional, junto con contribuciones de otras participaciones como HVF II y ANRP III.","[{'name': 'apo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apo-Q225-10-Q.html'}]",535288388,USD,SMART,STK
SPNT,AV2,defense and aerospace,aviation_financing,BMG8192H1060,SIRIUSPOINT LTD,9,Finanzas de aviación es un área de sus operaciones comerciales.,"La participación de SiriusPoint en la financiación de la aviación se refleja en su segmento especializado, que incluye seguros de aviación. La compañía ha observado cambios en las tarifas dentro de su cartera de aviación, notando una suavización de tarifas en negocios directos y facultativos y de exceso de siniestralidad, junto con precios estables en el mercado prorrateado. Sin embargo, la compañía también ha visto aumentos de tarifas entre el 5% y el 10% en aviación, con renovaciones de aerolíneas en marzo que reflejan ganancias similares, lo que indica signos iniciales de endurecimiento de tarifas tras el aumento de las pérdidas en los últimos trimestres. Dentro de la cartera de aviación, las líneas espaciales están logrando aumentos de tarifas de dos dígitos impulsados por la reducción de la capacidad tras las importantes pérdidas ocurridas en 2023.",,471245525,USD,SMART,STK
AAL,AV2,defense and aerospace,aviation_financing,US02376R1023,AMERICAN AIRLINES GROUP INC,10,"Se basa en mecanismos financieros especializados para la adquisición, arrendamiento y gestión de sus activos de aeronaves, que son fundamentales para su estructura operativa y crecimiento en la industria de la aviación.","American Airlines demuestra su compromiso con las finanzas de la aviación a través de una variedad de actividades, que incluyen la recaudación de $ 1 mil millones a través de financiamiento de préstamos a plazo de lealtad y la gestión de gastos de capital de aeronaves, que se espera que estén entre $ 2.5 mil millones y $ 3 mil millones en 2025. La compañía también ha estado gestionando activamente su deuda mediante la recalibración estratégica de su préstamo a plazo respaldado por AAdvantage y la reducción de la deuda total en $ 1.2 mil millones. Además, American Airlines ha estado emitiendo certificados de fideicomiso de equipos mejorados (EETC) y préstamos para equipos para financiar aeronaves, junto con la modificación de acuerdos de crédito para gestionar las tasas de interés y la capacidad de endeudamiento, lo que demuestra una gestión activa de los instrumentos y obligaciones financieros relacionados con la aviación.","[{'name': 'aal-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q324-10-Q.html'}, {'name': 'aal-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aal-Q225-10-Q.html'}, {'name': 'aal-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aal-FY24-10-K.html'}]",139673266,USD,SMART,STK
