type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
defense and aerospace,aviation_security,US0970231058,BOEING CO/THE,1,"Diseña, fabrica y presta servicios a aeronaves comerciales y militares, priorizando la seguridad y confiabilidad de sus productos para garantizar viajes aéreos seguros a nivel mundial.","El compromiso de Boeing con la seguridad aeronáutica es evidente en su respuesta al accidente del Alaska Airlines 737-9, que llevó a una investigación de la FAA y a la presentación de un plan integral de seguridad y calidad. Para abordar los problemas identificados, Boeing redujo las tasas de producción, invirtió en formación de la fuerza laboral, simplificó los procesos y mejoró su cultura de seguridad. Además, Boeing está proporcionando asistencia técnica en la investigación del accidente del Air India Flight 171, lo que demuestra sus continuos esfuerzos para mejorar la seguridad y la calidad en la producción de aeronaves y el apoyo a los clientes.","[{'name': 'ba-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q324-10-Q.html'}, {'name': 'ba-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q125-10-Q.html'}, {'name': 'ba-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ba-FY24-10-K.html'}]",4762,USD,BA,SMART,STK,True
defense and aerospace,aviation_security,US3696043013,GENERAL ELECTRIC,2,Contribuye significativamente a la seguridad de la aviación a través del desarrollo y fabricación de motores de aeronaves críticos y sistemas aeroespaciales avanzados.,"GE Aerospace demuestra un fuerte compromiso con la seguridad de la aviación, enfatizándola como fundamental para sus operaciones. Este compromiso es evidente a través de sus procesos de seguridad proactivos, incluido el Sistema de Gestión de la Seguridad (SMS) aceptado por la FAA, que fomenta la notificación voluntaria de preocupaciones de seguridad. Además, GE Aerospace está mejorando las inspecciones de motores, implementando herramientas habilitadas por IA para mejorar la precisión de las inspecciones y predecir posibles amenazas a la seguridad, y utilizando el modelo operativo FLIGHT DECK para la mejora continua de la seguridad. La dedicación de la compañía se ve subrayada por su propósito de 'inventar el futuro del vuelo, elevar a las personas y llevarlas a casa de manera segura', siendo la seguridad un valor fundamental y una prioridad principal.",,498843743,USD,GE,SMART,STK,True
defense and aerospace,aviation_security,US75513E1010,RTX CORP,3,"Contribuye significativamente a la seguridad de la aviación a través de sistemas, componentes y servicios aeroespaciales avanzados que mejoran la fiabilidad de las aeronaves y la integridad operativa.","La participación de RTX en la seguridad de la aviación es evidente a través de varios factores. La compañía reconoce el impacto de las regulaciones gubernamentales y de la industria sobre la seguridad y el rendimiento en sus negocios, así como las restricciones sobre el ruido y las emisiones de los motores de aeronaves. Pratt & Whitney de RTX también determinó que una condición rara en el metal en polvo utilizado para fabricar ciertas piezas del motor requiere una inspección acelerada de la flota de turbofán con engranajes PW1100G-JM. Además, RTX participa en los esfuerzos de modernización de la FAA, proporcionando paquetes para el control en tierra y contribuyendo a las actualizaciones de los sistemas de control de tráfico aéreo, incluidos los radares instalados y la automatización de torres.","[{'name': 'rtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rtx-FY24-10-K.html'}, {'name': 'rtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q324-10-Q.html'}]",415342104,USD,RTX,SMART,STK,True
defense and aerospace,aviation_security,NL0000235190,AIRBUS SE,4,"Impulsa los avances en la seguridad de la aviación mediante el diseño y la fabricación de aviones comerciales con sistemas de seguridad integrados y protocolos operativos robustos, garantizando altos estándares en los viajes aéreos.",,,29612256,EUR,AIR,SMART,STK,False
defense and aerospace,aviation_security,US8832031012,TEXTRON INC,5,"Desarrolla y fabrica una cartera diversa de aeronaves, contribuyendo a la seguridad de la aviación a través de un diseño avanzado, pruebas rigurosas y mejoras operativas continuas en sus líneas de productos.",,,13101,USD,TXT,SMART,STK,True
defense and aerospace,aviation_security,US4385161066,HONEYWELL INTERNATIONAL INC,6,"Desarrolla y suministra sistemas aeroespaciales avanzados, incluidas tecnologías de aviónica, navegación y control de vuelo, cruciales para mejorar la seguridad y la fiabilidad operativa de las aeronaves en todo el mundo.",,,4350,USD,HON,SMART,STK,True
defense and aerospace,aviation_security,FR0000073272,SAFRAN SA,7,"Desarrolla y fabrica componentes y sistemas aeroespaciales críticos, como motores, trenes de aterrizaje y sistemas eléctricos, que son integrales para garantizar la seguridad y fiabilidad de las operaciones de aeronaves.",,,1322028,EUR,SAF,SMART,STK,False
defense and aerospace,aviation_security,US8485741099,SPIRIT AEROSYSTEMS HOLD-CL A,8,Contribuye al desarrollo e implementación continuos de medidas de seguridad aeronáutica.,,,41692407,USD,SPR,VALUE,STK,False
defense and aerospace,aviation_security,FR0000121329,THALES SA,9,Contribuye a la Seguridad de la Aviación.,,,917799,EUR,HO,SMART,STK,False
defense and aerospace,aviation_security,US5024311095,L3HARRIS TECHNOLOGIES INC,10,"Desarrolla y proporciona tecnologías y sistemas avanzados que mejoran la gestión del tráfico aéreo, la navegación y la vigilancia, contribuyendo significativamente a la seguridad de la aviación mundial.","La participación de L3Harris Technologies en la seguridad de la aviación es evidente a través de sus Redes de Misión, descritas como su 'negocio de misión crítica de la FAA para la seguridad del vuelo', que ha contribuido a aumentos de ingresos en trimestres específicos. El segmento SAS de la empresa incluye redes de misión para operaciones de gestión del tráfico aéreo, lo que demuestra aún más su participación en este sector. Además, la empresa reconoce la financiación asignada a la FAA para los esfuerzos de modernización del control del tráfico aéreo, lo que indica una conexión con las iniciativas de seguridad de la aviación.","[{'name': 'lhx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q125-10-Q.html'}, {'name': 'lhx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lhx-FY24-10-K.html'}, {'name': 'lhx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q225-10-Q.html'}, {'name': 'lhx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q324-10-Q.html'}]",371886040,USD,LHX,SMART,STK,True
