industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
TE,BIG,AMZN,technology,big_data,US0231351067,AMAZON.COM INC,1,"Proporciona un conjunto integral de servicios en la nube, que incluyen herramientas de almacenamiento, procesamiento y análisis, que permiten a las organizaciones gestionar, analizar y obtener información a partir de grandes cantidades de datos.",,3691937,USD,SMART,STK,
TE,BIG,MSFT,technology,big_data,US5949181045,MICROSOFT CORP,2,"Proporciona plataformas y servicios integrales basados en la nube para el almacenamiento, procesamiento, análisis y visualización de datos, permitiendo a las organizaciones gestionar y obtener información de grandes conjuntos de datos en diversas industrias.",,272093,USD,SMART,STK,
TE,BIG,SAP,technology,big_data,DE0007164600,SAP SE,3,"Proporciona soluciones integrales de software empresarial que permiten a las empresas gestionar, procesar y obtener información a partir de grandes volúmenes de datos, apoyando el análisis avanzado y la toma de decisiones para diversas industrias.",,14204,EUR,SMART,STK,
TE,BIG,NVDA,technology,big_data,US67066G1040,NVIDIA CORP,4,"Proporciona plataformas de computación de alto rendimiento y soluciones de computación acelerada esenciales para procesar, analizar y extraer información de grandes conjuntos de datos, impulsando así las capacidades de Big Data en diversas industrias.",,4815747,USD,SMART,STK,
TE,BIG,ORCL,technology,big_data,US68389X1054,ORACLE CORP,5,"Proporciona soluciones integrales de gestión de datos, análisis e infraestructura en la nube que son esenciales para procesar, almacenar y analizar datos empresariales a gran escala.",,272800,USD,SMART,STK,
TE,BIG,GOOGL,technology,big_data,US02079K3059,ALPHABET INC-CL A,6,"Procesa y analiza enormes conjuntos de datos a través de su motor de búsqueda omnipresente, sus extensas redes publicitarias y su avanzada Google Cloud Platform, impulsando la innovación en el almacenamiento, procesamiento y análisis de datos.",,208813719,USD,SMART,STK,
TE,BIG,SNOW,technology,big_data,US8334451098,SNOWFLAKE INC,7,"Ofrece una plataforma de datos nativa de la nube que permite a las organizaciones consolidar, procesar y analizar conjuntos de datos masivos, fundamentales para las estrategias modernas de big data.","La plataforma de Snowflake es relevante para el tema de Big Data, ya que permite a los clientes consolidar datos en una única fuente de verdad para obtener información, aplicaciones de IA, creación de aplicaciones de datos y uso compartido de datos. Su plataforma ingiere varios tipos de datos, dirigida a grandes empresas que ya han invertido en soluciones de big data. Por ejemplo, Dentsu, una agencia de marketing global que gestiona datos para numerosos clientes de Fortune 500, redujo los costos en un 30% al consolidar datos en Snowflake.",444884769,USD,SMART,STK,"[{'name': 'snow-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snow-Q126-10-Q.html'}, {'name': 'snow-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/snow-FY25-10-K.html'}]"
TE,BIG,IBM,technology,big_data,US4592001014,INTL BUSINESS MACHINES CORP,8,"Proporciona soluciones integrales para la gestión de datos, análisis e inteligencia artificial, permitiendo a las empresas obtener información procesable a partir de conjuntos de datos vastos y complejos.","La participación de IBM en Big Data es evidente a través de varias iniciativas, incluida la expansión de watsonx.data, que permite a los clientes empresariales acceder y obtener valor de datos no estructurados. Reforzando esto, la adquisición de DataStax agrega capacidades de datos escalables en tiempo real para potenciar aplicaciones impulsadas por IA. Además, el crecimiento de los ingresos en datos, particularmente dentro de las ofertas de IA, resalta el impacto financiero del tema en la empresa.",8314,USD,SMART,STK,"[{'name': 'ibm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q225-10-Q.html'}]"
TE,BIG,TCS,technology,big_data,INE467B01029,TATA CONSULTANCY SVCS LTD,9,"Proporciona servicios y soluciones integrales para la gestión, análisis y obtención de información a partir de grandes conjuntos de datos, lo que permite a los clientes aprovechar el Big Data para la toma de decisiones estratégicas y la transformación empresarial.",,44652015,INR,NSE,STK,
TE,BIG,SPGI,technology,big_data,US78409V1044,S&P GLOBAL INC,10,"Aprovecha la recopilación de datos extensiva y las sofisticadas plataformas analíticas para procesar grandes cantidades de datos financieros y de mercado, proporcionando información crítica, calificaciones y puntos de referencia que son fundamentales para la aplicación de big data en los servicios financieros globales.",,229629397,USD,SMART,STK,
TE,BIG,TRU,technology,big_data,US89400J1079,TRANSUNION,11,"Aprovecha amplios activos de datos y análisis avanzados para proporcionar información, soluciones de gestión de riesgos y servicios de información personalizados en diversas industrias.",,198051403,USD,SMART,STK,
TE,BIG,PLTR,technology,big_data,US69608A1088,PALANTIR TECHNOLOGIES INC-A,12,"Proporciona plataformas de software que integran, gestionan y analizan conjuntos de datos vastos y complejos para permitir la toma de decisiones informadas para agencias gubernamentales y empresas comerciales.","El negocio principal de Palantir consiste en construir software que permite a las organizaciones integrar sus datos, decisiones y operaciones a escala. Las plataformas de la empresa, Gotham y Foundry, están diseñadas para transformar enormes cantidades de información en activos de datos integrados. Además, AIP de Palantir aprovecha las tecnologías de aprendizaje automático existentes junto con modelos de IA generativa, incluidos modelos de lenguaje grandes, directamente dentro de Gotham y/o Foundry para ayudar a operacionalizar la IA en datos empresariales.",444857009,USD,SMART,STK,"[{'name': 'pltr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pltr-FY24-10-K.html'}, {'name': 'pltr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pltr-Q324-10-Q.html'}]"
TE,BIG,ACN,technology,big_data,IE00B4BNMY34,ACCENTURE PLC-CL A,13,Proporciona amplios servicios de consultoría e implementación que permiten a los clientes aprovechar grandes conjuntos de datos para la toma de decisiones estratégicas y el análisis avanzado.,,67889930,USD,SMART,STK,
TE,BIG,TDC,technology,big_data,US88076W1036,TERADATA CORP,14,"Proporciona soluciones empresariales de almacenamiento y análisis de datos que permiten a las organizaciones gestionar, analizar y obtener valor de conjuntos de datos grandes y complejos.",,46128760,USD,SMART,STK,
TE,BIG,CRM,technology,big_data,US79466L3024,SALESFORCE INC,15,"Proporciona una plataforma de gestión de relaciones con los clientes basada en la nube que recopila, procesa y analiza grandes cantidades de datos de clientes para obtener información procesable para las empresas.",,29624264,USD,SMART,STK,
TE,BIG,9988,technology,big_data,KYG017191142,ALIBABA GROUP HOLDING LTD,16,"Aprovecha los datos extensos generados por sus operaciones de comercio electrónico, computación en la nube y logística para impulsar la inteligencia empresarial, los servicios personalizados y las soluciones de análisis avanzado.",,391638829,HKD,SEHK,STK,
TE,BIG,IQV,technology,big_data,US46266C1053,IQVIA HOLDINGS INC,17,Aprovecha datos extensos del mundo real y análisis avanzados para ofrecer información crítica y soluciones tecnológicas que impulsan la innovación en el cuidado de la salud y las ciencias de la vida.,"Las soluciones de IQVIA están significativamente impulsadas por IQVIA Connected Intelligence™, que está diseñada para ofrecer información y servicios prácticos. Esto se logra a través del uso de datos de salud de alta calidad, Healthcare-grade AI®, análisis avanzados y las últimas tecnologías. La empresa aprovecha estos datos de salud para proporcionar información y servicios, lo que demuestra una dependencia e inversión en big data. IQVIA utiliza estos datos como un componente central de sus soluciones, lo que refleja un enfoque en big data dentro del sector de la salud.",295757261,USD,SMART,STK,"[{'name': 'iqv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iqv-Q225-10-Q.html'}]"
