type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,biological_solutions,US8835561023,THERMO FISHER SCIENTIFIC INC,1,"Ofrece una cartera integral de productos y servicios críticos para la investigación, el desarrollo y la fabricación de productos biológicos, apoyando a la industria biofarmacéutica a nivel mundial.","La participación de Thermo Fisher en Soluciones Biológicas es evidente a través de varias actividades. El negocio de bioproducción de la empresa está experimentando un crecimiento, respaldado por la expansión de su cartera de biorreactores de un solo uso DynaDrive, que mejora la eficiencia del flujo de trabajo y la escalabilidad de fabricación de los clientes biofarmacéuticos. Esto se ve reforzado además por la adquisición del negocio de Purificación y Filtración de Solventum, un proveedor de tecnologías de purificación y filtración cruciales para la producción de biológicos. Además, los servicios de Thermo Fisher se extienden a la asistencia a clientes farmacéuticos y biotecnológicos en el desarrollo y producción de vacunas y terapias, destacando su papel en el avance de la investigación en ciencias de la vida y la salud de los pacientes.","[{'name': 'tmo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmo-Q324-10-Q.html'}, {'name': 'tmo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmo-FY24-10-K.html'}]",12869,USD,TMO,SMART,STK,True,HE_BI1
health,biological_solutions,US1598641074,CHARLES RIVER LABORATORIES,2,"Proporciona servicios esenciales de investigación, desarrollo y fabricación de apoyo, críticos para el avance de soluciones biológicas.","Charles River Laboratories demuestra su participación en el tema de Soluciones Biológicas a través de su segmento de Manufactura, que incluye Soluciones Biológicas. Este segmento se especializa en la prueba de biológicos a través de Soluciones de Pruebas Biológicas y proporciona productos y servicios de desarrollo y fabricación por contrato (CDMO). Se espera que el negocio de Pruebas Biológicas de la empresa crezca, respaldado por una sólida actividad de contratación, junto con el crecimiento de los ingresos de CDMO de terapia génica. Además, Charles River apoya las actividades de fabricación de los clientes y la iniciativa de la FDA para reducir las pruebas en animales, lanzando su Proyecto de Avance de Métodos Alternativos (AMAP) para desarrollar alternativas a las pruebas en animales en el desarrollo de fármacos.","[{'name': 'crl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crl-FY24-10-K.html'}, {'name': 'crl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crl-Q225-10-Q.html'}, {'name': 'crl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crl-Q125-10-Q.html'}, {'name': 'crl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crl-Q324-10-Q.html'}]",2730877,USD,CRL,SMART,STK,True,HE_BI1
health,biological_solutions,US9553061055,WEST PHARMACEUTICAL SERVICES,3,Desempeña un papel crucial en el desarrollo y la entrega de terapias biológicas al proporcionar sistemas especializados de contención y administración.,"West Pharmaceutical Services demuestra un enfoque significativo en Soluciones Biológicas, enfatizando su posición como líder mundial en el espacio de los biológicos y esperando que esta área contribuya significativamente al crecimiento a largo plazo. El negocio de Biológicos de la empresa incluye dispositivos de administración y componentes HVP, con un crecimiento esperado de un solo dígito alto para los componentes HVP de Biológicos en la segunda mitad de 2025. El segmento de Productos Propietarios de West proporciona empaques propietarios, soluciones de contención, sistemas de administración de medicamentos y servicios de laboratorio analítico principalmente a clientes de medicamentos biológicos, con tasas de participación para biológicos y biosimilares tendiendo por encima de los niveles históricos.","[{'name': 'wst-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wst-Q324-10-Q.html'}, {'name': 'wst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wst-FY24-10-K.html'}, {'name': 'wst-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wst-Q125-10-Q.html'}, {'name': 'wst-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wst-Q225-10-Q.html'}]",13909,USD,WST,SMART,STK,True,HE_BI1
health,biological_solutions,US2358511028,DANAHER CORP,4,"Ofrece herramientas y servicios críticos que permiten la investigación, el desarrollo y la producción de biológicos para la industria biofarmacéutica.","El segmento de Biotecnología de la empresa participa activamente en Soluciones Biológicas, ofreciendo una gama de equipos, consumibles y servicios destinados a acelerar la investigación, el desarrollo, la fabricación y la entrega de medicamentos biológicos. Este segmento apoya diversas bioterapias, incluidos anticuerpos monoclonales, proteínas recombinantes, terapias de reemplazo como la insulina y vacunas, y nuevas terapias celulares, génicas, de ARNm y de otros ácidos nucleicos. El negocio de bioprocesamiento ha impulsado un aumento de las ventas básicas dentro del segmento de Biotecnología.","[{'name': 'dhr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q125-10-Q.html'}, {'name': 'dhr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q324-10-Q.html'}]",6442,USD,DHR,SMART,STK,True,HE_BI1
health,biological_solutions,US09062W2044,BIOLIFE SOLUTIONS INC,5,"Proporciona soluciones críticas de bio-preservación y procesamiento celular esenciales para la investigación, el desarrollo y la comercialización de productos biológicos.","BioLife Solutions demuestra un fuerte enfoque en Soluciones Biológicas a través de su desarrollo, fabricación y comercialización de productos y servicios de bioproducción diseñados para mejorar la calidad y reducir el riesgo en la fabricación, distribución y transporte de biológicos, particularmente dentro de la industria de terapias celulares y génicas. La plataforma de procesamiento celular de la empresa ha mostrado aumentos sustanciales de ingresos año tras año, y sus productos de medios de bio-preservación se utilizan ampliamente en ensayos CGT patrocinados comercialmente. Este compromiso se ve reforzado aún más por inversiones estratégicas, como la adquisición de PanTHERA CryoSolutions, destinadas a expandir las capacidades de bio-preservación y mejorar la cartera de la empresa con tecnologías innovadoras como los inhibidores de la recristalización del hielo.","[{'name': 'blfs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/blfs-FY24-10-K.html'}, {'name': 'blfs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blfs-Q125-10-Q.html'}, {'name': 'blfs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/blfs-Q324-10-Q.html'}]",143288128,USD,BLFS,SMART,STK,True,HE_BI1
health,biological_solutions,CH0012032048,ROCHE HOLDING AG-GENUSSCHEIN,6,"Se centra en la investigación, el desarrollo y la comercialización de productos biológicos, que son fundamentales para avanzar en los tratamientos en una amplia gama de áreas terapéuticas.",,,228954,CHF,ROG,SMART,STK,False,HE_BI1
health,biological_solutions,US0311621009,AMGEN INC,7,"Desarrolla y proporciona una amplia gama de soluciones biológicas, impulsando avances en tratamientos terapéuticos para diversas enfermedades.","El enfoque de Amgen en soluciones biológicas es evidente a través de su desarrollo y ofertas, que incluyen UPLIZNA, una terapia de agotamiento de células B aprobada para la enfermedad relacionada con IgG4, y TEZSPIRE, una terapia dirigida a TSLP. El compromiso de la empresa se demuestra aún más por su crecimiento interanual del 12% en I+D, lo que refleja una inversión continua en su cartera en fase avanzada, incluidos tratamientos para enfermedades raras. Además, Amgen está avanzando en tres programas de biosimilares en Fase 3, evaluando biosimilares para OPDIVO, KEYTRUDA y OCREVUS.",,266145,USD,AMGN,SMART,STK,True,HE_BI1
health,biological_solutions,US4781601046,JOHNSON & JOHNSON,8,"Desarrolla y comercializa una amplia gama de terapias biológicas, contribuyendo significativamente a los avances en el tratamiento de diversas enfermedades a través de soluciones innovadoras.",,,8719,USD,JNJ,SMART,STK,True,HE_BI1
health,biological_solutions,US75886F1075,REGENERON PHARMACEUTICALS,9,"Desarrolla y comercializa una gama de medicamentos biológicos, contribuyendo significativamente a los avances en soluciones terapéuticas derivadas de organismos vivos.","La participación de Regeneron en la industria de Soluciones Biológicas es evidente a través de su desarrollo, fabricación y comercialización de terapias biológicas, incluidos productos clave como Dupixent, Libtayo y EYLEA HD. La cartera de la empresa incluye aproximadamente 45 candidatos a productos en diversas etapas de desarrollo clínico, con una serie de productos comercializados para los que están investigando indicaciones adicionales. Las actividades de Regeneron también se extienden a acuerdos de colaboración, que requieren que entreguen diversos derechos, servicios y/o bienes a lo largo de todo el ciclo de vida de un producto o candidato a producto.","[{'name': 'regn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/regn-FY24-10-K.html'}]",273733,USD,REGN,SMART,STK,True,HE_BI1
health,biological_solutions,US00287Y1091,ABBVIE INC,10,"Desarrolla y comercializa una gama de terapias biológicas para diversas enfermedades, contribuyendo significativamente al avance y la disponibilidad de soluciones biológicas complejas en la atención médica.",,,118089500,USD,ABBV,SMART,STK,True,HE_BI1
