industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,biotechnological_treatments,US3755581036,GILEAD SCIENCES INC,1,"Impulsa la innovación en el sector de tratamientos biotecnológicos a través de la investigación, el desarrollo y la comercialización de terapias novedosas para necesidades médicas no cubiertas.","El enfoque de Gilead en tratamientos biotecnológicos es evidente a través de su desarrollo y comercialización de terapias para enfermedades como el VIH, el cáncer y las enfermedades hepáticas, con tratamientos específicos como Biktarvy, Trodelvy, Yescarta y Tecartus destacados. Las ventas de oncología de la compañía, que incluyen productos de terapia celular como Tecartus y Yescarta, así como Trodelvy, son significativas. Gilead también se está concentrando en la terapia celular, con planes para el posible lanzamiento de anito-cel en el mieloma múltiple e inversiones en sitios de fabricación de terapia celular a gran escala, lo que demuestra un compromiso con el avance de medicamentos innovadores para enfermedades que amenazan la vida.","[{'name': 'gild-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gild-Q125-10-Q.html'}, {'name': 'gild-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gild-Q225-10-Q.html'}, {'name': 'gild-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gild-FY24-10-K.html'}, {'name': 'gild-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gild-Q324-10-Q.html'}]",269753,USD,GILD,SMART,STK,True,BI3
health,biotechnological_treatments,US1101221083,BRISTOL-MYERS SQUIBB CO,2,Impulsa la innovación y avanza las opciones terapéuticas dentro del sector de Tratamientos Biotecnológicos.,"El compromiso de Bristol-Myers Squibb con los Tratamientos Biotecnológicos es evidente a través del desarrollo y comercialización de terapias celulares como Breyanzi y Abecma, junto con otros medicamentos biológicos como Opdivo y Yervoy. El enfoque de la empresa en la innovación, como se observa en sus plataformas de investigación que incluyen terapia celular, degradación de proteínas dirigida y terapia radi farmacéutica, subraya aún más su participación. Este compromiso también se refleja en asociaciones estratégicas, como la colaboración con BioNTech para codesarrollar BNT327, un bispecífico PD-L1 VEGF, y el avance de plataformas de próxima generación como los inhibidores de PRMT5 y los ADC dirigidos a EGFR HER3.","[{'name': 'bmy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bmy-Q324-10-Q.html'}, {'name': 'bmy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bmy-Q225-10-Q.html'}, {'name': 'bmy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bmy-FY24-10-K.html'}]",5111,USD,BMY,SMART,STK,True,BI3
health,biotechnological_treatments,US02043Q1076,ALNYLAM PHARMACEUTICALS INC,3,"Avanza en el campo de la medicina mediante el descubrimiento, desarrollo y comercialización de terapias biológicas innovadoras, proporcionando tratamientos biotecnológicos cruciales para pacientes con afecciones graves y potencialmente mortales.","El enfoque de Alnylam en tratamientos biotecnológicos es evidente a través de su desarrollo y comercialización de nuevas terapias basadas en la interferencia del ácido ribonucleico (ARNi). La compañía tiene seis medicamentos aprobados de primera clase basados en ARNi, incluyendo AMVUTTRA, ONPATTRO y Qfitlia, con una amplia cartera de terapias adicionales dirigidas a una amplia gama de enfermedades. El compromiso de Alnylam con la innovación en esta área está respaldado además por sus colaboraciones con Roche, Regeneron, Sanofi y Novartis, así como por sus esfuerzos para expandir las indicaciones de tratamientos existentes como AMVUTTRA y la reciente aprobación de la FDA para Qfitlia.","[{'name': 'alny-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alny-Q125-10-Q.html'}, {'name': 'alny-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alny-Q225-10-Q.html'}, {'name': 'alny-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alny-FY24-10-K.html'}]",29442968,USD,ALNY,SMART,STK,False,BI3
health,biotechnological_treatments,US4781601046,JOHNSON & JOHNSON,4,"Desarrolla y comercializa una amplia cartera de tratamientos innovadores derivados de la biotecnología, abordando necesidades médicas significativas en diversas áreas terapéuticas.","La participación de Johnson & Johnson en Tratamientos Biotecnológicos es evidente a través de su desarrollo y comercialización de terapias como CARVYKTI y TREMFYA, junto con tratamientos novedosos como anticuerpos trispecíficos y péptidos orales dirigidos. El segmento de Medicina Innovadora, que incluye tratamientos biotecnológicos en áreas como Inmunología y Oncología, reportó ventas de 42.600 millones de dólares en los primeros nueve meses de 2024. Este segmento se enfoca en áreas terapéuticas, relacionándose implícitamente con tratamientos biotecnológicos, y la empresa invirtió 17.200 millones de dólares en investigación y desarrollo, lo que refleja un compromiso con innovaciones que mejoran la vida, incluida la obtención de los derechos globales del anticuerpo biespecífico NM26 por 1.250 millones de dólares.","[{'name': 'jnj-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jnj-Q324-10-Q.html'}, {'name': 'jnj-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jnj-FY24-10-K.html'}]",8719,USD,JNJ,SMART,STK,True,BI3
health,biotechnological_treatments,US92532F1003,VERTEX PHARMACEUTICALS INC,5,"Desarrolla y comercializa tratamientos biotecnológicos innovadores, centrándose particularmente en enfermedades graves, desempeñando así un papel importante en el avance de la atención al paciente dentro del sector biotecnológico.","El enfoque de Vertex en el desarrollo y la comercialización de tratamientos biotecnológicos es evidente a través de su diversa cartera y cartera de proyectos. Como empresa global de biotecnología, Vertex invierte en innovación científica para crear medicamentos transformadores para enfermedades graves, con medicamentos aprobados para la fibrosis quística, la enfermedad de células falciformes y la beta talasemia. La compañía está comercializando activamente terapias editadas genéticamente como CASGEVY y avanzando en programas en desarrollo fundamental en diversas áreas terapéuticas, incluidas la diabetes, las enfermedades renales y las afecciones autoinmunes. Este compromiso se demuestra aún más con su adquisición de Alpine Immune Sciences para acelerar su cartera y sus esfuerzos continuos para ampliar el número de pacientes a los que atiende con tratamientos biotecnológicos innovadores.","[{'name': 'vrtx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q125-10-Q.html'}, {'name': 'vrtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q324-10-Q.html'}, {'name': 'vrtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vrtx-FY24-10-K.html'}, {'name': 'vrtx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrtx-Q225-10-Q.html'}]",275850,USD,VRTX,SMART,STK,True,BI3
health,biotechnological_treatments,US75886F1075,REGENERON PHARMACEUTICALS,6,"Desarrolla y comercializa una cartera de tratamientos innovadores basados en biotecnología para enfermedades graves, contribuyendo significativamente a los avances en las opciones terapéuticas.","La participación de Regeneron en el tema de la industria de Tratamientos Biotecnológicos es evidente a través del desarrollo y comercialización de medicamentos para enfermedades graves, incluidas enfermedades oculares, enfermedades alérgicas e inflamatorias, cáncer y enfermedades cardiovasculares y metabólicas. Productos clave como EYLEA, Dupixent, Libtayo, Praluent y Kevzara ejemplifican este enfoque. Además, Regeneron enfatiza su cartera de candidatos clínicos diferenciados e inversiones continuas en I+D, con múltiples aprobaciones regulatorias y un compromiso para avanzar en tratamientos innovadores en áreas como hematología, medicina genética, oftalmología, oncología e inmunología.","[{'name': 'regn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/regn-Q225-10-Q.html'}, {'name': 'regn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/regn-Q125-10-Q.html'}, {'name': 'regn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/regn-Q324-10-Q.html'}]",273733,USD,REGN,SMART,STK,True,BI3
health,biotechnological_treatments,US7170811035,PFIZER INC,7,"Se dedica al descubrimiento, desarrollo y comercialización de una amplia cartera de tratamientos biotecnológicos, contribuyendo significativamente a los avances terapéuticos en diversas áreas de enfermedades.","El enfoque de Pfizer en Tratamientos Biotecnológicos es evidente a través de su identidad como empresa biofarmacéutica basada en la investigación dedicada a llevar terapias a las personas. Este compromiso se destaca por el desarrollo y la comercialización de tratamientos como Paxlovid y Comirnaty, así como por las inversiones continuas en ciencia de vanguardia para abordar variantes emergentes y desarrollar nuevas vacunas. Además, la empresa ha obtenido aprobaciones para tratamientos biotecnológicos como Emblaveo, Padcev, Tivdak y Xtandi, y está desarrollando activamente Elrexfio, Sigvotatug Vedotin (SV) e Hympavzi para diversas afecciones, lo que demuestra un énfasis continuo en la expansión de su cartera de terapias biotecnológicas.","[{'name': 'pfe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pfe-Q324-10-Q.html'}, {'name': 'pfe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pfe-Q225-10-Q.html'}, {'name': 'pfe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pfe-Q125-10-Q.html'}]",11031,USD,PFE,SMART,STK,True,BI3
health,biotechnological_treatments,US8036071004,SAREPTA THERAPEUTICS INC,8,"Desarrolla y comercializa tratamientos biotecnológicos avanzados, contribuyendo significativamente a los avances terapéuticos en diversas áreas de enfermedades.","Sarepta Therapeutics está profundamente involucrada en Tratamientos Biotecnológicos, como lo demuestra su enfoque en el descubrimiento y desarrollo de terapias dirigidas a ARN, terapias génicas y otras modalidades genéticas para enfermedades raras. Este compromiso se ve subrayado por sus múltiples productos aprobados para la distrofia muscular de Duchenne y una cartera de candidatos terapéuticos dirigidos a una amplia gama de enfermedades. La aprobación por parte de la FDA de ELEVIDYS, una terapia génica transformadora para Duchenne, y los esfuerzos de la empresa para reformular el enfoque del desarrollo de enfermedades raras resaltan aún más su importante inversión y énfasis estratégico en el avance de los tratamientos biotecnológicos.","[{'name': 'srpt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/srpt-FY24-10-K.html'}, {'name': 'srpt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q125-10-Q.html'}, {'name': 'srpt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q324-10-Q.html'}, {'name': 'srpt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/srpt-Q225-10-Q.html'}]",110434131,USD,SRPT,SMART,STK,True,BI3
health,biotechnological_treatments,US5324571083,ELI LILLY & CO,9,"Desarrolla y comercializa una amplia cartera de tratamientos biotecnológicos avanzados, incluidos productos biológicos, para abordar necesidades médicas significativas no cubiertas en diversas áreas terapéuticas.","El enfoque de Lilly en tratamientos biotecnológicos es evidente a través de su sólida cartera de medicamentos como Mounjaro, Zepbound, Trulicity y Taltz, que contribuyen significativamente a los ingresos de la empresa. La cartera de la empresa incluye numerosos tratamientos biotecnológicos en diversas áreas terapéuticas, como la salud cardiometabólica, la inmunología, la neurociencia y la oncología, ejemplificados por medicamentos como Tirzepatide, Mirikizumab y Donanemab. Además, Lilly está desarrollando activamente terapias génicas y otros tratamientos para enfermedades como la enfermedad de Gaucher, la demencia frontotemporal, la obesidad, la diabetes y la enfermedad de Alzheimer, con aproximadamente 50 nuevos candidatos a medicamentos en desarrollo clínico o bajo revisión regulatoria.","[{'name': 'lly-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lly-Q324-10-Q.html'}, {'name': 'lly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lly-FY24-10-K.html'}]",9160,USD,LLY,SMART,STK,True,BI3
health,biotechnological_treatments,US00287Y1091,ABBVIE INC,10,"Desarrolla y comercializa una cartera diversa de tratamientos derivados de la biotecnología, incluidas terapias avanzadas para inmunología, oncología y neurociencia, abordando necesidades médicas significativas no satisfechas.","La participación de AbbVie en tratamientos biotecnológicos es evidente a través de su diversa cartera de productos y enfoque estratégico. La empresa desarrolla y comercializa tratamientos como Skyrizi y Rinvoq, junto con nuevos ADC como EMRELIS, y está explorando nuevas modalidades como CAR-T in vivo. El compromiso de AbbVie se demuestra aún más con la adquisición de Capstan Therapeutics y su plataforma CAR-T, así como su cartera de aproximadamente 90 compuestos, dispositivos o indicaciones en desarrollo. Como empresa biofarmacéutica basada en la investigación, el éxito a largo plazo de AbbVie depende de descubrir y desarrollar productos innovadores y colaborar con otras empresas de biotecnología.","[{'name': 'abbv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abbv-Q225-10-Q.html'}, {'name': 'abbv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abbv-Q125-10-Q.html'}]",118089500,USD,ABBV,SMART,STK,True,BI3
