symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
COIN,technology,blockchain_technology,US19260Q1076,COINBASE GLOBAL INC -CLASS A,1,"Opera una plataforma líder para la compra, venta y almacenamiento de activos digitales, construida intrínsecamente sobre tecnología blockchain, facilitando así el acceso generalizado y la adopción de la tecnología.","Coinbase demuestra su compromiso con la tecnología blockchain a través de varias iniciativas clave. La empresa aprovecha su infraestructura criptográfica para empoderar a las empresas a través de sus capacidades de Cripto como Servicio, que admiten custodia, comercio y pagos para más de 240 empresas. El desarrollo de Base por parte de Coinbase, una popular solución de Capa 2 en Ethereum, y sus esfuerzos para promover identificaciones basadas en blockchain resaltan aún más su compromiso. Además, Coinbase obtiene ingresos de recompensas de blockchain y está actualizando Base para admitir la próxima generación de aplicaciones en cadena, con el objetivo de expandir el uso global de criptomonedas.","[{'name': 'coin-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/coin-Q225-10-Q.html'}, {'name': 'coin-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/coin-FY24-10-K.html'}, {'name': 'coin-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/coin-Q125-10-Q.html'}]",481691285,USD,SMART,STK,True,BLO
XYZ,technology,blockchain_technology,US8522341036,BLOCK INC,2,Participa en el avance de la Tecnología Blockchain.,"El compromiso de Block con la tecnología Blockchain es evidente a través de su apoyo a Bitcoin, con millones de usuarios activos que utilizan Cash App para comprar y vender $58 mil millones en Bitcoin. La empresa ha habilitado la aceptación de Bitcoin en Square, y Jack Dorsey aboga por Bitcoin como la moneda nativa de Internet debido a su independencia y potencial para acelerar las operaciones comerciales. Además, Block está explorando las stablecoins y reconoce las propiedades únicas de Bitcoin como una forma superior de moneda.",,212671971,USD,SMART,STK,True,BLO
NVDA,technology,blockchain_technology,US67066G1040,NVIDIA CORP,3,"Proporciona GPUs de alto rendimiento esenciales para acelerar la minería de criptomonedas y otros procesos computacionalmente intensivos dentro de las redes blockchain, apoyando así la infraestructura de sistemas digitales descentralizados.",,,4815747,USD,SMART,STK,True,BLO
CLSK,technology,blockchain_technology,US18452B2097,CLEANSPARK INC,4,"Opera como un minero de Bitcoin, contribuyendo a la seguridad y descentralización de la red blockchain a través de su infraestructura de minería.","El compromiso de CleanSpark con la tecnología blockchain está profundamente arraigado en su negocio principal como empresa de minería de Bitcoin integrada verticalmente. Identificándose como ""America's Bitcoin Miner"", las operaciones de la empresa se centran en asegurar y respaldar la red de Bitcoin, que depende de la tecnología blockchain para registrar transacciones. CleanSpark posee y opera de forma independiente centros de datos para minar Bitcoin de manera eficiente, centrándose en aumentar la tasa de hash y la eficiencia de la flota, y gestiona activamente su tesorería de Bitcoin, utilizándola para financiar operaciones y gastos de capital. Por lo tanto, todo el modelo de negocio de la empresa está intrínsecamente ligado al crecimiento y uso de blockchain y Bitcoin.","[{'name': 'clsk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/clsk-Q225-10-Q.html'}]",395179962,USD,SMART,STK,True,BLO
8473,technology,blockchain_technology,JP3436120004,SBI HOLDINGS INC,5,"Desarrolla e invierte activamente en tecnología blockchain, integrándola en servicios financieros y otras áreas estratégicas.",,,34764264,JPY,SMART,STK,False,BLO
RIOT,technology,blockchain_technology,US7672921050,RIOT PLATFORMS INC,6,"Opera instalaciones de minería de Bitcoin a gran escala, contribuyendo significativamente a la seguridad y descentralización de la red blockchain de Bitcoin.","El negocio principal de Riot gira en torno a la minería de Bitcoin, que depende intrínsecamente de la tecnología blockchain, y la empresa enfatiza su papel como entidad líder en minería de Bitcoin que apoya la blockchain de Bitcoin. Las operaciones de la empresa se centran en la minería de Bitcoin, lo que solidifica aún más su conexión con la tecnología blockchain. Riot emplea a custodios como NYDIG y Coinbase para la gestión segura de sus tenencias de Bitcoin.","[{'name': 'riot-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/riot-FY24-10-K.html'}]",292830677,USD,SMART,STK,False,BLO
MSTR,technology,blockchain_technology,US5949724083,STRATEGY INC,7,Sus operaciones incorporan aspectos de Tecnología Blockchain.,,,272110,USD,SMART,STK,True,BLO
MARA,technology,blockchain_technology,US5657881067,MARA HOLDINGS INC,8,"Se enfoca en operaciones de minería de Bitcoin a gran escala, contribuyendo a la seguridad y descentralización de la red blockchain de Bitcoin.","La participación de Mara con la tecnología blockchain es evidente en su negocio principal de computación a escala de servicios públicos, que se enfoca en la minería de Bitcoin. La empresa opera en cuatro continentes con 14 centros de datos, utilizando tecnologías avanzadas como su propio grupo de minería, firmware y refrigeración líquida para mejorar los márgenes. Como líder en cómputo de activos digitales, Mara aprovecha sus operaciones para apoyar la transformación energética, utilizando computadoras especializadas para minar Bitcoin y proporcionar cómputo despachable a los operadores de redes eléctricas.","[{'name': 'mara-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mara-Q324-10-Q.html'}]",474219659,USD,SMART,STK,True,BLO
V,technology,blockchain_technology,US92826C8394,VISA INC-CLASS A SHARES,9,"Integra tecnología blockchain para mejorar su red de pagos global, facilitar transacciones transfronterizas y respaldar soluciones emergentes de moneda digital.",,,49462172,USD,SMART,STK,True,BLO
BLK,technology,blockchain_technology,US09290D1019,BLACKROCK INC,10,Contribuye al sector de la Tecnología Blockchain.,"El compromiso de BlackRock con la tecnología blockchain es evidente a través de su exploración de activos digitales y la tokenización de activos financieros, incluida la participación en conversaciones sobre stablecoins con bancos centrales. BlackRock está innovando para utilizar las tecnologías de activos digitales para acceder a instrumentos tradicionales, como los bonos del tesoro, como lo demuestra su fondo de liquidez tokenizado con 3 mil millones de dólares en activos bajo gestión. El CEO Larry Fink ve grandes oportunidades de crecimiento en los activos digitales, blockchain y la tecnología de tokenización, posicionando a BlackRock como líder en tecnología financiera e innovación. Los ETP de iShares unen los mercados de capitales tradicionales con los mercados de criptomonedas, y los ETP de activos digitales generaron 3 mil millones de dólares en entradas netas en el primer trimestre.",,729193719,USD,SMART,STK,True,BLO
