industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TC,BRO,CHTR,telecommunications,broadband_services,US16119P1084,CHARTER COMMUNICATIONS INC-A,1,"Es un proveedor líder de servicios de banda ancha, que ofrece conectividad a Internet de alta velocidad como una oferta principal a una vasta base de clientes.","Charter Communications está fuertemente invertida en Servicios de Banda Ancha, como lo demuestra su autoidentificación como una empresa líder en conectividad de banda ancha que presta servicios a millones de hogares y empresas a través de su marca Spectrum. El compromiso de la empresa se demuestra aún más por su iniciativa continua de evolución de la red para ofrecer velocidades simétricas y de varios gigabits en toda su huella y la adición de un servicio de 2x1 gigabit por segundo a los mercados mejorados. Charter también se enfoca en expandir las capacidades de banda ancha con planes para ofrecer servicios de 5 y 10 gigabits por segundo en el futuro, utilizando DOCSIS 4.0 para mejorar la capacidad de la red y permitir velocidades más rápidas.","[{'name': 'chtr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q324-10-Q.html'}, {'name': 'chtr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q125-10-Q.html'}, {'name': 'chtr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q225-10-Q.html'}, {'name': 'chtr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chtr-FY24-10-K.html'}]",233674866,USD,SMART,STK
TC,BRO,CMCSA,telecommunications,broadband_services,US20030N1019,COMCAST CORP-CLASS A,2,"Sirve como un proveedor líder de servicios de Internet de alta velocidad, conectando a millones de clientes residenciales y comerciales a infraestructura de banda ancha esencial.","La participación de Comcast en Servicios de Banda Ancha es evidente a través de su enfoque en la conectividad residencial y plataformas, así como en la conectividad de servicios empresariales. La empresa enfatiza las inversiones en infraestructura de red para respaldar ofertas de banda ancha de mayor velocidad y expandir su alcance a más hogares y empresas. Comcast se enfoca en aumentar los ingresos por conectividad residencial a través del crecimiento de la banda ancha doméstica, con estrategias que incluyen nuevos enfoques de comercialización, estructuras de precios nacionales y ofertas simplificadas que incluyen datos ilimitados y gateways avanzados. Además, Comcast se enfoca en mejorar la experiencia del cliente a través de WiFi superior y abordar los puntos débiles de los clientes relacionados con la transparencia y la simplicidad de precios.","[{'name': 'cmcsa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q324-10-Q.html'}, {'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}, {'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}]",267748,USD,SMART,STK
TC,BRO,T,telecommunications,broadband_services,US00206R1023,AT&T INC,3,"Es un importante proveedor y desarrollador de infraestructura en el sector de servicios de banda ancha, conectando a millones de hogares y empresas a Internet de alta velocidad.","El compromiso de AT&T con los Servicios de Banda Ancha es significativo, como lo demuestra su énfasis estratégico en la expansión de los servicios de fibra e Internet Air. La unidad de negocios Consumer Wireline de la compañía ofrece estos servicios de banda ancha, y se espera un crecimiento de los ingresos de este sector debido a la demanda de los clientes de una conectividad más rápida. AT&T está creciendo activamente su base de suscriptores, agregando un número sustancial de suscriptores a través de fibra e Internet Air, y tiene como objetivo alcanzar más de 50 millones de ubicaciones totales con fibra para 2029. Este enfoque se ve además subrayado por la Garantía AT&T, que promete a los clientes una conectividad confiable.","[{'name': 't-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q225-10-Q.html'}, {'name': 't-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/t-FY24-10-K.html'}, {'name': 't-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q125-10-Q.html'}, {'name': 't-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q324-10-Q.html'}]",37018770,USD,SMART,STK
TC,BRO,VZ,telecommunications,broadband_services,US92343V1044,VERIZON COMMUNICATIONS INC,4,"Ofrece una completa gama de servicios de banda ancha, incluyendo soluciones de fibra óptica e inalámbricas, desempeñando un papel crucial en la expansión de la conectividad a Internet para consumidores y empresas.","El enfoque de Verizon en los Servicios de Banda Ancha es evidente a través de sus estrategias de expansión y ofertas de servicios. La compañía está expandiendo activamente su alcance de banda ancha a través de acceso inalámbrico fijo y fibra, con el objetivo de cubrir más de 100 millones de locales. El compromiso de Verizon se destaca aún más por su búsqueda de crecimiento orgánico e inorgánico, incluida la adquisición pendiente de Frontier, que se espera que acelere la expansión de la fibra. Además, los segmentos de Consumo y Negocios de la compañía brindan servicios de comunicación inalámbrica y por cable, incluido el acceso inalámbrico fijo (FWA) de banda ancha a través de redes 5G o 4G LTE.","[{'name': 'vz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q225-10-Q.html'}, {'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}, {'name': 'vz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q125-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}]",4901,USD,SMART,STK
TC,BRO,DTE,telecommunications,broadband_services,DE0005557508,DEUTSCHE TELEKOM AG-REG,5,"Ofrece servicios avanzados de banda ancha, sustentando la infraestructura digital y permitiendo conectividad de alta velocidad para una amplia gama de usuarios.",,,2254332,EUR,SMART,STK
TC,BRO,QCOM,telecommunications,broadband_services,US7475251036,QUALCOMM INC,6,Desarrolla y suministra tecnologías inalámbricas y chipsets avanzados que son fundamentales para habilitar y expandir los servicios de banda ancha a nivel mundial.,,,273544,USD,SMART,STK
TC,BRO,AVGO,telecommunications,broadband_services,US11135F1012,BROADCOM INC,7,Proporciona componentes semiconductores críticos y soluciones de red que potencian la infraestructura para servicios de banda ancha global.,"La participación de Broadcom en los servicios de banda ancha es evidente a través de su provisión de dispositivos semiconductores utilizados en el acceso de banda ancha. Los resultados del segundo trimestre de la compañía demostraron fortaleza en banda ancha, con un crecimiento secuencial observado y proyectado para continuar en el tercer trimestre. Notablemente, la banda ancha ha sido identificada como la única tendencia consistente que muestra un fuerte movimiento ascendente en los últimos tres trimestres, ofreciendo una fuente de optimismo en medio de una recuperación más lenta en otros segmentos de semiconductores no relacionados con la IA, aunque también se vio significativamente afectada durante las recesiones anteriores.","[{'name': 'avgo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q225-10-Q.html'}, {'name': 'avgo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q324-10-Q.html'}, {'name': 'avgo-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q224-10-Q.html'}]",313130367,USD,SMART,STK
TC,BRO,VOD,telecommunications,broadband_services,GB00BH4HKS39,VODAFONE GROUP PLC,8,"Proporciona una amplia gama de acceso a Internet y servicios relacionados, contribuyendo significativamente al desarrollo y la entrega de conectividad de banda ancha de alta velocidad para consumidores y empresas.",,,140148322,GBP,SMART,STK
TC,BRO,TMUS,telecommunications,broadband_services,US8725901040,T-MOBILE US INC,9,"Proporciona servicios integrales de banda ancha inalámbrica, incluido Internet doméstico 5G, lo que contribuye significativamente a la expansión y accesibilidad de la conectividad de alta velocidad para clientes residenciales y comerciales.","El compromiso de T-Mobile con los servicios de banda ancha es evidente en su liderazgo constante en la industria, marcado por las principales adiciones netas generales de banda ancha durante catorce trimestres consecutivos. Este éxito está respaldado además por su expansión a plataformas de fibra hasta el hogar a través de empresas conjuntas con EQT y KKR, incluidas inversiones significativas en Lumos y Metronet. El enfoque de la empresa en la banda ancha también se refleja en la creciente adopción de Internet de alta velocidad entre los clientes de pospago y prepago, lo que contribuye al crecimiento de ARPA de pospago.","[{'name': 'tmus-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q324-10-Q.html'}, {'name': 'tmus-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q225-10-Q.html'}, {'name': 'tmus-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q125-10-Q.html'}, {'name': 'tmus-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmus-FY24-10-K.html'}]",125980227,USD,SMART,STK
TC,BRO,ORA,telecommunications,broadband_services,FR0000133308,ORANGE,10,"Un proveedor global líder en el sector de Servicios de Banda Ancha, que ofrece una extensa infraestructura de red y soluciones de conectividad a clientes en todo el mundo.",,,29612252,EUR,SMART,STK
