industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,capital_markets,US12572Q1058,CME GROUP INC,1,Desempeña un papel fundamental en los mercados de capitales mundiales al proporcionar servicios esenciales de negociación y compensación para una amplia gama de derivados financieros.,"La fuerte conexión de CME Group con el tema de los mercados de capitales es evidente en sus operaciones principales, que giran en torno a la facilitación del comercio en diversas clases de activos. La empresa opera mercados designados de contratos para futuros y opciones, junto con servicios de compensación, y ofrece operaciones de renta fija y divisas, todos componentes esenciales de los mercados de capitales. El papel de CME como mercado es central, con volúmenes de negociación récord y resultados financieros impulsados por una fuerte demanda de productos de gestión de riesgos. Los sistemas de la empresa garantizan la continuidad y la resiliencia del mercado, proporcionando transparencia y eficiencia de capital para los clientes que gestionan el riesgo en un entorno de mayor incertidumbre.","[{'name': 'cme-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q125-10-Q.html'}, {'name': 'cme-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q324-10-Q.html'}, {'name': 'cme-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cme-Q225-10-Q.html'}, {'name': 'cme-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cme-FY24-10-K.html'}]",45127739,USD,CME,SMART,STK,True,CAP
financials,capital_markets,US6311031081,NASDAQ INC,2,"Opera bolsas globales, proporciona tecnología de mercado y ofrece servicios de datos y análisis esenciales para el funcionamiento y la evolución de los mercados de capitales en todo el mundo.","Las operaciones de Nasdaq están profundamente entrelazadas con los mercados de capitales, como lo demuestra su papel como empresa de tecnología global que presta servicios a diversos participantes, incluidos clientes corporativos, gestores de inversiones, bancos, corredores y operadores de bolsas. La estructura organizativa de la empresa, dividida en Plataformas de Acceso a Capital, Tecnología Financiera y Servicios de Mercado, está diseñada específicamente para alinearse con el sistema financiero global en evolución. El compromiso de Nasdaq con los mercados de capitales se demuestra aún más a través de sus esfuerzos para promover la formación de capital, mejorar el modelo de empresa pública y reforzar la posición de los mercados de capitales de EE. UU., así como su enfoque en inversiones tecnológicas para modernizar la infraestructura y mejorar la gestión de riesgos dentro de los sectores bancario y de mercados de capitales.","[{'name': 'ndaq-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ndaq-Q324-10-Q.html'}, {'name': 'ndaq-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ndaq-Q125-10-Q.html'}, {'name': 'ndaq-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ndaq-FY24-10-K.html'}, {'name': 'ndaq-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ndaq-Q225-10-Q.html'}]",29380756,USD,NDAQ,SMART,STK,True,CAP
financials,capital_markets,US45866F1049,INTERCONTINENTAL EXCHANGE IN,3,"Opera bolsas globales, cámaras de compensación y proporciona servicios de datos fundamentales para el funcionamiento y la infraestructura de los mercados de capitales.","ICE demuestra una conexión significativa con el tema de Mercados de Capitales a través de la operación de tecnología de mercado regulado que facilita la cotización, negociación y compensación de diversos derivados y valores financieros. La empresa conecta a los emprendedores con capital a través de la Bolsa de Valores de Nueva York y proporciona tecnología y datos a una amplia gama de clientes, incluidas instituciones financieras, corporaciones y entidades gubernamentales, en las principales clases de activos. Además, ICE participa activamente en la mejora de la transparencia y la eficiencia en el mercado de valores respaldados por hipotecas, incluido el lanzamiento de nuevos protocolos y la integración de precios y análisis.","[{'name': 'ice-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q225-10-Q.html'}, {'name': 'ice-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q125-10-Q.html'}, {'name': 'ice-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ice-Q324-10-Q.html'}, {'name': 'ice-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ice-FY24-10-K.html'}]",136370275,USD,ICE,SMART,STK,True,CAP
financials,capital_markets,US38141G1040,GOLDMAN SACHS GROUP INC,4,"Desempeña un papel central en los mercados de capitales globales al facilitar la formación de capital, proporcionar liquidez y ofrecer un conjunto integral de servicios de banca de inversión, ventas y negociación, y gestión de activos.","El compromiso de Goldman Sachs con los mercados de capitales es evidente en sus operaciones comerciales principales. La firma facilita las transacciones de los clientes, crea mercados en diversos instrumentos financieros y liquida las transacciones de clientes institucionales en los principales mercados bursátiles a nivel mundial, proporcionando servicios de financiación principal. Goldman Sachs enfatiza su posición de liderazgo y su experiencia en los mercados de capitales, lo que se demuestra por su participación en la fijación de precios de 11 OPI para clientes y el impulso de la actividad de los clientes en los negocios de FICC y renta variable, con ingresos netos de FICC que alcanzan los 3.500 millones de dólares y unos ingresos netos de renta variable que alcanzan un récord de 4.300 millones de dólares en un solo trimestre.","[{'name': 'gs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gs-Q125-10-Q.html'}]",4627828,USD,GS,SMART,STK,True,CAP
financials,capital_markets,US6174464486,MORGAN STANLEY,5,"Desempeña un papel central en los mercados financieros globales al facilitar la formación de capital, proporcionar servicios de asesoramiento y ejecutar transacciones para clientes institucionales e individuales.","El compromiso de Morgan Stanley con los mercados de capitales es evidente en su completa gama de servicios, que incluyen la captación de capital, la suscripción y el asesoramiento financiero, que se ofrecen a través de su división de Banca de Inversión. La franquicia institucional de la firma, respaldada por su negocio líder en mercados de renta variable, genera ingresos sustanciales. Morgan Stanley enfatiza su acceso a los mercados de capitales y sus capacidades de ejecución, apoyando a los clientes en la captación, gestión y asignación de capital, y está invirtiendo estratégicamente en talento, tecnología y huella global para capturar la actividad del mercado y satisfacer las necesidades de los clientes.","[{'name': 'ms-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q125-10-Q.html'}, {'name': 'ms-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q324-10-Q.html'}, {'name': 'ms-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ms-Q225-10-Q.html'}]",2841574,USD,MS,SMART,STK,True,CAP
financials,capital_markets,US46625H1005,JPMORGAN CHASE & CO,6,"Opera como líder mundial en mercados de capitales, ofreciendo amplios servicios de banca de inversión, ventas y negociación, y gestión de activos.","La participación de JPMorgan Chase en los mercados de capitales es evidente a través de su liderazgo en banca de inversión y significativas actividades de creación de mercado. Los ingresos de la firma por Mercados aumentaron, impulsados por un sólido desempeño tanto en Mercados de Renta Fija como de Renta Variable, particularmente en Derivados de Renta Variable en medio de una volatilidad elevada. JPMorgan Chase proporcionó crédito y capital sustanciales, demostrando aún más su participación activa en los mercados de capitales. La empresa enfatiza la importancia del ecosistema de los mercados de capitales y su papel en su apoyo, así como su capacidad para intermediar eficazmente en estos mercados.","[{'name': 'jpm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q125-10-Q.html'}]",1520593,USD,JPM,SMART,STK,True,CAP
financials,capital_markets,US09290D1019,BLACKROCK INC,7,"Desempeña un papel central en los mercados de capitales globales al gestionar grandes cantidades de activos, facilitar los flujos de inversión y proporcionar una amplia gama de productos y servicios financieros a inversores institucionales e individuales en todo el mundo.","La participación de BlackRock en los mercados de capitales es evidente a través de su papel en la facilitación de inversiones en mercados públicos y privados para clientes en diversas regiones. La firma reconoce la importancia de los mercados de capitales en las transformaciones económicas, particularmente la combinación de mercados públicos y privados para capturar oportunidades de crecimiento. BlackRock también conecta a los clientes con los mercados de capitales locales y globales, enfatizando su papel en el desarrollo de estos mercados y el asesoramiento a gobiernos. Laurence Fink destacó el papel de los mercados de capitales en la generación de riqueza, lo que subraya aún más la conexión de la firma con este tema.","[{'name': 'blk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/blk-FY24-10-K.html'}]",729193719,USD,BLK,SMART,STK,True,CAP
financials,capital_markets,US09260D1072,BLACKSTONE INC,8,"Desempeña un papel central en los mercados de capitales globales al gestionar vastas carteras de activos alternativos, facilitando una inversión y despliegue de capital significativos en estrategias de capital privado, bienes raíces, crédito y fondos de cobertura.","La participación de Blackstone en los mercados de capitales se evidencia en la generación de ingresos de sus servicios de mercados de capitales, derivados de acuerdos contractuales con fondos, inversores de fondos y empresas de cartera de fondos. Los negocios de la compañía se ven afectados por las condiciones de los mercados financieros y las condiciones económicas en EE. UU., Europa y Asia. Además, la actividad de los mercados de capitales ha experimentado una expansión moderada, con aumentos en los volúmenes globales de ofertas públicas iniciales y fusiones y adquisiciones.","[{'name': 'bx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bx-Q324-10-Q.html'}, {'name': 'bx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bx-FY24-10-K.html'}]",372834689,USD,BX,SMART,STK,True,CAP
financials,capital_markets,US0605051046,BANK OF AMERICA CORP,9,"Opera una plataforma integral global de banca y mercados que facilita la captación de capital, proporciona servicios de asesoramiento estratégico y participa en extensas actividades de ventas y negociación en diversos instrumentos financieros dentro de los mercados de capitales.","La participación de Bank of America en los Mercados de Capitales es evidente a través de su liderazgo mundial en banca corporativa y de inversión, la negociación en una amplia gama de clases de activos y el servicio a corporaciones, gobiernos, instituciones e individuos en todo el mundo. Esto se ve respaldado además por el aumento de los activos totales, impulsado por un mayor volumen de activos en cuentas de negociación y valores prestados o comprados bajo acuerdos de reventa, que se utilizan para respaldar la actividad de los clientes de Mercados Globales. La división de Mercados Globales de la empresa ofrece servicios de ventas y negociación en una amplia gama de clases de activos, lo que pone de relieve la importancia de las actividades de los mercados de capitales para la empresa. Las operaciones del banco se ven afectadas por su capacidad para acceder a los mercados de capitales, mantener depósitos y gestionar los costos de endeudamiento.","[{'name': 'bac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q225-10-Q.html'}, {'name': 'bac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q125-10-Q.html'}, {'name': 'bac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bac-FY24-10-K.html'}]",10098,USD,BAC,SMART,STK,True,CAP
financials,capital_markets,US11133T1034,BROADRIDGE FINANCIAL SOLUTIO,10,"Ofrece soluciones esenciales de tecnología, procesamiento y comunicación para inversores que potencian la columna vertebral operativa y facilitan el flujo de información dentro de los mercados de capitales globales.","El compromiso de Broadridge con el tema de Mercados de Capitales es evidente a través de sus adquisiciones estratégicas y su amplia oferta de servicios. La empresa adquirió Securities Industry Services (SIS) de Kyndryl para reforzar sus soluciones de gestión de patrimonio, mercados de capitales y TI, particularmente en Canadá. Broadridge proporciona tecnología moderna a las empresas de mercados de capitales, permitiendo el crecimiento y simplificando las pilas tecnológicas al automatizar el ciclo de vida de las transacciones de diversos activos. Además, Broadridge está innovando activamente en mercados de capitales, con soluciones de trading habilitadas por IA y nuevas capacidades de trading para productos estructurados, lo que resulta en un crecimiento de los ingresos recurrentes reportados.","[{'name': 'br-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/br-Q325-10-Q.html'}, {'name': 'br-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/br-Q125-10-Q.html'}, {'name': 'br-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/br-Q225-10-Q.html'}, {'name': 'br-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/br-FY25-10-K.html'}]",43523793,USD,BR,SMART,STK,True,CAP
financials,capital_markets,US1729674242,CITIGROUP INC,11,"Participa activamente en actividades de mercados de capitales, incluidas las de suscripción, negociación y servicios de asesoramiento, facilitando transacciones financieras e inversiones a nivel mundial.","La participación de Citigroup en los Mercados de Capitales es evidente a través de su división de Mercados, que demuestra un crecimiento constante de los ingresos. Este crecimiento está impulsado por aumentos significativos tanto en los Mercados de Renta Fija como de Renta Variable, impulsados por factores como el aumento de la actividad de los clientes, la volatilidad del mercado y el impulso en los servicios principales. La compañía apoya las necesidades de recaudación de capital de los clientes a través de la Banca de Inversión, ofreciendo soluciones de financiación estratégica relacionadas con los mercados de capitales de renta variable y de deuda. Además, Citigroup ofrece una gama completa de servicios de ventas y negociación en diversas clases de activos a clientes corporativos, institucionales y del sector público a nivel mundial.","[{'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}, {'name': 'c-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q324-10-Q.html'}, {'name': 'c-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/c-FY24-10-K.html'}]",87335484,USD,C,SMART,STK,True,CAP
financials,capital_markets,US57060D1081,MARKETAXESS HOLDINGS INC,12,"Opera una plataforma líder de negociación electrónica de valores de renta fija, mejorando la liquidez y la eficiencia en los mercados de capitales globales.","MarketAxess está profundamente integrada en la industria de los Mercados de Capitales, principalmente a través de la operación de plataformas líderes de negociación electrónica que mejoran la eficiencia comercial y la liquidez en los mercados globales de renta fija. Las plataformas de la empresa son utilizadas por aproximadamente 2.100 firmas de inversores institucionales y brokers-dealers para negociar una diversa gama de valores de renta fija, incluyendo bonos de alta calificación de EE. UU., bonos de alto rendimiento de EE. UU., deuda de mercados emergentes, eurobonos, bonos municipales y bonos del gobierno de EE. UU. Además, MarketAxess invierte activamente y desarrolla nuevos productos y soluciones, como la solución Mid-X y las mejoras de la plataforma X-Pro, para mejorar los flujos de trabajo de negociación y proporcionar datos y análisis avanzados a sus clientes.","[{'name': 'mktx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mktx-Q125-10-Q.html'}, {'name': 'mktx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mktx-Q324-10-Q.html'}, {'name': 'mktx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mktx-FY24-10-K.html'}, {'name': 'mktx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mktx-Q225-10-Q.html'}]",31918430,USD,MKTX,SMART,STK,True,CAP
financials,capital_markets,GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,13,"Opera una infraestructura global de mercados financieros, permitiendo la formación de capital, la negociación y los servicios post-negociación para una amplia gama de clases de activos en los mercados de capitales.",,,39234929,GBP,LSEG,SMART,STK,False,CAP
financials,capital_markets,US8085131055,SCHWAB (CHARLES) CORP,14,"Facilita una amplia participación en los mercados financieros al ofrecer servicios integrales de corretaje, gestión de patrimonio y asesoramiento de inversiones que conectan a los inversores con diversas oportunidades de valores y capital.",,,11905,USD,SCHW,SMART,STK,True,CAP
