type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,cargo_transportation,US9113121068,UNITED PARCEL SERVICE-CL B,1,"Es un proveedor global líder de servicios de transporte de carga, gestionando el movimiento de mercancías a través de diversos modos de transporte para empresas de todo el mundo.","La participación de UPS en el transporte de mercancías es evidente a través de su segmento de Soluciones de Cadena de Suministro, donde experimentó un crecimiento de los ingresos en el negocio de transporte de mercancías, impulsado particularmente por la fuerte demanda del mercado procedente de Asia. Este crecimiento se vio parcialmente compensado por la desinversión de Coyote. Los ingresos del transporte aéreo internacional también experimentaron aumentos debido a las tasas de mercado más altas y al crecimiento del volumen, especialmente en las rutas de exportación de Asia impulsadas por clientes de comercio electrónico. Sin embargo, el transporte de mercancías global de la empresa se ha visto afectado por los cambios en las políticas comerciales, lo que ha provocado caídas en los ingresos y ajustes en las redes aéreas en respuesta a los cambios arancelarios.","[{'name': 'ups-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q324-10-Q.html'}, {'name': 'ups-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q125-10-Q.html'}, {'name': 'ups-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q225-10-Q.html'}, {'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}]",6231002,USD,UPS,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US31428X1063,FEDEX CORPORATION,2,"Opera como líder mundial en logística, facilitando el movimiento de bienes a través de diversas redes de transporte para empresas de todo el mundo.","La participación de FedEx en el transporte de mercancías se evidencia a través de su segmento operativo FedEx Logistics, que ofrece servicios globales de transporte marítimo y aéreo de mercancías, gestión integrada de la cadena de suministro, transporte especializado y corretaje de aduanas. El papel de la empresa en la conexión de una parte significativa del comercio mundial, moviendo billones de dólares en bienes anualmente, resalta la importancia de su red global. Rajesh Subramaniam también señaló la capacidad de la empresa para aprovechar su red global en relación con eventos relacionados con el comercio. Si bien el transporte de mercancías es un componente de las ofertas logísticas más amplias de FedEx, no se identifica como una prioridad estratégica de primer nivel.","[{'name': 'fdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q125-10-Q.html'}, {'name': 'fdx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fdx-FY25-10-K.html'}, {'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}, {'name': 'fdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q325-10-Q.html'}]",5100583,USD,FDX,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US12541W2098,C.H. ROBINSON WORLDWIDE INC,3,"Opera como un proveedor global líder de servicios de transitarios, facilitando el movimiento de mercancías a través de diversos modos de transporte y fronteras internacionales.","El compromiso de C.H. Robinson con el Forwarding de Carga es evidente a través de su activa participación en el mercado global de forwarding, que ha experimentado volatilidad debido a desvíos, tiempos de tránsito extendidos y demanda cambiante. La empresa se identifica como un forwarder de carga líder, manejando un volumen sustancial de transacciones aduaneras anualmente y diversificando sus rutas comerciales para mejorar la resiliencia. Su segmento de forwarding global abarca servicios de transporte marítimo, aéreo y aduanero, con un enfoque en la obtención de nuevos negocios y la optimización del rendimiento de la cartera a través de disciplinas de gestión de ingresos. Los resultados de forwarding global de la empresa se ven afectados por las condiciones del mercado, y han demostrado la capacidad de aumentar los volúmenes de flete marítimo.","[{'name': 'chrw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chrw-FY24-10-K.html'}, {'name': 'chrw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q225-10-Q.html'}, {'name': 'chrw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q324-10-Q.html'}]",36320731,USD,CHRW,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,CH0025238863,KUEHNE + NAGEL INTL AG-REG,4,"Opera como un proveedor global líder de servicios de transporte de carga, desempeñando un papel fundamental en la logística internacional y la gestión de la cadena de suministro.",,,39106394,CHF,KNIN,SMART,STK,False,TL_TR1
transportation and logistics,cargo_transportation,DK0060079531,DSV A/S,5,"Opera como un actor global importante en el transporte de mercancías, ofreciendo soluciones logísticas integrales para facilitar el comercio internacional y la gestión de la cadena de suministro.",,,44165865,DKK,DSV,SMART,STK,False,TL_TR1
transportation and logistics,cargo_transportation,US3021301094,EXPEDITORS INTL WASH INC,6,"Es un proveedor líder de servicios integrales de transitarios, que orquesta el movimiento global de mercancías y gestiona complejas cadenas de suministro para diversos clientes.","Expeditors International of Washington identifica el transporte de mercancías, específicamente la consolidación y el transporte de carga aérea y marítima, como un componente central de sus servicios de logística global. La empresa declara explícitamente que ofrece estos servicios como parte de un conjunto completo de soluciones logísticas. Además, Expeditors genera una parte importante de sus ingresos por transporte aéreo y marítimo comprando servicios de transporte a granel a transportistas directos y revendiendo ese espacio a los clientes, lo que destaca la importancia del transporte de mercancías para sus flujos de ingresos. El transporte marítimo directo también es un servicio principal ofrecido por la empresa.","[{'name': 'expd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expd-Q324-10-Q.html'}, {'name': 'expd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expd-Q224-10-Q.html'}, {'name': 'expd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/expd-FY24-10-K.html'}]",269082,USD,EXPD,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,JP3688370000,NIPPON EXPRESS HOLDINGS INC,7,"Proporciona amplios servicios globales de transitarios, aprovechando una red logística integral para facilitar el movimiento de mercancías a través de diversos modos de transporte.",,,531981186,JPY,9147,SMART,STK,False,TL_TR1
transportation and logistics,cargo_transportation,US9837931008,XPO INC,8,"Opera como un proveedor destacado de servicios de transporte de mercancías, facilitando el transporte y la logística global de diversos envíos.","La participación de XPO en el transporte de mercancías se realiza principalmente a través de su segmento de Transporte Europeo, donde ofrece estos servicios junto con otros como carga completa dedicada, LTL y transporte gestionado. Los servicios de transporte de mercancías de la empresa en Europa también incluyen soluciones multimodales como combinaciones de carretera-ferrocarril y carretera-corto mar, adaptadas a las necesidades del cliente. Si bien el transporte de mercancías se menciona explícitamente como parte de las ofertas de servicios de XPO en Europa, generalmente se enumera entre otros servicios sin detalles específicos sobre la contribución de ingresos o aspectos únicos, lo que sugiere que no es un enfoque principal, sino más bien un componente de una cartera de servicios más amplia.","[{'name': 'xpo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xpo-Q225-10-Q.html'}, {'name': 'xpo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xpo-Q324-10-Q.html'}, {'name': 'xpo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xpo-Q125-10-Q.html'}, {'name': 'xpo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/xpo-FY24-10-K.html'}]",93957038,USD,XPO,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US4456581077,HUNT (JB) TRANSPRT SVCS INC,9,Proporciona soluciones integrales de transporte y logística que son fundamentales para el movimiento y el envío eficiente de carga a través de diversas cadenas de suministro.,,,270825,USD,JBHT,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US5150981018,LANDSTAR SYSTEM INC,10,Facilita el movimiento de mercancías como un actor clave en la industria del transporte de carga.,"La participación de Landstar en el transporte de mercancías se evidencia a través de la provisión de diversos servicios de transporte, que incluyen el transporte transfronterizo entre EE. UU. y Canadá, y entre EE. UU. y México, junto con servicios intra-México e intra-Canadá. El segmento de logística de transporte de la empresa abarca carga aérea, carga marítima y corretaje de aduanas, lo que indica aún más su participación en actividades de transporte de mercancías. Además, las operaciones internacionales de transporte de mercancías de la empresa se vieron afectadas por un fraude en la cadena de suministro, aunque este problema no afectó a sus servicios principales de carga completa en América del Norte.","[{'name': 'lstr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lstr-Q225-10-Q.html'}, {'name': 'lstr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lstr-FY24-10-K.html'}, {'name': 'lstr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lstr-Q324-10-Q.html'}]",271344,USD,LSTR,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US6795801009,OLD DOMINION FREIGHT LINE,11,"Proporciona servicios integrales de transporte de carga, sirviendo como un componente crítico en la cadena logística para operaciones de transporte de carga.",,,272667,USD,ODFL,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US80689H1023,SCHNEIDER NATIONAL INC-CL B,12,"Proporciona servicios integrales de transitarios, que abarcan el movimiento estratégico de mercancías a través de diversos modos de transporte para facilitar las cadenas de suministro globales.",,,271857752,USD,SNDR,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US4433201062,HUB GROUP INC-CL A,13,"Proporciona servicios de transporte de carga, gestionando la logística y el transporte de mercancías para los clientes.",,,4813067,USD,HUBG,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US74982T1034,RXO INC,14,"Opera dentro de la industria del transporte de carga, brindando servicios para el movimiento de mercancías a nivel mundial.","La participación de RXO en el tema de Agentes de Carga (Freight Forwarding) se demuestra a través de la provisión de servicios de agenciamiento de carga, que abarcan la facilitación del transporte marítimo y aéreo, el corretaje de aduanas y servicios domésticos adicionales. Además, RXO ofrece servicios de expedición gestionada habilitados por tecnología que automatizan la adquisición de transporte para carga crítica en tiempo movida por transportistas terrestres y fletadores aéreos. Estos servicios se incluyen como parte de sus soluciones de transporte gestionado.","[{'name': 'rxo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rxo-Q125-10-Q.html'}, {'name': 'rxo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rxo-Q324-10-Q.html'}, {'name': 'rxo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rxo-Q225-10-Q.html'}]",592052137,USD,RXO,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US78709Y1055,SAIA INC,15,"Opera una extensa red de carga parcial (LTL), transportando eficientemente diversas cargas y contribuyendo a las funciones generales de logística y cadena de suministro dentro de la industria del transporte de mercancías.",,,40078069,USD,SAIA,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US4990491049,KNIGHT-SWIFT TRANSPORTATION,16,"Proporciona amplias soluciones de transporte y logística, sirviendo como un facilitador crítico para el movimiento eficiente de mercancías dentro de la industria del transporte de carga.",,,288039996,USD,KNX,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US9507551086,WERNER ENTERPRISES INC,17,Proporciona servicios integrales de logística y transporte que son integrales para el movimiento y la coordinación eficientes de la carga dentro de la industria del transporte.,,,276009,USD,WERN,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US7835491082,RYDER SYSTEM INC,18,"Permite el transporte eficiente de mercancías a través de sus soluciones de logística y gestión de flotas, contribuyendo al marco más amplio de servicios de transitarios.",,,11478,USD,R,SMART,STK,True,TL_TR1
transportation and logistics,cargo_transportation,US57686G1058,MATSON INC,19,Participa en actividades de transporte de carga como componente de sus servicios integrados de logística y transporte marítimo.,"La participación de Matson en el transporte de mercancías es evidente a través de su inclusión en el segmento de Logística, donde impacta tanto en los ingresos como en el beneficio operativo. Si bien los ingresos de logística han experimentado aumentos debido a mayores ingresos en transporte de mercancías, gestión de la cadena de suministro y corretaje de transporte, el beneficio operativo a veces ha disminuido debido a menores contribuciones del transporte de mercancías. Matson también se adapta a las condiciones comerciales cambiantes y trabaja con socios de transbordo, lo que indica su coordinación de envíos entre ubicaciones internacionales, y asigna recursos al transporte de mercancías, como se refleja en las discusiones sobre su impacto en el beneficio operativo de logística.","[{'name': 'matx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/matx-Q324-10-Q.html'}, {'name': 'matx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/matx-Q125-10-Q.html'}]",108649896,USD,MATX,SMART,STK,True,TL_TR1
