industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
EM,CAS,LVS,entertainment and media,casino_games,US5178341070,LAS VEGAS SANDS CORP,1,Sirve como un operador fundamental dentro de la industria global del juego de casino.,"El negocio de Las Vegas Sands Corp. se centra en gran medida en los juegos de casino, como lo demuestran los importantes ingresos generados por sus operaciones en Macao y Singapur. El enfoque de la empresa en las operaciones de casino es evidente en la detallada presentación de diversos flujos de ingresos, incluido el juego de fichas de rodadura, el juego de fichas no de rodadura y el manejo de máquinas tragamonedas, junto con los porcentajes de ganancia y retención. Además, Las Vegas Sands está invirtiendo activamente en la mejora de sus salas de casino, como la introducción de juegos en torre en Marina Bay Sands, y se compromete a realizar importantes inversiones en proyectos no relacionados con los juegos, lo que demuestra la continua importancia de los juegos de casino para su estrategia general y su desempeño financiero.","[{'name': 'lvs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q225-10-Q.html'}, {'name': 'lvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lvs-FY24-10-K.html'}, {'name': 'lvs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q125-10-Q.html'}, {'name': 'lvs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lvs-Q324-10-Q.html'}]",32602412,USD,SMART,STK
EM,CAS,MGM,entertainment and media,casino_games,US5529531015,MGM RESORTS INTERNATIONAL,2,"Opera numerosos resorts integrados en todo el mundo, generando ingresos sustanciales de operaciones de casino, incluidas máquinas tragamonedas, juegos de mesa y apuestas deportivas.","La participación de MGM en los juegos de casino es fundamental para sus operaciones, ya que su negocio principal gira en torno a la operación de propiedades de casino y la generación de ingresos de actividades de juego en diversos segmentos, incluidos los Resorts de Las Vegas Strip, Operaciones Regionales, MGM China y MGM Digital. El enfoque de la compañía en los juegos de casino se ve aún más enfatizado por su detallado informe de ingresos de casino, indicadores clave de rendimiento como el volumen de mesas y el manejo de tragamonedas, y las inversiones continuas en la expansión de espacios de juego y experiencias VIP. Además, MGM tiene como objetivo consolidar su posición como una empresa de entretenimiento de juegos de primer nivel a través de su diversa cartera y presencia global tanto en el ámbito físico como en el digital. Esto se destaca por el volumen récord de mesas, volúmenes de tragamonedas y el desarrollo de nuevos espacios de juego como el área de juego de 25,000 pies cuadrados en Borgata, así como el potencial de MGM Osaka para generar miles de millones anualmente.","[{'name': 'mgm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q125-10-Q.html'}, {'name': 'mgm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q225-10-Q.html'}, {'name': 'mgm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mgm-Q324-10-Q.html'}, {'name': 'mgm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mgm-FY24-10-K.html'}]",9560,USD,SMART,STK
EM,CAS,CZR,entertainment and media,casino_games,US12769G1004,CAESARS ENTERTAINMENT INC,3,"Opera una cartera líder de propiedades de casinos, ofreciendo diversas experiencias de juego en varios mercados.","El compromiso de Caesars con el tema de los juegos de casino es significativo, ya que la principal fuente de ingresos de la empresa se genera a través de las operaciones de juego. Con una vasta cartera de 53 propiedades nacionales que incluyen un número sustancial de máquinas tragamonedas, terminales de lotería de video, mesas electrónicas y juegos de mesa, Caesars demuestra un fuerte compromiso con los juegos de casino. Esto se ve respaldado aún más por reinversiones estratégicas en la base de datos de Caesars Rewards e inversiones en nuevo capital de tragamonedas, ambas destinadas a impulsar mayores ingresos por juegos, así como a albergar la Serie Mundial de Póker.","[{'name': 'czr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/czr-Q324-10-Q.html'}, {'name': 'czr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/czr-Q225-10-Q.html'}, {'name': 'czr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/czr-Q125-10-Q.html'}, {'name': 'czr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/czr-FY24-10-K.html'}]",435774408,USD,SMART,STK
EM,CAS,WYNN,entertainment and media,casino_games,US9831341071,WYNN RESORTS LTD,4,"Opera resorts de casino de lujo integrados en todo el mundo, ofreciendo una amplia gama de experiencias de juego y entretenimiento dentro del sector de los juegos de casino.","Wynn Resorts demuestra una exposición significativa al tema de los Juegos de Casino a través de la operación de resorts integrados con juegos en múltiples ubicaciones, incluidas Macao, Las Vegas y Boston. Los ingresos de los casinos constituyen una parte importante de los ingresos operativos generales de Wynn, y se destacan constantemente discusiones detalladas y medidas operativas clave específicas de la industria del juego. La empresa se enfoca activamente en aumentar su participación de mercado en juegos, como lo demuestra la expansión de áreas de juego como el Chairman's Club en Wynn Palace y los impresionantes aumentos en los ingresos de casinos impulsados por la fortaleza tanto en mesas como en tragamonedas.","[{'name': 'wynn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wynn-Q324-10-Q.html'}, {'name': 'wynn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wynn-Q225-10-Q.html'}, {'name': 'wynn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wynn-FY24-10-K.html'}, {'name': 'wynn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wynn-Q125-10-Q.html'}]",16454492,USD,SMART,STK
EM,CAS,FLUT,entertainment and media,casino_games,IE00BWT6H894,FLUTTER ENTERTAINMENT PLC-DI,5,"Opera una cartera diversa de marcas de juegos de casino en línea, ofreciendo una amplia gama de experiencias de juego interactivas a una base de clientes global.","La participación de Flutter en la industria de los juegos de casino es evidente a través de sus importantes operaciones de iGaming. Como el principal operador mundial de apuestas deportivas en línea y iGaming, Flutter obtiene ingresos sustanciales de iGaming, con un crecimiento considerable tanto en los segmentos de EE. UU. como en los internacionales. Esto está respaldado además por las adquisiciones estratégicas de la empresa, como Snai, un operador omnicanal líder en el mercado de apuestas deportivas y iGaming, y Sisal, el operador líder de iGaming en Italia, lo que solidifica su presencia y enfoque en esta área, incluido el puesto de FanDuel Casino como la marca y operador de casino número 1 por ingresos brutos de juego.","[{'name': 'flut-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flut-Q225-10-Q.html'}, {'name': 'flut-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/flut-FY24-10-K.html'}]",680895249,USD,SMART,STK
EM,CAS,VICI,entertainment and media,casino_games,US9256521090,VICI PROPERTIES INC,6,"Contribuye significativamente a la industria del juego de casino, desempeñando un papel crucial en el impulso de sus operaciones y desarrollo general.","El negocio de VICI está significativamente ligado al tema de los juegos de casino, como lo demuestra su propiedad de 54 propiedades de juego dentro de una cartera de 93 activos experienciales. La compañía invierte estratégicamente en el sector del juego, ejemplificado por su compromiso de hasta $510 millones para el desarrollo del North Fork Mono Casino Resort en asociación con Red Rock Resorts, una empresa líder en desarrollo y gestión de juegos. El enfoque de VICI en los juegos de casino se ve aún más subrayado por su operación como REIT de juegos y su monitoreo activo de la industria del juego, lo que refleja una estrategia comercial centralizada en propiedades de casino y flujos de ingresos relacionados a través de arrendamientos a largo plazo triple neto con operadores de juegos líderes.","[{'name': 'vici-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vici-FY24-10-K.html'}, {'name': 'vici-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vici-Q324-10-Q.html'}, {'name': 'vici-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vici-Q225-10-Q.html'}]",292080616,USD,SMART,STK
EM,CAS,GLPI,entertainment and media,casino_games,US36467J1088,GAMING AND LEISURE PROPERTIE,7,"Implica la propiedad y el arrendamiento de activos inmobiliarios utilizados principalmente para operaciones de juego de casino, contribuyendo a la infraestructura de la industria del casino.","El negocio de Gaming and Leisure Properties (GLPI) se centra en la industria del juego de casino, ya que su actividad principal implica la adquisición, financiación y propiedad de bienes inmuebles para ser arrendados a operadores de juegos bajo acuerdos de arrendamiento triple neto. La cartera de GLPI consta de participaciones en numerosas instalaciones de juego y relacionadas, incluidas propiedades operadas por PENN, Caesars Entertainment, Boyd Gaming y Bally's. Los ingresos de la empresa están directamente vinculados a estas operaciones de casino a través de acuerdos de alquiler y financiación, y se espera que el crecimiento futuro provenga de compromisos de financiación para inquilinos y adquisiciones de propiedades de juego adicionales.","[{'name': 'glpi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/glpi-Q225-10-Q.html'}, {'name': 'glpi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/glpi-Q125-10-Q.html'}, {'name': 'glpi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/glpi-Q324-10-Q.html'}, {'name': 'glpi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/glpi-FY24-10-K.html'}]",136254442,USD,SMART,STK
EM,CAS,PENN,entertainment and media,casino_games,US7075691094,PENN ENTERTAINMENT INC,8,"Opera una cartera de propiedades de casino, ofreciendo diversas opciones de juego y experiencias de entretenimiento a los clientes.","El fuerte compromiso de PENN Entertainment con el tema de los juegos de casino es evidente a través de su posición como proveedor líder de experiencias de juegos de casino en América del Norte, operando en 28 jurisdicciones con una cartera diversa de casinos y hipódromos. El compromiso de la empresa se demuestra aún más con sus inversiones estratégicas en instalaciones nuevas y mejoradas, como el Hollywood Casino en Council Bluffs, Iowa, y el Hollywood Casino Joliet, que forma parte de la Colección Rock Run. Con ingresos minoristas de $1.4 mil millones y un EBITDAR ajustado de $490 millones, el negocio minorista principal de PENN, que incluye los juegos de casino, sigue siendo sólido, respaldado por su programa de fidelización de clientes PENN Play con más de 31 millones de miembros.","[{'name': 'penn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/penn-Q324-10-Q.html'}, {'name': 'penn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/penn-Q125-10-Q.html'}, {'name': 'penn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/penn-FY24-10-K.html'}, {'name': 'penn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/penn-Q225-10-Q.html'}]",4816415,USD,SMART,STK
EM,CAS,DKNG,entertainment and media,casino_games,US26142V1052,DRAFTKINGS INC-CL A,9,"Opera una importante plataforma de casino en línea, que ofrece una variedad de opciones de juego digital que amplían el alcance y la accesibilidad del entretenimiento de casino.","DraftKings tiene una presencia significativa en el mercado de juegos de casino a través de su oferta de productos de casino en línea (iGaming). Los ingresos netos de iGaming de la compañía han experimentado un crecimiento interanual sustancial, impulsado por un aumento en los clientes activos de iGaming y la participación en jackpots. DraftKings se enfoca estratégicamente en expandir su presencia en el mercado de juegos de casino, particularmente al dirigirse al cliente que prioriza las tragamonedas y al construir su marca dentro de este segmento. Los ingresos de iGaming constituyen una parte notable de los ingresos generales de DraftKings, lo que demuestra su importancia para el desempeño financiero de la compañía.","[{'name': 'dkng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dkng-Q225-10-Q.html'}, {'name': 'dkng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dkng-FY24-10-K.html'}]",560105364,USD,SMART,STK
EM,CAS,1928,entertainment and media,casino_games,KYG7800X1079,SANDS CHINA LTD,10,"Opera resorts integrados con extensas instalaciones de casino, sirviendo como un importante contribuyente al mercado de juegos de Macao.",,,70670354,HKD,SEHK,STK
