industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
EU,CL1,ENPH,energy and utilities,clean_energy_technology,US29355A1079,ENPHASE ENERGY INC,1,"Proporciona microinversores avanzados y sistemas de almacenamiento de baterías, que son fundamentales para la generación, gestión y adopción generalizada de tecnologías de energía limpia.","La participación de Enphase en el tema de la tecnología de energía limpia es evidente en la entrega de soluciones para la gestión de la generación solar, el almacenamiento y la comunicación en una sola plataforma. Los microinversores inteligentes de la empresa, compatibles con prácticamente todos los paneles solares, son fundamentales para sus sistemas de energía limpia de alto rendimiento. Enphase ha enviado aproximadamente 83.1 millones de microinversores y está expandiendo sus operaciones con fabricantes por contrato en los Estados Unidos, lo que demuestra un compromiso para producir microinversores y baterías para proyectos de energía limpia. Además, Enphase está lanzando nuevos productos como el producto solar IQ Balcony y el cargador IQ EV, apoyando la sostenibilidad y el ahorro de energía.","[{'name': 'enph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q225-10-Q.html'}, {'name': 'enph-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q324-10-Q.html'}, {'name': 'enph-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/enph-FY24-10-K.html'}]",105368327,USD,SMART,STK
EU,CL1,NEE,energy and utilities,clean_energy_technology,US65339F1012,NEXTERA ENERGY INC,2,"Es un desarrollador y operador líder de proyectos de energía limpia, contribuyendo significativamente a la expansión y adopción de tecnologías de energía renovable.","La participación de NextEra Energy en la tecnología de energía limpia es evidente a través de sus importantes inversiones y actividades de desarrollo de proyectos. La compañía está expandiendo activamente sus carteras de energías renovables y almacenamiento, con un enfoque en instalaciones de energía eólica, solar y de almacenamiento en baterías, lo que se refleja en un aumento de las ganancias de nuevas inversiones en estas áreas. Energy Resources originó 3.2 gigavatios de nuevos proyectos, incluyendo más de 1 gigavatio para hiperscaladores, y planea agregar más de 8 gigavatios de energía solar y almacenamiento en baterías para 2029. Además, NextEra Energy se beneficia de los créditos fiscales de energía limpia relacionados con proyectos eólicos, solares y de almacenamiento, y está tomando medidas activas para reducir los impactos de los desarrollos regulatorios en sus actividades de desarrollo y mantenimiento de proyectos.","[{'name': 'nee-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nee-Q125-10-Q.html'}, {'name': 'nee-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nee-Q225-10-Q.html'}]",75960201,USD,SMART,STK
EU,CL1,FSLR,energy and utilities,clean_energy_technology,US3364331070,FIRST SOLAR INC,3,"Fabrica módulos solares, proporcionando un componente crítico para la generación de energía limpia y renovable dentro del sector más amplio de tecnología de energía limpia.","El compromiso de First Solar con la tecnología de energía limpia es evidente a través de su enfoque en la tecnología fotovoltaica de película delgada avanzada y su dedicación a la investigación y el desarrollo. La empresa fabrica y vende módulos solares fotovoltaicos que utilizan esta tecnología, esforzándose constantemente por mejorar el rendimiento del módulo y la producción de energía a través de iniciativas como el programa CuRe, el desarrollo de módulos bifaciales y la exploración de películas delgadas de perovskita. Estos esfuerzos están respaldados por instalaciones dedicadas de I+D, incluida una línea de fabricación piloto de alta tecnología diseñada para producir prototipos de módulos fotovoltaicos de película delgada y tándem, lo que demuestra un compromiso con el avance de la generación de energía solar como una alternativa competitiva a los módulos solares fotovoltaicos convencionales de silicio cristalino.","[{'name': 'fslr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fslr-FY24-10-K.html'}, {'name': 'fslr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fslr-Q324-10-Q.html'}, {'name': 'fslr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fslr-Q225-10-Q.html'}]",41622169,USD,SMART,STK
EU,CL1,ORSTED,energy and utilities,clean_energy_technology,DK0060094928,ORSTED A/S,4,"Desarrolla, construye y opera parques eólicos marinos, desempeñando un papel fundamental en el avance de la tecnología y la infraestructura mundial de energía limpia.",,,242060078,DKK,SMART,STK
EU,CL1,VWS,energy and utilities,clean_energy_technology,DK0061539921,VESTAS WIND SYSTEMS A/S,5,"Desarrolla, fabrica, instala y presta servicios de turbinas eólicas, contribuyendo directamente a la expansión global de la generación de energía renovable y al avance de las tecnologías de energía limpia.",,,481449559,DKK,SMART,STK
EU,CL1,GEV,energy and utilities,clean_energy_technology,US36828A1016,GE VERNOVA INC,6,"Desarrolla e implementa tecnologías e infraestructura esenciales para la generación, transmisión y distribución de energía limpia, apoyando la transición global hacia fuentes de energía sostenibles.","La participación de GEV en Tecnología de Energía Limpia se refleja en su enfoque en avances tecnológicos que mejoran la viabilidad y eficiencia de las alternativas de energía renovable, así como en sus Soluciones de Red en el segmento de Electrificación. La empresa reconoce la importancia de la transición a un sector energético más sostenible, incluidas las tecnologías de turbinas eólicas, y se refiere a los subsidios para tecnologías de energía renovable. Si bien GEV reconoce la urgencia de combatir el cambio climático, su compromiso con la tecnología de energía limpia parece secundario, careciendo de detalles financieros específicos.","[{'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}]",691984365,USD,SMART,STK
EU,CL1,NXT,energy and utilities,clean_energy_technology,US65290E1010,NEXTPOWER INC-CL A,7,"Proporciona soluciones avanzadas de seguimiento solar que optimizan la generación de energía para plantas de energía solar a escala de servicios públicos, contribuyendo significativamente a la expansión y eficiencia de la infraestructura de energía limpia.","El compromiso de Nextracker con la Tecnología de Energía Limpia es evidente a través de su posición como proveedor líder de plataformas de tecnología solar, ofreciendo tecnologías y soluciones de rastreadores solares que optimizan el rendimiento de las plantas de energía solar. El compromiso de la empresa se demuestra a través de su expansión a tecnologías de cimentaciones solares con NX Foundation Solutions y adquisiciones estratégicas, incluida Ojjo, que se especializa en tecnología de cimentaciones para la generación de energía solar. Para subrayar aún más este enfoque, Nextracker ha adquirido empresas como OnSight, un proveedor de robots de inspección autónoma y sistemas de detección de incendios para plantas solares, y tiene acuerdos con proveedores para hacer crecer su huella de fabricación en EE. UU. para piezas elegibles para el Crédito 45X, lo que refleja una inversión y dependencia significativas en tecnologías de energía limpia.","[{'name': 'nxt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxt-Q225-10-Q.html'}, {'name': 'nxt-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxt-Q126-10-Q.html'}, {'name': 'nxt-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxt-FY25-10-K.html'}]",613058308,USD,SMART,STK
EU,CL1,ENEL,energy and utilities,clean_energy_technology,IT0003128367,ENEL SPA,8,"Impulsa el desarrollo e implementación de tecnologías de energía limpia, abarcando la generación de energía renovable y la infraestructura de energía sostenible.",,,29816333,EUR,SMART,STK
EU,CL1,IBE,energy and utilities,clean_energy_technology,ES0144580Y14,IBERDROLA SA.,9,"Desarrolla, construye y opera activamente una extensa infraestructura de energía renovable, contribuyendo significativamente al avance y la adopción generalizada de tecnologías de energía limpia.",,,46586284,EUR,SMART,STK
EU,CL1,ALB,energy and utilities,clean_energy_technology,US0126531013,ALBEMARLE CORP,10,Sus operaciones contribuyen a la industria de Tecnología de Energía Limpia.,"Albemarle demuestra su compromiso con la Tecnología de Energía Limpia a través de su misión de proporcionar productos y servicios innovadores y comercialmente viables, contribuyendo a los ingresos basados en la sostenibilidad. El negocio de Almacenamiento de Energía de la empresa contribuye activamente al crecimiento de las millas limpias impulsadas por vehículos eléctricos y mejora la eficiencia de las energías renovables a través del almacenamiento en red. Además, Albemarle se basa en su cartera existente de soluciones ecológicas, con su negocio Ketjen mejorando la eficiencia de los recursos naturales y permitiendo una producción de combustible más ecológica.","[{'name': 'alb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q125-10-Q.html'}, {'name': 'alb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q324-10-Q.html'}, {'name': 'alb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q225-10-Q.html'}]",4347,USD,SMART,STK
