type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
energy and utilities,climate_technology,US0091581068,AIR PRODUCTS & CHEMICALS INC,1,"Desarrolla y suministra gases industriales y tecnologías relacionadas fundamentales para avanzar en los esfuerzos de descarbonización, la transición a la energía limpia y los procesos industriales sostenibles dentro del sector de Tecnología Climática.",,4487,USD,APD,SMART,STK,True,
energy and utilities,climate_technology,US36828A1016,GE VERNOVA INC,2,"Desarrolla e implementa tecnologías esenciales para la generación de energía renovable, la modernización de redes y la descarbonización, posicionándose como un habilitador clave de los objetivos climáticos globales.","GE Vernova demuestra un compromiso con el tema de Tecnología Climática a través de su enfoque en permitir la electrificación y la descarbonización, así como en innovar e invertir en tecnologías para reducir la intensidad de carbono de las redes eléctricas. El compromiso de la empresa se evidencia aún más en el desarrollo de nuevas tecnologías, como compensadores síncronos estáticos formadores de red y aparamenta sin SF6, destinados a crear una red eléctrica más resiliente y eficiente con menores emisiones de gases de efecto invernadero. Además, la empresa participa en la provisión de soluciones para la intermitencia renovable, como condensadores síncronos, y está invirtiendo en la fiabilidad y resiliencia de la red, alineándose con la tendencia más amplia de electrificación y descarbonización aceleradas.",691984365,USD,GEV,SMART,STK,True,"[{'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}]"
energy and utilities,climate_technology,US88160R1014,TESLA INC,3,"Avanza la tecnología climática a través de la producción de vehículos eléctricos y productos escalables de generación y almacenamiento de energía, facilitando la transición global hacia la energía sostenible.",,76792991,USD,TSLA,SMART,STK,True,
energy and utilities,climate_technology,US02361E1082,AMERESCO INC-CL A,4,"Desarrolla e implementa soluciones integrales de energía renovable y eficiencia energética, impulsando la descarbonización, la resiliencia energética y el desarrollo de infraestructura sostenible.",,77456695,USD,AMRC,SMART,STK,False,
energy and utilities,climate_technology,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,5,"Proporciona soluciones avanzadas de calefacción, ventilación, aire acondicionado y refrigeración que mejoran significativamente la eficiencia energética, reducen las emisiones de gases de efecto invernadero y contribuyen a una infraestructura de control climático sostenible.","Trane Technologies enfatiza su papel como innovador climático global, brindando soluciones sostenibles y eficientes en diversos sectores. Este compromiso se demuestra a través de su 'Gigaton Challenge', destinado a reducir significativamente las emisiones de carbono de los clientes. Solidificando aún más su dedicación, la compañía ha establecido ambiciosos Compromisos de Sostenibilidad para 2030, validados por la Science Based Targets Initiative (SBTi), y está invirtiendo activamente en nuevos productos y tecnologías para mantener su liderazgo en el sector climático, incluida la adquisición de BrainBox AI para la optimización de HVAC.",406709270,USD,TT,SMART,STK,True,"[{'name': 'tt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q125-10-Q.html'}, {'name': 'tt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q225-10-Q.html'}, {'name': 'tt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q324-10-Q.html'}, {'name': 'tt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tt-FY24-10-K.html'}]"
energy and utilities,climate_technology,US3364331070,FIRST SOLAR INC,6,"Desarrolla y fabrica módulos fotovoltaicos solares avanzados, desempeñando un papel crucial en la transición global hacia la energía limpia y el avance de las soluciones de tecnología climática.","El enfoque de First Solar en las ofertas de módulos a escala de servicios públicos se alinea con las políticas gubernamentales que promueven las energías renovables y la descarbonización. La tecnología avanzada de película delgada fotovoltaica de la empresa está diseñada para permitir la generación de energía de manera competitiva y confiable, particularmente en mercados con una necesidad significativa de electricidad solar fotovoltaica a gran escala, como los Estados Unidos y la India. Además, First Solar se dedica a investigar y desarrollar su tecnología de semiconductores de película delgada, incluidas las películas delgadas de perovskita y los módulos bifaciales que mejoran el rendimiento energético, lo que representa un compromiso para mejorar la eficiencia y reducir el costo de sus módulos solares como alternativa producida de manera responsable a los módulos solares fotovoltaicos convencionales de silicio cristalino.",41622169,USD,FSLR,SMART,STK,True,"[{'name': 'fslr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fslr-Q225-10-Q.html'}]"
energy and utilities,climate_technology,US65339F1012,NEXTERA ENERGY INC,7,"Como empresa líder en energía limpia, invierte y opera significativamente en proyectos de energía renovable, impulsando la transición hacia una red eléctrica sostenible.",,75960201,USD,NEE,SMART,STK,True,
energy and utilities,climate_technology,US2372661015,DARLING INGREDIENTS INC,8,"Transforma materiales orgánicos en ingredientes sostenibles y energía renovable, contribuyendo directamente a soluciones de Tecnología Climática.","El compromiso de Darling Ingredients con la tecnología climática es evidente a través de su segmento de Ingredientes para Combustibles, que se enfoca en la conversión de diversos materiales de desecho en combustibles renovables. La empresa conjunta Diamond Green Diesel Holdings LLC juega un papel crucial en este proceso, convirtiendo grasas animales, grasas recicladas y otras materias primas en diésel renovable y combustible de aviación sostenible (SAF). Además, la empresa conjunta DGD completó un proyecto de capital en su planta de Port Arthur para mejorar sus capacidades de producción de SAF, actualizando aproximadamente el cincuenta por ciento de su capacidad de producción anual de 470 millones de galones a SAF.",6604385,USD,DAR,SMART,STK,True,"[{'name': 'dar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dar-FY24-10-K.html'}]"
energy and utilities,climate_technology,US14448C1045,CARRIER GLOBAL CORP,9,"Se enfoca en el desarrollo de soluciones sostenibles en calefacción, ventilación, aire acondicionado y refrigeración, contribuyendo a la eficiencia energética y la reducción del impacto ambiental dentro del sector de Tecnología Climática.","Carrier Global Corporation demuestra su enfoque en la tecnología climática a través de varias iniciativas, incluida su identidad como líder en soluciones climáticas y energéticas inteligentes y su compromiso con la gestión ambiental. La empresa está alineada con los objetivos climáticos de la Unión Europea para 2030, incluida una reducción del 55% en las emisiones de carbono, y está experimentando una mayor demanda de calefacción y refrigeración urbana en Europa. Además, Carrier planea invertir más de 4 mil millones de dólares para 2030 en el desarrollo de soluciones climáticas y energéticas inteligentes que reduzcan los impactos ambientales y ha ampliado su cartera para ofrecer un conjunto global de soluciones sostenibles para edificios y cadenas de frío.",410755397,USD,CARR,SMART,STK,True,"[{'name': 'carr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/carr-Q324-10-Q.html'}, {'name': 'carr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/carr-Q125-10-Q.html'}, {'name': 'carr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/carr-Q225-10-Q.html'}, {'name': 'carr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/carr-FY24-10-K.html'}]"
energy and utilities,climate_technology,IT0003128367,ENEL SPA,10,"Juega un papel importante en el desarrollo y despliegue de tecnologías de energía renovable y soluciones de redes inteligentes a nivel mundial, contribuyendo a la descarbonización y la transición hacia un sistema energético sostenible.",,29816333,EUR,ENEL,SMART,STK,False,
