type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
health,clinical_trials,US46266C1053,IQVIA HOLDINGS INC,1,"Sirve como líder mundial en ensayos clínicos, proporcionando servicios críticos y análisis avanzados que impulsan el desarrollo y la comercialización de nuevos medicamentos.","La participación de IQVIA en ensayos clínicos es evidente a través de su segmento de Soluciones de Investigación y Desarrollo, que proporciona servicios externos de investigación clínica y relacionados con ensayos a clientes biofarmacéuticos. La empresa es un proveedor global líder de servicios de investigación clínica, ejemplificado por su colaboración estratégica con el Sarah Cannon Research Institute para transformar ensayos oncológicos y su liderazgo en ensayos globales de Fase III en diversas áreas terapéuticas, incluyendo oncología, obesidad y enfermedades raras. La participación de IQVIA incluye la gestión de programas de edición genética y la adjudicación de una parte significativa de los ensayos relacionados con la oncología, así como la dirección de programas de Fase III para el cáncer colorrectal y de páncreas y la obesidad. Esto está respaldado además por una cartera de pedidos contratada sustancial, lo que demuestra la sólida posición de la empresa en el panorama de los ensayos clínicos.","[{'name': 'iqv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iqv-Q125-10-Q.html'}, {'name': 'iqv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iqv-Q324-10-Q.html'}, {'name': 'iqv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iqv-Q225-10-Q.html'}, {'name': 'iqv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/iqv-FY24-10-K.html'}]",295757261,USD,IQV,SMART,STK,True,CLI
health,clinical_trials,US58933Y1055,MERCK & CO INC,2,"Participa en extensos ensayos clínicos a nivel mundial para descubrir, desarrollar y obtener la aprobación regulatoria para su cartera de productos farmacéuticos y vacunas innovadoras.","El enfoque de Merck en los ensayos clínicos es evidente en su evaluación de MK-1045 en varias fases, incluidas la Fase 1 y la Fase 1b/2, para tratar afecciones como el linfoma no Hodgkin recurrente o refractario y la leucemia linfoblástica aguda de células B. La dedicación de la empresa a los ensayos clínicos se demuestra aún más por las numerosas menciones de medicamentos que se evalúan en diferentes fases de ensayos clínicos, lo que sugiere una asignación significativa de recursos y personal a estas actividades. Este compromiso subraya el papel esencial de los ensayos clínicos en los procesos de desarrollo de fármacos y aprobación regulatoria de Merck.","[{'name': 'mrk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mrk-Q324-10-Q.html'}]",70101545,USD,MRK,SMART,STK,True,CLI
health,clinical_trials,US7170811035,PFIZER INC,3,"Es una entidad líder en el diseño y ejecución de ensayos clínicos globales, esenciales para el desarrollo y la aprobación regulatoria de su diversa cartera de medicamentos y vacunas.",,,11031,USD,PFE,SMART,STK,True,CLI
health,clinical_trials,US8835561023,THERMO FISHER SCIENTIFIC INC,4,"Proporciona instrumentos, reactivos y servicios críticos esenciales para la investigación, el desarrollo y la ejecución de ensayos clínicos.","El compromiso de Thermo Fisher con los ensayos clínicos es evidente a través de su negocio de investigación clínica, que desempeña un papel importante en el apoyo a los ensayos clínicos, incluidos los de vacunas y terapias contra la COVID-19, desde la adquisición de PPD en diciembre de 2021. La empresa fortalece su posición centrándose en la evidencia del mundo real para mejorar la seguridad y eficacia de los tratamientos, lanzando iniciativas como nuevos registros de pacientes de CorEvitas. Además, la solución Accelerator Drug Development integra Pharma Services y capacidades de investigación clínica para optimizar el desarrollo de fármacos, con una fuerte aceptación por parte de los clientes y crecientes autorizaciones de investigación clínica, aunque el negocio de investigación clínica experimentó una disminución en un período reciente.","[{'name': 'tmo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmo-Q324-10-Q.html'}, {'name': 'tmo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmo-Q125-10-Q.html'}, {'name': 'tmo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmo-FY24-10-K.html'}]",12869,USD,TMO,SMART,STK,True,CLI
health,clinical_trials,US4781601046,JOHNSON & JOHNSON,5,"Realiza extensos ensayos clínicos para desarrollar y probar una amplia cartera de productos farmacéuticos, dispositivos médicos y de salud del consumidor, asegurando su seguridad y eficacia para los mercados globales.",,,8719,USD,JNJ,SMART,STK,True,CLI
health,clinical_trials,US1101221083,BRISTOL-MYERS SQUIBB CO,6,"Realiza extensos ensayos clínicos a nivel mundial para desarrollar y probar nuevos productos farmacéuticos, garantizando su seguridad y eficacia para la aprobación regulatoria y el acceso de los pacientes.","El enfoque de Bristol-Myers Squibb en el descubrimiento, desarrollo y suministro de medicamentos transformadores requiere un fuerte compromiso en los ensayos clínicos. La empresa gestiona sus programas de I+D sobre una base de cartera, equilibrando programas en etapas tempranas y tardías, incluyendo desarrollos de Fase III tanto para compuestos en investigación como para indicaciones adicionales de productos comercializados. Los recientes anuncios de aprobaciones de la Comisión Europea para Breyanzi y Augtyro, junto con los datos del ensayo de Fase III POETYK PsA-2, ejemplifican aún más las actividades continuas de ensayos clínicos de la empresa.","[{'name': 'bmy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bmy-Q125-10-Q.html'}]",5111,USD,BMY,SMART,STK,True,CLI
health,clinical_trials,US58506Q1094,MEDPACE HOLDINGS INC,7,Proporciona servicios de investigación clínica que respaldan el desarrollo y la aprobación regulatoria de nuevas terapias médicas.,"La participación de Medpace en Ensayos Clínicos es fundamental para sus operaciones, ya que es una organización líder de investigación por contrato clínico (CRO) que brinda servicios de desarrollo clínico externalizados a las industrias biotecnológica, farmacéutica y de dispositivos médicos. El enfoque de la compañía está en la realización de ensayos clínicos en todas las áreas terapéuticas principales, con una fortaleza particular en Oncología, Enfermedades Metabólicas, Cardiología, Sistema Nervioso Central, y áreas Antivirales y Antiinfecciosas. Como CRO, el negocio de Medpace gira en torno a la gestión de ensayos clínicos, como lo demuestran las discusiones sobre estudios en curso, costos de investigadores y alcances de ensayos en sus llamadas de resultados.","[{'name': 'medp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/medp-FY24-10-K.html'}, {'name': 'medp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/medp-Q125-10-Q.html'}, {'name': 'medp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/medp-Q324-10-Q.html'}]",243508636,USD,MEDP,SMART,STK,True,CLI
health,clinical_trials,CH0012032048,ROCHE HOLDING AG-GENUSSCHEIN,8,"Participa en extensas actividades de investigación y desarrollo clínico, impulsando el avance de nuevas terapias médicas y herramientas de diagnóstico.",,,228954,CHF,ROG,SMART,STK,False,CLI
health,clinical_trials,CH0012005267,NOVARTIS AG-REG,9,"Realiza extensos ensayos clínicos a nivel mundial para desarrollar y probar nuevos productos farmacéuticos, contribuyendo significativamente a los avances en atención médica y medicina.",,,1615110,CHF,NOVN,SMART,STK,False,CLI
health,clinical_trials,US00287Y1091,ABBVIE INC,10,"Se dedica ampliamente a la investigación y desarrollo clínico para avanzar en su cartera de productos farmacéuticos, realizando ensayos a nivel mundial para llevar nuevas terapias al mercado.","AbbVie demuestra un fuerte enfoque en ensayos clínicos, como lo demuestra el inicio de múltiples ensayos de Fase 3 para medicamentos como Rinvoq, lutikizumab y Epkinly en diversas áreas terapéuticas. Este compromiso se destaca aún más por la anticipación de varias presentaciones regulatorias y lecturas de datos de ensayos clínicos clave dentro del próximo año. Con una cartera de aproximadamente 90 compuestos, dispositivos o indicaciones, incluidas alrededor de 50 en desarrollo intermedio y tardío, la inversión continua de AbbVie en investigación clínica es evidente a través de numerosas menciones de ensayos de Fase 2 y Fase 3 para medicamentos como Skyrizi, ABBV-383 y Tavapadon.","[{'name': 'abbv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abbv-Q324-10-Q.html'}, {'name': 'abbv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abbv-FY24-10-K.html'}]",118089500,USD,ABBV,SMART,STK,True,CLI
