industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
IN,MA2,NKE,industrial,clothing_manufacturing,US6541061031,NIKE INC -CL B,1,"Como líder mundial, diseña, desarrolla, fabrica y comercializa ropa y accesorios deportivos, estableciendo tendencias y estándares en la industria a nivel mundial.","La participación de NIKE en la industria de fabricación de prendas de vestir es evidente a través de su diseño, desarrollo, comercialización y venta de prendas deportivas en todo el mundo, con ingresos de prendas de la marca NIKE que alcanzaron los $3,193 millones en el tercer trimestre del año fiscal 2025. La empresa está innovando activamente en esta área, destacada por el debut de una nueva plataforma de innovación de prendas en la Copa del Mundo de 2026, que luego se aprovechará en otros deportes, así como el lanzamiento de una plataforma de prendas transpirables llamada Radical Air bajo la marca ACG. Además, NIKE se está asociando con SKIMS para crear prendas de entrenamiento inclusivas, lo que demuestra un compromiso con la innovación y la inclusividad en sus ofertas de prendas.","[{'name': 'nke-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q325-10-Q.html'}, {'name': 'nke-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q225-10-Q.html'}, {'name': 'nke-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q125-10-Q.html'}]",10291,USD,SMART,STK
IN,MA2,ITX,industrial,clothing_manufacturing,ES0148396007,INDUSTRIA DE DISENO TEXTIL,2,"Opera un modelo integrado verticalmente que abarca el diseño, la fabricación y la distribución de prendas de vestir, estableciéndose como una fuerza dominante en la industria de la moda global.",,,162084958,EUR,SMART,STK
IN,MA2,BRK B,industrial,clothing_manufacturing,US0846707026,BERKSHIRE HATHAWAY INC-CL B,3,Tiene operaciones dentro de la industria de fabricación de prendas de vestir.,"Berkshire Hathaway mantiene su participación en la fabricación de prendas de vestir a través de su grupo de productos de consumo, que abarca varias operaciones de prendas de vestir y calzado, incluidas Fruit of the Loom, Garan, H.H. Brown Shoe Group y Brooks Sports. Si bien estas operaciones de prendas de vestir contribuyen a los ingresos de la empresa, no se destacan como marcas insignia, lo que sugiere un impacto limitado pero distinto de cero en las actividades generales de la empresa.","[{'name': 'brk.b-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/brk.b-Q225-10-Q.html'}]",72063691,USD,SMART,STK
IN,MA2,ADS,industrial,clothing_manufacturing,DE000A1EWWW0,ADIDAS AG,4,"Diseña, fabrica y vende una amplia gama de ropa deportiva y de estilo de vida, contribuyendo significativamente a las industrias mundiales del deporte y la moda.",,,79780521,EUR,SMART,STK
IN,MA2,CTAS,industrial,clothing_manufacturing,US1729081059,CINTAS CORP,5,"Se especializa en la fabricación y suministro de uniformes y ropa de trabajo, proporcionando soluciones de vestimenta a medida para una amplia gama de negocios e industrias.","Cintas participa en la fabricación de ropa a través de su papel como proveedor líder de uniformes de identidad corporativa en América del Norte, ofrecidos a través de programas de alquiler y venta. El segmento de Alquiler de Uniformes y Servicios de Instalaciones, que incluye el alquiler y servicio de uniformes y otras prendas como ropa ignífuga, representa una parte significativa de los ingresos de Cintas. La compañía también discute su abastecimiento estratégico y gestión de la cadena de suministro relacionados con su programa de alquiler de uniformes, incluida una línea ampliada de ropa de seguridad de alta visibilidad Carhartt, y menciona la inyección de prendas para el negocio de alquiler de uniformes. Además, Cintas se enfoca en el uso eficiente del inventario en servicio, incluidos los uniformes.","[{'name': 'ctas-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctas-Q225-10-Q.html'}, {'name': 'ctas-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctas-Q325-10-Q.html'}]",268149,USD,SMART,STK
IN,MA2,9983,industrial,clothing_manufacturing,JP3802300008,FAST RETAILING CO LTD,6,"Opera como líder mundial en el diseño, fabricación y comercialización de indumentaria, influyendo en las cadenas de suministro y los estándares de producción en diversos mercados.",,,14019486,JPY,SMART,STK
IN,MA2,MC,industrial,clothing_manufacturing,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,7,"Se dedica al diseño, fabricación y distribución global de indumentaria de alta gama a través de su extensa cartera de casas de moda de lujo.",,,29612150,EUR,SMART,STK
IN,MA2,TPR,industrial,clothing_manufacturing,US8760301072,TAPESTRY INC,8,"Diseña, fabrica y comercializa una cartera diversa de marcas de moda de lujo, contribuyendo significativamente a la industria mundial de la confección y los accesorios.",,,292491487,USD,SMART,STK
IN,MA2,KER,industrial,clothing_manufacturing,FR0000121485,KERING,9,"Opera múltiples casas de moda de lujo que diseñan, fabrican y distribuyen prendas de alta gama, contribuyendo significativamente al segmento de lujo de la industria de fabricación de prendas de vestir.",,,29612178,EUR,SMART,STK
IN,MA2,VFC,industrial,clothing_manufacturing,US9182041080,VF CORP,10,"Se enfoca en el diseño, fabricación y distribución de una cartera diversa de marcas de indumentaria, contribuyendo significativamente a la industria global de la moda.","La participación de VF Corporation en la Fabricación de Ropa es evidente a través de su cartera de marcas líderes de ropa para exteriores, activa y de trabajo, incluidas The North Face, Vans, Timberland y Dickies. La compañía obtiene activamente una parte significativa de sus productos, aproximadamente el 85% de los comprados para la venta en los EE. UU., del sudeste asiático y de América Central y del Sur, siendo Vietnam, Bangladesh, Camboya e Indonesia los principales mercados de abastecimiento. VF Corporation también tiene obligaciones de inventario que representan compromisos vinculantes para comprar productos terminados y materias primas.","[{'name': 'vfc-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vfc-Q126-10-Q.html'}, {'name': 'vfc-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vfc-FY25-10-K.html'}]",13440,USD,SMART,STK
