symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
MSFT,technology,cloud_software,US5949181045,MICROSOFT CORP,1,"Proporciona una cartera integral de plataformas de computación en la nube y servicios de software, impulsando la transformación digital y permitiendo a las empresas aprovechar las tecnologías en la nube a nivel mundial.","El enfoque de Microsoft en Software en la Nube es evidente a través de los sustanciales ingresos generados por sus soluciones basadas en la nube, particularmente Microsoft 365. El negocio comercial de la empresa depende en gran medida de los productos de Microsoft 365 Commercial y los servicios en la nube, junto con otras ofertas en la nube como Dynamics 365. Este énfasis está aún más respaldado por la creciente adopción de versiones basadas en la nube de sus productos y servicios, el cambio de los modelos de reconocimiento de ingresos y el resaltado de la importancia estratégica de las ofertas en la nube para el negocio general de Microsoft.","[{'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}]",272093,USD,SMART,STK,True,CL2
AMZN,technology,cloud_software,US0231351067,AMAZON.COM INC,2,"Proporciona un conjunto completo de servicios de computación en la nube y soluciones de software a través de Amazon Web Services (AWS), lo que permite a las empresas de todo el mundo escalar sus operaciones e innovar.",,,3691937,USD,SMART,STK,True,CL2
ADBE,technology,cloud_software,US00724F1012,ADOBE INC,3,"Proporciona aplicaciones líderes en la industria de creatividades, documentos y experiencias digitales entregadas a través de un modelo integral de suscripción basado en la nube.","La participación de Adobe en el tema de Software en la Nube es evidente en su modelo de negocio principal, donde las aplicaciones se entregan a través de Internet mediante un modelo de suscripción. Esto se ejemplifica en Creative Cloud y Document Cloud, ofertas basadas en suscripción que brindan servicios en la nube para diseñar, crear y publicar contenido. Estas ofertas incluyen licencias de software y servicios en la nube tanto locales como en dispositivos, pero se tratan como una única obligación de rendimiento, con ingresos reconocidos de forma prorrateada durante el período de suscripción. La empresa también ha experimentado un crecimiento en los ingresos por suscripción basados en software en su cartera de ofertas.","[{'name': 'adbe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q324-10-Q.html'}, {'name': 'adbe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adbe-FY24-10-K.html'}]",265768,USD,SMART,STK,True,CL2
CRM,technology,cloud_software,US79466L3024,SALESFORCE INC,4,"Proporciona un conjunto completo de soluciones de software basadas en la nube, centrándose principalmente en la gestión de relaciones con los clientes, la automatización de ventas y las plataformas de aplicaciones empresariales.","La participación de Salesforce en el tema de software en la nube es evidente en su modelo de negocio principal, que gira en torno a la provisión de soluciones de software basadas en la nube. La suite de ofertas de la empresa, que incluye Sales Cloud, Service Cloud, Marketing Cloud, Commerce Cloud, Field Service, Data Cloud y Agentforce, se alojan en la nube y se accede a ellas de forma remota, lo que enfatiza la flexibilidad y escalabilidad para los usuarios. Esto se apoya aún más en el hecho de que los ingresos por suscripción y soporte, derivados de estas ofertas de software en la nube, constituyen una parte importante de los ingresos totales de Salesforce. Los servicios en la nube de la empresa permiten a los clientes utilizar software multiusuario sin tomar posesión de él, lo que resalta el papel central del software en la nube en la estrategia de Salesforce.","[{'name': 'crm-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crm-FY25-10-K.html'}, {'name': 'crm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q325-10-Q.html'}]",29624264,USD,SMART,STK,True,CL2
GOOGL,technology,cloud_software,US02079K3059,ALPHABET INC-CL A,5,"Proporciona un conjunto completo de servicios de computación en la nube y soluciones de software, lo que permite a las empresas gestionar datos, desarrollar aplicaciones y escalar operaciones a nivel mundial.","El compromiso de Google con el tema de Software en la Nube es evidente a través de Google Workspace, un conjunto de herramientas de comunicación y colaboración basadas en la nube para empresas, que incluye aplicaciones como Calendar, Gmail, Docs, Drive y Meet, mejoradas con funciones como Gemini. Google Workspace genera ingresos como parte de Google Cloud, lo que destaca su papel en la asignación de recursos y la importancia estratégica de la empresa. Esta oferta subraya la inversión de Google en proporcionar soluciones de software basadas en la nube a sus clientes empresariales.","[{'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}, {'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}, {'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}]",208813719,USD,SMART,STK,True,CL2
HUBS,technology,cloud_software,US4435731009,HUBSPOT INC,6,"Proporciona una plataforma integral de gestión de relaciones con los clientes basada en la nube que integra software de marketing, ventas y servicio para empoderar a las empresas a nivel mundial.","El compromiso de HubSpot con el tema de Software en la Nube es evidente en su modelo de negocio principal, ya que su plataforma para clientes es un producto de software como servicio (SaaS) multitenant y disponible a nivel mundial, accesible a través de API, navegadores web y aplicaciones móviles. La empresa obtiene una parte significativa de sus ingresos, aproximadamente el 98%, de las suscripciones a esta plataforma basada en la nube. Este modelo de entrega SaaS es fundamental para sus operaciones y el acceso de los clientes, lo que significa una inversión sustancial en software en la nube.","[{'name': 'hubs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hubs-FY24-10-K.html'}]",169544810,USD,SMART,STK,False,CL2
ADSK,technology,cloud_software,US0527691069,AUTODESK INC,7,"Proporciona soluciones de software basadas en la nube para las industrias de diseño, ingeniería y entretenimiento, lo que permite la colaboración y la gestión de datos a través de sus ofertas de suscripción.","El compromiso de Autodesk con el tema del Software en la Nube es evidente en su estrategia de combinar software adquirido y orgánico para crear soluciones integrales basadas en la nube. Esto se demuestra a través de planes de suscripción que integran software de escritorio con funcionalidad en la nube, proporcionando flujos de trabajo de diseño colaborativos. Las ofertas en la nube de Autodesk, como Autodesk Construction Cloud, Fusion y las aplicaciones web y móviles de AutoCAD, proporcionan herramientas y capacidades para agilizar el diseño, la colaboración, la construcción, la fabricación y la gestión de datos. Además, la adquisición de Payapps, una plataforma de software en la nube para la gestión de pagos relacionados con la construcción, refuerza el compromiso de Autodesk de fortalecer sus soluciones basadas en la nube.","[{'name': 'adsk-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adsk-Q325-10-Q.html'}, {'name': 'adsk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adsk-Q225-10-Q.html'}, {'name': 'adsk-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adsk-FY25-10-K.html'}]",265681,USD,SMART,STK,True,CL2
DOCU,technology,cloud_software,US2561631068,DOCUSIGN INC,8,"Proporciona soluciones de software basadas en la nube para firmas electrónicas y gestión de acuerdos, permitiendo la transformación digital de los procesos empresariales.","La participación de DocuSign en el tema de ""Software en la Nube"" es significativa, ya que la empresa obtiene la mayor parte de sus ingresos de las suscripciones a su plataforma de software, lo que subraya la importancia de los servicios basados en la nube para su modelo de negocio. Las soluciones de la empresa abordan los flujos de trabajo de acuerdos y la transformación digital, entregados a través de suscripciones que constituyen una mayoría sustancial de sus ingresos. Este modelo de suscripción proporciona acceso a la plataforma de software de DocuSign, infraestructura técnica y soporte al cliente, reforzando la dependencia de la empresa en la entrega basada en la nube.","[{'name': 'docu-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/docu-Q325-10-Q.html'}]",316073742,USD,SMART,STK,True,CL2
SAP,technology,cloud_software,DE0007164600,SAP SE,9,Proporciona un conjunto completo de software de planificación de recursos empresariales y aplicaciones empresariales basado en la nube que permite la transformación digital para organizaciones de todo el mundo.,,,14204,EUR,SMART,STK,False,CL2
ASAN,technology,cloud_software,US04342Y1047,ASANA INC - CL A,10,"Proporciona una plataforma líder de gestión del trabajo basada en la nube, que permite a los equipos organizar y seguir su trabajo de manera eficiente como una oferta de software como servicio.","Los ingresos de Asana se derivan principalmente de las tarifas de suscripción pagadas por los clientes que acceden a su plataforma basada en la nube, lo que destaca la dependencia de la empresa del software en la nube. Este modelo de ingresos indica la importancia del software en la nube para el negocio de Asana, ya que es la base de su oferta de servicios. El enfoque de la empresa en las tarifas de suscripción de su plataforma basada en la nube confirma su participación en la industria del software en la nube.","[{'name': 'asan-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/asan-FY25-10-K.html'}]",447584483,USD,SMART,STK,False,CL2
