type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
financials,commercial_banking,US0605051046,BANK OF AMERICA CORP,1,"Sirve como un proveedor global líder de soluciones integrales de banca comercial, atendiendo las necesidades financieras de empresas de diversos sectores.","La participación de Bank of America en Banca Comercial es evidente a través de su segmento de Banca Global, que abarca Banca Corporativa Global, Banca Comercial Global y Banca de Empresas. Este segmento ofrece un conjunto integral de servicios, que incluyen préstamos, gestión de capital de trabajo, soluciones de tesorería y suscripción, todo ello respaldado por una red global. La empresa ha demostrado un crecimiento en préstamos comerciales en diversas líneas de negocio y ha invertido en la expansión de sus equipos de banca comercial. Además, la aplicación CashPro de la empresa atiende a sus clientes comerciales, lo que indica un enfoque en la mejora de sus servicios de banca comercial.","[{'name': 'bac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bac-FY24-10-K.html'}, {'name': 'bac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q125-10-Q.html'}, {'name': 'bac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q225-10-Q.html'}]",10098,USD,BAC,SMART,STK,True
financials,commercial_banking,US46625H1005,JPMORGAN CHASE & CO,2,"Un proveedor global líder de servicios bancarios comerciales, que apoya a empresas de todos los tamaños con soluciones financieras integrales.","La participación de JPMorgan Chase en la banca comercial es evidente a través de su posición de liderazgo en el sector, sirviendo a millones de clientes a nivel mundial bajo las marcas J.P. Morgan y Chase. JPMorgan Chase Bank, N.A., su principal subsidiaria bancaria, opera sucursales en 48 estados y Washington, D.C. Las actividades de banca comercial de la firma se reflejan en sus segmentos de cobertura de clientes y en los productos y servicios bancarios que ofrece a las empresas, con ingresos de banca comercial reportados de $2,825 millones en el primer trimestre de 2025. Además, dentro del segmento CIB, existen préstamos de banca y pagos y depósitos de clientes.","[{'name': 'jpm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q225-10-Q.html'}, {'name': 'jpm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q125-10-Q.html'}]",1520593,USD,JPM,SMART,STK,True
financials,commercial_banking,US4932671088,KEYCORP,3,"Opera como un proveedor destacado de servicios bancarios comerciales, ofreciendo un conjunto integral de soluciones financieras a empresas de diversos sectores.","El enfoque de KeyCorp en la banca comercial es evidente a través de su Commercial Bank, que comprende los segmentos operativos Commercial e Institutional. Esta plataforma de servicio completo atiende principalmente las necesidades de préstamos, gestión de efectivo y mercados de capital de clientes del mercado medio dentro de la huella de sucursales de 15 estados de Key, mientras que el segmento Institutional extiende servicios de préstamos, financiación de equipos y servicios bancarios a clientes corporativos e institucionales más grandes a nivel nacional. KeyCorp logró su plan de todo el año para hacer crecer los préstamos comerciales, demostrando un fuerte crecimiento de los préstamos comerciales con carteras en crecimiento en los sectores institucional y del mercado medio. La compañía también ha expandido su negocio de banca comercial en Chicago y el sur de California para atender a más clientes del mercado medio.","[{'name': 'key-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/key-Q125-10-Q.html'}, {'name': 'key-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/key-Q225-10-Q.html'}, {'name': 'key-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/key-Q324-10-Q.html'}, {'name': 'key-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/key-FY24-10-K.html'}]",8809,USD,KEY,SMART,STK,True
financials,commercial_banking,US1729674242,CITIGROUP INC,4,"Proporciona amplios servicios y soluciones de banca comercial a empresas de todo el mundo, facilitando sus operaciones financieras y su crecimiento estratégico.","La participación de Citigroup en la Banca Comercial es evidente a través de varias facetas de sus operaciones. La empresa ofrece servicios de banca corporativa y tiene una cartera global diversificada de servicios financieros que incluye banca corporativa y de inversión. Los ingresos bancarios han mostrado crecimiento, impulsados por la banca de inversión y los préstamos corporativos. Las Soluciones de Tesorería y Comercio de Citigroup desempeñan un papel crucial en la asistencia a los clientes con la reposición comercial y los desafíos de la cadena de suministro, profundizando las relaciones con los clientes.","[{'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}, {'name': 'c-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q324-10-Q.html'}, {'name': 'c-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/c-FY24-10-K.html'}]",87335484,USD,C,SMART,STK,True
financials,commercial_banking,US3167731005,FIFTH THIRD BANCORP,5,"Proporciona una amplia gama de productos y servicios de banca comercial, que incluyen préstamos, gestión de tesorería y mercados de capitales, a empresas de diversos sectores, contribuyendo significativamente al panorama financiero comercial.","El compromiso de Fifth Third Bancorp con la Banca Comercial es significativo, como lo demuestra su designación como uno de los tres segmentos de negocio principales de la empresa. El segmento de Banca Comercial ofrece un conjunto integral de servicios, que incluyen intermediación de crédito, gestión de efectivo y servicios financieros adaptados para grandes empresas y empresas del mercado medio, organismos gubernamentales y clientela profesional. El enfoque de la empresa en la financiación del crecimiento orgánico subraya su compromiso de mantener la estabilidad, la rentabilidad y la expansión dentro de sus operaciones de banca comercial, notando particularmente las contribuciones sustanciales de sus regiones del sureste al crecimiento de préstamos del mercado medio y al desarrollo de nuevas relaciones.","[{'name': 'fitb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fitb-Q324-10-Q.html'}, {'name': 'fitb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fitb-Q125-10-Q.html'}, {'name': 'fitb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fitb-Q225-10-Q.html'}, {'name': 'fitb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fitb-FY24-10-K.html'}]",269318,USD,FITB,SMART,STK,True
financials,commercial_banking,US55261F1049,M & T BANK CORP,6,"Proporciona un conjunto integral de productos y servicios financieros adaptados a las empresas, que incluyen préstamos, soluciones de depósitos y gestión de tesorería, apoyando sus necesidades operativas y de crecimiento.","La exposición de M&T Bank al tema de la Banca Comercial es evidente a través de sus operaciones y servicios. Las subsidiarias bancarias de propiedad total de la compañía, M&T Bank y Wilmington Trust, N.A., ofrecen una amplia gama de servicios bancarios minoristas y comerciales, fideicomiso y gestión de patrimonios, y servicios institucionales. El segmento de Banca Comercial proporciona productos de crédito y servicios bancarios, que incluyen préstamos y arrendamiento comercial, líneas de crédito garantizadas por bienes raíces comerciales, cartas de crédito, productos de depósito y servicios de gestión de efectivo a clientes comerciales medianos y grandes. Además, M&T apoya a los emprendedores con laboratorios aceleradores de pequeñas empresas y ha experimentado un crecimiento en segmentos de préstamos comerciales como C&I y almacenes hipotecarios.","[{'name': 'mtb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mtb-Q324-10-Q.html'}, {'name': 'mtb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mtb-Q125-10-Q.html'}, {'name': 'mtb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mtb-FY24-10-K.html'}, {'name': 'mtb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mtb-Q225-10-Q.html'}]",2585323,USD,MTB,SMART,STK,True
financials,commercial_banking,US1746101054,CITIZENS FINANCIAL GROUP,7,"Se enfoca en ofrecer un conjunto integral de productos y servicios financieros a empresas, que incluyen préstamos, gestión de tesorería y otras soluciones bancarias, desempeñando un papel importante en el sector de la banca comercial.","Citizens Financial Group demuestra su participación en la Banca Comercial a través de su amplia gama de productos y soluciones financieras, que incluyen préstamos y arrendamientos, servicios de gestión de depósitos y tesorería, divisas y soluciones de gestión de riesgos. La compañía brinda estos servicios a una clientela diversa, que abarca desde pequeñas empresas hasta grandes corporaciones. Además, la presencia de Don McCree, Director de Banca Comercial, en las llamadas de resultados y el crecimiento neto de préstamos reportado en el segmento comercial resaltan el enfoque de la compañía en esta área. La compañía enfatiza su posición como el banco comercial mejor posicionado entre sus pares regionales.","[{'name': 'cfg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cfg-Q225-10-Q.html'}, {'name': 'cfg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cfg-FY24-10-K.html'}, {'name': 'cfg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cfg-Q324-10-Q.html'}, {'name': 'cfg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cfg-Q125-10-Q.html'}]",167955370,USD,CFG,SMART,STK,True
financials,commercial_banking,US9497461015,WELLS FARGO & CO,8,"Ofrece amplios productos y servicios bancarios adaptados para empresas, que abarcan soluciones de crédito, tesorería y asesoramiento para apoyar sus necesidades operativas y de crecimiento.","Wells Fargo está activamente enfocada en expandir su negocio de Banca Comercial a través de inversiones estratégicas en talento, incluyendo gerentes de relaciones, oficiales de desarrollo de negocios y el Grupo de Banca Tecnológica, donde el equipo de banqueros ha crecido significativamente. Esta expansión tiene como objetivo atraer nuevos clientes y aprovechar las capacidades de banca de inversión para las relaciones de banca comercial existentes. Estas inversiones han contribuido al crecimiento de los ingresos no financieros, impulsado por mayores tarifas de gestión de tesorería y banca de inversión, aunque esto fue parcialmente compensado por menores ingresos netos por intereses.",,10375,USD,WFC,SMART,STK,True
financials,commercial_banking,JP3902900004,MITSUBISHI UFJ FINANCIAL GRO,9,"Es un importante proveedor global de servicios de banca comercial, que ofrece un conjunto integral de productos y soluciones financieras a clientes corporativos de diversas industrias.",,,13905935,JPY,8306,SMART,STK,False
financials,commercial_banking,GB0005405286,HSBC HOLDINGS PLC,10,"Desempeña un papel importante en la banca comercial al proporcionar una amplia gama de servicios y soluciones financieras a empresas a nivel mundial, apoyando sus necesidades operativas y de crecimiento.",,,909083,GBP,HSBA,SMART,STK,False
