industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
real estate,commercial_real_estate,US12504L1098,CBRE GROUP INC - A,1,"Se erige como líder mundial en servicios inmobiliarios comerciales, ofreciendo una amplia gama de soluciones en gestión de propiedades, ventas, arrendamientos y funciones de asesoramiento.","Los bienes raíces comerciales son fundamentales para las operaciones de CBRE, ya que la empresa se identifica como la mayor firma de servicios e inversiones inmobiliarias comerciales del mundo. El negocio principal de CBRE gira en torno a diversas actividades, que incluyen servicios de asesoramiento, soluciones globales para el lugar de trabajo, inversiones inmobiliarias, arrendamiento de propiedades, ventas y financiación dentro del sector inmobiliario comercial. La estrategia de la empresa se sustenta en capacidades amplias y profundas en todas las dimensiones del sector inmobiliario comercial. El documento destaca la mejora del entorno operativo para los bienes raíces comerciales, con un aumento de la actividad de arrendamiento y ventas.","[{'name': 'cbre-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q225-10-Q.html'}, {'name': 'cbre-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q125-10-Q.html'}, {'name': 'cbre-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cbre-Q324-10-Q.html'}, {'name': 'cbre-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cbre-FY24-10-K.html'}]",95514904,USD,CBRE,SMART,STK,True,COM
real estate,commercial_real_estate,US8288061091,SIMON PROPERTY GROUP INC,2,"A través de su propiedad, desarrollo y gestión de propiedades minoristas, gastronómicas, de entretenimiento y de uso mixto, da forma activamente al panorama de la industria inmobiliaria comercial.","El compromiso de Simon Property Group con el tema de Bienes Raíces Comerciales es evidente a través de sus operaciones comerciales principales, que implican la propiedad, el desarrollo y la gestión de destinos de compras, restaurantes, entretenimiento y de uso mixto, que consisten principalmente en centros comerciales, Premium Outlets y The Mills. La empresa mejora sus plataformas de bienes raíces minoristas a través del desarrollo, la reurbanización y las adquisiciones, incluidas las inversiones en propiedades de uso mixto como Brickell City Centre. Con una cartera sustancial de propiedades que generan ingresos, Simon Property Group se enfoca en maximizar los rendimientos financieros de sus inversiones inmobiliarias, lo que refleja un compromiso significativo con el sector de bienes raíces comerciales.","[{'name': 'spg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spg-Q125-10-Q.html'}, {'name': 'spg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spg-Q324-10-Q.html'}, {'name': 'spg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/spg-FY24-10-K.html'}]",2009113,USD,SPG,SMART,STK,True,COM
real estate,commercial_real_estate,US7561091049,REALTY INCOME CORP,3,"Invierte y gestiona una cartera diversificada de propiedades comerciales independientes, principalmente bajo acuerdos de arrendamiento neto a largo plazo, apoyando a diversas empresas en todo el sector inmobiliario comercial.","El negocio de Realty Income se centra en inversiones en bienes raíces comerciales diversificados, demostrado por una cartera que supera las 15.600 propiedades en EE. UU., el Reino Unido y Europa. Sus inversiones abarcan varios tipos de propiedades, incluidos minoristas, industriales y otros activos comerciales, con un enfoque en parques minoristas en el Reino Unido e Irlanda. Realty Income también ofrece soluciones de capital inmobiliario, incluidas soluciones de crédito, y gestiona bienes raíces en nombre de terceros a través de su fondo Evergreen U.S. Core Plus Fund.","[{'name': 'o-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/o-FY24-10-K.html'}, {'name': 'o-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/o-Q324-10-Q.html'}]",10672,USD,O,SMART,STK,True,COM
real estate,commercial_real_estate,US22160N1090,COSTAR GROUP INC,4,"Proporciona datos completos, análisis y mercados en línea para propiedades comerciales, sirviendo como una plataforma crítica de información y transacciones para la industria.","La participación de CoStar Group en el tema de Bienes Raíces Comerciales es significativa, como lo demuestran sus operaciones comerciales principales. La plataforma CoStar de la empresa es una plataforma integrada que proporciona inteligencia sobre bienes raíces comerciales, mientras que LoopNet opera como una red de sitios web de bienes raíces comerciales que ofrecen servicios de mercado en línea. Además, la empresa utiliza datos agregados para crear información de precios y ocupación para bienes raíces comerciales y opera Ten-X, una plataforma de subastas en línea para bienes raíces comerciales.","[{'name': 'csgp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csgp-FY24-10-K.html'}, {'name': 'csgp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csgp-Q324-10-Q.html'}, {'name': 'csgp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csgp-Q225-10-Q.html'}, {'name': 'csgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csgp-Q125-10-Q.html'}]",6726677,USD,CSGP,SMART,STK,True,COM
real estate,commercial_real_estate,US74460D1090,PUBLIC STORAGE,5,"Opera como un fideicomiso de inversión inmobiliaria líder centrado principalmente en la adquisición, desarrollo y gestión de instalaciones de autoalmacenamiento, lo que lo convierte en un contribuyente importante al mercado inmobiliario comercial.","Las operaciones de Public Storage están fuertemente concentradas en bienes raíces comerciales, específicamente en instalaciones de autoalmacenamiento, que generan la mayor parte de sus ingresos netos. La compañía gestiona y expande activamente su cartera a través de adquisiciones, desarrollo y redesarrollo, como lo demuestran los miles de millones de dólares invertidos en la adquisición y desarrollo de nuevas instalaciones. Esto se demuestra aún más por el enfoque de la compañía en los factores que afectan el rendimiento de estas instalaciones, como la ocupación y las tarifas de alquiler, así como el análisis del deterioro de los activos a largo plazo, incluidas las instalaciones inmobiliarias.","[{'name': 'psa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psa-Q225-10-Q.html'}, {'name': 'psa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/psa-FY24-10-K.html'}, {'name': 'psa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psa-Q324-10-Q.html'}]",12002,USD,PSA,SMART,STK,True,COM
real estate,commercial_real_estate,US1011211018,BXP INC,6,"Opera como un propietario, desarrollador y gestor significativo de propiedades inmobiliarias comerciales.","Las operaciones de BXP se centran en gran medida en el sector inmobiliario comercial, ya que funciona como uno de los fideicomisos de inversión inmobiliaria de oficinas que cotizan en bolsa más grandes, desarrollando, poseyendo y gestionando principalmente espacios de trabajo de primer nivel. La empresa concentra sus propiedades en seis mercados clave dinámicos en los EE. UU. y genera ingresos principalmente a través del arrendamiento de estos espacios de trabajo a clientes. La actividad de arrendamiento de BXP se mantiene vibrante en muchos submercados, y el segmento de espacios de trabajo de primer nivel supera consistentemente al mercado de oficinas en general, lo que solidifica aún más el enfoque de la empresa en bienes raíces comerciales.","[{'name': 'bxp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxp-Q324-10-Q.html'}, {'name': 'bxp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bxp-FY24-10-K.html'}, {'name': 'bxp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bxp-Q125-10-Q.html'}]",5021340,USD,BXP,SMART,STK,True,COM
real estate,commercial_real_estate,GB00BFZ4N465,CUSHMAN & WAKEFIELD PLC,7,"Proporciona servicios integrales de bienes raíces comerciales globales, que incluyen arrendamiento, administración de propiedades, mercados de capital y valoración, sirviendo como un socio crítico para inversores y ocupantes en el mercado.","El negocio de Cushman & Wakefield está fundamentalmente ligado al mercado de bienes raíces comerciales, ya que la compañía se identifica como una firma líder mundial de servicios de bienes raíces comerciales. Su desempeño depende en gran medida de la solidez de los mercados inmobiliarios comerciales globales y regionales, y la compañía administra aproximadamente 6.0 mil millones de pies cuadrados de espacio inmobiliario comercial a nivel mundial. El enfoque de la compañía en el arrendamiento es evidente en la contratación de equipos de arrendamiento y la perspectiva positiva sobre una recuperación multianual en el sector inmobiliario comercial.","[{'name': 'cwk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cwk-Q125-10-Q.html'}, {'name': 'cwk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cwk-Q324-10-Q.html'}, {'name': 'cwk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cwk-FY24-10-K.html'}, {'name': 'cwk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cwk-Q225-10-Q.html'}]",0,,,,,True,COM
real estate,commercial_real_estate,US92936U1097,WP CAREY INC,8,"Opera como un fideicomiso diversificado de inversión inmobiliaria, adquiriendo y gestionando una cartera global de propiedades comerciales principalmente a través de arrendamientos netos a largo plazo, desempeñando así un papel importante en el sector inmobiliario comercial.","El negocio de W. P. Carey está significativamente ligado al sector inmobiliario comercial, ya que su cartera consta de activos operativamente críticos con arrendamiento neto a inquilinos principalmente en los Estados Unidos y en el norte y oeste de Europa. La empresa invierte en propiedades industriales, de almacén y minoristas de un solo inquilino con arrendamientos netos a largo plazo y escaladas de alquiler integradas. La empresa gestiona activamente sus activos inmobiliarios, incluidas adquisiciones, desinversiones y actividades de arrendamiento, como renovaciones y extensiones. Si bien la empresa tiene exposición a varios tipos de propiedades, incluidos trasteros y hoteles, su enfoque principal sigue siendo los activos inmobiliarios comerciales.","[{'name': 'wpc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wpc-Q225-10-Q.html'}, {'name': 'wpc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wpc-Q125-10-Q.html'}, {'name': 'wpc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wpc-FY24-10-K.html'}, {'name': 'wpc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wpc-Q324-10-Q.html'}]",113407826,USD,WPC,SMART,STK,True,COM
real estate,commercial_real_estate,US09260D1072,BLACKSTONE INC,9,"Invierte, desarrolla y gestiona una vasta cartera de propiedades comerciales a nivel mundial, dando forma significativamente al mercado a través de su extensa asignación de capital y gestión estratégica de activos.","La participación de Blackstone en el sector de Bienes Raíces Comerciales es evidente a través de su organización, donde Bienes Raíces es uno de sus cuatro segmentos de negocio principales. Dentro de este segmento, Blackstone Real Estate Partners (BREP) invierte activamente en diversas propiedades comerciales a nivel mundial, incluyendo logística, centros de datos, viviendas de alquiler, hotelería, oficinas y propiedades minoristas. Además, la plataforma Blackstone Real Estate Debt Strategies (BREDS) ofrece diversas opciones de financiación, incluyendo específicamente préstamos hipotecarios para bienes raíces comerciales, atendiendo tanto a prestatarios como a inversores a través de fondos de deuda inmobiliaria de alto rendimiento y líquidos.","[{'name': 'bx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bx-FY24-10-K.html'}, {'name': 'bx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bx-Q324-10-Q.html'}]",372834689,USD,BX,SMART,STK,True,COM
real estate,commercial_real_estate,US9256521090,VICI PROPERTIES INC,10,"Se enfoca en la propiedad y adquisición de activos inmobiliarios comerciales, principalmente en los sectores de juegos, hotelería y entretenimiento.","El negocio de VICI se centra en la propiedad y adquisición de activos inmobiliarios experienciales, especialmente en destinos de juego, hospitalidad, bienestar, entretenimiento y ocio, todos los cuales están sujetos a arrendamientos triple neto a largo plazo. La cartera geográficamente diversa de la empresa incluye 93 activos experienciales, que consisten en 54 propiedades de juego y 39 propiedades experienciales adicionales en los Estados Unidos y Canadá, incluidas instalaciones icónicas como Caesars Palace Las Vegas, MGM Grand y el Venetian Resort. Además, la inversión de VICI en el desarrollo de One Beverly Hills, un centro de estilo de vida experiencial de lujo, destaca su enfoque en bienes raíces comerciales.","[{'name': 'vici-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vici-Q125-10-Q.html'}, {'name': 'vici-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vici-FY24-10-K.html'}, {'name': 'vici-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vici-Q324-10-Q.html'}]",292080616,USD,VICI,SMART,STK,True,COM
