industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TE,EDG,INTC,technology,computing_at_the_edge,US4581401001,INTEL CORP,1,"Sirve como un facilitador crítico para la proliferación de la Computación de Borde, proporcionando tecnologías y plataformas esenciales que impulsan su adopción y desarrollo generalizados.","La participación de Intel en Edge Computing es evidente a través de varias iniciativas y ofertas de productos. El segmento de Redes y Edge (NEX) de la compañía se enfoca en transformar los sistemas de cómputo de borde con software nativo de la nube y hardware programable, ofreciendo plataformas de borde inteligentes para automatización impulsada por IA. Intel también ha lanzado una suite de procesadores, incluyendo la Serie Intel Core Ultra 200S, y plataformas optimizadas para el borde habilitadas para IA para aplicaciones de borde basadas en procesadores Intel Xeon, Intel Core e Intel Atom. Además, el Grupo de Computación de Cliente (CCG) está expandiendo las GPU Arc para casos de uso de IA adaptados a la inferencia en el borde y ha puesto a disposición de la comunidad de desarrolladores el código de su plataforma OpenEdge.","[{'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}]",270639,USD,SMART,STK
TE,EDG,MSFT,technology,computing_at_the_edge,US5949181045,MICROSOFT CORP,2,"Proporciona soluciones integrales de la nube a los bordes a través de su plataforma Azure, permitiendo a las organizaciones extender las capacidades de computación, procesamiento de datos e IA más cerca de las fuentes de datos para obtener información en tiempo real y eficiencia operativa.",,,272093,USD,SMART,STK
TE,EDG,QCOM,technology,computing_at_the_edge,US7475251036,QUALCOMM INC,3,"Proporciona chipsets y plataformas fundamentales que permiten el procesamiento inteligente y la conectividad para una amplia gama de dispositivos de borde, impulsando la expansión de la computación de borde en diversas industrias.","La participación de Qualcomm en Edge Computing es evidente a través de sus productos de redes de borde, que se mencionan en el contexto de los ingresos de IoT. Estos productos contribuyen a ingresos de IoT más altos y más bajos dependiendo de factores como los volúmenes de envío y los niveles de inventario de los clientes. Si bien las redes de borde están presentes dentro de la cartera de IoT de Qualcomm, no parece ser un enfoque estratégico principal, ya que la contribución de los productos de redes de borde dentro de los ingresos de IoT no se detalla específicamente.","[{'name': 'qcom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q125-10-Q.html'}, {'name': 'qcom-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/qcom-FY24-10-K.html'}]",273544,USD,SMART,STK
TE,EDG,AMZN,technology,computing_at_the_edge,US0231351067,AMAZON.COM INC,4,"Proporciona un conjunto completo de servicios en la nube que se extienden hasta el borde de la red, permitiendo el procesamiento de baja latencia y el análisis de datos en tiempo real para aplicaciones que requieren proximidad a las fuentes de datos y a los usuarios finales.",,,3691937,USD,SMART,STK
TE,EDG,VZ,technology,computing_at_the_edge,US92343V1044,VERIZON COMMUNICATIONS INC,5,"Aprovecha su extensa infraestructura de red para ofrecer soluciones de computación en el borde (edge computing), permitiendo el procesamiento de baja latencia y el análisis de datos en tiempo real para diversas industrias y aplicaciones.","Verizon se centra en aprovechar sus activos existentes de fibra y computación en el borde para desbloquear nuevas fuentes de ingresos a través de sus ofertas de AI Connect, como lo demuestran sus prioridades declaradas. La compañía ha experimentado un interés acelerado en AI Connect y continúa expandiendo su ecosistema de socios. Esta estrategia refleja el enfoque de Verizon para utilizar la computación en el borde como parte de una oferta más amplia, en lugar de una inversión importante independiente.",,4901,USD,SMART,STK
TE,EDG,SIE,technology,computing_at_the_edge,DE0007236101,SIEMENS AG-REG,6,"Impulsa el desarrollo e implementación de tecnologías de Edge Computing para mejorar el procesamiento y análisis de datos en tiempo real, particularmente dentro de la automatización industrial y la infraestructura.",,,14217,EUR,SMART,STK
TE,EDG,ARM,technology,computing_at_the_edge,US0420682058,ARM HOLDINGS PLC-ADR,7,Proporciona las arquitecturas de procesador fundamentales que permiten la computación de bajo consumo y alto rendimiento necesaria para el procesamiento de datos eficiente y la inteligencia artificial en el borde de la red.,"Arm reconoce la creciente importancia de la IA en el borde (edge), enfatizando que su eficiencia y escalabilidad son clave para permitir la inteligencia local en tiempo real. La plataforma de cómputo de Arm ofrece tanto aceleración del rendimiento de IA como eficiencia energética a través de soluciones como la NPU Ethos-U85 para reconocimiento de imágenes y las CPU v9 con extensiones de matriz escalables para acelerar modelos de lenguaje. Estas tecnologías están siendo integradas por líderes tecnológicos para facilitar una IA más rápida y eficiente en teléfonos inteligentes premium, destacando el papel de Arm en hacer posibles las cargas de trabajo de IA locales.",,653400472,USD,SMART,STK
TE,EDG,CSCO,technology,computing_at_the_edge,US17275R1023,CISCO SYSTEMS INC,8,"Proporciona plataformas de infraestructura de red, seguridad y gestión que permiten el despliegue y la operación de entornos de computación de borde distribuidos.","Cisco apoya a los operadores europeos que planean ofrecer IA como Servicio mediante la gestión de aplicaciones de IA en el borde de sus redes para los clientes. Estos operadores se están preparando para aplicaciones de IA en el borde, lo que indica el papel de Cisco en la facilitación de estos despliegues. Si bien Cisco participa en la gestión de estas aplicaciones, no hay mención explícita de tecnología propietaria o acuerdos exclusivos.",,268084,USD,SMART,STK
TE,EDG,NVDA,technology,computing_at_the_edge,US67066G1040,NVIDIA CORP,9,"Proporciona plataformas de computación de alto rendimiento y tecnologías de IA esenciales para procesar datos en el borde, permitiendo inteligencia en tiempo real en diversas aplicaciones.",,,4815747,USD,SMART,STK
TE,EDG,ERIC,technology,computing_at_the_edge,US2948216088,ERICSSON (LM) TEL-SP ADR,10,"Proporciona infraestructura y soluciones críticas, incluidas tecnologías 5G y nativas de la nube, que permiten la implementación y operación de entornos de computación de borde distribuidos para diversas industrias.",,,268977,USD,SMART,STK
TE,EDG,EQIX,technology,computing_at_the_edge,US29444U7000,EQUINIX INC,11,Proporciona infraestructura crítica de centros de datos y servicios de interconexión esenciales para la implementación y operación de entornos de computación de borde distribuidos.,"El compromiso de Equinix con el Edge Computing es evidente en su provisión de una plataforma global y neutral de proveedores que incluye centros de datos, interconexión y soluciones de borde. La empresa ofrece 'soluciones de borde para implementar redes, seguridad y hardware', con el objetivo de permitir a los clientes 'llegar a todas partes, interconectar a todos e integrar todo'. Equinix menciona explícitamente que proporciona una plataforma de soluciones de borde como parte de su cartera de servicios.","[{'name': 'eqix-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqix-Q225-10-Q.html'}, {'name': 'eqix-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqix-FY24-10-K.html'}, {'name': 'eqix-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqix-Q125-10-Q.html'}]",181764593,USD,SMART,STK
TE,EDG,SU,technology,computing_at_the_edge,FR0000121972,SCHNEIDER ELECTRIC SE,12,"Proporciona infraestructura crítica, incluidas soluciones de energía, refrigeración y seguridad física, esenciales para la implementación y operación de entornos de computación en el borde.",,,29612196,EUR,SMART,STK
TE,EDG,NOKIA,technology,computing_at_the_edge,FI0009000681,NOKIA OYJ,13,"Proporciona infraestructura de red, plataformas y servicios esenciales para implementar y gestionar soluciones de computación en el borde (edge computing), permitiendo así aplicaciones de baja latencia y procesamiento de datos distribuido más cerca de la fuente.",,,29816875,EUR,HEX,STK
TE,EDG,AKAM,technology,computing_at_the_edge,US00971T1016,AKAMAI TECHNOLOGIES INC,14,Proporciona una red de entrega de contenido líder y servicios de seguridad en la nube que aprovechan la computación en el borde para mejorar el rendimiento y asegurar las experiencias digitales.,"Akamai utiliza su plataforma distribuida globalmente, que incluye más de 4.300 puntos de presencia en 130 países, para mejorar la implementación de aplicaciones de IA al acercar la lógica de negocio y los datos a los usuarios finales. Esta plataforma, que presenta productos como Edge Workers, permite interacciones de IA más rápidas y rentables a través de su solución de puerta de enlace de IA, que maneja las solicitudes más cerca del usuario en el borde. Al trasladar su experiencia del borde a la nube, Akamai tiene como objetivo hacer que la IA sea más rápida, segura y asequible, mejorando la experiencia del usuario.",,6220356,USD,SMART,STK
TE,EDG,AMT,technology,computing_at_the_edge,US03027X1000,AMERICAN TOWER CORP,15,"Proporciona infraestructura de comunicación esencial, incluidas torres de telefonía móvil y centros de datos, que son fundamentales para implementar y respaldar aplicaciones de computación de borde distribuido más cerca de los usuarios finales.","La participación de American Tower en la computación de borde se ve impulsada principalmente por la creencia de la empresa de que presenta una oportunidad significativa para mejorar el valor de su cartera de torres. Esta convicción se ve subrayada por su adquisición de CoreSite, que consideran que les proporciona una ventaja competitiva a través del acceso al entorno de interconexión crucial para la conectividad de borde. La confianza de la empresa se ve reforzada aún más por el creciente interés y la actividad en la computación de borde entre los operadores inalámbricos, incluidas las discusiones y la implementación de estrategias de salida local en el borde. Si bien la computación de borde se considera una vía potencial para ingresos incrementales, también se clasifica entre otras tecnologías de próxima generación como redes de vehículos autónomos y aplicaciones de IoT.","[{'name': 'amt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amt-FY24-10-K.html'}]",99831145,USD,SMART,STK
TE,EDG,FSLY,technology,computing_at_the_edge,US31188V1008,FASTLY INC - CLASS A,16,"Proporciona una arquitectura de red distribuida que facilita la entrega rápida de contenido y el procesamiento de aplicaciones en el borde de la red, apoyando directamente los objetivos principales de Edge Computing.","El negocio principal de Fastly gira en torno a su plataforma de nube perimetral (edge cloud), que ofrece experiencias digitales rápidas y seguras. La empresa identifica explícitamente la nube perimetral como computación perimetral (edge computing), enfatizando su papel en el acercamiento de la potencia de cálculo y la lógica al usuario final. Fastly se dirige a clientes donde el rendimiento es crítico, ofreciendo funciones inteligentes como seguridad adaptativa y análisis de observabilidad que son posibles de forma única gracias a la computación perimetral. Este enfoque estratégico se ve aún más resaltado por la dedicación de Fastly a permitir que los desarrolladores implementen código en entornos sin servidor y lleven la lógica de las aplicaciones al borde (edge), satisfaciendo las demandas de los clientes que requieren capacidades basadas en el borde para transacciones seguras y experiencias digitales mejoradas.","[{'name': 'fsly-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fsly-Q225-10-Q.html'}, {'name': 'fsly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fsly-Q125-10-Q.html'}, {'name': 'fsly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fsly-FY24-10-K.html'}]",366131373,USD,SMART,STK
TE,EDG,HPE,technology,computing_at_the_edge,US42824C1099,HEWLETT PACKARD ENTERPRISE,17,"Proporciona infraestructura, software y servicios integrales para habilitar y acelerar las implementaciones de computación en el borde para diversas industrias.","La participación de HPE en Edge Computing es evidente en su posicionamiento estratégico y respuesta a las tendencias del mercado. La empresa reconoce la creciente demanda de soluciones de computación en el borde, impulsada por el creciente volumen de datos en el borde y la proliferación de dispositivos. HPE está fortaleciendo activamente sus ofertas para ofrecer todo su portafolio como servicio y tiene como objetivo convertirse en la empresa de borde a nube para sus clientes, centrándose en proporcionar un portafolio moderno, seguro y basado en IA de productos y servicios de red de borde a nube.","[{'name': 'hpe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hpe-FY24-10-K.html'}, {'name': 'hpe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q125-10-Q.html'}, {'name': 'hpe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q225-10-Q.html'}, {'name': 'hpe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q324-10-Q.html'}]",209411798,USD,SMART,STK
TE,EDG,SMCI,technology,computing_at_the_edge,US86800U3023,SUPER MICRO COMPUTER INC,18,"Proporciona soluciones especializadas de servidores y almacenamiento esenciales para implementar infraestructura de computación de alto rendimiento en el borde de la red, facilitando el procesamiento de datos localizado y la obtención de información en tiempo real.",,,731466419,USD,SMART,STK
TE,EDG,DELL,technology,computing_at_the_edge,US24703L2025,DELL TECHNOLOGIES -C,19,"Proporciona infraestructura, software y servicios integrales adaptados para entornos de borde, lo que permite a las empresas procesar datos más cerca de su origen para obtener información más rápida y una mayor eficiencia operativa.",,,346218218,USD,SMART,STK
TE,EDG,DLR,technology,computing_at_the_edge,US2538681030,DIGITAL REALTY TRUST INC.,20,Desarrolla y opera centros de datos que sirven como infraestructura crítica para la implementación de aplicaciones y servicios de computación de borde.,"Digital Realty apoya la computación de borde a través de su PlatformDIGITAL, donde los clientes implementan nodos de borde para respaldar redes descentralizadas. Un proveedor global de la nube está expandiendo su presencia en PlatformDIGITAL al crear una nueva zona de disponibilidad de borde, lo que refleja el papel de la empresa en la habilitación de implementaciones de borde. Los campus metropolitanos de Digital Realty facilitan la entrega de soluciones de borde, como lo demuestra un proveedor líder de blockchain que implementa nodos de borde en múltiples ubicaciones en PlatformDIGITAL para respaldar redes privadas y públicas descentralizadas. Además, muchos clientes se expanden a través de su huella global para interconectarse con nubes, socios y datos en el borde.",,31832526,USD,SMART,STK
TE,EDG,NET,technology,computing_at_the_edge,US18915M1071,CLOUDFLARE INC - CLASS A,21,"Proporciona una red global que ofrece servicios de seguridad, rendimiento y fiabilidad al procesar datos más cerca de los usuarios finales, permitiendo y mejorando así las capacidades de computación de borde.",,,382633646,USD,SMART,STK
TE,EDG,LUMN,technology,computing_at_the_edge,US5502411037,LUMEN TECHNOLOGIES INC,22,Ofrece servicios de red fundamentales e infraestructura que permiten los requisitos de baja latencia y alto ancho de banda de las implementaciones de computación de borde distribuido.,"La participación de Lumen en el Edge Computing es evidente a través de sus inversiones estratégicas y ofertas de servicios. La compañía incluye 'Edge Cloud' dentro de su categoría 'Grow', lo que significa áreas de inversión significativa y representa un enfoque clave para la organización. Este enfoque se ve impulsado aún más por la creciente demanda de servicios de red robustos y escalables para respaldar aplicaciones digitales, así como la necesidad de soluciones de menor latencia que ofrece el Edge computing, creando oportunidades para transmisiones de datos más rápidas y seguras.","[{'name': 'lumn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lumn-Q225-10-Q.html'}, {'name': 'lumn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lumn-FY24-10-K.html'}, {'name': 'lumn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lumn-Q324-10-Q.html'}, {'name': 'lumn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lumn-Q125-10-Q.html'}]",446613345,USD,SMART,STK
TE,EDG,ORCL,technology,computing_at_the_edge,US68389X1054,ORACLE CORP,23,Proporciona tecnologías y servicios fundamentales que permiten el procesamiento y análisis de datos localizados dentro de entornos de Edge Computing.,,,272800,USD,SMART,STK
TE,EDG,VRT,technology,computing_at_the_edge,US92537N1081,VERTIV HOLDINGS CO-A,24,Proporciona infraestructura y soluciones críticas esenciales para soportar los entornos de computación distribuida y los requisitos de energía de las implementaciones de edge computing.,,,402783527,USD,SMART,STK
TE,EDG,FFIV,technology,computing_at_the_edge,US3156161024,F5 INC,25,Proporciona soluciones que soportan entornos de Edge Computing.,"La participación de F5 en la computación de borde es evidente a través de sus soluciones de entrega y seguridad de aplicaciones, que permiten a los clientes operar en diversas arquitecturas, incluso en el borde. Los servicios de F5 Distributed Cloud Services enfatizan aún más este enfoque al proporcionar soluciones de seguridad, redes multicloud y computación basada en el borde ofrecidas a través de una plataforma de servicios administrados y SaaS. Como líder mundial en entrega y seguridad de aplicaciones, las soluciones de F5 empoderan a los clientes para implementar, asegurar, optimizar y gobernar aplicaciones y API en diversos entornos, destacando la importancia de la computación de borde dentro de sus ofertas de servicios más amplias.","[{'name': 'ffiv-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ffiv-Q325-10-Q.html'}, {'name': 'ffiv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ffiv-Q125-10-Q.html'}, {'name': 'ffiv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ffiv-Q225-10-Q.html'}]",6248713,USD,SMART,STK
