symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
APTV,automotive,connected_vehicles,JE00BTDN8H13,APTIV PLC,1,"Ofrece tecnologías fundamentales y soluciones de software que permiten la conectividad avanzada, la conducción autónoma y las arquitecturas de vehículos inteligentes esenciales para la evolución de los vehículos conectados.","El enfoque de Aptiv en habilitar soluciones de movilidad inteligente es evidente en su dedicación a hacer el mundo más conectado, ya que ofrecen soluciones integrales y servicios conectados. Las tecnologías de la empresa, que van desde el sensor hasta la nube, respaldan los mercados de automóviles y vehículos comerciales, permitiendo la transición a vehículos definidos por software. El compromiso de Aptiv se demuestra aún más por su enfoque en tecnologías que permiten el infoentretenimiento conectado en vehículos y el premio de ensamblaje de cables de alta velocidad para aplicaciones Ethernet, facilitando la transmisión de datos sin interrupciones para vehículos conectados.","[{'name': 'aptv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q125-10-Q.html'}, {'name': 'aptv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q225-10-Q.html'}, {'name': 'aptv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q324-10-Q.html'}, {'name': 'aptv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aptv-FY24-10-K.html'}]",748351585,USD,SMART,STK,True,CON
NXPI,automotive,connected_vehicles,NL0009538784,NXP SEMICONDUCTORS NV,2,Proporciona soluciones de semiconductores que permiten la funcionalidad y evolución de los sistemas de vehículos conectados.,"El enfoque de NXP en vehículos conectados es evidente a través de sus iniciativas estratégicas y operaciones comerciales principales. El sector automotriz es un motor clave de ingresos para NXP, con un crecimiento previsto de los SDV, el radar y la electrificación. La adquisición de Aviva mejora la conectividad asíncrona en los automóviles, crucial para altas tasas de datos entre pantallas y cámaras. Además, NXP se enfoca en llevar sistemas inteligentes al borde en los mercados finales de IoT automotriz e industrial.",,77791077,USD,SMART,STK,True,CON
7203,automotive,connected_vehicles,JP3633400001,TOYOTA MOTOR CORP,3,"Desarrolla e integra tecnologías avanzadas de telemática, sistemas de infoentretenimiento y comunicación de vehículo a todo (V2X) para mejorar la seguridad, la comodidad y las capacidades de conducción autónoma en su oferta de vehículos.",,,13905804,JPY,SMART,STK,False,CON
GM,automotive,connected_vehicles,US37045V1008,GENERAL MOTORS CO,4,"Se enfoca en el desarrollo e integración de tecnologías avanzadas de vehículos conectados para mejorar las experiencias en el automóvil, la seguridad y las capacidades de comunicación.","El compromiso de GM con los Vehículos Conectados es evidente en su visión de un futuro con cero accidentes y cero congestión, lo que requiere avances en tecnologías conectadas. Esta visión está respaldada por las inversiones estratégicas de GM en tecnología AV personal y servicios habilitados por software. Además, la empresa reconoce los riesgos asociados con las brechas de seguridad y los ciberataques en sus productos en red, incluidos los vehículos conectados y los sistemas dentro del vehículo, destacando su presencia en las operaciones de GM. Si bien la funcionalidad del vehículo, la tecnología AV y los servicios habilitados por software son determinantes clave de las preferencias del consumidor y las inversiones en ingeniería, la conexión explícita con las tecnologías de vehículos conectados es menos pronunciada.","[{'name': 'gm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q125-10-Q.html'}, {'name': 'gm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q324-10-Q.html'}]",80986742,USD,SMART,STK,True,CON
F,automotive,connected_vehicles,US3453708600,FORD MOTOR CO,5,"Integra activamente tecnologías avanzadas de vehículos conectados en su línea automotriz, ofreciendo servicios digitales, actualizaciones inalámbricas y funciones basadas en datos para mejorar la experiencia del conductor y la funcionalidad del vehículo.","La participación de Ford en vehículos conectados es evidente a través de varios puntos clave. La empresa monitorea los vehículos en el campo a través de la conectividad, aprovechando los datos resultantes para impulsar el crecimiento. Esto está respaldado además por el creciente número de suscripciones de software de pago, particularmente en telemática y gestión de flotas, lo que contribuye a ganancias de mayor calidad. Ford también incurre en costos de ingeniería y conectividad relacionados con la ingeniería de vehículos y software, lo que refleja una inversión continua en esta área, y reconoce los ingresos de la conectividad continua del vehículo como parte de sus obligaciones de rendimiento futuras.","[{'name': 'f-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q324-10-Q.html'}, {'name': 'f-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/f-FY24-10-K.html'}]",9599491,USD,SMART,STK,True,CON
QCOM,automotive,connected_vehicles,US7475251036,QUALCOMM INC,6,"Se enfoca en proporcionar soluciones avanzadas de conectividad, computación y ADAS para la industria automotriz, permitiendo el desarrollo de vehículos conectados y autónomos de próxima generación.",,,273544,USD,SMART,STK,True,CON
MBLY,automotive,connected_vehicles,US60741F1049,MOBILEYE GLOBAL INC-A,7,"Desarrolla sistemas avanzados de asistencia al conductor y tecnologías de conducción autónoma, sirviendo como un facilitador crítico para la funcionalidad y evolución de los vehículos conectados.",,,593660024,USD,SMART,STK,False,CON
NVDA,automotive,connected_vehicles,US67066G1040,NVIDIA CORP,8,"Proporciona plataformas de computación de alto rendimiento y software de IA que impulsan la conducción autónoma, los sistemas avanzados de asistencia al conductor y las cabinas inteligentes cruciales para la funcionalidad y el procesamiento de datos dentro de los vehículos conectados.",,,4815747,USD,SMART,STK,True,CON
TSLA,automotive,connected_vehicles,US88160R1014,TESLA INC,9,"Desarrolla vehículos con amplia integración de software, actualizaciones inalámbricas y funciones avanzadas de conectividad que definen la experiencia del vehículo conectado.",,,76792991,USD,SMART,STK,True,CON
BMW,automotive,connected_vehicles,DE0005190003,BAYERISCHE MOTOREN WERKE AG,10,"Impulsa la innovación en tecnología de vehículos conectados mediante la integración de servicios digitales avanzados, integración de datos en tiempo real y capacidades de red inteligentes para mejorar la experiencia de conducción y la funcionalidad del vehículo.",,,14094,EUR,SMART,STK,False,CON
