type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,construction_technology,US0527691069,AUTODESK INC,1,"Proporciona software y soluciones esenciales que permiten la transformación digital y metodologías avanzadas en la industria de la construcción, impulsando la eficiencia y la innovación en la tecnología de la construcción.","La participación de Autodesk en Tecnología de Construcción es evidente a través de sus plataformas Autodesk Construction Cloud, Autodesk Build y Autodesk Forma, que ofrecen herramientas para optimizar el diseño, la colaboración y la gestión de datos. El enfoque de la empresa se demuestra aún más con sus inversiones en soluciones AEC, incluida la adquisición de Payapps y una plataforma de realidad extendida (XR), y el lanzamiento de Autodesk Forma, que unifica los flujos de trabajo con información impulsada por IA. Autodesk Construction Cloud sirve como un entorno de datos común para la entrega digital, unificando los datos y flujos de trabajo del proyecto para mejorar la colaboración en diseño, ingeniería y subcontratación, como lo destaca la relación ampliada de Kimley-Horn con Autodesk para acelerar las soluciones BIM y la adopción de Autodesk Construction Cloud.","[{'name': 'adsk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adsk-Q225-10-Q.html'}, {'name': 'adsk-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adsk-Q325-10-Q.html'}]",265681,USD,ADSK,SMART,STK,True,IN_CO2
industrial,construction_technology,US81764X1037,SERVICETITAN INC-A,2,Desarrolla y entrega plataformas de software integrales diseñadas para optimizar y gestionar las operaciones de servicio para empresas del sector de la construcción.,"El enfoque de ServiceTitan en Tecnología de la Construcción es evidente en sus iniciativas estratégicas para penetrar en el espacio comercial empresarial abordando las necesidades de la construcción. La empresa está desarrollando activamente capacidades de gestión de proyectos y funciones específicas de construcción, que incluyen equipos, registros diarios, RFIs, aprobaciones, órdenes de cambio, finanzas y gestión de documentos, junto con una mejor experiencia móvil. Este desarrollo está dirigido a desbloquear casos de uso de construcción y atraer nuevos clientes comerciales, con progresos que ya están dando resultados.",,747750656,USD,TTAN,SMART,STK,False,IN_CO2
industrial,construction_technology,US8962391004,TRIMBLE INC,3,Ofrece soluciones integrales de hardware y software que impulsan la transformación digital y mejoran la eficiencia a lo largo de los ciclos de vida de los proyectos de la industria de la construcción.,"La participación de Trimble en la tecnología de la construcción es evidente en su enfoque en la digitalización y transformación del trabajo dentro de la industria de la construcción. La tecnología de la compañía conecta el mundo físico y digital, vinculando a las partes interesadas a lo largo del ciclo de vida de la industria y creando flujos de trabajo procesables. Esto está aún más respaldado por las soluciones integrales de procesos de trabajo de la compañía utilizadas en la construcción de edificios y la fuerte demanda de software de suscripción y licencias a plazo dentro del segmento AECO, particularmente las ofertas de productos Viewpoint y Arquitectura y Diseño. Trimble también está expandiendo su oferta de control y guiado de máquinas como servicio, con su tecnología presente en numerosos stands de OEM en la feria Bauma Trade Show.","[{'name': 'trmb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trmb-Q324-10-Q.html'}]",275294,USD,TRMB,SMART,STK,True,IN_CO2
industrial,construction_technology,US74275K1088,PROCORE TECHNOLOGIES INC,4,Proporciona una plataforma de software integral basada en la nube que conecta a las partes interesadas del proyecto y agiliza las operaciones en todas las fases de los proyectos de construcción.,"Procore está profundamente involucrada en el tema de Tecnología de la Construcción, principalmente a través de su software de gestión de la construcción basado en la nube destinado a transformar la industria de la construcción. Esto es evidente en su misión de conectar a todos en la construcción en una plataforma global y su enfoque en modernizar y digitalizar la gestión de la construcción. El compromiso de Procore se demuestra aún más a través de adquisiciones estratégicas, incluida Novorender AS (una plataforma de visualización 3D y modelado de información de construcción), Intelliwave Technologies Inc. (una empresa de gestión de materiales de construcción) y Unearth (una plataforma de gestión de activos de sistemas de información geográfica). Además, Procore está innovando activamente con IA, flujos de trabajo conectados y datos inteligentes, mostrados en su Cumbre Anual de Innovación y a través del desarrollo de funciones impulsadas por IA como Procore Helix.","[{'name': 'pcor-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcor-Q225-10-Q.html'}, {'name': 'pcor-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcor-Q125-10-Q.html'}, {'name': 'pcor-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pcor-FY24-10-K.html'}]",491665436,USD,PCOR,SMART,STK,False,IN_CO2
industrial,construction_technology,US1491231015,CATERPILLAR INC,5,"Impulsa avances en la tecnología de la construcción a través del desarrollo de equipos inteligentes y conectados y soluciones digitales que optimizan la productividad, la eficiencia y la seguridad en el lugar de trabajo.",,,5437,USD,CAT,SMART,STK,True,IN_CO2
industrial,construction_technology,US08265T2087,BENTLEY SYSTEMS INC-CLASS B,6,"Proporciona soluciones de software integrales para el diseño, la construcción y la operación de infraestructura, desempeñando un papel importante en el avance de los flujos de trabajo digitales y la entrega de proyectos en la industria de la construcción.","El enfoque de Bentley Systems en la tecnología de la construcción es evidente a través de su software de ingeniería de infraestructura y sus soluciones inteligentes de gemelos digitales. El software SYNCHRO de la empresa se utiliza para el modelado de centros de datos en construcción, y EarthBrain, una empresa conjunta de la que Komatsu es propietaria mayoritaria, ha ampliado su asociación para incluir iTwin para aplicaciones de construcción, simulación y gestión. Bentley Systems enfatiza la adopción de soluciones inteligentes de gemelos digitales para la infraestructura, con Bentley Infrastructure Cloud impulsando mejoras en el rendimiento empresarial.","[{'name': 'bsy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bsy-FY24-10-K.html'}]",446864692,USD,BSY,SMART,STK,False,IN_CO2
industrial,construction_technology,DE0007236101,SIEMENS AG-REG,7,"Desempeña un papel fundamental en el avance de la tecnología de la construcción, aprovechando su experiencia para impulsar la innovación y contribuir significativamente al desarrollo del sector.",,,14217,EUR,SIE,SMART,STK,False,IN_CO2
industrial,construction_technology,US2441991054,DEERE & CO,8,"Desarrolla e integra soluciones tecnológicas avanzadas en sus equipos de construcción, mejorando la eficiencia, la productividad y la sostenibilidad en las operaciones de construcción.","La participación de Deere & Company en Tecnología de la Construcción es evidente a través de su segmento de Construcción y Silvicultura y su integración de tecnología en sus equipos. La empresa está invirtiendo 20.000 millones de dólares en los EE. UU. durante la próxima década, incluyendo manufactura avanzada y desarrollo de nuevos productos, y está integrando motores John Deere, sistemas de guiado y pantallas en equipos de construcción de carreteras. Deere está aprovechando las inversiones realizadas en agricultura a gran escala y extendiéndolas a otros segmentos, como lo destaca el Centro de Operaciones John Deere para la construcción de carreteras, y ha más que duplicado las organizaciones activas de construcción de carreteras a casi 3.000 en el centro de operaciones.","[{'name': 'de-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q125-10-Q.html'}, {'name': 'de-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q225-10-Q.html'}, {'name': 'de-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q324-10-Q.html'}]",6393,USD,DE,SMART,STK,True,IN_CO2
industrial,construction_technology,US68389X1054,ORACLE CORP,9,"Proporciona software integral de planificación de recursos empresariales y gestión de proyectos, incluida su suite Primavera, para optimizar operaciones complejas y mejorar la eficiencia dentro del sector de la tecnología de la construcción.",,,272800,USD,ORCL,SMART,STK,True,IN_CO2
industrial,construction_technology,US5949181045,MICROSOFT CORP,10,"Proporciona servicios en la nube, plataformas de datos y herramientas de colaboración que respaldan la transformación digital y la eficiencia operativa en el sector de la tecnología de la construcción.",,,272093,USD,MSFT,SMART,STK,True,IN_CO2
