industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,consumer_banking,US0605051046,BANK OF AMERICA CORP,1,"Ofrece una completa gama de productos y servicios financieros a consumidores individuales, incluyendo cuentas corrientes y de ahorro, tarjetas de crédito, hipotecas y préstamos personales, constituyendo un aspecto fundamental de su modelo de negocio.","El segmento de Banca de Consumo de Bank of America es un negocio central que ofrece una gama diversificada de productos y servicios de préstamos, depósitos e inversiones a consumidores y pequeñas empresas. La importancia de este segmento se ve subrayada por su fuerte crecimiento orgánico, impulsado por capacidades de alta interacción y alta tecnología, conveniencia y seguridad. La compañía ha experimentado un crecimiento sustancial en cuentas corrientes primarias y depósitos promedio de consumidores, superando el hito de 5 millones de cuentas corrientes netas nuevas y marcando 25 trimestres consecutivos de crecimiento neto de cuentas corrientes nuevas. Consumer Banking también genera ingresos significativos, con $10.5 mil millones en ingresos y $2.5 mil millones en ingresos netos reportados en el primer trimestre.","[{'name': 'bac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q125-10-Q.html'}, {'name': 'bac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bac-FY24-10-K.html'}]",10098,USD,BAC,SMART,STK,True,CON
financials,consumer_banking,US1729674242,CITIGROUP INC,2,"Ofrece un conjunto integral de productos y servicios financieros a consumidores individuales a nivel mundial, que incluyen banca, préstamos y gestión de patrimonio, sirviendo a una amplia base de clientes.","La participación de Citigroup en la Banca de Consumo es evidente a través de su división de Banca Personal de EE. UU. (USPB), que ha mostrado un crecimiento de los ingresos impulsado por tarjetas de marca y banca minorista. La compañía se enfoca en la innovación de productos, las capacidades digitales y la experiencia del cliente dentro de USPB, lo que conduce al crecimiento de las tarjetas de marca y a la mejora de los diferenciales de depósitos en la banca minorista. La dedicación de Citigroup a la banca de consumo también se refleja en su enfoque en los consumidores prime y la alta calidad crediticia de su cartera de tarjetas. Si bien el rendimiento de USPB es un área clave de éxito, Citigroup también está logrando avances con la separación de sus operaciones de banca de consumo en México y la liquidación de negocios de banca de consumo en otras regiones.","[{'name': 'c-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q324-10-Q.html'}, {'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}, {'name': 'c-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/c-FY24-10-K.html'}]",87335484,USD,C,SMART,STK,True,CON
financials,consumer_banking,US46625H1005,JPMORGAN CHASE & CO,3,"Opera una vasta franquicia de banca de consumo que ofrece servicios financieros esenciales como cuentas corrientes y de ahorro, tarjetas de crédito, hipotecas y préstamos para automóviles a millones de clientes.","La participación de JPMorgan Chase en la Banca de Consumo es evidente a través de sus operaciones comerciales principales, ya que la firma se identifica como líder en la prestación de servicios financieros a consumidores y pequeñas empresas. Este compromiso se demuestra aún más por el desempeño financiero de su división de Banca de Consumo y Comunitaria (CCB), que informó una utilidad neta sustancial de $ 4.4 mil millones sobre ingresos de $ 18.3 mil millones, lo que representa un aumento interanual del 4%. Si bien Banca y Gestión de Patrimonios experimentó una ligera disminución de los ingresos, el crecimiento de los ingresos de Gestión de Patrimonios lo compensó parcialmente, y Préstamos Hipotecarios vio un aumento de los ingresos junto con un aumento significativo en las originaciones de préstamos.","[{'name': 'jpm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q225-10-Q.html'}]",1520593,USD,JPM,SMART,STK,True,CON
financials,consumer_banking,US14040H1059,CAPITAL ONE FINANCIAL CORP,4,"Ofrece una amplia gama de productos y servicios bancarios al consumidor, incluidas tarjetas de crédito, cuentas corrientes, cuentas de ahorro y préstamos para automóviles, a una gran base de clientes.","La participación de Capital One en la Banca de Consumo es evidente a través de su organización en tres segmentos comerciales principales: Tarjeta de Crédito, Banca de Consumo y Banca Comercial, con el segmento de Banca de Consumo centrado en la captación de depósitos, actividades de préstamo para consumidores y pequeñas empresas, y préstamos automotrices a nivel nacional. Esto está respaldado por la estrategia nacional de banca de consumo de la compañía, que ha impulsado el crecimiento de los depósitos. Capital One ofrece una variedad de productos y servicios financieros a los consumidores a través de canales digitales, sucursales y cafés. El negocio de Banca de Consumo de la compañía proporciona gestión de cuentas, ahorros, acceso a crédito y apoyo de planificación financiera personal a individuos.","[{'name': 'cof-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cof-Q125-10-Q.html'}, {'name': 'cof-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cof-FY24-10-K.html'}]",5941,USD,COF,SMART,STK,True,CON
financials,consumer_banking,US9497461015,WELLS FARGO & CO,5,"Proporciona un conjunto completo de productos y servicios financieros, que incluyen cuentas corrientes y de ahorro, préstamos, tarjetas de crédito y gestión de patrimonio, a una vasta base de clientes de consumidores individuales y pequeñas empresas.",,,10375,USD,WFC,SMART,STK,True,CON
financials,consumer_banking,US6934751057,PNC FINANCIAL SERVICES GROUP,6,"Proporciona un conjunto completo de productos y servicios financieros, que incluyen cuentas corrientes y de ahorro, préstamos y gestión de patrimonio, a una gran base de consumidores individuales.","El enfoque de PNC en la Banca de Consumo es evidente en su estrategia de Banca Minorista, que tiene como objetivo construir relaciones duraderas abordando una amplia gama de necesidades financieras, incluidas soluciones de ahorro, préstamos e inversión. Apoyando esto, la compañía está experimentando un crecimiento de clientes en la banca minorista, marcado por un aumento en las cuentas corrientes de consumidores y una actividad récord de tarjetas de débito y crédito. Esto está respaldado además por inversiones continuas en expansión de sucursales y esfuerzos para brindar un servicio al cliente sin problemas a través de varios canales, incluidas sucursales, plataformas digitales y cajeros automáticos. Las cuentas corrientes de consumo de la compañía han crecido año tras año, particularmente en el Suroeste, lo que demuestra un compromiso sostenido para expandir su presencia en la banca de consumo.",,11240,USD,PNC,SMART,STK,True,CON
financials,consumer_banking,ES0113900J37,BANCO SANTANDER SA,7,"Se enfoca en proporcionar un conjunto completo de productos y servicios financieros, incluyendo hipotecas, préstamos y tarjetas de crédito, a consumidores individuales en sus operaciones globales.",,,30314144,EUR,SAN,SMART,STK,False,CON
financials,consumer_banking,GB0005405286,HSBC HOLDINGS PLC,8,"Desempeña un papel importante en la provisión de una amplia gama de productos y servicios financieros, que incluyen depósitos, préstamos y gestión de patrimonios, a clientes individuales en mercados globales.",,,909083,GBP,HSBA,SMART,STK,False,CON
financials,consumer_banking,US3167731005,FIFTH THIRD BANCORP,9,"Proporciona servicios bancarios integrales a consumidores individuales, incluyendo depósitos, préstamos y otros productos financieros.","El compromiso de Fifth Third Bancorp con la Banca de Consumo es evidente a través de su segmento dedicado a la Banca de Consumo y Pequeñas Empresas, una de sus tres líneas de negocio principales. Este segmento ofrece un conjunto completo de productos de depósitos y préstamos a particulares y pequeñas empresas, utilizando una red de centros bancarios de servicio completo. El banco de consumo experimentó un crecimiento, aumentando los nuevos hogares netos en un 6% año tras año en el Sudeste, y la empresa está expandiendo su presencia física con nuevas sucursales en la región. Además, los ingresos de la banca de consumo contribuyen a los ingresos no financieros de la empresa, solidificando su papel en el desempeño financiero general de Bancorp.","[{'name': 'fitb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fitb-Q225-10-Q.html'}, {'name': 'fitb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fitb-Q324-10-Q.html'}, {'name': 'fitb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fitb-Q125-10-Q.html'}, {'name': 'fitb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fitb-FY24-10-K.html'}]",269318,USD,FITB,SMART,STK,True,CON
financials,consumer_banking,US02005N1000,ALLY FINANCIAL INC,10,"Ofrece una completa gama de productos y servicios financieros digitales directamente a los consumidores, incluyendo depósitos, préstamos y opciones de inversión.","Ally Financial opera como el banco totalmente digital más grande del país, ofreciendo una suite completa de servicios bancarios en línea, que incluyen depósitos, hipotecas y productos de tarjetas de crédito. Esta amplia gama de servicios subraya el enfoque de la empresa en la banca de consumo. El compromiso de Ally de ser un 'aliado implacable' para los clientes y las comunidades resalta aún más la importancia de la banca de consumo para su misión general.","[{'name': 'ally-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ally-Q125-10-Q.html'}, {'name': 'ally-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ally-Q324-10-Q.html'}]",148233980,USD,ALLY,SMART,STK,True,CON
