type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
consumer and retail,consumer_behavior,US7427181091,PROCTER & GAMBLE CO/THE,1,"Se basa en la comprensión profunda y la adaptación a las cambiantes preferencias de los consumidores y hábitos de compra para desarrollar, comercializar y vender su amplia gama de productos de consumo a nivel mundial.","El comportamiento del consumidor es un tema recurrente en las llamadas de resultados de P&G, con discusiones centradas en adaptar las estrategias a las dinámicas cambiantes de los consumidores, especialmente en respuesta a la volatilidad del mercado. La empresa monitorea la confianza del consumidor, los hábitos de gasto y las preferencias de canal tanto en EE. UU. como en Europa, observando cambios en la demanda y las preferencias de canal, incluyendo canales en línea, grandes minoristas y clubes. P&G enfatiza el mantenimiento de la cuota de marca al ofrecer rendimiento a los consumidores en tiempos de incertidumbre y al ajustarse a las respuestas de los consumidores a los precios y al valor, al tiempo que observa tendencias como la migración de los consumidores a productos de menor precio y las preferencias por marcas blancas.",11054,USD,PG,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US0231351067,AMAZON.COM INC,2,"Impulsa cambios significativos en los hábitos y expectativas de compra de los consumidores a través de su expansivo ecosistema de comercio minorista en línea, capacidades de cumplimiento rápido y experiencias personalizadas para el cliente.",,3691937,USD,AMZN,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US9311421039,WALMART INC,3,"Impulsa y se adapta a la evolución de los hábitos y preferencias de compra de los consumidores en una amplia gama de productos y servicios, dando forma a las tendencias del mercado a través de su amplia presencia minorista y estrategias omnicanal.",,13824,USD,WMT,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US2546871060,WALT DISNEY CO/THE,4,"Su modelo de negocio está fundamentalmente ligado a la comprensión, influencia y adaptación a los comportamientos predominantes de los consumidores.",,6459,USD,DIS,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US6541061031,NIKE INC -CL B,5,"Está profundamente entrelazado con la comprensión y la configuración de las preferencias de los consumidores en calzado deportivo, ropa y accesorios, adaptándose a las tendencias de estilo de vida y los hábitos de compra en evolución para mantener el liderazgo en el mercado.","El enfoque de Nike en el comportamiento del consumidor es evidente en sus iniciativas estratégicas para servir a los consumidores a través de diversos canales y puntos de precio. La empresa tiene como objetivo servir mejor a los consumidores e impulsar un crecimiento sostenible al ofrecer surtidos únicos y oportunidades de narración a través de una segmentación de mercado más precisa. Nike también está ampliando sus puntos de distribución para llegar a una base de consumidores más amplia y está aprovechando sus marcas NIKE y Jordan para activaciones de productos dirigidas, incluyendo la participación de la Generación Z a través de experiencias con socios como Urban Outfitters. Además, NIKE Direct está evolucionando hacia un destino premium, especialmente cuando se alinea con lanzamientos de productos clave y activaciones presenciales.",10291,USD,NKE,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US1912161007,COCA-COLA CO/THE,6,"Influye y se adapta directamente a las preferencias y hábitos de compra de los consumidores globales a través de su amplia cartera de productos de bebidas, dando forma a las tendencias del mercado y a los patrones de consumo.",,8894,USD,KO,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,7,Impulsa y se adapta a los cambios en el comportamiento del consumidor de lujo mediante el desarrollo estratégico de productos y experiencias que se alinean con los gustos y patrones de compra en evolución.,,29612150,EUR,MC,SMART,STK,False,,CR_CON
consumer and retail,consumer_behavior,US7134481081,PEPSICO INC,8,Adapta continuamente su diversa cartera de productos y estrategias de marketing de alimentos y bebidas para satisfacer las preferencias cambiantes de los consumidores e impulsar las decisiones de compra.,,11017,USD,PEP,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,GB00B10RZP78,UNILEVER PLC,9,Aprovecha una amplia cartera de bienes de consumo para abordar y dar forma a las preferencias cambiantes de los consumidores y los hábitos de compra en diversos mercados.,,39234893,GBP,ULVR.OLD,SMART,STK,False,,CR_CON
consumer and retail,consumer_behavior,US22160K1051,COSTCO WHOLESALE CORP,10,"Impacta y se adapta significativamente a los patrones de compra cambiantes de los consumidores, las percepciones de valor y los hábitos de compra al por mayor a través de su modelo minorista basado en membresía y selección de productos.",,272997,USD,COST,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US4370761029,HOME DEPOT INC,11,"Refleja y se adapta a las preferencias cambiantes en proyectos de mejora del hogar y bricolaje, influyendo en las decisiones de compra y los patrones de gasto dentro del mercado de consumo.",,7930,USD,HD,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US64110L1061,NETFLIX INC,12,"Se enfoca en comprender y adaptarse a las cambiantes preferencias de los consumidores en el consumo de medios, influyendo en cómo se descubren y se interactúa con el contenido a nivel mundial.",,15124833,USD,NFLX,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US57636Q1040,MASTERCARD INC - A,13,"Facilita los pagos electrónicos globales, influyendo en los hábitos de gasto de los consumidores, las preferencias de pago y la adopción de métodos de transacción digitales en diversos mercados.","Mastercard demuestra su comprensión del comportamiento del consumidor a través de diversas iniciativas, incluida la Mastercard CIBC Adapta, que adapta las recompensas a los hábitos de gasto individuales. También están elevando su propuesta de valor para clientes de alto poder adquisitivo con Mastercard Collection, un programa de beneficios premium diseñado para impulsar el comportamiento de ""top-of-wallet"" (ser la tarjeta principal). Mastercard aprovecha los datos para proporcionar mejores soluciones de compromiso para los clientes y para satisfacer las necesidades únicas de los titulares de tarjetas individuales.",38685693,USD,MA,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US5801351017,MC DONALD'S-CORP,14,"Influye en los hábitos alimentarios y las preferencias de alimentos a nivel mundial al adaptar sus ofertas y servicios a las demandas cambiantes de los consumidores de conveniencia, valor y participación digital.","McDonald's demuestra un fuerte enfoque en el comportamiento del consumidor, particularmente en lo que respecta al valor y la asequibilidad, a medida que la empresa expande y refina su propuesta de valor para satisfacer las necesidades de los consumidores, especialmente los de ingresos bajos y medios. Esto es evidente a través del énfasis de la empresa en los menús EDAP, los paquetes de comidas de nivel de entrada y la plataforma McValue. Además, McDonald's está monitoreando de cerca el sentimiento del consumidor y las tendencias de tráfico entre diferentes cohortes de ingresos, ajustando sus estrategias para abordar las presiones económicas que afectan las elecciones del consumidor, y utilizando iniciativas como CosMc's para comprender las preferencias de personalización de los consumidores y el interés en nuevas categorías de bebidas emergentes.",9408,USD,MCD,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US5010441013,KROGER CO,15,"Responde directamente a las preferencias cambiantes de los consumidores y a los patrones de compra en el sector de comestibles, influyendo en las decisiones de compra a través de la oferta de productos y las estrategias minoristas.",,8908,USD,KR,SMART,STK,True,,CR_CON
consumer and retail,consumer_behavior,US00206R1023,AT&T INC,16,"Responde y da forma a la forma en que los consumidores interactúan con los servicios de telecomunicaciones, adaptando sus ofertas a las preferencias cambiantes en el consumo de telefonía móvil, internet y entretenimiento.",,37018770,USD,T,SMART,STK,True,,CR_CON
