industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,consumer_brands,US5801351017,MC DONALD'S-CORP,1,"Opera como una marca de consumo líder y reconocida a nivel mundial, que ofrece una vasta gama de productos y experiencias alimentarias a una base de clientes diversa en todo el mundo.","McDonald's demuestra una fuerte conexión con el tema de la industria de marcas de consumo, impulsada por su marca reconocida mundialmente y sus esfuerzos estratégicos para mantener la lealtad del cliente. La empresa enfatiza la construcción de confianza a través de experiencias de marca consistentes, como lo demuestra haber sido nombrada la Marca de Restaurantes Global Más Valiosa por Kantar. McDonald's se enfoca en ofrecer alimentos y bebidas de calidad con experiencias de cliente localmente relevantes, respaldadas por su alto porcentaje de restaurantes franquiciados en más de 100 países. Esto se refuerza aún más a través de campañas de marketing, innovaciones en el menú y ofertas de valor diseñadas para fortalecer la imagen de marca y las relaciones con los clientes, incluido el aprovechamiento de acuerdos de licencia de marca para comercializar y vender bienes de consumo envasados.","[{'name': 'mcd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q324-10-Q.html'}, {'name': 'mcd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mcd-Q225-10-Q.html'}]",9408,USD,MCD,SMART,STK,True,CO1
consumer and retail,consumer_brands,US6541061031,NIKE INC -CL B,2,"Aprovecha su marca reconocida a nivel mundial, su cartera de productos innovadores y sus estrategias directas al consumidor para dar forma a las preferencias del consumidor e impulsar el crecimiento en el mercado de calzado y ropa deportiva.","El enfoque de NIKE en Marcas de Consumo es evidente en su estrategia comercial principal, ya que la compañía diseña, desarrolla, comercializa y vende calzado deportivo, indumentaria, equipamiento, accesorios y servicios a nivel mundial. Una parte significativa de los ingresos de NIKE proviene de sus productos de marca, y los ingresos de la Marca NIKE representan una parte sustancial de los ingresos generales de la compañía. Además, NIKE tiene como objetivo lograr un crecimiento de ingresos sostenible y rentable a largo plazo mediante la creación de productos innovadores, la construcción de conexiones profundas y personales con los consumidores y la entrega de experiencias de consumo convincentes a través de plataformas digitales y canales minoristas, lo que demuestra el papel central de la marca en sus operaciones.","[{'name': 'nke-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q325-10-Q.html'}, {'name': 'nke-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q125-10-Q.html'}, {'name': 'nke-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nke-FY25-10-K.html'}, {'name': 'nke-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q225-10-Q.html'}]",10291,USD,NKE,SMART,STK,True,CO1
consumer and retail,consumer_brands,US1912161007,COCA-COLA CO/THE,3,"Opera como líder mundial en la industria de bebidas, ofreciendo una amplia cartera de marcas de consumo bien reconocidas que se distribuyen y comercializan en todo el mundo.","El negocio de Coca-Cola se centra en marcas de consumo, como lo demuestra su extensa cartera de productos de bebidas, que incluyen Coca-Cola de marca registrada, sabores espumosos, agua, bebidas deportivas, café, té, jugos, lácteos de valor agregado y bebidas de origen vegetal. La compañía posee 30 marcas globales y locales de mil millones de dólares que abordan una amplia gama de estados de necesidad del consumidor y ocasiones de consumo, y enfatiza en mantenerse centrado en el consumidor y ofrecer opciones, lo que está impulsando el crecimiento en múltiples elementos de su cartera. Esto se demuestra aún más con la adquisición y posterior deterioro de la marca BodyArmor, lo que refleja una inversión significativa en marcas de consumo.","[{'name': 'ko-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ko-Q125-10-Q.html'}]",8894,USD,KO,SMART,STK,True,CO1
consumer and retail,consumer_brands,US7427181091,PROCTER & GAMBLE CO/THE,4,"Opera una vasta cartera de marcas de consumo en múltiples categorías de productos, sirviendo a millones de hogares a nivel mundial.","El enfoque de Procter & Gamble en las marcas de consumo es evidente a través de su énfasis en la fortaleza de la marca, la innovación y la entrega de valor. La estrategia de la empresa gira en torno al fortalecimiento de sus marcas en toda su cartera, como lo demuestran las discusiones sobre marcas específicas como Crest, Oral-B, Tide, Gain, Pampers y Always. P&G subraya la importancia de la superioridad de la marca para impulsar la elección del consumidor y destaca que los consumidores eligen activamente sus marcas, lo que refleja un compromiso de generar confianza y lealtad a través de la calidad y el compromiso. Esto se ve respaldado aún más por la inversión continua de la empresa en la construcción de marca, incluso en tiempos volátiles, y su enfoque en la innovación y el rendimiento del mercado en diversas categorías, incluidos el cuidado personal y los productos para el hogar.",,11054,USD,PG,SMART,STK,True,CO1
consumer and retail,consumer_brands,US7134481081,PEPSICO INC,5,"Desempeña un papel fundamental en el sector de Marcas de Consumo a través de su extensa cartera de productos de alimentos y bebidas reconocidos a nivel mundial, sirviendo a una vasta base de consumidores en todo el mundo.","La fuerte conexión de PepsiCo con el tema de Marcas de Consumo es evidente en su diversa cartera de marcas conocidas, que incluyen Lay’s, Doritos, Cheetos, Gatorade y Pepsi-Cola. El enfoque de la compañía en estas marcas se demuestra a través de discusiones sobre su rendimiento, actividades de marketing, incentivos de ventas y estrategias publicitarias. Como empresa líder mundial de alimentos y bebidas, los ingresos de PepsiCo se ven impulsados significativamente por estas marcas de consumo, lo que resalta su importancia estratégica para la empresa.","[{'name': 'pep-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q324-10-Q.html'}, {'name': 'pep-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pep-FY24-10-K.html'}]",11017,USD,PEP,SMART,STK,True,CO1
consumer and retail,consumer_brands,US2546871060,WALT DISNEY CO/THE,6,"Aprovecha una vasta cartera de franquicias y personajes icónicos para impulsar un extenso merchandising global, incluyendo juguetes, ropa y contenido digital, contribuyendo significativamente al mercado de marcas de consumo.","El compromiso de Disney con las marcas de consumo es evidente a través del éxito de sus franquicias y la gestión estratégica de marcas. La versión de acción real de Lilo & Stitch está en camino de convertirse en la segunda franquicia de productos de consumo más grande de la compañía este año, experimentando un crecimiento sustancial de los ingresos y destacando la capacidad de la compañía para desarrollar nuevas franquicias populares. Disney genera confianza y lealtad a través de la calidad, el compromiso y las propuestas de valor, reforzadas por la propiedad intelectual y la tecnología de vanguardia. Disney aprovecha la fortaleza de su marca en diversas empresas, incluidos parques temáticos, cruceros, streaming y mercancías.","[{'name': 'dis-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q125-10-Q.html'}]",6459,USD,DIS,SMART,STK,True,CO1
consumer and retail,consumer_brands,US0231351067,AMAZON.COM INC,7,Proporciona un vasto mercado y una red logística que permite a numerosas marcas de consumo llegar a una base de clientes global y gestionar sus ventas y distribución.,,,3691937,USD,AMZN,SMART,STK,True,CO1
consumer and retail,consumer_brands,US7181721090,PHILIP MORRIS INTERNATIONAL,8,"Desarrolla, fabrica y comercializa una cartera diversa de marcas de consumo, centrándose principalmente en productos de tabaco y nicotina, incluidas alternativas combustibles y de riesgo reducido, distribuidas a nivel mundial.","La participación de Philip Morris International en el tema de las marcas de consumo es evidente en su diversa cartera, que incluye tanto cigarrillos como productos sin humo. La empresa mantiene una fuerte presencia en el mercado, vendiendo cigarrillos en aproximadamente 170 mercados y ostentando posiciones de liderazgo en cuota de mercado en muchos de ellos. Su cartera de productos sin humo está encabezada por IQOS y ZYN, mientras que sus ofertas tradicionales incluyen una amplia gama de marcas premium, de precio medio y de bajo precio, que abarcan variedades tanto internacionales como locales. La adquisición de Swedish Match AB amplió aún más su cartera con la adición de la marca de snus General.","[{'name': 'pm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pm-FY24-10-K.html'}]",49588376,USD,PM,SMART,STK,True,CO1
consumer and retail,consumer_brands,CH0038863350,NESTLE SA-REG,9,"Opera una amplia cartera de marcas mundialmente reconocidas de alimentos, bebidas y ciencias de la salud, satisfaciendo una amplia gama de necesidades de los consumidores en numerosos mercados de todo el mundo.",,,52238348,CHF,NESN,SMART,STK,False,CO1
consumer and retail,consumer_brands,KR7005930003,SAMSUNG ELECTRONICS CO LTD,10,"Desarrolla y comercializa una cartera diversa de marcas de electrónica de consumo reconocidas a nivel mundial, incluyendo teléfonos inteligentes, televisores y electrodomésticos, dando forma a las preferencias de los consumidores e impulsando la innovación en el mercado.",,,17382528,KRW,005930,KSE,STK,False,CO1
consumer and retail,consumer_brands,US8552441094,STARBUCKS CORP,11,"Opera como una marca de consumo global prominente, ofreciendo una amplia gama de productos de café y bebidas a través de una amplia presencia minorista y una sólida identidad de marca.","El enfoque de Starbucks en la mejora del servicio al cliente, la lealtad a la marca y la experiencia general de la cafetería subraya su compromiso con el tema de la marca de consumo. La empresa está invirtiendo estratégicamente en iniciativas como la estrategia 'Back to Starbucks', que incluye Leadership Experience 2025 y Green Apron Service, junto con mejoras en el programa Starbucks Rewards, para impulsar el crecimiento y la participación futuros. Con un fuerte énfasis en la calidad, las percepciones de valor del cliente y una membresía activa sustancial en su programa de recompensas, Starbucks tiene como objetivo consolidar su posición como un estándar de oro en el mercado de consumo. Esto se demuestra aún más por sus esfuerzos para abordar los comentarios de los clientes e introducir nuevas funciones diseñadas para aumentar la lealtad y el amor por la marca.",,274105,USD,SBUX,SMART,STK,True,CO1
consumer and retail,consumer_brands,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,12,"Gestiona una diversa cartera de marcas de lujo reconocidas a nivel mundial en moda, artículos de cuero, joyería, vinos y licores, dando forma a las tendencias de consumo y la presencia en el mercado en el segmento de alta gama.",,,29612150,EUR,MC,SMART,STK,False,CO1
