industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
FI,CO1,JPM,financials,consumer_finance,US46625H1005,JPMORGAN CHASE & CO,1,"Ofrece una suite integral de productos y servicios financieros para el consumidor, que incluyen banca, préstamos y pagos, sirviendo a una vasta base de clientes e influyendo significativamente en el sector.","La participación de JPMorgan Chase en Finanzas al Consumidor es evidente a través de su posición de liderazgo en la prestación de servicios financieros a consumidores y pequeñas empresas. Esto se ve reforzado por el crecimiento en Card Services & Auto, con aumentos de ingresos impulsados por mayores saldos revolventes e ingresos por arrendamiento de automóviles, junto con sólidas adquisiciones de tarjetas nuevas y originaciones de automóviles. El rendimiento financiero de la firma se ve influenciado además por factores relacionados con el consumidor, incluidos los ingresos netos por intereses de Card Services y la provisión para pérdidas crediticias impulsada predominantemente por este sector. JPMorgan Chase también reconoce la salud general del consumidor, reflejada en las tendencias de gasto, crédito y depósitos.","[{'name': 'jpm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q125-10-Q.html'}, {'name': 'jpm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jpm-Q225-10-Q.html'}]",1520593,USD,SMART,STK
FI,CO1,SYF,financials,consumer_finance,US87165B1035,SYNCHRONY FINANCIAL,2,"Proporciona una amplia gama de tarjetas de crédito de marca propia, financiación promocional y préstamos a plazos, lo que la convierte en un actor clave para impulsar el gasto del consumidor y el acceso financiero a través de alianzas estratégicas con minoristas.","Synchrony Financial está fuertemente involucrada en la industria de finanzas al consumidor, principalmente a través de su subsidiaria bancaria, conectando a aproximadamente 70 millones de estadounidenses con productos financieros. Como una empresa líder en servicios financieros al consumidor, Synchrony ofrece un conjunto de productos habilitados digitalmente que incluyen tarjetas de crédito, productos de crédito comercial y préstamos al consumidor a plazos. La empresa financia un volumen significativo de compras y gestiona una gran cartera de cuentas activas y cuentas por cobrar de préstamos, ofreciendo diversas soluciones de financiación adaptadas a las necesidades específicas de los consumidores en diversas industrias, incluidas las digitales, de salud y bienestar, minoristas y de hogar y automóvil.","[{'name': 'syf-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/syf-FY24-10-K.html'}, {'name': 'syf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syf-Q125-10-Q.html'}, {'name': 'syf-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syf-Q225-10-Q.html'}, {'name': 'syf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syf-Q324-10-Q.html'}]",162231797,USD,SMART,STK
FI,CO1,AXP,financials,consumer_finance,US0258161092,AMERICAN EXPRESS CO,3,"Proporciona un conjunto integral de productos y servicios financieros para el consumidor, incluidas tarjetas de crédito, tarjetas de cargo y soluciones de pago, lo que permite a las personas gestionar sus gastos y acceder a crédito.","American Express demuestra una fuerte conexión con la industria de Finanzas del Consumidor a través de sus operaciones comerciales principales. La empresa ofrece una variedad de productos y servicios financieros a los consumidores, incluidas tarjetas de crédito, tarjetas de cargo, servicios bancarios y productos de préstamo. Esto se ve respaldado aún más por el énfasis de la empresa en productos premium como las Tarjetas Platinum para Consumidores y Empresas de EE. UU., que impulsan el crecimiento de los préstamos revolventes de los titulares de tarjetas. El enfoque de American Express en servir a los consumidores de EE. UU. con diversas ofertas financieras, como servicios de viajes y estilo de vida, así como productos de financiación bancaria y no de tarjetas, destaca su importante papel en el sector de las finanzas del consumidor.","[{'name': 'axp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/axp-FY24-10-K.html'}, {'name': 'axp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/axp-Q225-10-Q.html'}]",4721,USD,SMART,STK
FI,CO1,MA,financials,consumer_finance,US57636Q1040,MASTERCARD INC - A,4,"Facilita las transacciones globales de consumo al proporcionar redes de procesamiento de pagos y servicios financieros relacionados, apoyando una amplia gama de métodos de pago digitales y tradicionales para individuos y empresas.","El enfoque de Mastercard en las finanzas del consumidor es evidente a través de sus numerosas asociaciones y expansiones en programas de tarjetas de crédito, incluido el lanzamiento de una nueva tarjeta de crédito con Walmart en colaboración con OnePay y Synchrony. La empresa está ampliando su asociación con American Airlines y expandiendo su relación con Uber al extender carteras exclusivas de tarjetas Uber Pro en EE. UU. y Canadá. Además, Mastercard está extendiendo su asociación de emisión de tarjetas con PayPal en los Estados Unidos y firmando nuevos acuerdos de emisión de tarjetas de crédito y débito en el Reino Unido y Alemania, así como asociándose con Afterpay en Australia para la emisión de tarjetas prepagas y de crédito.",,38685693,USD,SMART,STK
FI,CO1,BAC,financials,consumer_finance,US0605051046,BANK OF AMERICA CORP,5,"Ofrece un conjunto integral de productos y servicios financieros, que incluyen soluciones de préstamos, crédito y banca, a una vasta base de consumidores individuales.","El compromiso de Bank of America con el tema de Finanzas del Consumidor es evidente a través de su segmento de Banca de Consumo, que ofrece una gama de productos de préstamos, depósitos e inversión a consumidores y pequeñas empresas. Esto incluye ofertas como tarjetas de débito y crédito, hipotecas residenciales, préstamos sobre el valor líquido de la vivienda y varios préstamos directos e indirectos. El negocio de inversiones para el consumidor de la empresa ha experimentado flujos anuales sustanciales, y la Banca de Consumo continúa demostrando un crecimiento orgánico a través de sus capacidades de alto contacto y alta tecnología.","[{'name': 'bac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bac-Q125-10-Q.html'}, {'name': 'bac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bac-FY24-10-K.html'}]",10098,USD,SMART,STK
FI,CO1,C,financials,consumer_finance,US1729674242,CITIGROUP INC,6,"Ofrece una amplia gama de productos y servicios financieros a consumidores individuales a nivel mundial, abarcando soluciones de banca, préstamos y gestión de patrimonios.","La participación de Citigroup en Finanzas al Consumidor es evidente a través de su segmento de Banca Personal de EE. UU. (USPB), que abarca Tarjetas de Marca y Servicios Minoristas, ofreciendo tanto facilidades de tarjetas de crédito como préstamos personales a plazos. Los ingresos de Tarjetas de Marca de la compañía han experimentado crecimiento, impulsados por la expansión del margen de interés neto y el aumento de los saldos que generan intereses. Los ingresos de USPB también han aumentado debido al crecimiento en Tarjetas de Marca y Banca Minorista, aunque esto fue parcialmente compensado por una disminución en Servicios Minoristas. Las actividades de finanzas al consumidor de Citigroup incluyen la gestión de carteras de tarjetas de crédito y préstamos personales a plazos, con una porción significativa de su cartera de tarjetas asignada a consumidores con puntajes FICO de 660 o más.","[{'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}, {'name': 'c-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q324-10-Q.html'}, {'name': 'c-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/c-FY24-10-K.html'}]",87335484,USD,SMART,STK
FI,CO1,601939,financials,consumer_finance,CNE100000742,CHINA CONSTRUCTION BANK-A,7,"Desempeña un papel fundamental en el sector de las finanzas al consumidor, ofreciendo una amplia gama de productos y servicios financieros a consumidores individuales.",,,165303361,CNH,SEHKNTL,STK
FI,CO1,V,financials,consumer_finance,US92826C8394,VISA INC-CLASS A SHARES,8,"Facilita los pagos digitales globales conectando consumidores, empresas e instituciones financieras a través de su extensa red, impulsando la adopción de transacciones electrónicas y dando forma al panorama de las finanzas del consumidor.",,,49462172,USD,SMART,STK
FI,CO1,FICO,financials,consumer_finance,US3032501047,FAIR ISAAC CORP,9,Proporciona herramientas de puntuación de crédito y análisis que son fundamentales para que los prestamistas evalúen el riesgo y tomen decisiones informadas en finanzas de consumo.,"El compromiso de FICO con la industria de las finanzas de consumo es significativo, principalmente a través de sus soluciones de calificación B2B, incluido el emblemático FICO® Score, que sigue siendo la medida estándar del riesgo crediticio del consumidor en los EE. UU. FICO atiende directamente a los consumidores al brindarles acceso a sus FICO Scores, lo que les permite aumentar su educación financiera y gestionar su salud financiera. Además, el compromiso de FICO se extiende a la expansión de la inclusión financiera a través de iniciativas como el FICO® Educational Analytics Challenge y el desarrollo de puntuaciones de datos alternativos, como las que incorporan datos de ""Compra ahora, paga después"", para ampliar la accesibilidad al crédito.","[{'name': 'fico-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fico-Q125-10-Q.html'}, {'name': 'fico-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fico-Q325-10-Q.html'}, {'name': 'fico-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fico-FY24-10-K.html'}]",269280,USD,SMART,STK
FI,CO1,PYPL,financials,consumer_finance,US70450Y1038,PAYPAL HOLDINGS INC,10,"Ofrece servicios integrales de pago digital, incluidas transacciones en línea, transferencias de persona a persona y opciones de crédito flexibles, dando forma significativamente a la forma en que los consumidores gestionan y realizan sus actividades financieras.","PayPal demuestra su participación en las finanzas del consumidor a través de varias vías, incluidos productos de crédito a plazos y revolventes que se ofrecen a los consumidores al momento del pago. Esto se ve reforzado aún más por su producto de crédito al consumidor revolvente en EE. UU., junto con las tarjetas de crédito de marca PayPal y Venmo, que contribuyen a los ingresos a través del reparto de ingresos con instituciones asociadas. Al 30 de septiembre de 2024, el saldo de préstamos al consumidor e intereses por cobrar de la empresa ascendía a 5.100 millones de dólares, lo que refleja una inversión sustancial en esta área, y la empresa también gestiona carteras de préstamos al consumidor, incluidas las cuentas por cobrar de préstamos de ""compre ahora, pague después"".","[{'name': 'pypl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q225-10-Q.html'}, {'name': 'pypl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q324-10-Q.html'}, {'name': 'pypl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pypl-FY24-10-K.html'}]",199169591,USD,SMART,STK
