industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
HE,CON,KVUE,health,consumer_health_products,US49177J1025,KENVUE INC,1,"Opera como líder mundial en salud del consumidor, ofreciendo una amplia gama de marcas esenciales de autocuidado a consumidores de todo el mundo.","El fuerte compromiso de Kenvue con el tema de los productos de salud del consumidor es evidente a través de su autoidentificación como la empresa de salud del consumidor pura más grande del mundo por ingresos, con $ 15.5 mil millones en ventas netas en el año fiscal 2024. El enfoque de la compañía se enfatiza aún más por su cartera que abarca productos de Autocuidado, Salud de la Piel y Belleza, y Salud Esencial, incluidas marcas reconocidas como Tylenol, Neutrogena, Listerine, Johnson's, BAND-AID Brand, Aveeno, Zyrtec y Nicorette. Las organizaciones de marketing e investigación y desarrollo de Kenvue aprovechan los conocimientos del consumidor y la experiencia científica para mejorar la relevancia de la marca e impulsar la innovación en la salud del consumidor, reforzando su posición en el mercado.","[{'name': 'kvue-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kvue-Q125-10-Q.html'}, {'name': 'kvue-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kvue-Q225-10-Q.html'}, {'name': 'kvue-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kvue-Q324-10-Q.html'}, {'name': 'kvue-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kvue-FY24-10-K.html'}]",629043863,USD,SMART,STK
HE,CON,PG,health,consumer_health_products,US7427181091,PROCTER & GAMBLE CO/THE,2,"Ofrece una amplia cartera de productos de salud para el consumidor, que abarca marcas de cuidado bucal, cuidado personal y cuidado femenino que atienden a una base de consumidores global.","La participación de P&G en el tema de Productos para la Salud del Consumidor es evidente a través de su bien definido segmento de Atención Médica, que incluye las categorías de Cuidado Bucal y Cuidado Personal de la Salud. Este segmento presenta marcas destacadas como Crest, Oral-B, Metamucil, Pepto-Bismol y Vicks, lo que demuestra la presencia establecida de P&G en el mercado. El enfoque de la empresa se ve aún más resaltado por el crecimiento en Cuidado Personal de la Salud y las innovaciones en Cuidado Bucal, como Crest 3DWhite Deep Stain Remover y Oral-B iO 10, lo que indica un compromiso con la mejora y comercialización de productos para la salud del consumidor.","[{'name': 'pg-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pg-Q325-10-Q.html'}, {'name': 'pg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pg-Q125-10-Q.html'}, {'name': 'pg-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pg-FY25-10-K.html'}, {'name': 'pg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pg-Q225-10-Q.html'}]",11054,USD,SMART,STK
HE,CON,DXCM,health,consumer_health_products,US2521311074,DEXCOM INC,3,"Desarrolla y comercializa sistemas de monitorización continua de glucosa, empoderando directamente a las personas para controlar su diabetes y contribuyendo significativamente al sector de productos de salud para el consumidor.","La participación de Dexcom en el tema de Productos de Salud para el Consumidor está impulsada principalmente por el lanzamiento de Stelo, el primer biosensor de glucosa de venta libre en los EE. UU., diseñado para adultos con prediabetes y diabetes tipo 2 que no usan insulina. Este movimiento estratégico permite a Dexcom atender a una gama más amplia de clientes, incluidos aquellos interesados en la salud y el bienestar general, la prediabetes y la diabetes tipo 2, mejorando la accesibilidad a la tecnología Dexcom. La compañía está expandiendo activamente las capacidades y los canales de distribución de Stelo, incluidas las asociaciones con plataformas como Oura y la disponibilidad en Amazon, para ampliar sus casos de uso más allá de la diabetes y la prediabetes.","[{'name': 'dxcm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dxcm-Q125-10-Q.html'}, {'name': 'dxcm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dxcm-Q225-10-Q.html'}, {'name': 'dxcm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dxcm-FY24-10-K.html'}]",33837089,USD,SMART,STK
HE,CON,BAYN,health,consumer_health_products,DE000BAY0017,BAYER AG-REG,4,"Se enfoca en el desarrollo, fabricación y comercialización de una amplia cartera de medicamentos de venta libre, suplementos dietéticos y otros productos de bienestar para abordar las necesidades diarias de salud y autocuidado.",,,68598660,EUR,SMART,STK
HE,CON,CVS,health,consumer_health_products,US1266501006,CVS HEALTH CORP,5,"Sirve como un destacado canal minorista para una amplia gama de productos de salud para el consumidor, mejorando la accesibilidad y la distribución para una amplia base de clientes.","El compromiso de CVS Health con el tema de Productos de Salud del Consumidor es evidente a través de su segmento de Farmacia y Bienestar del Consumidor, que dispensa recetas, brinda servicios farmacéuticos auxiliares y vende una amplia variedad de productos de salud y bienestar y mercancía general. La compañía enfatiza la creación de valor para los consumidores, la reducción de costos y el aumento del tráfico peatonal en sus tiendas, lo que refleja la importancia estratégica de estos productos. Además, las mejoras en el negocio de la tienda principal, impulsadas por una mayor base de clientes y participación minorista, junto con la compra de medicamentos genéricos de primera clase, contribuyen al enfoque de la compañía en productos de salud del consumidor. La compañía también se enfoca en la excelencia operativa y las mejoras tecnológicas para ofrecer experiencias superiores al cliente.","[{'name': 'cvs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q324-10-Q.html'}, {'name': 'cvs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvs-Q225-10-Q.html'}, {'name': 'cvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvs-FY24-10-K.html'}]",2585769,USD,SMART,STK
HE,CON,PIG1,health,consumer_health_products,IE00BGH1M568,PERRIGO CO PLC,6,"Desarrolla, fabrica y distribuye una cartera integral de productos de salud del consumidor, abordando una amplia gama de necesidades diarias de salud y bienestar.","El negocio de Perrigo se centra en el tema de los productos de salud del consumidor, ya que la empresa se identifica como un proveedor líder de autocuidado exclusivo con una historia que abarca más de un siglo. Perrigo ofrece una amplia gama de soluciones de salud y bienestar de venta libre, incluidos productos para problemas del tracto respiratorio superior, analgésicos y ayudas para dormir, salud digestiva y salud de la mujer. El enfoque de la empresa en la innovación impulsada por el consumidor y sus importantes inversiones en la optimización de su red de nutrición, particularmente para la producción de fórmula infantil, subrayan aún más su compromiso con el sector de la salud del consumidor. Las operaciones de Perrigo se dividen en los segmentos Consumer Self-Care Americas (CSCA) y Consumer Self-Care International (CSCI), con una presencia de fabricación significativa en los EE. UU. que permite la producción local de una parte sustancial de sus productos de venta libre.","[{'name': 'prgo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prgo-Q225-10-Q.html'}, {'name': 'prgo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prgo-Q125-10-Q.html'}, {'name': 'prgo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prgo-Q324-10-Q.html'}, {'name': 'prgo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/prgo-FY24-10-K.html'}]",140067521,EUR,SMART,STK
HE,CON,ABT,health,consumer_health_products,US0028241000,ABBOTT LABORATORIES .,7,"Ofrece una cartera diversa de productos nutricionales y soluciones de diagnóstico amigables para el consumidor, apoyando la salud y el bienestar para diversos segmentos de consumidores.","La participación de Abbott en el tema de Productos de Salud para el Consumidor es evidente a través de su sólido segmento de Nutrición para Adultos, que presenta productos como Ensure y Glucerna. El crecimiento de este segmento está impulsado principalmente por la creciente demanda de la familia de productos Ensure, que proporcionan una nutrición completa y equilibrada para una amplia gama de necesidades nutricionales. Si bien las ventas de Nutrición para Adultos en EE. UU. experimentaron una ligera compensación debido a la descontinuación de la línea de productos ZonePerfect, las ventas generales han aumentado, impulsadas por estas marcas nutricionales clave. Los productos nutricionales de Abbott, que incluyen ofertas tanto para adultos como para niños, como Similac, contribuyen a la cartera de salud del consumidor al mejorar el bienestar físico.","[{'name': 'abt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abt-Q225-10-Q.html'}]",4065,USD,SMART,STK
HE,CON,CL,health,consumer_health_products,US1941621039,COLGATE-PALMOLIVE CO,8,"Se enfoca en el desarrollo y comercialización de productos esenciales para el cuidado oral, personal y del hogar que contribuyen significativamente a la salud del consumidor global.","La participación de Colgate-Palmolive en el tema de Productos de Salud para el Consumidor es evidente a través de su enfoque en el desarrollo y venta de productos de uso diario basados en la ciencia que promueven vidas más saludables, con productos de cuidado bucal y personal como contribuyentes clave. La estrategia de la compañía se centra en proporcionar a los consumidores artículos esenciales como pasta de dientes y jabón de manos, y están comprometidos con la innovación en el cuidado bucal con marcas como Colgate Total y elmex. Sus productos se distribuyen a través de varios canales, incluyendo minoristas, mayoristas, dentistas y profesionales de la salud de la piel, lo que demuestra un amplio alcance dentro del mercado de la salud del consumidor. Además, la compañía enfatiza la importancia del cuidado bucal, destacando que los consumidores continúan priorizando el cepillado de dientes, reforzando su compromiso con este segmento.","[{'name': 'cl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cl-FY24-10-K.html'}]",5749,USD,SMART,STK
HE,CON,MMM,health,consumer_health_products,US88579Y1010,3M CO,9,"Fabrica y suministra una cartera diversa de productos que son integrales para el sector de productos de salud del consumidor, apoyando la salud y el bienestar.","La participación de 3M en el tema de Productos de Salud para el Consumidor es evidente a través de su segmento de seguridad y bienestar del consumidor, que incluye productos como filtros Filtrete™ y productos respiratorios. Si bien las ventas en seguridad y bienestar del consumidor han mostrado crecimiento, otros segmentos dentro del negocio de consumo, como mejoras para el hogar y cuidado del hogar y automóviles, han experimentado disminuciones. Además, la separación del negocio de Atención Médica de 3M a través de Solventum Corporation impacta su enfoque general en productos de salud para el consumidor.","[{'name': 'mmm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmm-Q125-10-Q.html'}, {'name': 'mmm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mmm-FY24-10-K.html'}]",9720,USD,SMART,STK
HE,CON,SAN1,health,consumer_health_products,FR0000120578,SANOFI,10,"Participa en el desarrollo, fabricación y comercialización de productos de salud del consumidor.",,,29612249,EUR,SMART,STK
