industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,convenience_stores,US6267551025,MURPHY USA INC,1,"Opera una vasta red de estaciones de servicio minoristas, complementadas principalmente por tiendas de conveniencia, que atienden a automovilistas y comunidades locales en todo Estados Unidos.","La participación de Murphy USA en el tema de Tiendas de Conveniencia es evidente a través de la operación de tiendas de conveniencia QuickChek, ubicadas principalmente en Nueva Jersey y Nueva York. El compromiso de la empresa se demuestra aún más por su gestión activa y expansión de la red QuickChek, incluidos los planes de abrir 40 nuevas tiendas en 2025. La adquisición de QuickChek también se financió parcialmente mediante la emisión de $500 millones en pagarés senior, lo que resalta la importancia estratégica de esta marca para la cartera de la empresa, especialmente en la región noreste, donde las tiendas QuickChek ofrecen una variedad de mercancías, alimentos y bebidas.","[{'name': 'musa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/musa-FY24-10-K.html'}, {'name': 'musa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/musa-Q125-10-Q.html'}, {'name': 'musa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/musa-Q225-10-Q.html'}, {'name': 'musa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/musa-Q324-10-Q.html'}]",132717465,USD,MUSA,SMART,STK,True,CO5
consumer and retail,convenience_stores,JP3422950000,SEVEN & I HOLDINGS CO LTD,2,"Opera una de las cadenas de tiendas de conveniencia más grandes del mundo, dando forma significativamente al panorama minorista y a la experiencia del consumidor en este sector.",,,35802542,JPY,3382,SMART,STK,False,CO5
consumer and retail,convenience_stores,US3742971092,GETTY REALTY CORP,3,"Sirve como un arrendador inmobiliario crítico para numerosas operaciones de tiendas de conveniencia, proporcionando infraestructura de propiedad esencial para sus actividades comerciales.","El negocio de Getty Realty está significativamente ligado a la industria de las tiendas de conveniencia, como lo demuestra su especialización en la adquisición, financiación y desarrollo de estas propiedades. Su cartera se compone en gran medida de tiendas de conveniencia, y la gran mayoría de sus propiedades se alquilan a operadores de tiendas de conveniencia. La estrategia de inversión de la empresa refleja este enfoque, con inversiones realizadas en tiendas de conveniencia. Además, la empresa enfatiza la importancia estratégica de las tiendas de conveniencia, destacando su resiliencia y su sólido desempeño, con una cobertura de alquiler que mejora para casi todas sus carteras de tiendas de conveniencia.","[{'name': 'gty-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gty-FY24-10-K.html'}, {'name': 'gty-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gty-Q125-10-Q.html'}, {'name': 'gty-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gty-Q225-10-Q.html'}, {'name': 'gty-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gty-Q324-10-Q.html'}]",7855,USD,GTY,SMART,STK,True,CO5
consumer and retail,convenience_stores,US1475281036,CASEY'S GENERAL STORES INC,4,"Opera una cadena de tiendas de conveniencia que ofrecen una variedad de productos y servicios, sirviendo como un actor prominente dentro del sector minorista de conveniencia.","Casey's General Stores opera tiendas de conveniencia principalmente bajo los nombres ""Casey's"" y ""Casey’s General Store"", con miles de tiendas en numerosos estados. El modelo de negocio de la empresa gira en torno a estas tiendas de conveniencia, que ofrecen una amplia gama de productos, incluyendo alimentos, bebidas, tabaco, productos de salud y belleza, y productos automotrices. Casey's también compite en características tradicionales de tiendas de conveniencia como la ubicación, horarios extendidos y calidad del servicio, y expande estratégicamente su huella a través de adquisiciones como Fikes Wholesale y Group Petroleum Services.","[{'name': 'casy-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/casy-FY25-10-K.html'}, {'name': 'casy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/casy-Q324-10-Q.html'}, {'name': 'casy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/casy-Q225-10-Q.html'}, {'name': 'casy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/casy-Q125-10-Q.html'}]",267265,USD,CASY,SMART,STK,True,CO5
consumer and retail,convenience_stores,US2566771059,DOLLAR GENERAL CORP,5,"Opera numerosas tiendas de formato pequeño, particularmente en áreas rurales y desatendidas, brindando acceso conveniente a una amplia gama de necesidades y consumibles cotidianos para las comunidades locales.","El negocio de la empresa se centra en ofrecer productos de marcas nacionales y privadas a precios bajos todos los días, generalmente de $10 o menos, en cómodas tiendas pequeñas. La empresa enfatiza que estos formatos y ubicaciones de tiendas convenientes, junto con una amplia selección de productos de alta calidad, han sido impulsores clave de un crecimiento sustancial y éxito financiero a lo largo de los años y a través de diversos ciclos económicos. El enfoque de la empresa en 'tiendas pequeñas convenientes' resalta su alineación con el modelo de tienda de conveniencia.","[{'name': 'dg-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q224-10-Q.html'}, {'name': 'dg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dg-FY24-10-K.html'}, {'name': 'dg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q324-10-Q.html'}]",70212228,USD,DG,SMART,STK,True,CO5
consumer and retail,convenience_stores,US86765K1097,SUNOCO LP,6,"Opera y suministra una vasta red de tiendas de conveniencia, integrando la venta de combustible con una diversa gama de ofertas de mercancía.","La participación de Sunoco en la industria de las tiendas de conveniencia se ve subrayada por la venta de 204 tiendas de conveniencia en Texas Occidental, Nuevo México y Oklahoma a 7-Eleven, Inc. Esta venta, completada el 16 de abril de 2024, representa una transacción importante por aproximadamente $1.0 mil millones, incluyendo ajustes por inventario de combustible y mercancía. Si bien la desinversión indica una presencia en el tema, también sugiere un cambio estratégico de las tiendas de conveniencia, lo que impacta las operaciones de la empresa.","[{'name': 'sun-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sun-FY24-10-K.html'}]",171322358,USD,SUN,SMART,STK,False,CO5
consumer and retail,convenience_stores,US1266501006,CVS HEALTH CORP,7,"Proporciona una gama de productos de conveniencia y artículos esenciales para el día a día a través de su amplia huella minorista, sirviendo como una opción fácilmente accesible para las necesidades inmediatas de los consumidores.",,,2585769,USD,CVS,SMART,STK,True,CO5
consumer and retail,convenience_stores,US5010441013,KROGER CO,8,"Mantiene una presencia sustancial en el mercado de tiendas de conveniencia, proporcionando opciones minoristas accesibles y una diversa gama de productos a los consumidores.",,,8908,USD,KR,SMART,STK,True,CO5
consumer and retail,convenience_stores,GB00BLGZ9862,TESCO PLC,9,"Opera una importante red de tiendas de conveniencia, ofreciendo opciones minoristas accesibles de comestibles y artículos esenciales en comunidades locales.",,,471204140,GBP,TSCO,SMART,STK,False,CO5
consumer and retail,convenience_stores,US0084921008,AGREE REALTY CORP,10,Contribuye al sector de Tiendas de Conveniencia al poseer y arrendar propiedades inmobiliarias esenciales a operadores dentro de la industria.,"El compromiso de Agree Realty con el sector de las tiendas de conveniencia es evidente a través de sus actividades de adquisición, que incluyen específicamente tiendas de conveniencia, con un enfoque en tiendas de conveniencia dominantes en todo el país. La empresa participa activamente en tiendas de conveniencia de gran formato, señalando su creciente cuota de mercado, ya que están quitando cuota a restaurantes de comida rápida, a la parte frontal de las farmacias y a artículos de conveniencia. Las propiedades adquiridas en el primer trimestre se alquilan a operadores en sectores que incluyen tiendas de conveniencia.",,4151,USD,ADC,SMART,STK,True,CO5
