type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
materials and mining,copper_mining,US35671D8570,FREEPORT-MCMORAN INC,1,"Es un productor mundial líder de cobre, opera importantes activos mineros y contribuye sustancialmente al suministro mundial de cobre.","El compromiso de Freeport-McMoRan con el tema de la minería de cobre es sustancial, ya que la empresa tiene como objetivo explícito ser la principal productora de cobre y se identifica como uno de los mayores productores de cobre cotizados en bolsa del mundo. Esto está respaldado por la operación de activos grandes y geográficamente diversos con importantes reservas de cobre, incluido el distrito minero de Grasberg en Indonesia y operaciones en EE. UU. y América del Sur. El enfoque de la empresa en el cobre se demuestra aún más por el hecho de que las ventas de cobre representan una parte significativa de sus ingresos consolidados, y son el productor de cobre dominante en EE. UU., suministrando un gran porcentaje del cobre refinado del país.","[{'name': 'fcx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q324-10-Q.html'}, {'name': 'fcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q125-10-Q.html'}, {'name': 'fcx-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fcx-FY23-10-K.html'}, {'name': 'fcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q225-10-Q.html'}]",7089,USD,FCX,SMART,STK,True,COP
materials and mining,copper_mining,US84265V1052,SOUTHERN COPPER CORP,2,"Opera como un importante productor de cobre, desempeñando un papel crucial en el suministro global del metal a través de sus extensas operaciones mineras.","El negocio de Southern Copper Corporation se centra en la minería de cobre, como lo demuestra su condición de una de las mayores empresas mineras de cobre del mundo con operaciones principalmente en Perú y México. Una parte sustancial de los ingresos de la empresa, como el 77,9 % en el primer trimestre de 2025 y el 74,1 % en el segundo trimestre, se genera a partir de la venta de cobre. El enfoque de la empresa en el cobre se demuestra aún más por su producción de cobre esperada de 968.200 toneladas en 2025, junto con las inversiones en curso en proyectos de minería de cobre como Tía María, El Pilar y Los Chancas, y el proyecto Michiquillay.","[{'name': 'scco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/scco-Q225-10-Q.html'}, {'name': 'scco-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/scco-Q125-10-Q.html'}, {'name': 'scco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/scco-FY24-10-K.html'}]",1812968,USD,SCCO,SMART,STK,False,COP
materials and mining,copper_mining,AU000000BHP4,BHP GROUP LTD,3,"Opera como un importante productor global de cobre, contribuyendo sustancialmente a la cadena de suministro para diversas aplicaciones industriales y tecnológicas.",,,4036812,AUD,BHP,SMART,STK,False,COP
materials and mining,copper_mining,GB0007188757,RIO TINTO PLC,4,"Se enfoca en la exploración, desarrollo y producción de cobre, posicionándose como un proveedor global significativo para diversos sectores industriales.",,,2852762,GBP,RIO,SMART,STK,False,COP
materials and mining,copper_mining,CA3359341052,FIRST QUANTUM MINERALS LTD,5,"Se dedica a la exploración, desarrollo y operación de minas de cobre, contribuyendo significativamente a la producción mundial de cobre.",,,14890726,CAD,FM,SMART,STK,False,COP
materials and mining,copper_mining,GB00BTK05J60,ANGLO AMERICAN PLC,6,"Se dedica a la exploración, minería y procesamiento de cobre, contribuyendo significativamente al suministro global y satisfaciendo la demanda industrial.",,,788708135,GBP,AAL,SMART,STK,False,COP
materials and mining,copper_mining,PLKGHM000017,KGHM POLSKA MIEDZ SA,7,"Se dedica a la extracción y procesamiento de cobre, sirviendo como un productor principal en el mercado global de cobre.",,,13462029,PLN,KGH,WSE,STK,False,COP
materials and mining,copper_mining,GB0000456144,ANTOFAGASTA PLC,8,"Opera como un actor global clave en la minería de cobre, clasificándose entre las principales empresas de la industria.",,,17628566,GBP,ANTO,SMART,STK,False,COP
materials and mining,copper_mining,US6516391066,NEWMONT CORP,9,Incluye operaciones en la extracción y producción de cobre.,"La participación de Newmont en la industria de la minería de cobre es evidente a través de su producción y ventas de cobre, aunque la empresa se enfoca principalmente en el oro. Newmont tiene activos productores de cobre en Red Chris, Boddington y Cadia, siendo Cadia una operación de cobre y oro de Nivel 1, y produjo 36,000 toneladas de cobre en el segundo trimestre. Si bien la empresa se dedica principalmente a la exploración y adquisición de propiedades de oro, algunas de estas propiedades pueden contener cobre, plata, plomo, zinc u otros metales, y las ventas de cobre representaron $354 millones de las ventas totales durante los tres meses finalizados el 31 de marzo de 2025.","[{'name': 'nem-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q125-10-Q.html'}, {'name': 'nem-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q225-10-Q.html'}, {'name': 'nem-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nem-FY24-10-K.html'}, {'name': 'nem-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q324-10-Q.html'}]",10174,USD,NEM,SMART,STK,True,COP
materials and mining,copper_mining,US46578C1080,IVANHOE ELECTRIC INC / US,10,"Se centra en la exploración y desarrollo de yacimientos de cobre, contribuyendo al suministro mundial de este metal crítico.","Los esfuerzos de exploración minera de la empresa se centran significativamente en el cobre, como lo demuestra su Proyecto de Cobre Santa Cruz en Arizona, que encabeza su cartera de proyectos de exploración de metales críticos. La empresa tiene la intención de apoyar la independencia de la cadena de suministro estadounidense encontrando y entregando cobre y otros metales críticos necesarios para la electrificación de la economía. La empresa está evaluando el potencial de una operación minera subterránea moderna de alta ley en el Proyecto Santa Cruz.","[{'name': 'ie-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ie-Q225-10-Q.html'}, {'name': 'ie-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ie-Q125-10-Q.html'}, {'name': 'ie-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ie-FY24-10-K.html'}]",569570281,USD,IE,SMART,STK,False,COP
materials and mining,copper_mining,US7802871084,ROYAL GOLD INC,11,Tiene intereses en la minería de cobre.,"La exposición de Royal Gold al tema de la industria de la minería del cobre proviene de sus flujos de ingresos y adquisiciones estratégicas. Los resultados financieros de la empresa están ligados al precio del cobre, y las ventas de cobre, particularmente del yacimiento Mount Milligan, contribuyen a sus ingresos. Cabe destacar que el cobre representó el 9% de los ingresos de la empresa tanto en 2024 como en 2023. Royal Gold también tiene una Adquisición de Yacimiento de Oro Kansanshi, referenciada a la producción de cobre, y adquirió una regalía sobre el Proyecto Cactus, un proyecto de cobre en zona industrial en Arizona, lo que demuestra aún más su participación en la minería del cobre.","[{'name': 'rgld-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q225-10-Q.html'}, {'name': 'rgld-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q125-10-Q.html'}, {'name': 'rgld-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rgld-FY24-10-K.html'}, {'name': 'rgld-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rgld-Q324-10-Q.html'}]",4817403,USD,RGLD,SMART,STK,True,COP
