symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
FICO,financials,credit_services,US3032501047,FAIR ISAAC CORP,1,Proporciona soluciones de gestión de decisiones y puntuación de crédito estándar en la industria que son esenciales para la evaluación de riesgos y las decisiones de préstamo dentro del sector de servicios de crédito.,"El compromiso de FICO con el tema de la industria de servicios de crédito se ve subrayado por sus operaciones comerciales principales, que giran en torno a la calificación crediticia y servicios relacionados. La puntuación FICO de la empresa es la medida estándar del riesgo crediticio en los EE. UU., y su segmento de Puntuaciones proporciona puntuaciones crediticias predictivas a empresas y consumidores a través de soluciones como myFICO.com. FICO fomenta la inclusión financiera a nivel mundial, como lo demuestra la puntuación FICO específica de Kenia y las asociaciones con organizaciones como TransUnion.","[{'name': 'fico-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fico-Q225-10-Q.html'}, {'name': 'fico-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fico-Q125-10-Q.html'}, {'name': 'fico-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fico-FY24-10-K.html'}, {'name': 'fico-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fico-Q325-10-Q.html'}]",269280,USD,SMART,STK,True,CRE
EFX,financials,credit_services,US2944291051,EQUIFAX INC,2,"Proporciona servicios integrales de informes de crédito, puntuación y análisis, esenciales para que los prestamistas, las empresas y los consumidores gestionen el riesgo financiero y tomen decisiones crediticias informadas.","La participación de Equifax en servicios de crédito es evidente a través de sus extensas bases de datos de información de consumidores y empresas, que incluyen datos de crédito. El segmento USIS ofrece soluciones de información en línea, que incluyen informes y puntuación de crédito de consumidores y comerciales, así como software analítico y de toma de decisiones que facilita las decisiones orientadas al crédito. Equifax ha lanzado soluciones innovadoras, como una solución hipotecaria que combina datos de ingresos y empleo con archivos de crédito, y está desarrollando soluciones de crédito adicionales impulsadas por TWN para préstamos de automóviles y personales. Además, Equifax apoya el acceso a la vivienda manteniendo el uso de informes de crédito tri-merge y está comprometida a ayudar a expandir el acceso de los consumidores al crédito y a ayudar a los prestamistas a mitigar el riesgo a través de la toma de decisiones basada en datos.","[{'name': 'efx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/efx-Q324-10-Q.html'}, {'name': 'efx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/efx-Q125-10-Q.html'}, {'name': 'efx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/efx-Q225-10-Q.html'}, {'name': 'efx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/efx-FY24-10-K.html'}]",6735,USD,SMART,STK,True,CRE
MCO,financials,credit_services,US6153691059,MOODY'S CORP,3,"Proporciona calificaciones crediticias, investigación y análisis de riesgos esenciales, formando un componente fundamental de los mercados crediticios mundiales y la toma de decisiones financieras.","Moody's participa significativamente en servicios de crédito tanto a través de Moody's Investors Service (MIS) como de Moody's Analytics (MA). MIS es un proveedor líder de calificaciones crediticias, investigación y análisis de riesgos, que ofrece servicios de evaluación sobre una amplia gama de obligaciones de deuda a nivel mundial y contribuye con mil millones de dólares en ingresos este trimestre. MA apoya los flujos de trabajo bancarios con soluciones SaaS basadas en la nube e incluye soluciones KYC, lo que refleja un mayor uso de datos de riesgo de clientes y proveedores, y también aprovecha su experiencia en la industria en múltiples riesgos, como el crédito. La empresa también se asocia con MSCI para proporcionar puntuaciones de crédito de terceros sobre miles de empresas de crédito privadas y préstamos, lo que demuestra su inversión en la evolución de los mercados y la satisfacción de las necesidades de inversores y gestores de activos.","[{'name': 'mco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mco-Q225-10-Q.html'}, {'name': 'mco-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mco-Q125-10-Q.html'}, {'name': 'mco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mco-FY24-10-K.html'}, {'name': 'mco-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mco-Q324-10-Q.html'}]",6497,USD,SMART,STK,True,CRE
TRU,financials,credit_services,US89400J1079,TRANSUNION,4,"Proporciona servicios integrales de informes crediticios, gestión de riesgos y soluciones de información a empresas y consumidores, facilitando decisiones y transacciones financieras informadas dentro de la industria de servicios de crédito.","La participación de TransUnion en Servicios de Crédito está profundamente arraigada en su herencia como agencia de informes de crédito, una base sobre la cual ha construido sólidas bases de datos de información para una gran parte de la población adulta en sus mercados. La empresa proporciona informes de consumidores, información procesable y análisis a las empresas, lo que les permite evaluar la capacidad de los consumidores para pagar y gestionar el riesgo de la cartera de deuda. El segmento de Mercados de EE. UU. de TransUnion se enfoca específicamente en proporcionar informes de consumidores, mientras que la empresa también desarrolla soluciones para identificar a los consumidores que disputan líneas de crédito comerciales al reclamar falsamente ser víctimas de fraude, lo que representa una oportunidad de venta cruzada dentro de su base de clientes de crédito.","[{'name': 'tru-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tru-FY24-10-K.html'}, {'name': 'tru-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tru-Q225-10-Q.html'}]",198051403,USD,SMART,STK,True,CRE
JPM,financials,credit_services,US46625H1005,JPMORGAN CHASE & CO,5,"Proporciona amplios servicios de crédito, que incluyen una amplia gama de préstamos, tarjetas de crédito y soluciones de financiamiento, a individuos, empresas y clientes institucionales en todo el mundo.",,,1520593,USD,SMART,STK,True,CRE
BAC,financials,credit_services,US0605051046,BANK OF AMERICA CORP,6,"Proporciona una amplia gama de servicios de crédito, que incluyen préstamos al consumidor y comerciales, tarjetas de crédito y soluciones de financiación, a particulares y empresas.",,,10098,USD,SMART,STK,True,CRE
SPGI,financials,credit_services,US78409V1044,S&P GLOBAL INC,7,"Proporciona calificaciones crediticias, puntos de referencia y análisis esenciales que sustentan los mercados mundiales de capital y materias primas, facilitando la toma de decisiones financieras informadas y la evaluación de riesgos.","La participación de S&P Global en servicios de crédito es evidente a través de la provisión de calificaciones crediticias, benchmarks, análisis y soluciones de flujo de trabajo dentro de los mercados globales de capital, materias primas y automoción. La empresa ofrece una variedad de productos en mercados privados, incluyendo calificaciones de CLO del mercado medio, calificaciones de fondos, calificaciones de crédito estructurado, calificaciones de entidades, estimaciones de crédito y análisis de crédito privado. Además, S&P Global Ratings es un proveedor independiente de calificaciones crediticias, investigación y análisis, que ofrece a los inversores información, calificaciones y benchmarks. El crecimiento en Credit & Risk Solutions también está impulsado por la demanda de fuentes de datos de calificaciones que satisfagan las necesidades de digitalización y automatización de los clientes.","[{'name': 'spgi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q125-10-Q.html'}]",229629397,USD,SMART,STK,True,CRE
C,financials,credit_services,US1729674242,CITIGROUP INC,8,"Un proveedor líder de servicios de crédito, que ofrece una completa gama de tarjetas de crédito, préstamos y soluciones financieras a consumidores y empresas a nivel mundial.",,,87335484,USD,SMART,STK,True,CRE
SAN,financials,credit_services,ES0113900J37,BANCO SANTANDER SA,9,"Proporciona un conjunto completo de productos y servicios de crédito, que incluyen préstamos al consumidor, hipotecas y financiación corporativa, sirviendo a una vasta base de clientes global.",,,30314144,EUR,SMART,STK,False,CRE
HSBA,financials,credit_services,GB0005405286,HSBC HOLDINGS PLC,10,"Ofrece amplios servicios de crédito que abarcan préstamos al consumidor y corporativos, emisión de tarjetas de crédito y soluciones de financiación comercial en su red internacional.",,,909083,GBP,SMART,STK,False,CRE
COF,financials,credit_services,US14040H1059,CAPITAL ONE FINANCIAL CORP,11,"Proporciona una suite integral de productos de tarjetas de crédito, préstamos para automóviles y servicios bancarios, facilitando el acceso al crédito para consumidores y empresas.",,,5941,USD,SMART,STK,True,CRE
AXP,financials,credit_services,US0258161092,AMERICAN EXPRESS CO,12,"Proporciona una red global de pagos y emite tarjetas de crédito y débito a consumidores y empresas, facilitando transacciones y ofreciendo diversos productos financieros.",,,4721,USD,SMART,STK,True,CRE
FNMA,financials,credit_services,US3135861090,FANNIE MAE,13,"Proporciona liquidez y estabilidad al mercado hipotecario residencial de EE. UU., facilitando el acceso al crédito para compradores y arrendatarios de viviendas mediante la compra y titularización de hipotecas.","Las actividades de Fannie Mae están relacionadas con la evaluación del riesgo crediticio, la elegibilidad de préstamos basada en puntajes de crédito y el uso de Desktop Underwriter (DU) para la suscripción automatizada. Los puntajes de crédito se utilizan para establecer un umbral de crédito mínimo para la concesión de hipotecas, proporcionar una base para la fijación de precios basada en el riesgo y respaldar las divulgaciones a los inversores. Para los préstamos hipotecarios unifamiliares, las tarifas iniciales incluyen tarifas basadas en el riesgo que varían según los atributos del préstamo y el prestatario, como el tamaño del préstamo, la relación LTV y el puntaje de crédito del prestatario.","[{'name': 'fnma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnma-Q225-10-Q.html'}, {'name': 'fnma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnma-FY24-10-K.html'}]",7278,USD,SMART,STK,False,CRE
BNP,financials,credit_services,FR0000131104,BNP PARIBAS,14,"Proporciona un conjunto integral de servicios de crédito, que abarca diversos productos de préstamos y soluciones de financiación tanto para particulares como para empresas.",,,29612163,EUR,SMART,STK,False,CRE
BARC,financials,credit_services,GB0031348658,BARCLAYS PLC,15,"Ofrece amplios servicios de crédito, que incluyen tarjetas de crédito al consumidor, préstamos personales y soluciones de financiación corporativa, dirigidos tanto a clientes individuales como a empresas.",,,908940,GBP,SMART,STK,False,CRE
AFRM,financials,credit_services,US00827B1061,AFFIRM HOLDINGS INC,16,"Ofrece soluciones de ""compra ahora, paga después"", proporcionando a los consumidores opciones de crédito flexibles para compras en diversos comercios.","La participación de Affirm en los servicios de crédito es evidente en sus operaciones principales, ya que la empresa suscribe cada transacción utilizando un modelo de riesgo propietario para evaluar la solvencia crediticia y gestionar el riesgo. Esto implica evaluar la solvencia crediticia a través de su proceso de suscripción y utilizar modelos para determinar el riesgo asociado con el préstamo a los consumidores, reservándose el derecho de rechazar transacciones consideradas demasiado arriesgadas. Affirm también informa datos de préstamos a las agencias de crédito, ayudando a los consumidores a construir su historial crediticio al tiempo que se centra en la precisión de los datos. Además, Affirm dedica recursos a monitorear el rendimiento crediticio y optimizar su suscripción para gestionar el pago de préstamos al consumidor, aumentar las cobranzas y minimizar las pérdidas.","[{'name': 'afrm-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/afrm-FY25-10-K.html'}]",465119069,USD,SMART,STK,False,CRE
DBK,financials,credit_services,DE0005140008,DEUTSCHE BANK AG-REGISTERED,17,"Proporciona una amplia gama de productos y servicios de crédito a clientes corporativos, institucionales y privados a nivel mundial, facilitando la financiación y la gestión del riesgo crediticio.",,,14121,EUR,SMART,STK,False,CRE
OMF,financials,credit_services,US68268W1036,ONEMAIN HOLDINGS INC,18,"Ofrece una variedad de servicios de crédito, ofreciendo principalmente préstamos personales a los clientes, lo que contribuye a la accesibilidad de las finanzas del consumidor.","El compromiso de OneMain Financial con los Servicios de Crédito es evidente a través de su oferta de préstamos personales, tarjetas de crédito BrightWay y OneMain Auto, atendiendo a más de 3.4 millones de clientes. La empresa enfatiza la construcción de un negocio de tarjetas de crédito resiliente y una plataforma de financiación de automóviles de primer nivel. OneMain monitorea el estado de morosidad de las cuentas por cobrar financieras, ofrece programas de asistencia a los prestatarios y utiliza análisis de datos para gestionar el crédito e impulsar el crecimiento en préstamos de mayor calidad. Además, la empresa está buscando activamente oportunidades para expandir y mejorar su negocio de tarjetas de crédito, incluida la exploración de la creación de una compañía de préstamos industriales.","[{'name': 'omf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/omf-Q125-10-Q.html'}, {'name': 'omf-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/omf-Q225-10-Q.html'}]",212990433,USD,SMART,STK,False,CRE
PYPL,financials,credit_services,US70450Y1038,PAYPAL HOLDINGS INC,19,"Ofrece diversas soluciones de crédito y financiación, incluyendo planes de pago a plazos 'Paga en 4' y PayPal Credit, permitiendo a los consumidores gestionar compras y ofreciendo capital de trabajo a los comerciantes.",,,199169591,USD,SMART,STK,True,CRE
ALLY,financials,credit_services,US02005N1000,ALLY FINANCIAL INC,20,"Proporciona un conjunto completo de servicios de crédito, que incluyen financiamiento automotriz para consumidores, hipotecas y préstamos comerciales, sirviendo como un proveedor significativo de soluciones financieras para individuos y empresas.","Ally participa en servicios de crédito a través de su negocio de financiación de automóviles, lo que se demuestra por su uso de la toma de decisiones crediticias y su enfoque en diferentes niveles de calidad crediticia en la originación de préstamos para automóviles. La empresa gestiona el riesgo crediticio a través de mejoras en la suscripción, el seguimiento del rendimiento crediticio y transferencias de riesgo crediticio. Ally origina préstamos en diferentes niveles de calidad crediticia, con una parte significativa de las originaciones proveniente del nivel de calidad crediticia más alto, y registra nuevos préstamos para automóviles minoristas a tasa fija.",,148233980,USD,SMART,STK,True,CRE
RKT,financials,credit_services,US77311W1018,ROCKET COS INC-CLASS A,21,"Es un proveedor importante de servicios de crédito, principalmente a través de sus operaciones de originación y administración de hipotecas.",,,438058842,USD,SMART,STK,False,CRE
UPST,financials,credit_services,US91680M1071,UPSTART HOLDINGS INC,22,Proporciona una plataforma de préstamos con IA que se asocia con bancos y cooperativas de crédito para mejorar la evaluación crediticia y la originación de préstamos dentro de la industria de servicios crediticios.,"El negocio de Upstart se centra en la prestación de servicios de crédito a través de su plataforma de préstamos con IA, que se utiliza para evaluar la solvencia crediticia y facilitar la originación de préstamos. La empresa aplica modelos de IA para suscribir crédito al consumidor, mejorar la precisión de las decisiones crediticias y reducir las pérdidas. Upstart también cobra tarifas de servicio por las actividades realizadas durante el plazo del préstamo, como la cobranza, el procesamiento y la presentación de informes a los inversores. La empresa considera que el rendimiento crediticio de los préstamos impulsados por Upstart es una de las medidas más importantes de la efectividad de sus modelos de IA.","[{'name': 'upst-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/upst-Q125-10-Q.html'}]",460492620,USD,SMART,STK,False,CRE
GS,financials,credit_services,US38141G1040,GOLDMAN SACHS GROUP INC,23,"Ofrece servicios de crédito integrales, que incluyen préstamos y diversos productos de crédito, a su diversa base de clientes.",,,4627828,USD,SMART,STK,True,CRE
SYF,financials,credit_services,US87165B1035,SYNCHRONY FINANCIAL,24,"Proporciona una amplia gama de productos y servicios de crédito, incluidas tarjetas de crédito de marca privada y financiación al consumidor, para facilitar el poder adquisitivo de los consumidores y apoyar a los socios minoristas.",,,162231797,USD,SMART,STK,True,CRE
BFH,financials,credit_services,US0185811082,BREAD FINANCIAL HOLDINGS INC,25,Se enfoca en proporcionar productos de crédito y servicios financieros a consumidores y minoristas.,"El enfoque de Bread Financial en los servicios de crédito es evidente en su gestión del riesgo crediticio, modelos de suscripción y monitoreo de la salud crediticia del consumidor. La empresa monitorea activamente los patrones de salud del consumidor, compra y pago, ajustando las estrategias de crédito para lograr rendimientos ajustados al riesgo líderes en la industria. Los modelos de suscripción segmentados de Bread Financial incorporan datos de rendimiento recientes, variables macroeconómicas y escenarios de estrés. La llamada de resultados de la empresa también destaca el rendimiento crediticio, las estrategias y las acciones de endurecimiento.",,12362013,USD,SMART,STK,True,CRE
NAVI,financials,credit_services,US63938C1080,NAVIENT CORP,26,"Ofrece servicios de crédito principalmente a través de la originación, administración y gestión de activos de préstamos estudiantiles.",,,148782986,USD,SMART,STK,True,CRE
ENVA,financials,credit_services,US29357K1034,ENOVA INTERNATIONAL INC,27,Proporciona servicios y soluciones dentro de la industria de servicios de crédito.,"La participación de Enova en la industria de servicios de crédito se demuestra a través de la operación de un programa de Organización de Servicios de Crédito (CSO), principalmente en Texas. A través de este programa, Enova brinda servicios relacionados con productos de préstamos al consumidor de prestamistas externos, actuando como una organización de servicios de crédito o negocio de acceso a crédito en nombre de los consumidores, incluyendo la gestión de préstamos y la asistencia en la preparación de solicitudes y documentos de préstamos. Si bien el programa CSO refleja la participación de Enova en servicios de crédito, no parece ser un enfoque principal ni un importante generador de ingresos para la empresa.","[{'name': 'enva-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enva-Q225-10-Q.html'}, {'name': 'enva-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enva-Q125-10-Q.html'}, {'name': 'enva-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enva-Q324-10-Q.html'}]",171878394,USD,SMART,STK,True,CRE
SLM,financials,credit_services,US78442P1066,SLM CORP,28,"Proporciona servicios de crédito, centrándose principalmente en la originación y el servicio de préstamos privados para educación a estudiantes y sus familias.",,,12211,USD,SMART,STK,True,CRE
SOFI,financials,credit_services,US83406F1021,SOFI TECHNOLOGIES INC,29,Se dedica a la prestación de Servicios de Crédito.,,,494162724,USD,SMART,STK,False,CRE
