type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,data_analysis,US5949181045,MICROSOFT CORP,1,"Proporciona un conjunto completo de soluciones basadas en la nube y locales para el procesamiento de datos, el análisis y la inteligencia empresarial, lo que permite a las organizaciones obtener información y tomar decisiones basadas en datos.","El compromiso de Microsoft con el análisis de datos es evidente a través del desarrollo y la adopción de Microsoft Fabric, una plataforma integral que integra diversas cargas de trabajo de datos como el almacenamiento de datos, la ciencia de datos y la inteligencia en tiempo real, junto con Power BI. La plataforma está diseñada para la era de la IA, conectando cargas de trabajo de análisis SQL y no SQL, y es también el producto de base de datos de más rápido crecimiento en la historia de Microsoft. Esto se ve reforzado por la profunda integración de la plataforma de IA de Microsoft con su pila de datos, demostrada por el creciente número de clientes de pago de Microsoft Fabric.","[{'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,DA1
technology,data_analysis,US02079K3059,ALPHABET INC-CL A,2,"Desarrolla y proporciona plataformas y herramientas líderes para el procesamiento, análisis y obtención de información de datos, lo que permite a empresas e individuos obtener valor de grandes conjuntos de datos e impulsar la toma de decisiones informadas.","La participación de Google en el análisis de datos es evidente a través de su Plataforma de Google Cloud (GCP), que proporciona acceso a soluciones de análisis de datos. La empresa genera ingresos a través de GCP, que incluye análisis de datos, y está invirtiendo en infraestructura técnica, como servidores, equipos de red y construcción de centros de datos, para respaldar las actividades comerciales en curso, incluida la IA. Los ingresos de Google Cloud se derivan de Google Cloud Platform, que ofrece tarifas basadas en el consumo y suscripciones para infraestructura, plataforma y otros servicios, incluidos datos y análisis.","[{'name': 'googl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q125-10-Q.html'}, {'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}, {'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}, {'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}]",208813719,USD,GOOGL,SMART,STK,True,DA1
technology,data_analysis,US67066G1040,NVIDIA CORP,3,"Proporciona plataformas informáticas esenciales aceleradas por GPU que potencian cargas de trabajo avanzadas de análisis de datos, aprendizaje automático e inteligencia artificial en diversas industrias.","La participación de NVIDIA en el análisis de datos es evidente a través de sus plataformas para ciencia de datos, soluciones de IA y computación acelerada. El crecimiento de los ingresos de la empresa está impulsado significativamente por plataformas de computación y redes para centros de datos diseñadas para computación acelerada e IA, con la plataforma de computación GPU Hopper desempeñando un papel crucial en el entrenamiento e inferencia para modelos de lenguaje grandes, motores de recomendación y aplicaciones de IA generativa. NVIDIA ha aprovechado su arquitectura GPU para crear plataformas para computación científica, IA y ciencia de datos, lo que indica los esfuerzos estratégicos de la empresa en estos campos computacionalmente intensivos. La demanda de la plataforma Hopper para entrenamiento e inferencia subraya aún más la participación de NVIDIA en el análisis de datos.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,NVDA,SMART,STK,True,DA1
technology,data_analysis,IE00B4BNMY34,ACCENTURE PLC-CL A,4,"Proporciona amplios servicios de consultoría y tecnología para ayudar a los clientes a aprovechar el análisis de datos para la toma de decisiones estratégicas y la transformación digital, impulsando la innovación y la eficiencia en todas las industrias.","Accenture enfatiza sus capacidades en análisis de datos, destacando su combinación de tecnología y liderazgo en la nube, datos e IA para ayudar a los clientes a construir su núcleo digital y optimizar las operaciones. Los ingresos por consultoría de la empresa se impulsan significativamente al ayudar a los clientes con transformaciones digitales lideradas por tecnología, datos e IA. Accenture participa activamente en la modernización de los entornos de datos de los clientes, unificando datos de sistemas heredados en núcleos digitales basados en la nube y ayudándoles a preparar datos para escalar la IA en sus empresas. Además, Accenture cuenta con un número sustancial de profesionales de IA y datos y está unificando datos de numerosos sistemas heredados en un único núcleo digital basado en la nube para los clientes.","[{'name': 'acn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q125-10-Q.html'}, {'name': 'acn-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q325-10-Q.html'}, {'name': 'acn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q225-10-Q.html'}, {'name': 'acn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/acn-FY24-10-K.html'}]",67889930,USD,ACN,SMART,STK,True,DA1
technology,data_analysis,US79466L3024,SALESFORCE INC,5,"Ofrece una plataforma integral que integra profundamente el análisis de datos para proporcionar información sobre los clientes, personalizar experiencias y optimizar los procesos de negocio para sus usuarios.","El compromiso de Salesforce con el análisis de datos es evidente a través de sus diversas iniciativas y ofertas de servicios. La empresa enfatiza la conexión con los clientes a través de los datos, ofreciendo 'Integración y Análisis' como un servicio clave que incluye Mulesoft y Tableau. La plataforma de Salesforce une a los equipos de ventas, servicio, marketing, comercio y TI al conectar los datos de los clientes a través de sistemas, aplicaciones y dispositivos para crear una visión integral del cliente, integrando IA para mejorar la capacidad de respuesta y ofrecer experiencias personalizadas. Además, Salesforce destaca el impulso de Data Cloud y la adquisición de Informatica, una plataforma de gestión de datos en la nube empresarial impulsada por IA, lo que demuestra una inversión continua en capacidades de análisis de datos para mejorar la precisión de sus agentes de IA y proporcionar información valiosa sobre los clientes.","[{'name': 'crm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q325-10-Q.html'}, {'name': 'crm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q225-10-Q.html'}, {'name': 'crm-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q126-10-Q.html'}, {'name': 'crm-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crm-FY25-10-K.html'}]",29624264,USD,CRM,SMART,STK,True,DA1
technology,data_analysis,US0231351067,AMAZON.COM INC,6,"Proporciona un conjunto integral de servicios de análisis de datos basados en la nube a través de AWS, lo que permite a las empresas almacenar, procesar, analizar y visualizar grandes conjuntos de datos para obtener información y tomar decisiones.",,,3691937,USD,AMZN,SMART,STK,True,DA1
technology,data_analysis,US91324P1021,UNITEDHEALTH GROUP INC,7,"Aprovecha datos extensos de atención médica y análisis avanzados para mejorar la prestación de atención, mejorar los resultados de los pacientes y optimizar la eficiencia operativa en sus diversos negocios de servicios de salud y seguros.","UnitedHealth Group aprovecha el análisis de datos en diversas facetas operativas. La empresa utiliza información basada en datos para interactuar con socios estatales, abogando por ajustes de tarifas oportunos y empleando IA para refinar los procesos de pronóstico y toma de decisiones. Además, UnitedHealth Group utiliza métricas para evaluar segmentos informables y compromete a las partes interesadas con estrategias basadas en datos para gestionar los costos de atención médica, así como para escalar los esfuerzos de IA en las operaciones de los planes de salud para mejorar las experiencias de servicio e impulsar el ahorro de costos. La empresa también emplea herramientas modernas y tecnologías emergentes como la IA para impulsar ganancias de eficiencia.","[{'name': 'unh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/unh-Q324-10-Q.html'}]",13272,USD,UNH,SMART,STK,True,DA1
technology,data_analysis,IE000JMT8VI3,NIQ GLOBAL INTELLIGENCE PLC,8,"Ocupa una posición de prominencia global dentro del tema de Análisis de Datos, lo que indica su contribución significativa al sector.","El compromiso de la empresa con el Análisis de Datos es evidente en su modelo de negocio principal, que gira en torno a un ecosistema integral que integra datos propietarios, tecnología y sofisticadas aplicaciones de software y soluciones de análisis. Este ecosistema, denominado Ecosistema NIQ, aprovecha la tecnología impulsada por IA para agregar y armonizar datos de compras de consumidores, ofreciendo una visión global y omnicanal del comportamiento del consumidor. Subrayando aún más este enfoque, las soluciones de Activación de la empresa incluyen investigación analítica personalizada y modelos predictivos, solidificando su posición como líder en la medición, análisis y predicción del comportamiento del consumidor a través de la inteligencia de datos y el análisis de mercado.","[{'name': 'niq-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/niq-Q225-10-Q.html'}]",801299795,USD,NIQ,SMART,STK,False,DA1
technology,data_analysis,US8334451098,SNOWFLAKE INC,9,"Ofrece una plataforma de datos nativa de la nube diseñada para consolidar, procesar y analizar diversos conjuntos de datos, empoderando a las organizaciones con información crítica para el análisis de datos.","La participación de Snowflake en el análisis de datos es evidente en su plataforma AI Data Cloud, que permite a los clientes consolidar datos en una fuente unificada para obtener información procesable. Las soluciones de la compañía facilitan las operaciones críticas, permitiendo a los clientes obtener mejores conocimientos, mejorar el rendimiento de las máquinas y optimizar los procesos de producción. Por ejemplo, Dentsu, una agencia de marketing global, ha reducido significativamente los costos y mejorado las campañas de marketing personalizadas al aprovechar el Data Clean Room de Snowflake. Además, Snowflake ha creado 'ninjas de IA' dedicados para apoyar a los equipos de ventas en la promoción de casos de uso de IA, lo que demuestra un compromiso para avanzar en las capacidades de análisis de datos para su clientela.","[{'name': 'snow-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/snow-Q126-10-Q.html'}, {'name': 'snow-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/snow-FY25-10-K.html'}]",444884769,USD,SNOW,SMART,STK,True,DA1
technology,data_analysis,US78409V1044,S&P GLOBAL INC,10,"Aprovecha extensos conjuntos de datos y capacidades analíticas avanzadas para ofrecer información e inteligencia críticas en los mercados financieros globales, lo que permite una toma de decisiones informada.","La participación de S&P Global en el análisis de datos es evidente a través de sus diversos segmentos de negocio. Market Intelligence es un proveedor global de datos y análisis multi-clase de activos integrados con soluciones de flujo de trabajo especialmente diseñadas que ayudan a los profesionales de trading e inversión, agencias gubernamentales, corporaciones y universidades a rastrear el rendimiento, generar alfa, identificar ideas de inversión, comprender la dinámica competitiva y de la industria, realizar valoraciones y gestionar el riesgo crediticio. La empresa proporciona calificaciones crediticias, benchmarks, análisis y soluciones de flujo de trabajo en los mercados globales de capital, materias primas y automotriz. Además, el segmento de Datos, Análisis e Insights reportó crecimiento de ingresos, lo que demuestra la importancia del análisis de datos para la empresa.","[{'name': 'spgi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/spgi-FY24-10-K.html'}, {'name': 'spgi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q125-10-Q.html'}, {'name': 'spgi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q225-10-Q.html'}, {'name': 'spgi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spgi-Q324-10-Q.html'}]",229629397,USD,SPGI,SMART,STK,True,DA1
