type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
other,data_centers,US29444U7000,EQUINIX INC,1,"Opera una vasta red global de centros de datos interconectados, proporcionando infraestructura y servicios esenciales para negocios digitales y plataformas en la nube en todo el mundo.","Equinix opera una plataforma global de centros de datos, ofreciendo soluciones de interconexión y edge con un enfoque en servicios neutrales para proveedores. El negocio principal de la empresa gira en torno a sus centros de datos IBX, que proporcionan alojamiento seguro para equipos de TI críticos y permiten conexiones a redes, nubes y contenido. Equinix está expandiendo activamente su huella de centros de datos a través de nuevas aperturas de IBX, adquisiciones e inversiones en xScale, con numerosos proyectos en curso en varios países. Esta expansión está impulsada por la demanda de los clientes, particularmente en relación con la adopción de IA, y está respaldada por importantes compromisos de gasto de capital.","[{'name': 'eqix-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqix-Q324-10-Q.html'}, {'name': 'eqix-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqix-Q125-10-Q.html'}, {'name': 'eqix-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eqix-Q225-10-Q.html'}, {'name': 'eqix-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqix-FY24-10-K.html'}]",181764593,USD,EQIX,SMART,STK,True
other,data_centers,US2538681030,DIGITAL REALTY TRUST INC.,2,"Posee, opera y desarrolla una cartera global de centros de datos, proporcionando infraestructura esencial para servicios digitales y computación en la nube.","La fuerte conexión de Digital Realty con el tema de los Centros de Datos es evidente a través de sus operaciones comerciales principales. La empresa se identifica explícitamente como un proveedor global líder de soluciones de centros de datos, colocation e interconexión, que ofrece soluciones integrales de espacio, energía y conectividad. Digital Realty se dirige a propiedades ubicadas estratégicamente con infraestructura física y de conectividad para dar soporte a clientes de centros de datos y de la industria tecnológica. El enfoque de la empresa se demuestra aún más por su inversión en la expansión de la capacidad de los centros de datos, incluida la formación de un fondo de centros de datos hiperscalables en EE. UU. para respaldar importantes inversiones en centros de datos hiperscalables.","[{'name': 'dlr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlr-Q125-10-Q.html'}, {'name': 'dlr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlr-Q324-10-Q.html'}, {'name': 'dlr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlr-Q225-10-Q.html'}, {'name': 'dlr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dlr-FY24-10-K.html'}]",31832526,USD,DLR,SMART,STK,True
other,data_centers,US67066G1040,NVIDIA CORP,3,"Proporciona plataformas de computación acelerada y soluciones de red que son críticas para potenciar la inteligencia artificial, la computación de alto rendimiento y las cargas de trabajo empresariales dentro de centros de datos avanzados.","La participación de NVIDIA en el tema de los centros de datos es significativa, como lo demuestra el hecho de que el crecimiento de los ingresos se ve impulsado consistentemente por plataformas de cómputo y redes de centros de datos diseñadas para computación acelerada y soluciones de IA. Los ingresos de centros de datos de la empresa han experimentado un crecimiento sustancial año tras año y secuencial, impulsado por la demanda de sus plataformas de cómputo de GPU Hopper y Blackwell. NVIDIA enfatiza el papel crucial de los centros de datos en el apoyo a la construcción de infraestructura de IA, y las plataformas de la empresa son centrales para la modernización de los centros de datos y la ampliación de las fábricas de IA, incluido el desarrollo de tecnologías como Ethernet Spectrum-XGS para unificar los centros de datos en superfábricas de IA a escala gigabyte.","[{'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}]",4815747,USD,NVDA,SMART,STK,True
other,data_centers,US5949181045,MICROSOFT CORP,4,Impulsa la expansión y el avance tecnológico de la industria de centros de datos mediante la construcción y operación de una vasta red global para ofrecer sus servicios de nube a hiperescala y capacidades de inteligencia artificial.,"La participación de Microsoft en los centros de datos es significativa, como lo demuestra su continua expansión. La empresa ha abierto centros de datos en varios países de varios continentes y cuenta con más de 400 centros de datos en numerosas regiones, superando a cualquier otro proveedor de la nube. Microsoft también ha establecido múltiples gigavatios de nueva capacidad y continúa escalando su capacidad de centros de datos más rápido que cualquier competidor para satisfacer las necesidades cambiantes de sus clientes, especialmente con la creciente demanda de servicios de IA. Esta expansión está respaldada por importantes gastos de capital y compromisos de compra relacionados con los centros de datos, lo que refleja una prioridad estratégica para Microsoft.","[{'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/msft-FY25-10-K.html'}]",272093,USD,MSFT,SMART,STK,True
other,data_centers,US02079K3059,ALPHABET INC-CL A,5,"Opera e invierte continuamente en una vasta red global de centros de datos para potenciar sus servicios en la nube, iniciativas de inteligencia artificial y diversos productos de Internet, sirviendo a una base de usuarios masiva y a clientes empresariales.","El compromiso de Google con el tema de los centros de datos es evidente a través de sus importantes inversiones en esta área. La empresa invierte en terrenos y edificios para centros de datos, oficinas y activos de TI, utilizando tanto la compra de propiedades como acuerdos de arrendamiento para expandir su capacidad. Una parte sustancial del gasto de capital de Google se asigna a la infraestructura técnica, específicamente servidores, equipos de red y construcción de centros de datos, lo que apoya las actividades comerciales en curso, incluida la IA. Además, Google opera una red global líder de centros de datos y regiones en la nube optimizados para IA, lo que demuestra la importancia estratégica de estas instalaciones para sus operaciones generales e iniciativas a largo plazo.","[{'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}, {'name': 'googl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q125-10-Q.html'}, {'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}]",208813719,USD,GOOGL,SMART,STK,True
other,data_centers,US0231351067,AMAZON.COM INC,6,"Opera una vasta red global de centros de datos a través de Amazon Web Services (AWS) para proporcionar servicios escalables de computación en la nube, impulsando la innovación y la expansión en la infraestructura de centros de datos.","La participación de Amazon en los centros de datos es evidente a través de sus inversiones en infraestructura, que incluyen gastos en servidores, equipos de red y operaciones de centros de datos para dar soporte tanto a AWS como a otros negocios de Amazon. La empresa se centra en la optimización de centros de datos como parte de su estrategia más amplia, y estas instalaciones incurren en costos relacionados con la depreciación, amortización, alquiler y servicios públicos. Si bien los centros de datos son cruciales para respaldar el crecimiento de AWS, no hay ingresos específicos atribuidos directamente a las operaciones de centros de datos, ni evidencia de tecnología u operaciones únicas de centros de datos.","[{'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}]",3691937,USD,AMZN,SMART,STK,True
other,data_centers,US4581401001,INTEL CORP,7,"Un proveedor importante de unidades centrales de procesamiento (CPU) y otras tecnologías esenciales para potenciar la computación en la nube, los servidores empresariales y la infraestructura de centros de datos a gran escala.","La participación de Intel en el tema de los centros de datos es evidente a través de su grupo de Centros de Datos e IA (DCAI), que proporciona soluciones de computación de alto rendimiento e infraestructura que soportan centros de datos, proveedores de nube y empresas. Los procesadores Xeon de la empresa, incluido el Xeon 6, están diseñados para abordar las diversas cargas de trabajo y despliegues en entornos de centros de datos, y la familia Xeon ofrece CPUs específicamente para este sector. Intel mantiene una sólida posición en nodos anfitriones de IA y almacenamiento dentro de servidores tradicionales, impulsada por la demanda hiperscalable de CPUs anfitrionas en servidores de IA y cómputo de almacenamiento, y está construyendo activamente arquitectura a escala de rack, reconociendo la óptica como un componente crítico.","[{'name': 'intc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q225-10-Q.html'}, {'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}, {'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}]",270639,USD,INTC,SMART,STK,True
other,data_centers,US0079031078,ADVANCED MICRO DEVICES,8,Desarrolla soluciones de computación de alto rendimiento y gráficos críticas para potenciar la infraestructura moderna de centros de datos y cargas de trabajo avanzadas.,"El compromiso de AMD con el tema de Centros de Datos es significativo, destacado por sustanciales contribuciones de ingresos y ofertas de productos estratégicas. El segmento de Centros de Datos de la empresa ha mostrado un crecimiento considerable, con un aumento del 94% en los ingresos hasta los 12.600 millones de dólares en 2024, impulsado por las sólidas ventas de GPUs AMD Instinct y CPUs EPYC. Además, AMD proporciona un conjunto completo de productos adaptados para centros de datos, que incluyen aceleradores de IA, CPUs, GPUs, DPUs y FPGAs. Este compromiso se ve subrayado por la adquisición de ZT Systems, destinada a mejorar la capacidad de AMD para ofrecer soluciones de IA de extremo a extremo y acelerar el despliegue de infraestructura de IA optimizada para la nube.","[{'name': 'amd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q225-10-Q.html'}, {'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}, {'name': 'amd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amd-FY24-10-K.html'}, {'name': 'amd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q125-10-Q.html'}]",4391,USD,AMD,SMART,STK,True
other,data_centers,US68389X1054,ORACLE CORP,9,"Proporciona software de base de datos esencial, aplicaciones empresariales y servicios de infraestructura en la nube que son fundamentales para la operación y optimización de centros de datos globales.","El compromiso de Oracle con el tema de los Centros de Datos es evidente a través de sus inversiones estratégicas e iniciativas de expansión. La empresa está aumentando significativamente su capacidad de centros de datos y estableciendo nuevas instalaciones en diversas ubicaciones geográficas para satisfacer la creciente demanda de los clientes de servicios en la nube. Esta expansión incluye un plan de gastos de capital sustancial, con la mayoría de las inversiones dirigidas a equipos que generan ingresos dentro de estos centros de datos. Además, Oracle está construyendo activamente centros de datos a escala de gigavatios, algunos de los cuales se están integrando dentro de la infraestructura de competidores, lo que demuestra un compromiso para expandir su huella de centros de datos.","[{'name': 'orcl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q125-10-Q.html'}, {'name': 'orcl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q225-10-Q.html'}]",272800,USD,ORCL,SMART,STK,True
other,data_centers,US11135F1012,BROADCOM INC,10,"Proporciona soluciones avanzadas de software de semiconductores e infraestructura que permiten las funciones esenciales de redes, almacenamiento y virtualización para las operaciones del centro de datos.","La participación de Broadcom en el tema de los centros de datos es evidente a través de sus soluciones de redes y semiconductores. Los productos de la compañía, incluidos los enrutadores Jericho y los switches Tomahawk, se utilizan en redes de centros de datos, servidores y sistemas de almacenamiento, con implementaciones que escalan a grandes clústeres en múltiples centros de datos. La VMware Cloud Foundation de Broadcom también permite a las empresas ejecutar diversas cargas de trabajo de aplicaciones dentro de sus centros de datos, incluidas aplicaciones de IA, en máquinas virtuales y contenedores, así como crear nubes privadas modernizadas en las instalaciones. Además, los socios hiperscalares de Broadcom están implementando centros de datos y clústeres de IA, respaldados por la cartera de redes de Broadcom.","[{'name': 'avgo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q324-10-Q.html'}, {'name': 'avgo-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q224-10-Q.html'}]",313130367,USD,AVGO,SMART,STK,True
