type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
defense and aerospace,defense_contracting,US75513E1010,RTX CORP,1,"Proporciona sistemas, productos y servicios avanzados críticos para la defensa global y la seguridad nacional, sirviendo como contratista principal para numerosos programas gubernamentales.","El negocio de RTX está significativamente ligado a la contratación de defensa, como lo demuestra su papel como contratista principal y subcontratista para una amplia cartera de programas de defensa que sirven a clientes gubernamentales tanto nacionales como internacionales. Una parte sustancial de los ingresos de RTX proviene de estos contratos, y las ventas al gobierno de EE. UU. y las ventas militares extranjeras representan un porcentaje considerable de las ventas netas totales. Esto está aún más respaldado por importantes reservas de defensa y una considerable cartera de atrasos de adjudicaciones de defensa. La participación de RTX incluye el suministro de sistemas integrados de defensa aérea y antimisiles, componentes de defensa antimisiles y varios otros productos y servicios relacionados con la defensa, lo que solidifica su posición en el sector de la defensa.","[{'name': 'rtx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q125-10-Q.html'}, {'name': 'rtx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q225-10-Q.html'}, {'name': 'rtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q324-10-Q.html'}, {'name': 'rtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rtx-FY24-10-K.html'}]",415342104,USD,RTX,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,US5398301094,LOCKHEED MARTIN CORP,2,"Impulsa la industria de la contratación de defensa a través del desarrollo y la fabricación de sistemas avanzados de aeroespacial, defensa y seguridad, y tecnologías de vanguardia para clientes gubernamentales y militares a nivel mundial.","El importante compromiso de Lockheed Martin con la industria de la contratación de defensa es evidente a través de su desempeño financiero y sus relaciones estratégicas. La empresa obtiene una parte sustancial de sus ingresos, aproximadamente tres cuartas partes, del Gobierno de EE. UU., principalmente a través de contratos con el Departamento de Defensa, actuando como contratista principal y subcontratista. El compromiso activo de Lockheed Martin con los clientes para proporcionar soluciones de mejor valor, junto con importantes adjudicaciones de contratos y una importante cartera de pedidos, enfatiza aún más su enfoque en la contratación de defensa. Esto también se demuestra a través de su participación en ventas militares extranjeras contratadas a través del Gobierno de EE. UU. y las negociaciones en curso para programas clave como el F-35.","[{'name': 'lmt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q324-10-Q.html'}, {'name': 'lmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q225-10-Q.html'}, {'name': 'lmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lmt-FY24-10-K.html'}]",611191,USD,LMT,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,US5024311095,L3HARRIS TECHNOLOGIES INC,3,"Sirve como proveedor global de tecnologías de defensa avanzadas y soluciones críticas para misiones a clientes gubernamentales y militares en todo el mundo, desempeñando un papel importante en la seguridad nacional.","L3Harris está profundamente integrada en la industria de la contratación de defensa, como lo demuestra su autoidentificación como el 'Disruptor de Confianza' en el sector, ofreciendo soluciones tecnológicas en los dominios espacial, aéreo, terrestre, marítimo y cibernético para la seguridad nacional. La compañía apoya a clientes gubernamentales en más de 100 países, con una parte significativa de sus ingresos, hasta el 77% en algunos períodos, derivada de ventas al gobierno de los EE. UU., incluidas las ventas militares extranjeras. Además, L3Harris da forma activamente al futuro de la defensa abogando por prácticas comerciales similares a las comerciales dentro del DoD y alineándose con sus prioridades, participando en programas de misiles y asegurando contratos para sistemas de comunicación y producción de motores de cohetes sólidos.","[{'name': 'lhx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q125-10-Q.html'}, {'name': 'lhx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q324-10-Q.html'}, {'name': 'lhx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q225-10-Q.html'}, {'name': 'lhx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lhx-FY24-10-K.html'}]",371886040,USD,LHX,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,US3695501086,GENERAL DYNAMICS CORP,4,"Sirve como un importante contratista de defensa, proporcionando una amplia gama de productos y servicios críticos a organizaciones de defensa nacionales e internacionales.","El fuerte compromiso de General Dynamics con el tema de la industria de la contratación de defensa es evidente a través de sus operaciones comerciales principales. La empresa se identifica como una entidad aeroespacial y de defensa global, con una parte significativa de sus ingresos, aproximadamente el 70%, derivada del trabajo para el gobierno de EE. UU., particularmente del gasto en defensa. Esto se ve respaldado aún más por la amplia cartera de productos y servicios de la empresa, que incluyen construcción y reparación de barcos, vehículos de combate terrestres, sistemas de armas y municiones, y productos y servicios tecnológicos, que atienden principalmente al gobierno de EE. UU., incluido el Departamento de Defensa. La empresa también destaca importantes adjudicaciones de contratos, como las de la Armada de EE. UU. para el programa de submarinos de clase Virginia, y el aumento de los ingresos de sistemas de armas y municiones debido a la mayor demanda de productos de artillería, lo que refuerza su posición en el sector de la defensa.","[{'name': 'gd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q125-10-Q.html'}, {'name': 'gd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gd-FY24-10-K.html'}, {'name': 'gd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q225-10-Q.html'}, {'name': 'gd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q324-10-Q.html'}]",7496,USD,GD,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,US0970231058,BOEING CO/THE,5,"Desarrolla y fabrica una amplia gama de aeronaves militares, sistemas de defensa y satélites, sirviendo como contratista principal para agencias de defensa globales.","El importante compromiso de Boeing con la contratación de defensa es evidente a través de su segmento de Defensa, Espacio y Seguridad (BDS), un importante proveedor de bienes y servicios militares para entidades gubernamentales. La compañía fue seleccionada como contratista para el programa F-47, el primer caza de sexta generación del mundo, un logro transformador que asegurará su franquicia de cazas durante décadas. La participación de Boeing incluye programas como el KC-46A Tanker y el P-8 Poseidon, y la compañía continúa viendo una demanda estable que refleja el importante papel que sus productos y servicios desempeñan para garantizar la seguridad nacional.","[{'name': 'ba-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q324-10-Q.html'}, {'name': 'ba-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q225-10-Q.html'}, {'name': 'ba-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q125-10-Q.html'}, {'name': 'ba-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ba-FY24-10-K.html'}]",4762,USD,BA,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,US6668071029,NORTHROP GRUMMAN CORP,6,"Funciona como un contratista de defensa líder, suministrando sistemas críticos de aeroespacial, defensa y seguridad a clientes nacionales e internacionales.","El negocio de Northrop Grumman se centra en gran medida en la contratación de defensa, como lo demuestra la entrega de una amplia gama de productos, servicios y soluciones principalmente al Departamento de Defensa de EE. UU. y a la comunidad de inteligencia. El desempeño financiero de la empresa está estrechamente ligado al entorno de seguridad global y la demanda de productos de defensa, con contratos significativos como los programas B-21 y Sentinel adjudicados por la Fuerza Aérea de EE. UU. Además, Northrop Grumman ha asegurado contratos sustanciales, incluido un contrato de casi $ 500 millones para IBCS del Ejército de EE. UU. y casi $ 300 millones en adjudicaciones de la Armada de EE. UU. para el avión Triton, lo que demuestra su importante papel en los programas de defensa.","[{'name': 'noc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/noc-FY24-10-K.html'}, {'name': 'noc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q324-10-Q.html'}, {'name': 'noc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q225-10-Q.html'}]",10376,USD,NOC,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,US8086251076,SCIENCE APPLICATIONS INTE,7,"Ofrece soluciones y servicios técnicos avanzados, que respaldan las necesidades operativas y estratégicas de las organizaciones de defensa gubernamental.","El negocio principal de SAIC gira en torno a la contratación de defensa, como lo demuestra su apoyo a las principales prioridades del Departamento de Defensa, incluida la defensa antimisiles en el territorio nacional y los submarinos de clase Virginia. El posicionamiento de la empresa dentro de los negocios de la Fuerza Aérea, la Armada, el espacio y la inteligencia solidifica aún más su papel en el sector de la defensa, lo que le permite compensar los desafíos en otras áreas. Esto también se refleja en el desempeño financiero de SAIC, las perspectivas de ingresos y las adjudicaciones de contratos, particularmente programas con la Fuerza Aérea y la Armada, incluido un programa clave de la Armada valorado en aproximadamente $350 millones.",,134306225,USD,SAIC,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,GB0002634946,BAE SYSTEMS PLC,8,"Desarrolla y fabrica sistemas avanzados de defensa y aeroespacio, incluyendo aeronaves militares, vehículos de combate y buques navales, sirviendo a gobiernos y organizaciones de defensa en todo el mundo.",,,908964,GBP,BA.,SMART,STK,False,DA_DEF
defense and aerospace,defense_contracting,US3696043013,GENERAL ELECTRIC,9,"Contribuye al sector de la contratación de defensa al proporcionar motores de aviación críticos, sistemas de energía y tecnologías avanzadas para aeronaves militares, buques navales y otras aplicaciones de defensa.","La participación de GE Aerospace en la contratación de defensa es evidente a través de su negocio de Defense & Propulsion Technologies (DPT), que impulsa una parte importante de las flotas de combate y helicópteros militares de EE. UU. Esto se ve respaldado además por un contrato de la Fuerza Aérea de EE. UU. por valor de hasta $ 5 mil millones para motores F110 que impulsan aviones F-15 y F-16 operados por aliados. La compañía también trabaja con clientes gubernamentales en el desarrollo de productos avanzados, incluidos motores de combate, hipersónicos y aplicaciones no tripuladas, y está avanzando con el motor XA102 alineado con el programa de propulsión adaptativa de próxima generación de la Fuerza Aérea de EE. UU.","[{'name': 'ge-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ge-FY24-10-K.html'}]",498843743,USD,GE,SMART,STK,True,DA_DEF
defense and aerospace,defense_contracting,SE0021921269,SAAB AB-B,10,"Proporciona una gama completa de sistemas, soluciones y servicios de defensa a través de contratos con autoridades de defensa globales.",,,696509467,SEK,SAAB.B,SMART,STK,False,DA_DEF
