type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,digital_entertainment,US0231351067,AMAZON.COM INC,1,"Ofrece un conjunto integral de servicios de entretenimiento digital, que incluyen video en streaming, música, juegos en vivo y audiolibros, estableciéndose como un proveedor líder en el sector.","La participación de Amazon en la industria del entretenimiento digital es evidente a través de sus diversas ofertas y servicios. La empresa genera ingresos de contenido de medios digitales, incluidos video y música, como parte de sus ventas de productos e incurre en costos relacionados con este contenido. Amazon también proporciona suscripciones de contenido digital como servicio, lo que contribuye al crecimiento de las ventas junto con las ventas de terceros vendedores, la publicidad y otros servicios de suscripción. Además, la empresa atiende a clientes creadores de contenido y dedica recursos a la curación y visualización de productos y servicios digitales, lo que requiere la participación de empleados.","[{'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}, {'name': 'amzn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q125-10-Q.html'}, {'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}]",3691937,USD,AMZN,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US64110L1061,NETFLIX INC,2,"Proporciona un servicio de streaming por suscripción líder a nivel mundial, que ofrece una vasta biblioteca de películas y series de televisión originales y con licencia, dando forma significativamente al panorama del entretenimiento digital.","El modelo de negocio principal de Netflix gira en torno al entretenimiento digital, como lo demuestra el hecho de que la empresa genera ingresos principalmente a través de tarifas de membresía mensuales por contenido de streaming. Como uno de los servicios de entretenimiento líderes en el mundo, Netflix ofrece una amplia gama de series de televisión, películas y juegos en varios géneros e idiomas. El crecimiento de los ingresos por streaming, impulsado por un aumento en las membresías de pago promedio y ajustes de precios, subraya aún más el fuerte compromiso de la empresa con el entretenimiento digital.","[{'name': 'nflx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nflx-FY24-10-K.html'}, {'name': 'nflx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nflx-Q225-10-Q.html'}]",15124833,USD,NFLX,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US2546871060,WALT DISNEY CO/THE,3,"Impulsa el panorama del entretenimiento digital a través de su amplia cartera de plataformas de streaming y contenido interactivo, aprovechando sus marcas icónicas para la distribución digital global.","El compromiso de Disney con el tema del Entretenimiento Digital es evidente a través de su segmento Directo al Consumidor, que genera ingresos a partir de tarifas de suscripción y publicidad relacionadas con contenido digital, particularmente a través de plataformas como Disney+ y Hulu. El enfoque de la empresa en la distribución digital se ve aún más resaltado por el aumento en los ingresos de distribución de TV/VOD y entretenimiento en el hogar debido a mayores ventas de TV/VOD de contenido episódico. Además, el crecimiento de los ingresos Directo al Consumidor, incluidos los ingresos por suscripción y publicidad de los servicios de transmisión, demuestra la inversión y la dependencia de Disney en el entretenimiento digital.","[{'name': 'dis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q225-10-Q.html'}, {'name': 'dis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dis-FY24-10-K.html'}]",6459,USD,DIS,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US02079K3059,ALPHABET INC-CL A,4,"Proporciona un vasto ecosistema para el entretenimiento digital a través de plataformas como YouTube para contenido de video y Google Play para juegos, aplicaciones, películas y música, sirviendo como un canal principal de distribución y consumo.",,,208813719,USD,GOOGL,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US0378331005,APPLE INC,5,"Ofrece un conjunto completo de servicios de entretenimiento digital que abarcan música, transmisión de video, juegos y aplicaciones, integrales a su ecosistema de usuarios.","La participación de Apple en el entretenimiento digital es evidente a través del crecimiento y la expansión de Apple TV+, que ha logrado una audiencia récord con programas como The Studio, Your Friends & Neighbors y Severance. Apple también está ampliando su alcance a los aficionados al deporte al ofrecer Friday Night Baseball, MLS Season Pass y contenido de Fórmula 1 en la aplicación Apple Sports. Además, Apple continúa invirtiendo en contenido original, como la próxima película de F1, para enriquecer la vida de sus usuarios a través de diversos servicios como Apple Books, la App Store y Fitness+.",,265598,USD,AAPL,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US5949181045,MICROSOFT CORP,6,"Proporciona un ecosistema integral para el entretenimiento digital a través de sus consolas de videojuegos Xbox, el servicio de suscripción Game Pass y las iniciativas de juegos en la nube, además de sus contribuciones a los juegos de PC.","La participación de Microsoft en el entretenimiento digital es evidente a través del crecimiento en contenido y servicios de Xbox, que incluye juegos, suscripciones y juegos en la nube. Los ingresos de la empresa por juegos han experimentado aumentos, impulsados principalmente por el contenido y los servicios de Xbox. Además, los ingresos por publicidad de búsqueda y noticias, excluyendo los costos de adquisición de tráfico, han contribuido a la presencia de la empresa en el entretenimiento digital.","[{'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US20030N1019,COMCAST CORP-CLASS A,7,"Ofrece una amplia gama de contenidos y servicios de entretenimiento digital, incluidas plataformas de streaming y vídeo a la carta, lo que contribuye significativamente al panorama de los medios digitales.","El compromiso de Comcast con el tema del Entretenimiento Digital es evidente a través de la operación de su segmento de Medios como un negocio combinado de televisión y streaming, con un enfoque en Peacock. La compañía tiene como objetivo compensar la disminución de la televisión tradicional aumentando los suscriptores de pago y los ingresos por publicidad en Peacock, que ofrece una combinación de eventos en vivo, deportes y contenido de entretenimiento. Comcast está invirtiendo activamente y haciendo crecer su plataforma de streaming, con ingresos y costos significativos asociados con Peacock, y también está mejorando su experiencia digital actualizando su sistema operativo a la plataforma de IA de Google y diferenciando Peacock con ofertas de deportes en vivo.","[{'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}, {'name': 'cmcsa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q324-10-Q.html'}]",267748,USD,CMCSA,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US00724F1012,ADOBE INC,8,"Proporciona herramientas de software creativas esenciales para profesionales en cine, video, animación, juegos y diseño gráfico, lo que permite la creación y producción de contenido de entretenimiento digital.","La participación de Adobe en el tema de Entretenimiento Digital es evidente en su segmento de Medios Digitales, que proporciona herramientas y servicios para crear y entregar contenido digital, incluyendo experiencias 3D. Aplicaciones emblemáticas como Premiere Pro, Photoshop y Adobe Express facilitan la creación y publicación de contenido enriquecido y experiencias inmersivas en diversas plataformas. Adobe también está integrando IA para mejorar las capacidades de creación y edición de contenido, como se ve en aplicaciones como Premiere Pro y After Effects, junto con el desarrollo de Firefly, que apoya la creación de contenido digital atractivo.","[{'name': 'adbe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q225-10-Q.html'}, {'name': 'adbe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q324-10-Q.html'}, {'name': 'adbe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adbe-FY24-10-K.html'}, {'name': 'adbe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q125-10-Q.html'}]",265768,USD,ADBE,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US30303M1027,META PLATFORMS INC-CLASS A,9,"Ofrece amplias plataformas digitales y tecnologías de realidad virtual que facilitan la creación, el intercambio y el consumo de una amplia gama de entretenimiento digital, que abarca contenido de redes sociales, juegos interactivos y experiencias inmersivas.","El enfoque de Meta en el Entretenimiento Digital es evidente en sus esfuerzos por crear experiencias atractivas en sus aplicaciones, con la IA desempeñando un papel crucial en la creación de contenido. Mark Zuckerberg anticipa que el aumento de la productividad a través de la IA conducirá a un mayor tiempo dedicado al entretenimiento y la cultura, creando oportunidades para contenido más enriquecedor e interactivo. Meta también está mejorando los sistemas de recomendación para aumentar la participación de los usuarios en plataformas como Facebook, Instagram y Threads, al tiempo que invierte en herramientas para ayudar a los creadores a producir contenido original. Meta AI también se enfoca en la personalización, las conversaciones de voz y el entretenimiento.",,107113386,USD,META,SMART,STK,True,DIG
entertainment and media,digital_entertainment,US9344231041,WARNER BROS DISCOVERY INC,10,"Proporciona una amplia gama de contenidos de entretenimiento digital, incluidos servicios de streaming y una rica biblioteca de películas y programas de televisión, lo que contribuye significativamente al panorama de los medios digitales.","El compromiso de Warner Bros. Discovery con el entretenimiento digital es evidente a través de su creación y distribución de contenido en diversas plataformas, incluyendo televisión, cine, streaming y videojuegos. La compañía opera servicios de streaming directo al consumidor como Max y discovery+, llegando a aproximadamente 117 millones de suscriptores en más de 70 países, con planes de mayor expansión en mercados clave. Este negocio directo al consumidor ha mostrado un crecimiento sustancial, aportando casi $700 millones en EBITDA y esperando duplicarse para 2025. La compañía también se enfoca en aumentar los suscriptores, los ingresos y el EBITDA de su servicio de streaming global Max, y experimenta con diferentes modelos para distribuir contenido deportivo y de noticias en la plataforma.","[{'name': 'wbd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q224-10-Q.html'}, {'name': 'wbd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q324-10-Q.html'}, {'name': 'wbd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wbd-FY24-10-K.html'}]",554208351,USD,WBD,SMART,STK,True,DIG
