symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
NVDA,TE,DI4,technology,digital_twin_technology,US67066G1040,NVIDIA CORP,1,"Es un habilitador y motor líder de la Tecnología de Gemelos Digitales, proporcionando plataformas y soluciones fundamentales que facilitan su desarrollo y despliegue en diversas industrias.","El compromiso de NVIDIA con la tecnología de Gemelos Digitales es evidente a través del desarrollo de su plataforma Omniverse, una plataforma de gemelos digitales físicos de IA para centros de datos utilizada para el desarrollo de robots y sistemas robóticos. Empresas como Hitachi utilizan servidores RTX PRO para simulación en tiempo real y gemelos digitales, mientras que NVIDIA ha ampliado su asociación con Siemens para avanzar en fábricas automáticas de IA. Además, empresas líderes como TSMC, Foxconn y Pegatron están aprovechando Omniverse para mejorar las operaciones industriales, incluido el diseño de fábricas virtuales y simulaciones térmicas aceleradas.","[{'name': 'nvda-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q126-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,SMART,STK
MSFT,TE,DI4,technology,digital_twin_technology,US5949181045,MICROSOFT CORP,2,Proporciona tecnologías y plataformas fundamentales que permiten el desarrollo y la implementación de soluciones de Gemelos Digitales en diversas industrias.,,,272093,USD,SMART,STK
DSY,TE,DI4,technology,digital_twin_technology,FR0014003TT8,DASSAULT SYSTEMES SE,3,"Proporciona una plataforma integral para crear y gestionar gemelos virtuales de productos, procesos e incluso cuerpos humanos, lo que permite la simulación avanzada, la optimización y la gestión del ciclo de vida en diversas industrias.",,,500760943,EUR,SMART,STK
SIE,TE,DI4,technology,digital_twin_technology,DE0007236101,SIEMENS AG-REG,4,"Aprovecha la tecnología de gemelos digitales para mejorar la automatización industrial, la gestión del ciclo de vida del producto y la eficiencia operativa en diversos sectores industriales.",,,14217,EUR,SMART,STK
BSY,TE,DI4,technology,digital_twin_technology,US08265T2087,BENTLEY SYSTEMS INC-CLASS B,5,"Proporciona soluciones de software integrales para la creación, gestión y operación de gemelos digitales en activos de infraestructura, optimizando su ciclo de vida completo.","Bentley Systems enfatiza la importancia de las soluciones de gemelos digitales para la infraestructura, las operaciones y el mantenimiento, considerándolo una oportunidad significativa. La empresa declara explícitamente que permite a los usuarios diseñar, construir y operar infraestructura resiliente a través de la adopción de soluciones inteligentes de gemelos digitales, posicionando estas soluciones como una parte central de sus ofertas. Además, Bentley Systems está trabajando activamente para crear gemelos digitales en la etapa de diseño para la programación, la gestión de la construcción y las operaciones, particularmente para centros de datos, e integrando capacidades iTwin para mejorar el valor de los gemelos digitales.","[{'name': 'bsy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bsy-Q225-10-Q.html'}, {'name': 'bsy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bsy-Q125-10-Q.html'}]",446864692,USD,SMART,STK
ADSK,TE,DI4,technology,digital_twin_technology,US0527691069,AUTODESK INC,6,"Ofrece soluciones integrales de software de diseño, ingeniería y construcción esenciales para el desarrollo y la gestión del ciclo de vida de gemelos digitales en diversos sectores.","El compromiso de Autodesk con la tecnología de gemelos digitales es evidente a través de sus colaboraciones estratégicas y ofertas de servicios. La empresa apoya a AtkinsRéalis con estrategias de diseño habilitadas por IA y capacidades de gemelos digitales, reforzando su posición como socio digitalmente habilitado y optimizando los flujos de trabajo. Además, las soluciones de Autodesk se extienden a Hitachi Energy, donde las inversiones en soluciones de gemelos digitales contribuyen a la creación de una base digital a lo largo del ciclo de vida del producto y permiten el mantenimiento predictivo a través del monitoreo del rendimiento de la red en tiempo real.",,265681,USD,SMART,STK
AMZN,TE,DI4,technology,digital_twin_technology,US0231351067,AMAZON.COM INC,7,"Permite el desarrollo y la implementación de soluciones de gemelos digitales a través de sus servicios integrales de computación en la nube, facilitando la simulación y optimización en tiempo real en diversas industrias.",,,3691937,USD,SMART,STK
HEXA.B,TE,DI4,technology,digital_twin_technology,SE0015961909,HEXAGON AB-B SHS,8,"Desarrolla y proporciona soluciones avanzadas de detección, software y autónomas que permiten la creación y utilización de gemelos digitales en diversas aplicaciones industriales, mejorando la eficiencia y la toma de decisiones.",,,490414358,SEK,SMART,STK
PTC,TE,DI4,technology,digital_twin_technology,US69370C1009,PTC INC,9,"Proporciona soluciones de software que permiten la creación y gestión de gemelos digitales, integrando tecnologías de gestión del ciclo de vida del producto, internet de las cosas y realidad aumentada para optimizar el desarrollo de productos y la eficiencia operativa.",,,121507047,USD,SMART,STK
HON,TE,DI4,technology,digital_twin_technology,US4385161066,HONEYWELL INTERNATIONAL INC,10,Proporciona soluciones que incorporan tecnología de Gemelo Digital.,,,4350,USD,SMART,STK
SU,TE,DI4,technology,digital_twin_technology,FR0000121972,SCHNEIDER ELECTRIC SE,11,"Aprovecha la tecnología de gemelos digitales para mejorar sus ofertas en gestión de energía y automatización industrial, optimizando la eficiencia operativa y el mantenimiento predictivo.",,,29612196,EUR,SMART,STK
U,TE,DI4,technology,digital_twin_technology,US91332U1016,UNITY SOFTWARE INC,12,Proporciona una plataforma de desarrollo 3D en tiempo real fundamental en la creación y operación de gemelos digitales en diversas industrias.,,,445423543,USD,SMART,STK
ROK,TE,DI4,technology,digital_twin_technology,US7739031091,ROCKWELL AUTOMATION INC,13,"Integra la Tecnología de Gemelos Digitales dentro de sus soluciones de automatización industrial para optimizar operaciones, simular procesos y mejorar el mantenimiento predictivo para los clientes.",,,11697,USD,SMART,STK
CDNS,TE,DI4,technology,digital_twin_technology,US1273871087,CADENCE DESIGN SYS INC,14,Permite el diseño y la simulación de sistemas electrónicos que forman componentes integrales de la Tecnología de Gemelos Digitales.,"Cadence demuestra su compromiso con la tecnología de gemelos digitales a través de la adopción del plano de NVIDIA Omniverse para gemelos digitales de fábricas de IA, lo que mejora el diseño de centros de datos y la eficiencia operativa. El producto Reality digital center de la empresa ha ganado terreno, asegurando múltiples acuerdos con importantes proveedores hiperscalares y proveedores de servicios en la nube. Además, Cadence utiliza su Reality Digital Twin para ayudar a los clientes a diseñar centros de datos y optimizar las operaciones, lo que conduce a una mejor eficiencia energética, y también lo ha aplicado a su propio grupo de TI, experimentando una mejora del 10 % en la energía.",,5552,USD,SMART,STK
EMR,TE,DI4,technology,digital_twin_technology,US2910111044,EMERSON ELECTRIC CO,15,"Desarrolla e implementa soluciones de automatización industrial que aprovechan la tecnología de gemelos digitales para mejorar la eficiencia operativa, el mantenimiento predictivo y el rendimiento optimizado de los activos.",,,6842,USD,SMART,STK
