industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
financials,digital_wallets,US92826C8394,VISA INC-CLASS A SHARES,1,Proporciona la red de pagos e infraestructura esenciales que sustentan y posibilitan la funcionalidad y adopción generalizadas de las billeteras digitales.,"La participación de Visa en el tema de billeteras digitales es evidente a través de su soporte para transacciones con y sin tarjeta, con un enfoque en la tokenización, que ahora representa más del 50% de las transacciones de comercio electrónico a nivel mundial. Visa facilita el movimiento de dinero a billeteras digitales a través de tecnologías innovadoras como Visa Direct, que permite remesas a tarjetas, cuentas y billeteras. Además, Visa está mejorando su solución Fleet 2.0 con aprovisionamiento de billeteras digitales, lo que demuestra un esfuerzo continuo para integrar billeteras digitales en diversas soluciones de pago.","[{'name': 'v-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/v-Q125-10-Q.html'}, {'name': 'v-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/v-FY24-10-K.html'}]",49462172,USD,V,SMART,STK,True,DI1
financials,digital_wallets,US57636Q1040,MASTERCARD INC - A,2,"Desempeña un papel fundamental en la habilitación de transacciones seguras y convenientes dentro de las billeteras digitales, impulsando su adopción generalizada y funcionalidad en varios ecosistemas de pago.","La participación de Mastercard en las billeteras digitales es evidente a través de sus alianzas estratégicas y el despliegue de tecnología. La empresa está habilitando billeteras de valor almacenado a nivel mundial y se ha asociado con Alipay en Hong Kong y GCash para extender el uso de billeteras electrónicas locales para transacciones transfronterizas. Además, Mastercard está renovando la billetera digital de Garanti BBVA y lanzando Tap to Pay en el Metro de Shanghai, lo que demuestra su compromiso de mejorar y expandir las capacidades de pago digital. Como empresa tecnológica en la industria global de pagos, Mastercard se enfoca en habilitar pagos electrónicos, haciendo que las transacciones sean seguras y accesibles.","[{'name': 'ma-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ma-Q225-10-Q.html'}, {'name': 'ma-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ma-FY24-10-K.html'}]",38685693,USD,MA,SMART,STK,True,DI1
financials,digital_wallets,US70450Y1038,PAYPAL HOLDINGS INC,3,"Proporciona una plataforma líder de billetera digital que facilita pagos en línea seguros, transferencias de dinero y gestión financiera para consumidores y comerciantes a nivel mundial.","La conexión de PayPal con las billeteras digitales es evidente a través de varias iniciativas, incluido el desarrollo de una billetera inteligente dinámica diseñada para optimizar las opciones de pago y las recompensas para los consumidores. El enfoque de la empresa se demuestra aún más con el lanzamiento de la primera billetera móvil NFC sin contacto de PayPal en iOS y Android, con más de 3 millones de inscripciones NFC. Además, PayPal participa activamente en la creación de una plataforma global fluida con otras billeteras digitales importantes como Venmo, Mercado Pago, Tenpay Global y UPI, y el anuncio de PayPal World tiene como objetivo mejorar las experiencias de marca dentro del ecosistema de billeteras digitales.","[{'name': 'pypl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q324-10-Q.html'}]",199169591,USD,PYPL,SMART,STK,True,DI1
financials,digital_wallets,US8522341036,BLOCK INC,4,Desarrolla y proporciona plataformas y servicios críticos que permiten la adopción generalizada y la funcionalidad de las billeteras digitales.,"La empresa demuestra su compromiso con las billeteras digitales a través de Cash App, una plataforma que facilita las transferencias electrónicas de fondos con una importante red peer-to-peer. La integración de servicios como Apple Pay, Google Pay y Tap to Pay mejora la accesibilidad para los usuarios, mientras que Cash App Pay cuenta con 7 millones de usuarios activos mensuales. Funciones como la capacidad de comprar y vender Bitcoin, junto con la introducción de Cash App Afterpay, resaltan aún más la inversión de la empresa en funcionalidades de billetera digital, permitiendo a los usuarios dividir pagos e integrar los servicios de Afterpay.",,212671971,USD,XYZ,SMART,STK,True,DI1
financials,digital_wallets,GB00BL9YR756,WISE PLC - A,5,"Facilita transferencias internacionales de dinero y cuentas multidivisa a través de su plataforma digital, empoderando a los usuarios con funcionalidades de billetera digital eficientes y rentables para transacciones globales.",,,501271364,GBP,WISE,SMART,STK,False,DI1
financials,digital_wallets,US0378331005,APPLE INC,6,"Ofrece un servicio de pago digital ampliamente adoptado, Apple Pay, que se integra perfectamente en su ecosistema de dispositivos y admite varios métodos de pago, impulsando la expansión y la conveniencia de las transacciones digitales.",,,265598,USD,AAPL,SMART,STK,True,DI1
financials,digital_wallets,KYG687071012,PAGSEGURO DIGITAL LTD-CL A,7,"Ofrece servicios integrales de billetera digital, lo que permite transacciones electrónicas seguras y convenientes para consumidores y empresas.",,,303325834,USD,PAGS,SMART,STK,False,DI1
financials,digital_wallets,US02079K3059,ALPHABET INC-CL A,8,"Ofrece una plataforma de billetera digital ampliamente adoptada, que permite a los usuarios almacenar de forma segura tarjetas de pago, pases y entradas para transacciones móviles fluidas y acceso a diversas credenciales digitales.",,,208813719,USD,GOOGL,SMART,STK,True,DI1
financials,digital_wallets,KYG017191142,ALIBABA GROUP HOLDING LTD,9,"Opera Alipay, una plataforma líder de billetera digital que sustenta sus extensas operaciones de comercio electrónico y proporciona soluciones de pago para una amplia gama de servicios externos.",,,391638829,HKD,9988,SEHK,STK,False,DI1
financials,digital_wallets,US57142B1044,MARQETA INC-A,10,Sustenta la funcionalidad de las billeteras digitales a través de su avanzada tecnología de emisión de tarjetas y procesamiento de pagos.,,,495763817,USD,MQ,SMART,STK,False,DI1
