type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
consumer and retail,discount_retail,US8725401090,TJX COMPANIES INC,1,"Opera como un minorista global prominente de descuento, ofreciendo una gama diversa de mercancía de marca y de diseñador a descuentos significativos, desempeñando así un papel central en el sector minorista de descuento.","El negocio de TJX está fuertemente influenciado por el tema de la venta minorista de descuento, como lo demuestra su posición como minorista líder de ropa y moda para el hogar a precios reducidos. La misión de la empresa es ofrecer un gran valor a los clientes vendiendo mercancía a precios generalmente entre un 20% y un 60% por debajo de los precios habituales de los minoristas de precio completo, una estrategia que es fundamental para sus operaciones. Reforzando aún más este compromiso, TJX ha realizado inversiones estratégicas en empresas de precios reducidos, incluida una empresa conjunta con Grupo Axo para Multibrand Outlet Stores en México y una inversión en Brands for Less.","[{'name': 'tjx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tjx-Q225-10-Q.html'}, {'name': 'tjx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tjx-Q325-10-Q.html'}, {'name': 'tjx-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tjx-Q126-10-Q.html'}, {'name': 'tjx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tjx-FY25-10-K.html'}]",12814,USD,TJX,SMART,STK,True
consumer and retail,discount_retail,US2566771059,DOLLAR GENERAL CORP,2,"Opera como un actor importante en el sector minorista de descuento, ofreciendo una amplia gama de artículos de primera necesidad y mercancía general a precios competitivos para servir a los consumidores conscientes del valor.","La conexión de Dollar General con el tema del Comercio Minorista de Descuento es evidente a través de su modelo de negocio como el 'minorista de descuento más grande de los Estados Unidos por número de tiendas', que ofrece productos de marcas nacionales y privadas a 'precios bajos todos los días (típicamente $10 o menos)' en ubicaciones convenientes de tiendas pequeñas. La empresa se centra en mantener los precios a pocos puntos porcentuales de los minoristas masivos y en ofrecer un número sustancial de SKUs a un precio de $1 o menos. Este compromiso con los precios bajos y el valor se ve aún más enfatizado por el sólido rendimiento de su conjunto de productos '$1 Value Valley', lo que solidifica su posición en el mercado minorista de descuento.","[{'name': 'dg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q125-10-Q.html'}, {'name': 'dg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q324-10-Q.html'}, {'name': 'dg-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q224-10-Q.html'}, {'name': 'dg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dg-FY24-10-K.html'}]",70212228,USD,DG,SMART,STK,True
consumer and retail,discount_retail,US2567461080,DOLLAR TREE INC,3,"Opera una red destacada de tiendas minoristas de descuento, que ofrece una amplia variedad de productos de uso diario a precios atractivos para consumidores conscientes del valor.","Dollar Tree opera como un minorista líder de descuento a través de sus segmentos Dollar Tree y Family Dollar, con más de 8.800 tiendas que ofrecen mercancía principalmente a un precio bajo. El compromiso de la empresa de ofrecer valor y conveniencia es fundamental para su modelo de negocio, con un enfoque en la expansión de su surtido de marcas al punto de precio de $1.25 y un surtido de productos de múltiples precios para ofrecer un mayor valor a los clientes. Esta estrategia está respaldada por inversiones en la apertura y renovación de nuevas tiendas, así como por la adquisición de arrendamientos de otros minoristas de descuento, lo que solidifica la posición de Dollar Tree como un actor clave en el mercado minorista de descuento.","[{'name': 'dltr-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dltr-Q224-10-Q.html'}, {'name': 'dltr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dltr-Q125-10-Q.html'}, {'name': 'dltr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dltr-FY24-10-K.html'}, {'name': 'dltr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dltr-Q324-10-Q.html'}]",49388062,USD,DLTR,SMART,STK,True
consumer and retail,discount_retail,US9311421039,WALMART INC,4,"Un líder global en venta minorista de descuento, que ofrece una amplia gama de productos a precios competitivos a través de una extensa red de tiendas físicas y una plataforma de comercio electrónico en crecimiento, influyendo significativamente en el gasto del consumidor y las tendencias del mercado en el sector.",,,13824,USD,WMT,SMART,STK,True
consumer and retail,discount_retail,US0231351067,AMAZON.COM INC,5,"Opera un vasto mercado en línea que ofrece precios competitivos en una amplia gama de productos, impulsando la accesibilidad y la asequibilidad para los consumidores a nivel mundial.",,,3691937,USD,AMZN,SMART,STK,True
consumer and retail,discount_retail,US7782961038,ROSS STORES INC,6,"Opera como un minorista líder de ropa y moda para el hogar de precios reducidos, ofreciendo mercancía de marca y de diseñador a precios bajos todos los días.","Ross Stores opera como un minorista de precios bajos a través de sus tiendas Ross Dress for Less y dd's DISCOUNTS, ofreciendo ropa y moda para el hogar a precios de descuento. Siendo Ross la cadena de ropa y moda para el hogar de precios bajos más grande de los Estados Unidos, la empresa se enfoca en ofrecer valor y moda, manteniendo un paraguas de precios para ofrecer gangas a consumidores sensibles al precio. Esto se logra ofreciendo ahorros del 20% al 70% sobre los precios regulares y posicionando surtidos para ofrecer mercancía de marca de alta calidad a precios atractivos.","[{'name': 'rost-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rost-Q224-10-Q.html'}, {'name': 'rost-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rost-Q125-10-Q.html'}, {'name': 'rost-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rost-Q324-10-Q.html'}, {'name': 'rost-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rost-FY24-10-K.html'}]",273939,USD,ROST,SMART,STK,True
consumer and retail,discount_retail,US22160K1051,COSTCO WHOLESALE CORP,7,"Impulsa el mercado minorista de descuento a través de su modelo de almacén solo para miembros, brindando valor a los consumidores mediante compras al por mayor y precios competitivos.",,,272997,USD,COST,SMART,STK,True
consumer and retail,discount_retail,FR0000120172,CARREFOUR SA,8,Juega un papel clave en la industria de la venta minorista de descuento al ofrecer una amplia gama de productos a precios competitivos a través de su extensa red de tiendas.,,,29612172,EUR,CA,SMART,STK,False
consumer and retail,discount_retail,US1220171060,BURLINGTON STORES INC,9,"Opera como un minorista destacado de precios bajos, ofreciendo una amplia gama de mercancías con descuento a los consumidores.","El modelo de negocio principal de Burlington Stores gira en torno a operar como un minorista de precios rebajados reconocido a nivel nacional, que ofrece productos de marca de alta calidad a precios bajos todos los días. La empresa enfatiza la provisión de una amplia selección de mercancía de temporada, centrada en la moda, a precios hasta un 60% inferiores a los de otros minoristas, atendiendo particularmente a clientes más jóvenes y familias. Este compromiso con el valor y los precios de descuento es central para la estrategia de Burlington, con un enfoque en ofrecer valor a los clientes sensibles al precio y en la gestión de las operaciones comerciales para navegar las incertidumbres económicas.","[{'name': 'burl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/burl-FY24-10-K.html'}]",135699190,USD,BURL,SMART,STK,True
consumer and retail,discount_retail,US87612E1064,TARGET CORP,10,"Ofrece una amplia selección de bienes de consumo a precios competitivos, sirviendo como un destino clave dentro del mercado minorista de descuento.","El enfoque de Target en apoyar a las familias estadounidenses y ayudarlas a administrar sus presupuestos subraya la importancia del tema del comercio minorista de descuento. Esto se demuestra a través de su compromiso de mitigar el impacto de los aranceles, siendo los ajustes de precios el último recurso, y su enfoque en mejorar las tendencias de precios. Target enfatiza la entrega de valor a los invitados al ofrecer productos a precios increíbles, expandir su surtido de artículos con precios inferiores a $20 y proporcionar promociones atractivas a través del programa Target Circle, con muchos artículos nuevos a partir de solo $1 y una sección dedicada como Bullseye's Playground que ofrece artículos a precios con descuento.",,6437,USD,TGT,SMART,STK,True
consumer and retail,discount_retail,US6811161099,OLLIE'S BARGAIN OUTLET HOLDI,11,"Opera como un destacado minorista de descuento, ofreciendo una amplia gama de mercancías de marca a precios significativamente reducidos al obtener saldos, excesos de existencias e irregulares, atendiendo así a los consumidores que buscan valor.","El negocio de Ollie está profundamente arraigado en el sector minorista de descuentos, ya que la empresa se identifica como el minorista más grande de América de mercancías de liquidación e inventario excedente. Las tiendas de Ollie ofrecen artículos para el hogar de marcas reconocidas a precios significativamente más bajos que los minoristas tradicionales, típicamente entre un 20% y un 70%. Este compromiso con el valor se refleja en su enfoque en 'Cosas Buenas Baratas' y su estrategia para ofrecer valores extremos a los clientes. Además, el CEO se ha referido al equipo como el 'equipo de ensueño del comercio minorista de descuentos', enfatizando su pasión por ofrecer valor, que es fundamental para la cultura y las operaciones comerciales de la empresa.","[{'name': 'olli-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/olli-Q125-10-Q.html'}, {'name': 'olli-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/olli-Q324-10-Q.html'}, {'name': 'olli-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/olli-Q224-10-Q.html'}, {'name': 'olli-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/olli-FY25-10-K.html'}]",199975711,USD,OLLI,SMART,STK,True
