industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
TL,DRO,AMZN,transportation and logistics,drone_delivery_systems,US0231351067,AMAZON.COM INC,1,"Está desarrollando e implementando activamente tecnología avanzada de drones para su servicio de entrega Prime Air, con el objetivo de transformar la logística de última milla y mejorar la velocidad y eficiencia de las entregas para los clientes.",,3691937,USD,SMART,STK,
TL,DRO,GOOGL,transportation and logistics,drone_delivery_systems,US02079K3059,ALPHABET INC-CL A,2,"Desarrolla y despliega activamente tecnología de drones para la entrega de paquetes, con el objetivo de revolucionar la logística y las soluciones de última milla a través de sistemas aéreos innovadores.",,208813719,USD,SMART,STK,
TL,DRO,JD,transportation and logistics,drone_delivery_systems,US47215P1066,JD.COM INC-ADR,3,"Es pionera en el uso de tecnología de drones para la logística de última milla, particularmente en áreas rurales y remotas, para mejorar la eficiencia de la entrega y ampliar la cobertura del servicio.",,152486141,USD,SMART,STK,
TL,DRO,UPS,transportation and logistics,drone_delivery_systems,US9113121068,UNITED PARCEL SERVICE-CL B,4,"Opera una aerolínea de drones dedicada para la entrega de suministros médicos y otros paquetes, contribuyendo al avance y la comercialización de los sistemas de entrega de drones.",,6231002,USD,SMART,STK,
TL,DRO,FDX,transportation and logistics,drone_delivery_systems,US31428X1063,FEDEX CORPORATION,5,"Es un actor clave en el desarrollo e implementación de sistemas de entrega de drones, explorando e integrando activamente tecnología de drones autónomos para mejorar sus operaciones de logística y entrega de paquetes.",,5100583,USD,SMART,STK,
TL,DRO,EH,transportation and logistics,drone_delivery_systems,US26853E1029,EHANG HOLDINGS LTD-SPS ADR,6,Diseña y fabrica vehículos aéreos autónomos (AAV) cruciales para el desarrollo y despliegue de sistemas avanzados de entrega con drones.,,394961312,USD,SMART,STK,
TL,DRO,QCOM,transportation and logistics,drone_delivery_systems,US7475251036,QUALCOMM INC,7,Juega un papel en el avance de los Sistemas de Entrega de Drones.,,273544,USD,SMART,STK,
TL,DRO,HON,transportation and logistics,drone_delivery_systems,US4385161066,HONEYWELL INTERNATIONAL INC,8,"Permite el desarrollo y la operación de sistemas de entrega de drones al proporcionar soluciones avanzadas de aeroespacial, automatización y control.",,4350,USD,SMART,STK,
TL,DRO,AMBA,transportation and logistics,drone_delivery_systems,KYG037AX1015,AMBARELLA INC,9,"Proporciona procesadores avanzados de visión artificial y tecnología de percepción esenciales para la navegación, la evasión de obstáculos y la operación autónoma de sistemas de entrega de drones.","La participación de Ambarella en el tema de los sistemas de entrega de drones es evidente a través de su SoC CV5 AI, que potencia el dron 8K de 360 grados de Arashi Vision, mejorando la grabación de video y permitiendo funcionalidades impulsadas por IA como el control por gestos. Además, Ambarella está licitando en proyectos OEM utilizando su familia CV3-AD para aplicaciones L2+ a L4, y la compañía reconoce el potencial de los drones aéreos robóticos en entregas comerciales, lo que indica un enfoque prospectivo hacia la tecnología de drones autónomos.",115324103,USD,SMART,STK,
TL,DRO,AMPX,transportation and logistics,drone_delivery_systems,US03214Q1085,AMPRIUS TECHNOLOGIES INC,10,Ofrece tecnología avanzada de baterías crucial para alimentar sistemas de entrega de drones.,"Amprius reconoce el uso de drones para servicios de entrega, señalando que empresas como Walmart ya los utilizan para la entrega de paquetes y comestibles. Si bien Amprius no declara explícitamente inversiones directas en sistemas de entrega con drones, la empresa es consciente de la aplicación de drones en este campo. La empresa también destaca los esfuerzos del Secretario de Transporte y la FAA para normalizar las operaciones de drones más allá de la línea de visión visual, lo que ayudaría a acelerar la entrega con drones y otras aplicaciones.",585323053,USD,SMART,STK,
TL,DRO,ONDS,transportation and logistics,drone_delivery_systems,US68236H2040,ONDAS HOLDINGS INC,11,Desarrolla y proporciona tecnología de drones que apoya el crecimiento y la implementación de sistemas de entrega de drones.,"La participación de Ondas en Sistemas de Entrega de Drones es evidente a través de su unidad de negocio Ondas Autonomous Systems (OAS), que desarrolla e integra soluciones basadas en drones para clientes gubernamentales y comerciales. OAS comercializa soluciones integrales de drones, incluido el Sistema Optimus, una plataforma totalmente autónoma, y el Iron Drone Raider, un dron interceptor diseñado para neutralizar drones hostiles. El Iron Drone Raider está operativo en un entorno de combate real, y la flota de drones Optimus está desplegada en los Emiratos Árabes Unidos para misiones de seguridad pública, con una expansión prevista en los Estados Unidos. Además, OAS anticipa generar una parte sustancial de los ingresos de Ondas en 2025 a través de sus soluciones basadas en drones.",455415330,USD,SMART,STK,"[{'name': 'onds-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/onds-Q125-10-Q.html'}, {'name': 'onds-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/onds-Q225-10-Q.html'}]"
TL,DRO,TDY,transportation and logistics,drone_delivery_systems,US8793601050,TELEDYNE TECHNOLOGIES INC,12,"Contribuye a los sistemas de entrega de drones a través de sus avanzados sensores de imagen y componentes electrónicos, esenciales para la navegación, la gestión de la carga útil y la eficiencia operativa.",,6340773,USD,SMART,STK,
TL,DRO,INTC,transportation and logistics,drone_delivery_systems,US4581401001,INTEL CORP,13,"Contribuye con tecnologías de computación e inteligencia artificial esenciales para la navegación autónoma, el procesamiento de datos en tiempo real y la eficiencia operativa de los sistemas de entrega de drones.",,270639,USD,SMART,STK,
TL,DRO,UTHR,transportation and logistics,drone_delivery_systems,US91307C1027,UNITED THERAPEUTICS CORP,14,"Contribuye al avance de los sistemas de entrega con drones a través de su aplicación en el transporte de terapias médicas y órganos, mejorando la eficiencia de la cadena de suministro crítica.",,6746357,USD,SMART,STK,
