type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,electric_aviation,KYG651631007,JOBY AVIATION INC,1,"Es un desarrollador líder de aeronaves eléctricas de despegue y aterrizaje vertical (eVTOL), que contribuye significativamente al avance de la aviación eléctrica.","El negocio de Joby Aviation se centra en la aviación eléctrica, lo que se demuestra por su compromiso de una década con el diseño y la prueba de aeronaves eVTOL totalmente eléctricas destinadas a servicios de movilidad aérea urbana. El enfoque de la empresa se extiende a la creación e integración de sistemas de propulsión eléctrica para reducir las emisiones y los costos operativos, con esfuerzos que incluyen el desarrollo de variantes híbridas y la exploración de ventas de aeronaves eléctricas. Este compromiso se evidencia aún más por su progreso en certificación, fabricación y comercialización, posicionándolos como un actor clave en el panorama de la aviación eléctrica.","[{'name': 'joby-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/joby-Q125-10-Q.html'}, {'name': 'joby-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/joby-FY24-10-K.html'}, {'name': 'joby-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/joby-Q225-10-Q.html'}]",507188246,USD,JOBY,SMART,STK,False,TL_ELE
transportation and logistics,electric_aviation,NL0000235190,AIRBUS SE,2,"Investiga y desarrolla activamente sistemas de propulsión híbridos eléctricos y totalmente eléctricos para futuras aeronaves, con el objetivo de descarbonizar los viajes aéreos e introducir nuevos conceptos de aviación.",,,29612256,EUR,AIR,SMART,STK,False,TL_ELE
transportation and logistics,electric_aviation,US03945R1023,ARCHER AVIATION INC-A,3,"Desarrolla aeronaves de despegue y aterrizaje vertical eléctrico (eVTOL), impulsando la innovación en la movilidad aérea urbana y el transporte aéreo sostenible.","El negocio principal de Archer se centra en la aviación eléctrica, principalmente a través del desarrollo y la comercialización de su aeronave Midnight eVTOL. Esto se evidencia en las importantes inversiones de la empresa en investigación y desarrollo, fabricación y pruebas de vuelo, todo ello con el objetivo de llevar la aeronave Midnight al mercado. El compromiso de Archer se ve aún más subrayado por su asociación exclusiva con Anduril para construir el VTOL eléctrico híbrido de próxima generación y su selección como proveedor oficial de taxis aéreos para los Juegos Olímpicos de Los Ángeles 2028, lo que destaca el enfoque de la empresa en escalar las operaciones comerciales de taxis aéreos utilizando eVTOLs.","[{'name': 'achr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/achr-Q125-10-Q.html'}]",514640214,USD,ACHR,SMART,STK,False,TL_ELE
transportation and logistics,electric_aviation,US0970231058,BOEING CO/THE,4,"Participa activamente en el desarrollo e integración de tecnologías de propulsión eléctrica para futuros aviones, contribuyendo al avance de soluciones de aviación sostenible.",,,4762,USD,BA,SMART,STK,True,TL_ELE
transportation and logistics,electric_aviation,US3696043013,GENERAL ELECTRIC,5,"Desarrolla sistemas de propulsión eléctrica y tecnologías relacionadas para aeronaves, desempeñando un papel importante en el avance de soluciones de vuelo sostenible dentro del sector de la aviación.","La participación de GE Aerospace en el tema de la Aviación Eléctrica se demuestra a través de su participación en el programa RISE de CFM International, que se centra en sistemas híbridos eléctricos y compatibilidad con combustibles alternativos. Reforzando esto, la empresa ha demostrado sus capacidades al demostrar con éxito un sistema de propulsión híbrido eléctrico de un megavatio con el Ejército de los Estados Unidos. Además, la inversión más amplia de GE Aerospace en el 'futuro del vuelo', respaldada por aproximadamente 3 mil millones de dólares en gastos anuales de I+D y el desarrollo del motor T901 para el helicóptero Black Hawk del Ejército de los Estados Unidos, sugiere un avance hacia tecnologías que podrían respaldar la aviación eléctrica.","[{'name': 'ge-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ge-FY24-10-K.html'}]",498843743,USD,GE,SMART,STK,True,TL_ELE
transportation and logistics,electric_aviation,US75513E1010,RTX CORP,6,Se enfoca en el desarrollo de tecnologías y sistemas cruciales para el avance y la implementación de soluciones de aviación eléctrica.,,,415342104,USD,RTX,SMART,STK,True,TL_ELE
transportation and logistics,electric_aviation,US4385161066,HONEYWELL INTERNATIONAL INC,7,"Desarrolla y suministra sistemas de propulsión eléctrica avanzados, soluciones de gestión de energía y tecnologías de aviónica, cruciales para el desarrollo y la operación de aeronaves eléctricas e híbrido-eléctricas.",,,4350,USD,HON,SMART,STK,True,TL_ELE
transportation and logistics,electric_aviation,FR0000073272,SAFRAN SA,8,Contribuye al desarrollo de sistemas de propulsión y otras tecnologías críticas vitales para el avance de la aviación eléctrica.,,,1322028,EUR,SAF,SMART,STK,False,TL_ELE
transportation and logistics,electric_aviation,US8832031012,TEXTRON INC,9,"Se enfoca en el desarrollo e integración de sistemas de propulsión eléctrica y tecnologías relacionadas para diversas plataformas de aviación, contribuyendo a la evolución del vuelo eléctrico.","Textron demuestra su participación en la aviación eléctrica a través del segmento Textron eAviation, que se enfoca en los esfuerzos de desarrollo de aeronaves de propulsión híbrida y eléctrica. El Nuuva V300, una aeronave no tripulada VTOL híbrida-eléctrica de largo alcance y gran capacidad, está en desarrollo y ha continuado su programa de pruebas de vuelo, incluso debutando en el Salón Aeronáutico de París. Además, Textron apoya a las empresas que electrifican caravanas proporcionándoles información y tiene acuerdos para incorporar una certificación de tipo suplementaria en su línea de producción en caso de que la demanda aumente. Si bien los ingresos del segmento Textron eAviation han disminuido, los costos de investigación y desarrollo han aumentado, lo que refleja la inversión de Textron en esta área.","[{'name': 'txt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txt-Q324-10-Q.html'}, {'name': 'txt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/txt-FY24-10-K.html'}, {'name': 'txt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txt-Q225-10-Q.html'}]",13101,USD,TXT,SMART,STK,True,TL_ELE
transportation and logistics,electric_aviation,US26853E1029,EHANG HOLDINGS LTD-SPS ADR,10,"Desarrolla y comercializa vehículos aéreos autónomos (AAV) para el transporte de pasajeros y la logística, impulsando la innovación en el sector de la aviación eléctrica.",,,394961312,USD,EH,SMART,STK,False,TL_ELE
