symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
TSLA,automotive,electric_vehicles,US88160R1014,TESLA INC,1,"Pionera en la industria de vehículos eléctricos mediante el diseño, desarrollo y fabricación de una amplia gama de vehículos eléctricos, tecnología de baterías e infraestructura de carga, impulsando así la transición global hacia la energía y el transporte sostenibles.","El compromiso de Tesla con el tema de los vehículos eléctricos está profundamente arraigado en su misión principal de acelerar la transición del mundo hacia la energía sostenible, ya que la empresa diseña, desarrolla, fabrica, arrienda y vende vehículos eléctricos de alto rendimiento. El Model Y ha alcanzado el estatus de coche más vendido en varios países, y la empresa se centra en ampliar la capacidad de fabricación para incluir modelos más nuevos y un modelo de menor costo. Además, una parte sustancial de los ingresos de Tesla se deriva de las ventas de automóviles, lo que subraya la centralidad de los vehículos eléctricos en su negocio.","[{'name': 'tsla-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q324-10-Q.html'}, {'name': 'tsla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsla-FY24-10-K.html'}, {'name': 'tsla-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q125-10-Q.html'}, {'name': 'tsla-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q225-10-Q.html'}]",76792991,USD,SMART,STK,True,ELE
GM,automotive,electric_vehicles,US37045V1008,GENERAL MOTORS CO,2,"Es una fuerza líder en la transición de la industria automotriz hacia los vehículos eléctricos, impulsando la innovación y ampliando su completa línea de vehículos eléctricos en varios segmentos, incluidos automóviles, camiones y SUV.","La participación de GM en vehículos eléctricos es evidente a través de su énfasis estratégico en la rentabilidad de los VE y el posicionamiento en el mercado. La estrategia de crecimiento de la empresa implica inversiones en VE, con un enfoque en la reducción de costos y la ampliación de la cartera de VE. Chevrolet se ha convertido en la segunda marca de VE, y Cadillac se ha establecido como líder en el segmento de VE de lujo, impulsada por modelos como el Escalade IQ. El compromiso de GM se extiende a la adaptación a las preferencias de los clientes y la transición de ciertos concesionarios Buick como parte de su estrategia más amplia de VE, al tiempo que amplía la red de carga de VE.","[{'name': 'gm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q125-10-Q.html'}, {'name': 'gm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q225-10-Q.html'}, {'name': 'gm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q324-10-Q.html'}, {'name': 'gm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gm-FY24-10-K.html'}]",80986742,USD,SMART,STK,True,ELE
F,automotive,electric_vehicles,US3453708600,FORD MOTOR CO,3,"Transición de su cartera de productos para incluir una amplia gama de vehículos eléctricos, invirtiendo significativamente en la producción y tecnología de vehículos eléctricos para satisfacer la creciente demanda de los consumidores e impulsar la adopción del mercado.","Ford está activamente involucrado en el mercado de vehículos eléctricos, como lo demuestra su continua inversión en su estrategia de vehículos eléctricos, incluido el desarrollo de nuevas plataformas de vehículos eléctricos y tecnología de baterías. La compañía está lanzando nuevos modelos de vehículos eléctricos como el Puma, Explorer y Capri en Europa, y escalando su división Model e, con un crecimiento en las ventas minoristas en EE. UU. Sin embargo, Ford ha observado tasas de adopción de vehículos eléctricos en toda la industria más bajas de lo anticipado y presiones de precios a corto plazo, lo que ha llevado a ajustes en el gasto, la producción y los lanzamientos de productos, incluida la cancelación de un programa de SUV de tres filas totalmente eléctrico. A pesar de estos desafíos, Ford continúa invirtiendo en materias primas y componentes para respaldar la fabricación y venta de vehículos eléctricos, y está planeando diseñar y construir un vehículo eléctrico y una plataforma innovadores en EE. UU.","[{'name': 'f-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q324-10-Q.html'}, {'name': 'f-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q225-10-Q.html'}, {'name': 'f-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q125-10-Q.html'}, {'name': 'f-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/f-FY24-10-K.html'}]",9599491,USD,SMART,STK,True,ELE
ALB,automotive,electric_vehicles,US0126531013,ALBEMARLE CORP,4,Suministra compuestos de litio esenciales que son componentes críticos para las baterías que alimentan los vehículos eléctricos.,"La participación de Albemarle en el tema de Vehículos Eléctricos es evidente a través de su papel significativo en la producción de litio, un componente crítico para las baterías de vehículos eléctricos. La empresa reconoce que el mercado global de baterías de litio y almacenamiento de energía, particularmente para vehículos eléctricos, se mantiene fuerte y espera que la demanda de litio se duplique con creces, impulsada principalmente por el almacenamiento estacionario y la demanda de vehículos eléctricos. El negocio de Almacenamiento de Energía de Albemarle contribuye al crecimiento de las millas limpias recorridas con vehículos eléctricos, y la empresa destaca que se espera que las ventas globales de vehículos eléctricos sigan aumentando, lo que impulsará una demanda continua de baterías de litio.","[{'name': 'alb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q225-10-Q.html'}, {'name': 'alb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q324-10-Q.html'}, {'name': 'alb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q125-10-Q.html'}, {'name': 'alb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alb-FY24-10-K.html'}]",4347,USD,SMART,STK,True,ELE
005380,automotive,electric_vehicles,KR7005380001,HYUNDAI MOTOR CO,5,"Desarrolla y produce una diversa gama de vehículos eléctricos, contribuyendo significativamente a la adopción global y al avance tecnológico del mercado de vehículos eléctricos.",,,17382507,KRW,KSE,STK,False,ELE
NXPI,automotive,electric_vehicles,NL0009538784,NXP SEMICONDUCTORS NV,6,"Proporciona soluciones de semiconductores esenciales para arquitecturas de vehículos eléctricos, apoyando avances en la gestión de energía, sistemas de baterías y control del vehículo.","El compromiso de NXP con el tema de Vehículos Eléctricos es evidente a través de su enfoque en la electrificación dentro del sector automotriz, un importante impulsor de ingresos para la empresa. La empresa es optimista sobre su negocio automotriz debido a impulsores de crecimiento como la electrificación, a pesar de las posibles caídas del SAAR. NXP destaca la creciente penetración de la electrificación y los xEV en el mercado automotriz, señalando el pronóstico de S&P de un aumento del 15% en las unidades de automóviles xEV y una penetración global del 43% para fin de año.",,77791077,USD,SMART,STK,True,ELE
RIVN,automotive,electric_vehicles,US76954A1034,RIVIAN AUTOMOTIVE INC-A,7,"Desarrolla, fabrica y vende vehículos eléctricos de aventura, incluyendo camionetas y SUVs, contribuyendo a la expansión y diversificación del mercado de vehículos eléctricos.","El negocio de Rivian se centra en los vehículos eléctricos, ya que la empresa desarrolla y fabrica vehículos eléctricos que definen categorías, con el objetivo explícito de acelerar la transición global hacia el transporte con cero emisiones. La plataforma R1, que consta de los modelos R1T y R1S, ejemplifica este enfoque, con Rivian diseñando sus propios trenes motrices eléctricos y tecnologías relacionadas. Además, la empresa está expandiendo su oferta de vehículos eléctricos con la plataforma R2, que anticipan que impulsará un volumen y crecimiento significativos, y se centra estratégicamente en los vehículos eléctricos, enfatizando la satisfacción del cliente con el modelo R1S.","[{'name': 'rivn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rivn-FY24-10-K.html'}, {'name': 'rivn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rivn-Q225-10-Q.html'}, {'name': 'rivn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rivn-Q125-10-Q.html'}]",525768800,USD,SMART,STK,False,ELE
NIO,automotive,electric_vehicles,US62914V1061,NIO INC - ADR,8,"Diseña, desarrolla, fabrica y vende vehículos eléctricos inteligentes de primera calidad, impulsando activamente la adopción y la innovación en el mercado de vehículos eléctricos.",,,332794741,USD,SMART,STK,False,ELE
175,automotive,electric_vehicles,KYG3777B1032,GEELY AUTOMOBILE HOLDINGS LT,9,"Se centra en el desarrollo y la producción de vehículos eléctricos, ofreciendo una amplia gama de modelos y tecnologías para avanzar en la industria de los vehículos eléctricos.",,,42475790,HKD,SEHK,STK,False,ELE
TEL1 N,automotive,electric_vehicles,IE000IVNQZ81,TE CONNECTIVITY PLC,10,Suministra tecnología de conectividad y sensores fundamental para el desarrollo y funcionamiento de vehículos eléctricos.,"El compromiso de TE Connectivity con el tema de los vehículos eléctricos es evidente a través de su enfoque en la electrificación en todas las líneas motrices, lo que anticipan que impulsará el crecimiento. Están asegurando victorias clave en conectividad de datos y electrificación, beneficiándose particularmente del crecimiento en Asia relacionado con las líneas motrices electrificadas. La compañía espera que una parte sustancial de la producción de vehículos híbridos y eléctricos ocurra en Asia, donde mantienen una sólida posición y capacidades de producción local. Si bien se espera que la producción automotriz mundial disminuya, TE Connectivity anticipa un crecimiento en la producción de vehículos híbridos y eléctricos.",,731466402,MXN,MEXI,STK,True,ELE
LCID,automotive,electric_vehicles,US5494982029,LUCID GROUP INC,11,"Desarrolla y fabrica vehículos eléctricos de lujo, centrándose en tecnología avanzada y rendimiento para contribuir al segmento de alta gama del mercado de vehículos eléctricos.","El negocio de Lucid se centra en los vehículos eléctricos, como lo demuestra su misión de avanzar en la tecnología de vehículos eléctricos y su producción de los modelos Lucid Air y Gravity. La empresa enfatiza la innovación interna de hardware y software, la integración vertical y un enfoque de ingeniería desde cero, todo ello con el objetivo de establecer nuevos estándares en el mercado de vehículos eléctricos. El enfoque de Lucid se extiende a importantes inversiones en investigación y desarrollo, capacidad de fabricación y decisiones estratégicas para garantizar el éxito a largo plazo en el sector de vehículos eléctricos, solidificando aún más el compromiso de la empresa con los vehículos eléctricos.","[{'name': 'lcid-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lcid-Q125-10-Q.html'}, {'name': 'lcid-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lcid-Q225-10-Q.html'}, {'name': 'lcid-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lcid-FY24-10-K.html'}]",810758322,USD,SMART,STK,False,ELE
BWA,automotive,electric_vehicles,US0997241064,BORGWARNER INC,12,"Suministra una amplia cartera de componentes y sistemas esenciales para vehículos eléctricos, contribuyendo a su rendimiento y adopción generalizada.","BorgWarner se identifica como un líder mundial de productos en soluciones tecnológicas limpias y eficientes para vehículos eléctricos, con una estrategia centrada en el crecimiento rentable en su cartera de productos enfocada en la tecnología que apoya vehículos eléctricos, híbridos y de combustión. Esto se demuestra aún más por un aumento significativo en las ventas de productos electrónicos para vehículos ligeros, que impulsaron el crecimiento de las ventas y crecieron más del 60% año tras año en las principales regiones. La empresa también ha asegurado nuevos negocios para motores eléctricos y tecnología de diferencial cruzado eléctrico, particularmente con los principales fabricantes de equipos originales (OEM) chinos, lo que destaca una presencia fuerte y creciente en el mercado de vehículos eléctricos.","[{'name': 'bwa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bwa-Q324-10-Q.html'}, {'name': 'bwa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bwa-Q125-10-Q.html'}, {'name': 'bwa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bwa-Q225-10-Q.html'}, {'name': 'bwa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bwa-FY24-10-K.html'}]",5336,USD,SMART,STK,True,ELE
APTV,automotive,electric_vehicles,JE00BTDN8H13,APTIV PLC,13,"Desarrolla arquitecturas eléctricas críticas, distribución de energía de alto voltaje y soluciones de seguridad avanzadas que son esenciales para el rendimiento, la seguridad y la funcionalidad de los vehículos eléctricos.","La participación de Aptiv en el tema de los vehículos eléctricos es evidente en su enfoque estratégico y sus ofertas de productos. La empresa ofrece soluciones de movilidad de extremo a extremo, lo que permite a los clientes realizar la transición hacia un futuro más electrificado, y su cartera de productos está alineada con las tendencias aceleradas de electrificación. El enfoque de Aptiv se demuestra además a través de su trabajo con los fabricantes de equipos originales (OEM), incluido el lanzamiento de programas de alto voltaje y el aumento de su participación en los programas de vehículos eléctricos. Sin embargo, también es importante tener en cuenta que Aptiv ha observado retrasos en las estrategias de inversión en vehículos eléctricos por parte de algunos clientes OEM.","[{'name': 'aptv-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q125-10-Q.html'}, {'name': 'aptv-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q225-10-Q.html'}, {'name': 'aptv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aptv-Q324-10-Q.html'}, {'name': 'aptv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aptv-FY24-10-K.html'}]",748351585,USD,SMART,STK,True,ELE
RNO,automotive,electric_vehicles,FR0000131906,RENAULT SA,14,"Desarrolla y fabrica una gama de vehículos eléctricos, desempeñando un papel importante en el avance de la adopción y el crecimiento del sector de la movilidad eléctrica.",,,29612183,EUR,SMART,STK,False,ELE
PLUG,automotive,electric_vehicles,US72919P2020,PLUG POWER INC,15,"Desarrolla soluciones de celdas de combustible de hidrógeno que impulsan diversas aplicaciones de vehículos eléctricos, particularmente en el manejo de materiales y flotas comerciales.","La participación de Plug en el tema de Vehículos Eléctricos es evidente a través de sus soluciones de celdas de combustible de hidrógeno. El sistema GenDrive de la empresa, una celda de combustible PEM alimentada por hidrógeno, impulsa una gama de vehículos eléctricos de manejo de materiales, incluidos montacargas eléctricos y vehículos guiados automatizados. Además, el suministro de hidrógeno líquido de Plug está destinado a su uso en flotas de vehículos eléctricos de celdas de combustible, junto con aplicaciones de manejo de materiales y energía estacionaria. Plug también facilita el cambio de paradigma hacia un mundo cada vez más electrificado mediante la innovación de soluciones de vanguardia de hidrógeno y celdas de combustible.","[{'name': 'plug-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/plug-Q225-10-Q.html'}, {'name': 'plug-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/plug-Q125-10-Q.html'}, {'name': 'plug-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/plug-FY24-10-K.html'}]",88385302,USD,SMART,STK,False,ELE
3EC,automotive,electric_vehicles,IE00B8KQN827,EATON CORP PLC,16,"Ofrece tecnologías y soluciones críticas de gestión de energía que respaldan la infraestructura de carga, la distribución de energía y las aplicaciones de eMobility esenciales para el ecosistema de vehículos eléctricos.","La participación de Eaton en el tema de Vehículos Eléctricos se destaca por su asociación con ChargePoint para desarrollar soluciones integradas de carga de VE, distribución de energía y software, lo que permite la electrificación de vehículos a escala. Si bien la compañía reconoce el crecimiento de los vehículos eléctricos y experimentó un aumento en las ventas orgánicas en el segmento de eMobility, particularmente en Europa, esto se vio parcialmente compensado por la debilidad en América del Norte. A pesar de los retrasos de los OEM y las expectativas de crecimiento ligeramente menores para los vehículos eléctricos, Eaton continúa centrándose en soluciones integradas para la electrificación de vehículos, incluida la tecnología de transformadores de estado sólido para la carga de VE y el almacenamiento de baterías.","[{'name': 'etn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q324-10-Q.html'}, {'name': 'etn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q125-10-Q.html'}]",118017864,EUR,SMART,STK,True,ELE
CMI,automotive,electric_vehicles,US2310211063,CUMMINS INC,17,"Desarrolla y suministra trenes motrices eléctricos, baterías y tecnologías de pilas de combustible para vehículos comerciales y aplicaciones industriales, contribuyendo a la descarbonización del transporte.","El compromiso de Cummins con el tema de los vehículos eléctricos es evidente a través de su diversa gama de productos, que incluye trenes motrices eléctricos e híbridos, así como componentes relacionados. El segmento Accelera de la empresa desempeña un papel clave al diseñar, fabricar y dar soporte a sistemas de energía electrificados, que abarcan tecnologías de baterías, pilas de combustible y trenes motrices eléctricos. Además, el aumento de las ventas de e-movilidad, particularmente a clientes de autobuses, contribuye a la participación de la empresa en el mercado de vehículos eléctricos, aunque las menores instalaciones de electrolizadores compensan parcialmente estas ganancias.","[{'name': 'cmi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmi-FY24-10-K.html'}, {'name': 'cmi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmi-Q324-10-Q.html'}]",6207,USD,SMART,STK,True,ELE
