industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,electronic_commerce,US0231351067,AMAZON.COM INC,1,"Opera la plataforma minorista en línea más grande del mundo, ofreciendo una vasta selección de productos y facilitando el comercio electrónico global a través de su extenso mercado y red de cumplimiento.","La participación de Amazon en el Comercio Electrónico es evidente, ya que la principal fuente de ingresos de la empresa proviene de la venta de una diversa gama de productos y servicios a clientes a través de sus plataformas electrónicas. El enfoque de la empresa en mejorar la experiencia del cliente a través de la selección, el valor y la velocidad de envío es un motor clave, y la tasa de crecimiento de Internet y el comercio en línea influyen explícitamente en los resultados de la empresa. Esto está respaldado además por el éxito de Prime Day, el aumento de las ventas de unidades y la adición de marcas premium a su tienda minorista, lo que refleja la estrategia comercial central de la empresa.","[{'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}, {'name': 'amzn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q125-10-Q.html'}, {'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}]",3691937,USD,AMZN,SMART,STK,True,ECO
consumer and retail,electronic_commerce,US70450Y1038,PAYPAL HOLDINGS INC,2,"Facilita pagos digitales y transacciones en línea seguras, sirviendo como plataforma fundamental para comerciantes y consumidores dentro del ecosistema global de comercio electrónico.","La misión principal de PayPal es revolucionar el comercio a nivel mundial al permitir pagos digitales y simplificar las experiencias comerciales para consumidores y comerciantes, tanto en línea como fuera de línea. La empresa está evolucionando de un procesador de pagos a una plataforma de comercio dinámica, conectando a millones de consumidores y comerciantes e innovando para dar forma al futuro del comercio. Esta transformación incluye la expansión de su presencia para estar disponible en todas partes, ya sea en línea, en tiendas o a través de agentes de IA, y el aprovechamiento de datos para crear experiencias personalizadas. Los ingresos por transacciones se generan en su plataforma de pagos, y la empresa se enfoca en anticipar y satisfacer las necesidades de los clientes, atrayendo a las mejores marcas y desarrolladores a su plataforma.","[{'name': 'pypl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q125-10-Q.html'}, {'name': 'pypl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pypl-FY24-10-K.html'}, {'name': 'pypl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pypl-Q225-10-Q.html'}]",199169591,USD,PYPL,SMART,STK,True,ECO
consumer and retail,electronic_commerce,US58733R1023,MERCADOLIBRE INC,3,"Opera una plataforma líder de comercio electrónico y marketplace en América Latina, permitiendo a millones de individuos y empresas realizar transacciones en línea y acceder a una amplia gama de bienes y servicios.","MercadoLibre se identifica como el ecosistema líder de comercio electrónico y fintech en América Latina, con su plataforma de comercio electrónico ocupando la primera posición en la región según el volumen bruto de mercancías. El compromiso de la compañía con el comercio electrónico es evidente en sus iniciativas estratégicas, como la reducción de los umbrales de envío gratuito y la expansión del surtido, todo ello con el objetivo de mejorar su plataforma y atraer a más usuarios. MercadoLibre se enfoca en llevar el comercio minorista offline al online eliminando fricciones y ofreciendo soluciones tecnológicas y comerciales de clase mundial, solidificando aún más su posición como destino de elección para compras en línea en América Latina. La plataforma de comercio electrónico de la compañía está presente en 18 países y es accesible a través de su aplicación móvil o sitio web, lo que demuestra una gran inversión y dedicación al sector del comercio electrónico.","[{'name': 'meli-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meli-Q225-10-Q.html'}, {'name': 'meli-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meli-Q125-10-Q.html'}, {'name': 'meli-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/meli-FY24-10-K.html'}]",45602025,USD,MELI,SMART,STK,False,ECO
consumer and retail,electronic_commerce,US9113121068,UNITED PARCEL SERVICE-CL B,4,Juega un papel fundamental en el comercio electrónico global al proporcionar servicios esenciales de envío y logística que permiten a las empresas en línea entregar productos a los clientes de manera eficiente y confiable.,"El compromiso de UPS con el comercio electrónico es evidente a través de varias iniciativas y ajustes de volumen. La empresa capta el crecimiento de los clientes de comercio electrónico y las PYMES a través del Programa de Acceso Digital, que ha contribuido a aumentos en el volumen de negocio a consumidor. Sin embargo, UPS también ha tomado medidas de precios en los volúmenes de clientes de comercio electrónico de menor rendimiento, lo que ha provocado disminuciones en el volumen del producto Ground Saver y ajustes en el volumen residencial. Si bien el comercio electrónico es un factor en la estrategia de UPS, también está gestionando el volumen y los precios dentro de este segmento.","[{'name': 'ups-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q324-10-Q.html'}, {'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}, {'name': 'ups-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q225-10-Q.html'}, {'name': 'ups-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q125-10-Q.html'}]",6231002,USD,UPS,SMART,STK,True,ECO
consumer and retail,electronic_commerce,US92826C8394,VISA INC-CLASS A SHARES,5,"Facilita pagos digitales seguros y eficientes para transacciones en línea a nivel mundial, lo que permite el crecimiento y la accesibilidad de las plataformas de comercio electrónico tanto para consumidores como para comerciantes.","El enfoque de Visa en el comercio electrónico es evidente a través de varias iniciativas, incluido el hecho de que más del 50% de sus transacciones de comercio electrónico están tokenizadas a nivel mundial. La compañía está impulsando un futuro más digital con Visa Intelligent Commerce, permitiendo a los consumidores comprar y adquirir con agentes de IA. Además, Visa Conecta facilita los pagos de banca abierta específicamente en el comercio electrónico, y Decathlon utiliza las capacidades de pasarela y gestor de decisiones de Visa para su negocio de comercio electrónico.",,49462172,USD,V,SMART,STK,True,ECO
consumer and retail,electronic_commerce,US6541061031,NIKE INC -CL B,6,"Impulsa importantes ventas directas al consumidor a través de sus extensas plataformas de comercio electrónico, mejorando el alcance global del cliente y la experiencia de marca.","El compromiso de Nike con el comercio electrónico es evidente a través de sus operaciones NIKE Direct, que incluyen las plataformas digitales de la marca NIKE, un canal de distribución clave junto con las cuentas mayoristas. La empresa enfatiza la entrega de experiencias de consumo atractivas a través de estas plataformas digitales y está reposicionando activamente NIKE Brand Digital como una plataforma de precio completo. Si bien NIKE ha lanzado una tienda de marca en Amazon y está experimentando una mayor participación, NIKE Digital ha enfrentado desafíos, incluidas la disminución de las ventas y el tráfico orgánico, lo que ha llevado a esfuerzos para mejorar la variedad y las estrategias de marketing.","[{'name': 'nke-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q325-10-Q.html'}, {'name': 'nke-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q225-10-Q.html'}, {'name': 'nke-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nke-FY25-10-K.html'}]",10291,USD,NKE,SMART,STK,True,ECO
consumer and retail,electronic_commerce,US57636Q1040,MASTERCARD INC - A,7,"Permite y asegura un volumen significativo de transacciones digitales a nivel mundial, proporcionando infraestructura esencial de procesamiento de pagos que facilita el comercio minorista en línea y fomenta el crecimiento del ecosistema del comercio electrónico.","El compromiso de Mastercard con el comercio electrónico se demuestra a través de sus asociaciones con mercados de comercio electrónico como FoxCommerce para distribuir tarjetas de empresa prepagadas a comerciantes, facilitando los pagos en varios países africanos. Reforzando este enfoque, Mastercard ha renovado acuerdos de prepago para consumidores con Mercado Libre, una plataforma de comercio electrónico y fintech. Además, más de la mitad de las transacciones de comercio electrónico en Europa ahora están tokenizadas, lo que destaca el papel de Mastercard en el ecosistema del comercio electrónico.",,38685693,USD,MA,SMART,STK,True,ECO
consumer and retail,electronic_commerce,CA82509L1076,SHOPIFY INC - CLASS A,8,"Proporciona una plataforma de comercio electrónico integral que permite a empresas de todos los tamaños establecer, gestionar y escalar sus operaciones minoristas en línea, facilitando las ventas digitales y el acceso al mercado global.","El compromiso de Shopify con el Comercio Electrónico es evidente en su modelo de negocio principal, que gira en torno a la provisión de soluciones para que los comerciantes faciliten las ventas y transacciones en línea. Los ingresos de la empresa se generan a través de soluciones de suscripción y soluciones para comerciantes, directamente relacionadas con las actividades de comercio electrónico. Shopify facilita un volumen bruto de mercancías (GMV) sustancial a través de su plataforma, con un aumento significativo año tras año, lo que destaca su papel en la habilitación del comercio en línea para una amplia gama de negocios, desde emprendedores hasta operaciones B2B a gran escala. Shopify Plus ofrece funcionalidad y soporte adicionales, incluidas funciones como Shopify Audiences, funciones B2B y Launchpad, lo que demuestra aún más su compromiso con la automatización del comercio electrónico y la escalabilidad global para los comerciantes.","[{'name': 'shop-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/shop-Q125-10-Q.html'}, {'name': 'shop-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/shop-FY24-10-K.html'}]",195426111,CAD,SHOP,SMART,STK,False,ECO
consumer and retail,electronic_commerce,US25809K1051,DOORDASH INC - A,9,"Facilita el pedido en línea y la entrega de última milla de productos de varios comerciantes, incluidos restaurantes y tiendas de conveniencia, lo que permite y expande las transacciones y la accesibilidad del comercio electrónico.","La participación de DoorDash en el Comercio Electrónico es evidente a través de la operación de los Marketplaces de DoorDash y Wolt, que facilitan las conexiones entre comerciantes y consumidores en más de 30 países. Estas plataformas brindan a los comerciantes servicios esenciales como el establecimiento de una presencia en línea, la generación de demanda, el cumplimiento de pedidos y el procesamiento de pagos, y la empresa genera la gran mayoría de sus ingresos a partir de los pedidos completados a través de estos mercados. Además, la Plataforma de Comercio de DoorDash, que incluye Pedidos en Línea, permite a las empresas crear experiencias de pedidos en línea de marca, lo que les permite tener éxito en la economía digital.","[{'name': 'dash-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dash-Q324-10-Q.html'}, {'name': 'dash-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dash-Q125-10-Q.html'}]",459309417,USD,DASH,SMART,STK,True,ECO
consumer and retail,electronic_commerce,US48581R2058,JSC KASPI.KZ ADR,10,Opera un mercado de comercio electrónico y una plataforma de pago líder que facilita las compras en línea y las transacciones financieras en diversos segmentos de consumidores.,"La participación de Kaspi en el Comercio Electrónico es evidente en el continuo y fuerte crecimiento de su Volumen Bruto de Mercancía (GMV) de comercio electrónico, particularmente dentro del sector de comercio electrónico de comestibles, que ha experimentado aumentos sustanciales año tras año. El mercado de la compañía también demuestra un crecimiento robusto, con aumentos significativos en GMV, ingresos e ingresos netos. Dado que el comercio electrónico es una prioridad comercial central, Kaspi se enfoca en escalar su negocio de comestibles electrónicos, expandiéndolo a más ciudades e invirtiendo en su plataforma para respaldar un mayor crecimiento en varios verticales como la ropa.",,450732746,USD,KSPI.USD,VALUE,STK,False,ECO
