symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
TT,energy and utilities,energy_efficiency,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,1,"Desarrolla y proporciona sistemas avanzados de calefacción, ventilación y aire acondicionado (HVAC) y soluciones de gestión térmica que son fundamentales para optimizar el consumo de energía y reducir el impacto ambiental en diversos edificios y aplicaciones industriales.","Trane Technologies demuestra un fuerte compromiso con la eficiencia energética a través de sus soluciones integrales para edificios, hogares y transporte. El CEO de la compañía enfatiza la importancia de la eficiencia energética en el negocio de servicios, destacando la oportunidad de mejorar las operaciones de los edificios más allá de su diseño original y abordar el importante desperdicio de energía prevalente en los edificios de hoy en día. Las soluciones de Trane Technologies se centran en reducir el consumo de energía, las emisiones y los costos operativos para los clientes, ofreciendo atractivos retornos de la inversión y contribuyendo a la descarbonización del entorno construido, particularmente dentro de los mercados de HVAC comercial en América y EMEA. Al proporcionar soluciones sostenibles y eficientes a través de sus marcas estratégicas, Trane y Thermo King, la compañía aborda el desperdicio de energía y ayuda a los clientes a lograr un fuerte retorno de la inversión.","[{'name': 'tt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q225-10-Q.html'}, {'name': 'tt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q324-10-Q.html'}, {'name': 'tt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tt-FY24-10-K.html'}]",406709270,USD,SMART,STK,True,ENE
CARR,energy and utilities,energy_efficiency,US14448C1045,CARRIER GLOBAL CORP,2,"Desarrolla y suministra sistemas avanzados de calefacción, ventilación, aire acondicionado y refrigeración que contribuyen significativamente a optimizar el consumo de energía y reducir el impacto ambiental en edificios y en la gestión de la cadena de frío.","El compromiso de Carrier con la Eficiencia Energética es evidente a través de su segmento de HVAC, que ofrece soluciones destinadas a mejorar el rendimiento, la salud y la sostenibilidad de los edificios. La empresa está lanzando una bomba de calor aire-agua totalmente integrada diseñada para mejorar la eficiencia energética de los propietarios de viviendas, y también está trabajando con empresas de servicios públicos para probar en el campo soluciones integradas de bombas de calor con baterías. Además, Carrier ha introducido un enfriador enfriado por aire de gran capacidad con un compresor centrífugo de cojinetes magnéticos patentado que es significativamente más eficiente que la competencia, y la empresa espera mejorar la eficiencia energética de los clientes en aproximadamente un 20% a través de ofertas integradas.","[{'name': 'carr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/carr-Q324-10-Q.html'}, {'name': 'carr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/carr-FY24-10-K.html'}]",410755397,USD,SMART,STK,True,ENE
JCI,energy and utilities,energy_efficiency,IE00BY7QL619,JOHNSON CONTROLS INTERNATION,3,"Es un contribuyente significativo al tema de Eficiencia Energética, ofreciendo soluciones y tecnologías que optimizan el consumo y el rendimiento energético en diversos entornos.","Johnson Controls ofrece soluciones basadas en resultados a lo largo del ciclo de vida de un edificio, abordando las necesidades de los clientes para mejorar la eficiencia energética a través de su amplia cartera de productos y capacidades digitales, incluida la plataforma OpenBlue. La empresa capitaliza las tendencias impulsadas por incentivos y regulaciones gubernamentales, como la Directiva de Eficiencia Energética de la UE y la Ley de Reducción de la Inflación de EE. UU., para proporcionar productos sostenibles de alta eficiencia y servicios personalizados. Como líder mundial en productos y sistemas para edificios, Johnson Controls observa una creciente demanda de edificios inteligentes, seguros, eficientes y sostenibles, lo que solidifica aún más su enfoque en la eficiencia energética.","[{'name': 'jci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q225-10-Q.html'}, {'name': 'jci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jci-FY24-10-K.html'}, {'name': 'jci-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q325-10-Q.html'}]",244164913,USD,SMART,STK,True,ENE
HON,energy and utilities,energy_efficiency,US4385161066,HONEYWELL INTERNATIONAL INC,4,"Desarrolla y proporciona tecnologías avanzadas, software y soluciones de automatización que optimizan el consumo de energía, mejoran la eficiencia operativa y reducen el impacto ambiental en diversas industrias e infraestructura de edificios.","El segmento de Automatización de Edificios de Honeywell desempeña un papel importante en la eficiencia energética al proporcionar productos, software, soluciones y tecnologías que permiten a los propietarios de edificios garantizar la eficiencia energética de sus instalaciones. Esto incluye sensores, interruptores, sistemas de control e instrumentos para la gestión de la energía. Si bien las ventas de Soluciones de Energía y Sostenibilidad experimentaron una ligera disminución orgánica, los proyectos de sostenibilidad contribuyeron al crecimiento de las ventas orgánicas en otras áreas, lo que indica un enfoque continuo en la eficiencia energética a pesar de algunas fluctuaciones. Las ofertas de automatización de edificios de la empresa permiten a los propietarios de edificios garantizar la eficiencia energética de sus instalaciones.","[{'name': 'hon-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hon-FY24-10-K.html'}]",4350,USD,SMART,STK,True,ENE
POWI,energy and utilities,energy_efficiency,US7392761034,POWER INTEGRATIONS INC,5,Desarrolla soluciones de semiconductores que permiten mejoras significativas en la eficiencia energética de los dispositivos electrónicos y los sistemas de conversión de energía.,"La empresa demuestra una fuerte conexión con el tema de la eficiencia energética, enfatizando su compromiso de reducir las emisiones de carbono a través de productos diseñados para un mejor rendimiento energético. La tecnología EcoSmart de la empresa, los transistores de nitruro de galio PowiGaN y los CI de controlador de motor BridgeSwitch se destacan repetidamente por su capacidad para reducir el consumo de energía en diversas aplicaciones. La empresa también enfatiza que sus productos de controlador de puerta son componentes críticos en unidades de motor de CC de alta eficiencia, sistemas de energía solar y eólica, sistemas eficientes de transmisión de CC de alto voltaje y aplicaciones de transporte de bajas emisiones, como locomotoras eléctricas.","[{'name': 'powi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/powi-Q324-10-Q.html'}, {'name': 'powi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/powi-FY24-10-K.html'}, {'name': 'powi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/powi-Q225-10-Q.html'}, {'name': 'powi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/powi-Q125-10-Q.html'}]",4816793,USD,SMART,STK,True,ENE
SU,energy and utilities,energy_efficiency,FR0000121972,SCHNEIDER ELECTRIC SE,6,"Ofrece tecnologías y servicios avanzados centrados en la gestión de la energía y la automatización industrial, contribuyendo significativamente a la optimización del uso de la energía en diversos sectores.",,,29612196,EUR,SMART,STK,False,ENE
AMRC,energy and utilities,energy_efficiency,US02361E1082,AMERESCO INC-CL A,7,Impulsa avances significativos en eficiencia energética mediante el desarrollo e implementación de soluciones integrales y mejoras de infraestructura en diversos sectores.,"El negocio de Ameresco está significativamente ligado a la eficiencia energética, ya que los ingresos de la empresa se derivan principalmente de proyectos de eficiencia energética, que incluyen el diseño, la ingeniería y la instalación de equipos destinados a mejorar la eficiencia y el control de la infraestructura energética de una instalación. La empresa se dedica a reducir el consumo de energía a través de estos proyectos, que a menudo son neutrales en cuanto a presupuesto y bien recibidos por diferentes administraciones. La cartera integral de Ameresco incluye la implementación de soluciones inteligentes de eficiencia energética, la modernización de infraestructuras obsoletas y el desarrollo de recursos energéticos distribuidos, con un enfoque en soluciones para clientes que reducen el consumo de energía.","[{'name': 'amrc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amrc-Q125-10-Q.html'}, {'name': 'amrc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amrc-Q225-10-Q.html'}]",77456695,USD,SMART,STK,False,ENE
SIE,energy and utilities,energy_efficiency,DE0007236101,SIEMENS AG-REG,8,"Proporciona tecnologías y soluciones para la automatización industrial, la infraestructura inteligente y las tecnologías de construcción que mejoran significativamente la eficiencia energética en diversos sectores.",,,14217,EUR,SMART,STK,False,ENE
IR,energy and utilities,energy_efficiency,US45687V1061,INGERSOLL-RAND INC,9,"Fabrica una cartera diversa de equipos industriales, que incluyen compresores de aire, bombas y sistemas de gestión de fluidos, diseñados para mejorar la eficiencia energética y reducir los costos operativos en diversas industrias.","Ingersoll Rand enfatiza la eficiencia energética a través de sus ofertas de productos y soluciones destinadas a aumentar la productividad industrial, la eficiencia y la sostenibilidad. El compromiso de la empresa se demuestra con el nuevo compresor sin aceite CompAir Ultima, que ofrece una mejora del 14% en la eficiencia energética, y la bomba de diafragma eléctrica de la serie EVO, que ofrece una mejora del 15% con respecto a las tecnologías anteriores. Además, la empresa destaca el ahorro de energía como un beneficio de sus tecnologías, lo que permite a los clientes ver el costo total de propiedad con un período de amortización.","[{'name': 'ir-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ir-Q125-10-Q.html'}]",404509190,USD,SMART,STK,True,ENE
TSLA,energy and utilities,energy_efficiency,US88160R1014,TESLA INC,10,"Contribuye a la eficiencia energética a través del desarrollo de vehículos eléctricos, tecnologías avanzadas de baterías y productos integrados de energía solar y almacenamiento de energía para hogares y servicios públicos.",,,76792991,USD,SMART,STK,True,ENE
